partition,method,scene,frame,iou
N5K,SF+X2_M3,1,0,0.928007
N5K,SF+X2_M3,1,1,0.932768
N5K,SF+X2_M3,1,2,0.934507
N5K,SF+X2_M3,1,3,0.941424
N5K,SF+X2_M3,1,4,0.944949
N5K,SF+X2_M3,1,5,0.962412
N5K,SF+X2_M3,1,6,0.940248
N5K,SF+X2_M3,1,7,0.939029
N5K,SF+X2_M3,1,8,0.934807
N5K,SF+X2_M3,1,9,0.925872
N5K,SF+X2_M3,1,10,0.946452
N5K,SF+X2_M3,1,11,0.939128
N5K,SF+X2_M3,1,12,0.924210
N5K,SF+X2_M3,1,13,0.924464
N5K,SF+X2_M3,1,14,0.908125
N5K,SF+X2_M3,1,15,0.894765
N5K,SF+X2_M3,1,16,0.907392
N5K,SF+X2_M3,1,17,0.949916
N5K,SF+X2_M3,1,18,0.941744
N5K,SF+X2_M3,1,19,0.947241
N5K,SF+X2_M3,1,20,0.949564
N5K,SF+X2_M3,1,21,0.943242
N5K,SF+X2_M3,1,22,0.946903
N5K,SF+X2_M3,1,23,0.944954
N5K,SF+X2_M3,1,24,0.937340
N5K,SF+X2_M3,1,25,0.941889
N5K,SF+X2_M3,1,26,0.933680
N5K,SF+X2_M3,1,27,0.931924
N5K,SF+X2_M3,1,28,0.932765
N5K,SF+X2_M3,1,29,0.931580
N5K,SF+X2_M3,1,30,0.921936
N5K,SF+X2_M3,1,31,0.923655
N5K,SF+X2_M3,1,32,0.930390
N5K,SF+X2_M3,1,33,0.927443
N5K,SF+X2_M3,1,34,0.922974
N5K,SF+X2_M3,1,35,0.935004
N5K,SF+X2_M3,1,36,0.920054
N5K,SF+X2_M3,1,37,0.920946
N5K,SF+X2_M3,1,38,0.919458
N5K,SF+X2_M3,1,39,0.926088
N5K,SF+X2_M3,1,40,0.930048
N5K,SF+X2_M3,1,41,0.929836
N5K,SF+X2_M3,1,42,0.936090
N5K,SF+X2_M3,1,43,0.941744
N5K,SF+X2_M3,1,44,0.935616
N5K,SF+X2_M3,1,45,0.936929
N5K,SF+X2_M3,1,46,0.939323
N5K,SF+X2_M3,1,47,0.932274
N5K,SF+X2_M3,1,48,0.934537
N5K,SF+X2_M3,1,49,0.925527
N5K,SF+X2_M3,1,50,0.937406
N5K,SF+X2_M3,1,51,0.926953
N5K,SF+X2_M3,1,52,0.926843
N5K,SF+X2_M3,1,53,0.934393
N5K,SF+X2_M3,1,54,0.921208
N5K,SF+X2_M3,1,55,0.931534
N5K,SF+X2_M3,1,56,0.929872
N5K,SF+X2_M3,1,57,0.917647
N5K,SF+X2_M3,1,58,0.913726
N5K,SF+X2_M3,1,59,0.921112
N5K,SF+X2_M3,1,60,0.924163
N5K,SF+X2_M3,1,61,0.922202
N5K,SF+X2_M3,1,62,0.926563
N5K,SF+X2_M3,1,63,0.932365
