partition,method,scene,frame,iou
N5K,SF+X2_M9_r0,1,0,0.928007
N5K,SF+X2_M9_r0,1,1,0.931077
N5K,SF+X2_M9_r0,1,2,0.937427
N5K,SF+X2_M9_r0,1,3,0.943761
N5K,SF+X2_M9_r0,1,4,0.946897
N5K,SF+X2_M9_r0,1,5,0.961177
N5K,SF+X2_M9_r0,1,6,0.939599
N5K,SF+X2_M9_r0,1,7,0.937758
N5K,SF+X2_M9_r0,1,8,0.937690
N5K,SF+X2_M9_r0,1,9,0.929246
N5K,SF+X2_M9_r0,1,10,0.944494
N5K,SF+X2_M9_r0,1,11,0.944202
N5K,SF+X2_M9_r0,1,12,0.930577
N5K,SF+X2_M9_r0,1,13,0.931429
N5K,SF+X2_M9_r0,1,14,0.914299
N5K,SF+X2_M9_r0,1,15,0.903003
N5K,SF+X2_M9_r0,1,16,0.915457
N5K,SF+X2_M9_r0,1,17,0.947314
N5K,SF+X2_M9_r0,1,18,0.942875
N5K,SF+X2_M9_r0,1,19,0.947380
N5K,SF+X2_M9_r0,1,20,0.949611
N5K,SF+X2_M9_r0,1,21,0.944926
N5K,SF+X2_M9_r0,1,22,0.948764
N5K,SF+X2_M9_r0,1,23,0.945038
N5K,SF+X2_M9_r0,1,24,0.940325
N5K,SF+X2_M9_r0,1,25,0.942990
N5K,SF+X2_M9_r0,1,26,0.935525
N5K,SF+X2_M9_r0,1,27,0.933631
N5K,SF+X2_M9_r0,1,28,0.933472
N5K,SF+X2_M9_r0,1,29,0.933912
N5K,SF+X2_M9_r0,1,30,0.925233
N5K,SF+X2_M9_r0,1,31,0.927537
N5K,SF+X2_M9_r0,1,32,0.942829
N5K,SF+X2_M9_r0,1,33,0.948830
N5K,SF+X2_M9_r0,1,34,0.941140
N5K,SF+X2_M9_r0,1,35,0.952781
N5K,SF+X2_M9_r0,1,36,0.946716
N5K,SF+X2_M9_r0,1,37,0.943439
N5K,SF+X2_M9_r0,1,38,0.948826
N5K,SF+X2_M9_r0,1,39,0.950710
N5K,SF+X2_M9_r0,1,40,0.951269
N5K,SF+X2_M9_r0,1,41,0.944836
N5K,SF+X2_M9_r0,1,42,0.950766
