partition,method,scene,frame,iou
N5K,Y+X2,1,0,0.921086
N5K,Y+X2,1,1,0.925769
N5K,Y+X2,1,2,0.931708
N5K,Y+X2,1,3,0.939580
N5K,Y+X2,1,4,0.942784
N5K,Y+X2,1,5,0.957970
N5K,Y+X2,1,6,0.934648
N5K,Y+X2,1,7,0.932700
N5K,Y+X2,1,8,0.931889
N5K,Y+X2,1,9,0.920965
N5K,Y+X2,1,10,0.938356
N5K,Y+X2,1,11,0.932131
N5K,Y+X2,1,12,0.918069
N5K,Y+X2,1,13,0.914501
N5K,Y+X2,1,14,0.902311
N5K,Y+X2,1,15,0.886756
N5K,Y+X2,1,16,0.898857
N5K,Y+X2,1,17,0.949466
N5K,Y+X2,1,18,0.940881
N5K,Y+X2,1,19,0.944921
N5K,Y+X2,1,20,0.946929
N5K,Y+X2,1,21,0.941550
N5K,Y+X2,1,22,0.945895
N5K,Y+X2,1,23,0.945403
N5K,Y+X2,1,24,0.939017
N5K,Y+X2,1,25,0.942216
N5K,Y+X2,1,26,0.933025
N5K,Y+X2,1,27,0.931064
N5K,Y+X2,1,28,0.928910
N5K,Y+X2,1,29,0.929635
N5K,Y+X2,1,30,0.920507
N5K,Y+X2,1,31,0.921820
N5K,Y+X2,1,32,0.927971
N5K,Y+X2,1,33,0.916304
N5K,Y+X2,1,34,0.915398
N5K,Y+X2,1,35,0.930975
N5K,Y+X2,1,36,0.913662
N5K,Y+X2,1,37,0.915008
N5K,Y+X2,1,38,0.915031
N5K,Y+X2,1,39,0.924163
N5K,Y+X2,1,40,0.929126
N5K,Y+X2,1,41,0.928113
N5K,Y+X2,1,42,0.936362
N5K,Y+X2,1,43,0.938274
N5K,Y+X2,1,44,0.925412
N5K,Y+X2,1,45,0.933417
N5K,Y+X2,1,46,0.938680
N5K,Y+X2,1,47,0.932981
N5K,Y+X2,1,48,0.929940
N5K,Y+X2,1,49,0.920247
N5K,Y+X2,1,50,0.934375
N5K,Y+X2,1,51,0.923065
N5K,Y+X2,1,52,0.925852
N5K,Y+X2,1,53,0.937976
N5K,Y+X2,1,54,0.918840
N5K,Y+X2,1,55,0.934114
N5K,Y+X2,1,56,0.932555
N5K,Y+X2,1,57,0.922192
N5K,Y+X2,1,58,0.917262
N5K,Y+X2,1,59,0.923111
N5K,Y+X2,1,60,0.926115
N5K,Y+X2,1,61,0.923603
N5K,Y+X2,1,62,0.926476
N5K,Y+X2,1,63,0.927792
N5K,Y+X2,10,0,0.731217
N5K,Y+X2,10,1,0.720174
N5K,Y+X2,10,2,0.711839
N5K,Y+X2,10,3,0.730892
N5K,Y+X2,10,4,0.724132
N5K,Y+X2,10,5,0.713108
N5K,Y+X2,10,6,0.687906
N5K,Y+X2,10,7,0.662477
N5K,Y+X2,10,8,0.677523
N5K,Y+X2,10,9,0.688341
N5K,Y+X2,10,10,0.699616
N5K,Y+X2,10,11,0.735988
N5K,Y+X2,10,12,0.721543
N5K,Y+X2,10,13,0.719396
N5K,Y+X2,10,14,0.622492
N5K,Y+X2,10,15,0.678097
N5K,Y+X2,10,16,0.640539
N5K,Y+X2,10,17,0.642577
N5K,Y+X2,10,18,0.640681
N5K,Y+X2,10,19,0.634309
N5K,Y+X2,10,20,0.636297
N5K,Y+X2,10,21,0.648352
N5K,Y+X2,10,22,0.636670
N5K,Y+X2,10,23,0.646840
N5K,Y+X2,10,24,0.636562
N5K,Y+X2,10,25,0.640539
N5K,Y+X2,10,26,0.621302
N5K,Y+X2,10,27,0.655889
N5K,Y+X2,10,28,0.646267
N5K,Y+X2,10,29,0.640059
N5K,Y+X2,10,30,0.662142
N5K,Y+X2,10,31,0.628090
N5K,Y+X2,10,32,0.625361
N5K,Y+X2,10,33,0.618803
N5K,Y+X2,10,34,0.619275
N5K,Y+X2,10,35,0.621675
N5K,Y+X2,10,36,0.628588
N5K,Y+X2,10,37,0.618044
N5K,Y+X2,10,38,0.614504
N5K,Y+X2,10,39,0.604679
N5K,Y+X2,10,40,0.591903
N5K,Y+X2,10,41,0.565858
N5K,Y+X2,10,42,0.555178
N5K,Y+X2,10,43,0.491072
N5K,Y+X2,10,44,0.579636
N5K,Y+X2,10,45,0.579332
N5K,Y+X2,10,46,0.600349
N5K,Y+X2,10,47,0.577006
N5K,Y+X2,10,48,0.589567
N5K,Y+X2,10,49,0.597849
N5K,Y+X2,10,50,0.598781
N5K,Y+X2,10,51,0.590050
N5K,Y+X2,10,52,0.611434
N5K,Y+X2,10,53,0.678835
N5K,Y+X2,10,54,0.709107
N5K,Y+X2,10,55,0.701368
N5K,Y+X2,10,56,0.684744
N5K,Y+X2,10,57,0.696823
N5K,Y+X2,2,0,0.931829
N5K,Y+X2,2,1,0.937685
N5K,Y+X2,2,2,0.942470
N5K,Y+X2,2,3,0.940284
N5K,Y+X2,2,4,0.946996
N5K,Y+X2,2,5,0.949574
N5K,Y+X2,2,6,0.944145
N5K,Y+X2,2,7,0.945635
N5K,Y+X2,2,8,0.950856
N5K,Y+X2,2,9,0.947454
N5K,Y+X2,2,10,0.952997
N5K,Y+X2,2,11,0.948535
N5K,Y+X2,2,12,0.945915
N5K,Y+X2,2,13,0.946811
N5K,Y+X2,2,14,0.940827
N5K,Y+X2,2,15,0.944045
N5K,Y+X2,2,16,0.925725
N5K,Y+X2,2,17,0.929616
N5K,Y+X2,2,18,0.939600
N5K,Y+X2,2,19,0.939861
N5K,Y+X2,2,20,0.930524
N5K,Y+X2,2,21,0.931741
N5K,Y+X2,2,22,0.930522
N5K,Y+X2,2,23,0.927035
N5K,Y+X2,2,24,0.930450
N5K,Y+X2,2,25,0.930581
N5K,Y+X2,2,26,0.949688
N5K,Y+X2,2,27,0.947513
N5K,Y+X2,2,28,0.932112
N5K,Y+X2,2,29,0.943317
N5K,Y+X2,2,30,0.924470
N5K,Y+X2,2,31,0.943957
N5K,Y+X2,2,32,0.944793
N5K,Y+X2,2,33,0.955677
N5K,Y+X2,2,34,0.945361
N5K,Y+X2,2,35,0.944809
N5K,Y+X2,2,36,0.949468
N5K,Y+X2,2,37,0.957344
N5K,Y+X2,2,38,0.959245
N5K,Y+X2,2,39,0.956479
N5K,Y+X2,2,40,0.953858
N5K,Y+X2,2,41,0.953146
N5K,Y+X2,2,42,0.947460
N5K,Y+X2,2,43,0.948755
N5K,Y+X2,2,44,0.942601
N5K,Y+X2,2,45,0.948449
N5K,Y+X2,2,46,0.953449
N5K,Y+X2,2,47,0.956705
N5K,Y+X2,2,48,0.954611
N5K,Y+X2,2,49,0.960157
N5K,Y+X2,2,50,0.960843
N5K,Y+X2,2,51,0.958566
N5K,Y+X2,2,52,0.964882
N5K,Y+X2,2,53,0.960550
N5K,Y+X2,2,54,0.967793
N5K,Y+X2,2,55,0.968231
N5K,Y+X2,2,56,0.967964
N5K,Y+X2,2,57,0.964364
N5K,Y+X2,2,58,0.968935
N5K,Y+X2,2,59,0.964856
N5K,Y+X2,2,60,0.969180
N5K,Y+X2,3,0,0.921055
N5K,Y+X2,3,1,0.927477
N5K,Y+X2,3,2,0.925658
N5K,Y+X2,3,3,0.932898
N5K,Y+X2,3,4,0.933142
N5K,Y+X2,3,5,0.933818
N5K,Y+X2,3,6,0.941682
N5K,Y+X2,3,7,0.952474
N5K,Y+X2,3,8,0.931953
N5K,Y+X2,3,9,0.931683
N5K,Y+X2,3,10,0.932038
N5K,Y+X2,3,11,0.929274
N5K,Y+X2,3,12,0.927374
N5K,Y+X2,3,13,0.931327
N5K,Y+X2,3,14,0.918393
N5K,Y+X2,3,15,0.923449
N5K,Y+X2,3,16,0.918330
N5K,Y+X2,3,17,0.955586
N5K,Y+X2,3,18,0.951373
N5K,Y+X2,3,19,0.960037
N5K,Y+X2,3,20,0.959981
N5K,Y+X2,3,21,0.962129
N5K,Y+X2,3,22,0.962908
N5K,Y+X2,3,23,0.961028
N5K,Y+X2,3,24,0.964195
N5K,Y+X2,3,25,0.960129
N5K,Y+X2,3,26,0.955475
N5K,Y+X2,3,27,0.955328
N5K,Y+X2,3,28,0.962985
N5K,Y+X2,3,29,0.954936
N5K,Y+X2,3,30,0.955879
N5K,Y+X2,3,31,0.955494
N5K,Y+X2,3,32,0.942191
N5K,Y+X2,3,33,0.918980
N5K,Y+X2,3,34,0.936354
N5K,Y+X2,3,35,0.941071
N5K,Y+X2,3,36,0.921480
N5K,Y+X2,3,37,0.927537
N5K,Y+X2,3,38,0.938734
N5K,Y+X2,3,39,0.924278
N5K,Y+X2,3,40,0.933310
N5K,Y+X2,3,41,0.933985
N5K,Y+X2,3,42,0.920627
N5K,Y+X2,3,43,0.921584
N5K,Y+X2,3,44,0.930180
N5K,Y+X2,3,45,0.924263
N5K,Y+X2,3,46,0.922682
N5K,Y+X2,3,47,0.937515
N5K,Y+X2,3,48,0.929045
N5K,Y+X2,3,49,0.925390
N5K,Y+X2,3,50,0.930919
N5K,Y+X2,3,51,0.922947
N5K,Y+X2,3,52,0.934162
N5K,Y+X2,3,53,0.936346
N5K,Y+X2,3,54,0.936162
N5K,Y+X2,3,55,0.934893
N5K,Y+X2,3,56,0.937376
N5K,Y+X2,3,57,0.939404
N5K,Y+X2,3,58,0.933321
N5K,Y+X2,3,59,0.928469
N5K,Y+X2,3,60,0.932492
N5K,Y+X2,3,61,0.927654
N5K,Y+X2,3,62,0.933854
N5K,Y+X2,4,0,0.889123
N5K,Y+X2,4,1,0.862698
N5K,Y+X2,4,2,0.890769
N5K,Y+X2,4,3,0.895617
N5K,Y+X2,4,4,0.884235
N5K,Y+X2,4,5,0.886473
N5K,Y+X2,4,6,0.899648
N5K,Y+X2,4,7,0.893636
N5K,Y+X2,4,8,0.903730
N5K,Y+X2,4,9,0.912426
N5K,Y+X2,4,10,0.909217
N5K,Y+X2,4,11,0.936891
N5K,Y+X2,4,12,0.930233
N5K,Y+X2,4,13,0.935695
N5K,Y+X2,4,14,0.938967
N5K,Y+X2,4,15,0.935046
N5K,Y+X2,4,16,0.930241
N5K,Y+X2,4,17,0.900878
N5K,Y+X2,4,18,0.900588
N5K,Y+X2,4,19,0.901741
N5K,Y+X2,4,20,0.894230
N5K,Y+X2,4,21,0.891245
N5K,Y+X2,4,22,0.900404
N5K,Y+X2,4,23,0.908489
N5K,Y+X2,4,24,0.910461
N5K,Y+X2,4,25,0.906247
N5K,Y+X2,4,26,0.910745
N5K,Y+X2,4,27,0.906039
N5K,Y+X2,4,28,0.890821
N5K,Y+X2,4,29,0.899176
N5K,Y+X2,4,30,0.901959
N5K,Y+X2,4,31,0.886123
N5K,Y+X2,4,32,0.924180
N5K,Y+X2,4,33,0.940588
N5K,Y+X2,4,34,0.926197
N5K,Y+X2,4,35,0.933147
N5K,Y+X2,4,36,0.924510
N5K,Y+X2,4,37,0.933134
N5K,Y+X2,4,38,0.940041
N5K,Y+X2,4,39,0.935723
N5K,Y+X2,4,40,0.943473
N5K,Y+X2,4,41,0.952822
N5K,Y+X2,4,42,0.954018
