partition,method,scene,frame,iou
N5K,Y+X2_M3_r2,1,0,0.685263
N5K,Y+X2_M3_r2,1,1,0.695420
N5K,Y+X2_M3_r2,1,2,0.703144
N5K,Y+X2_M3_r2,1,3,0.712596
N5K,Y+X2_M3_r2,1,4,0.719445
N5K,Y+X2_M3_r2,1,5,0.739569
N5K,Y+X2_M3_r2,1,6,0.719188
N5K,Y+X2_M3_r2,1,7,0.719236
N5K,Y+X2_M3_r2,1,8,0.712945
N5K,Y+X2_M3_r2,1,9,0.697382
N5K,Y+X2_M3_r2,1,10,0.714848
N5K,Y+X2_M3_r2,1,11,0.710867
N5K,Y+X2_M3_r2,1,12,0.693585
N5K,Y+X2_M3_r2,1,13,0.690905
N5K,Y+X2_M3_r2,1,14,0.679482
N5K,Y+X2_M3_r2,1,15,0.671081
N5K,Y+X2_M3_r2,1,16,0.687752
N5K,Y+X2_M3_r2,1,17,0.941717
N5K,Y+X2_M3_r2,1,18,0.938327
N5K,Y+X2_M3_r2,1,19,0.944598
N5K,Y+X2_M3_r2,1,20,0.945461
N5K,Y+X2_M3_r2,1,21,0.939705
N5K,Y+X2_M3_r2,1,22,0.943159
N5K,Y+X2_M3_r2,1,23,0.940307
N5K,Y+X2_M3_r2,1,24,0.933130
N5K,Y+X2_M3_r2,1,25,0.936025
N5K,Y+X2_M3_r2,1,26,0.927872
N5K,Y+X2_M3_r2,1,27,0.921826
N5K,Y+X2_M3_r2,1,28,0.928313
N5K,Y+X2_M3_r2,1,29,0.924648
N5K,Y+X2_M3_r2,1,30,0.915680
N5K,Y+X2_M3_r2,1,31,0.917031
N5K,Y+X2_M3_r2,1,32,0.931668
N5K,Y+X2_M3_r2,1,33,0.933579
N5K,Y+X2_M3_r2,1,34,0.929517
N5K,Y+X2_M3_r2,1,35,0.940152
N5K,Y+X2_M3_r2,1,36,0.930746
N5K,Y+X2_M3_r2,1,37,0.925185
N5K,Y+X2_M3_r2,1,38,0.924092
N5K,Y+X2_M3_r2,1,39,0.932979
N5K,Y+X2_M3_r2,1,40,0.932791
N5K,Y+X2_M3_r2,1,41,0.927507
N5K,Y+X2_M3_r2,1,42,0.936279
N5K,Y+X2_M3_r2,1,43,0.940738
N5K,Y+X2_M3_r2,1,44,0.934825
N5K,Y+X2_M3_r2,1,45,0.936303
N5K,Y+X2_M3_r2,1,46,0.937378
N5K,Y+X2_M3_r2,1,47,0.930963
N5K,Y+X2_M3_r2,1,48,0.930494
N5K,Y+X2_M3_r2,1,49,0.922668
N5K,Y+X2_M3_r2,1,50,0.936671
N5K,Y+X2_M3_r2,1,51,0.920365
N5K,Y+X2_M3_r2,1,52,0.930442
N5K,Y+X2_M3_r2,1,53,0.938640
N5K,Y+X2_M3_r2,1,54,0.929033
N5K,Y+X2_M3_r2,1,55,0.937919
N5K,Y+X2_M3_r2,1,56,0.937293
N5K,Y+X2_M3_r2,1,57,0.925239
N5K,Y+X2_M3_r2,1,58,0.921837
N5K,Y+X2_M3_r2,1,59,0.927633
N5K,Y+X2_M3_r2,1,60,0.932144
N5K,Y+X2_M3_r2,1,61,0.930072
N5K,Y+X2_M3_r2,1,62,0.932229
N5K,Y+X2_M3_r2,1,63,0.935650
N5K,Y+X2_M3_r2,10,0,0.762630
N5K,Y+X2_M3_r2,10,1,0.754307
N5K,Y+X2_M3_r2,10,2,0.752468
N5K,Y+X2_M3_r2,10,3,0.758455
N5K,Y+X2_M3_r2,10,4,0.707070
N5K,Y+X2_M3_r2,10,5,0.631341
N5K,Y+X2_M3_r2,10,6,0.567256
N5K,Y+X2_M3_r2,10,7,0.442989
N5K,Y+X2_M3_r2,10,8,0.442180
N5K,Y+X2_M3_r2,10,9,0.464199
N5K,Y+X2_M3_r2,10,10,0.434881
N5K,Y+X2_M3_r2,10,11,0.469617
N5K,Y+X2_M3_r2,10,12,0.454751
N5K,Y+X2_M3_r2,10,13,0.516444
N5K,Y+X2_M3_r2,10,14,0.509284
N5K,Y+X2_M3_r2,10,15,0.531252
N5K,Y+X2_M3_r2,10,16,0.518359
N5K,Y+X2_M3_r2,10,17,0.517371
N5K,Y+X2_M3_r2,10,18,0.511476
N5K,Y+X2_M3_r2,10,19,0.509118
N5K,Y+X2_M3_r2,10,20,0.519368
N5K,Y+X2_M3_r2,10,21,0.552330
N5K,Y+X2_M3_r2,10,22,0.566932
N5K,Y+X2_M3_r2,10,23,0.639905
N5K,Y+X2_M3_r2,10,24,0.654910
N5K,Y+X2_M3_r2,10,25,0.650494
N5K,Y+X2_M3_r2,10,26,0.618060
N5K,Y+X2_M3_r2,10,27,0.645926
N5K,Y+X2_M3_r2,10,28,0.636357
N5K,Y+X2_M3_r2,10,29,0.612708
N5K,Y+X2_M3_r2,10,30,0.621347
N5K,Y+X2_M3_r2,10,31,0.601433
N5K,Y+X2_M3_r2,10,32,0.611830
N5K,Y+X2_M3_r2,10,33,0.600558
N5K,Y+X2_M3_r2,10,34,0.607601
N5K,Y+X2_M3_r2,10,35,0.609297
N5K,Y+X2_M3_r2,10,36,0.609246
N5K,Y+X2_M3_r2,10,37,0.605851
N5K,Y+X2_M3_r2,10,38,0.598973
N5K,Y+X2_M3_r2,10,39,0.585608
N5K,Y+X2_M3_r2,10,40,0.566034
N5K,Y+X2_M3_r2,10,41,0.520340
N5K,Y+X2_M3_r2,10,42,0.511601
N5K,Y+X2_M3_r2,10,43,0.562243
N5K,Y+X2_M3_r2,10,44,0.589233
N5K,Y+X2_M3_r2,10,45,0.594862
N5K,Y+X2_M3_r2,10,46,0.585864
N5K,Y+X2_M3_r2,10,47,0.592611
N5K,Y+X2_M3_r2,10,48,0.604496
N5K,Y+X2_M3_r2,10,49,0.613618
N5K,Y+X2_M3_r2,10,50,0.615636
N5K,Y+X2_M3_r2,10,51,0.594397
N5K,Y+X2_M3_r2,10,52,0.613134
N5K,Y+X2_M3_r2,10,53,0.681253
N5K,Y+X2_M3_r2,10,54,0.700605
N5K,Y+X2_M3_r2,10,55,0.680324
N5K,Y+X2_M3_r2,10,56,0.677881
N5K,Y+X2_M3_r2,10,57,0.693010
N5K,Y+X2_M3_r2,2,0,0.946564
N5K,Y+X2_M3_r2,2,1,0.940337
N5K,Y+X2_M3_r2,2,2,0.943808
N5K,Y+X2_M3_r2,2,3,0.942729
N5K,Y+X2_M3_r2,2,4,0.947742
N5K,Y+X2_M3_r2,2,5,0.939512
N5K,Y+X2_M3_r2,2,6,0.948340
N5K,Y+X2_M3_r2,2,7,0.950069
N5K,Y+X2_M3_r2,2,8,0.954182
N5K,Y+X2_M3_r2,2,9,0.950957
N5K,Y+X2_M3_r2,2,10,0.961404
N5K,Y+X2_M3_r2,2,11,0.957781
N5K,Y+X2_M3_r2,2,12,0.955847
N5K,Y+X2_M3_r2,2,13,0.955753
N5K,Y+X2_M3_r2,2,14,0.951193
N5K,Y+X2_M3_r2,2,15,0.952486
N5K,Y+X2_M3_r2,2,16,0.940456
N5K,Y+X2_M3_r2,2,17,0.937342
N5K,Y+X2_M3_r2,2,18,0.951041
N5K,Y+X2_M3_r2,2,19,0.945677
N5K,Y+X2_M3_r2,2,20,0.942075
N5K,Y+X2_M3_r2,2,21,0.940471
N5K,Y+X2_M3_r2,2,22,0.943465
N5K,Y+X2_M3_r2,2,23,0.937378
N5K,Y+X2_M3_r2,2,24,0.942725
N5K,Y+X2_M3_r2,2,25,0.946854
N5K,Y+X2_M3_r2,2,26,0.952104
N5K,Y+X2_M3_r2,2,27,0.956882
N5K,Y+X2_M3_r2,2,28,0.947976
N5K,Y+X2_M3_r2,2,29,0.930664
N5K,Y+X2_M3_r2,2,30,0.942401
N5K,Y+X2_M3_r2,2,31,0.958389
N5K,Y+X2_M3_r2,2,32,0.959186
N5K,Y+X2_M3_r2,2,33,0.958738
N5K,Y+X2_M3_r2,2,34,0.958025
N5K,Y+X2_M3_r2,2,35,0.956860
N5K,Y+X2_M3_r2,2,36,0.956875
N5K,Y+X2_M3_r2,2,37,0.956448
N5K,Y+X2_M3_r2,2,38,0.958304
N5K,Y+X2_M3_r2,2,39,0.957189
N5K,Y+X2_M3_r2,2,40,0.956662
N5K,Y+X2_M3_r2,2,41,0.959443
N5K,Y+X2_M3_r2,2,42,0.959426
N5K,Y+X2_M3_r2,2,43,0.961445
N5K,Y+X2_M3_r2,2,44,0.956958
N5K,Y+X2_M3_r2,2,45,0.951426
N5K,Y+X2_M3_r2,2,46,0.956014
N5K,Y+X2_M3_r2,2,47,0.961015
N5K,Y+X2_M3_r2,2,48,0.959042
N5K,Y+X2_M3_r2,2,49,0.962432
N5K,Y+X2_M3_r2,2,50,0.961976
N5K,Y+X2_M3_r2,2,51,0.960529
N5K,Y+X2_M3_r2,2,52,0.965670
N5K,Y+X2_M3_r2,2,53,0.963664
N5K,Y+X2_M3_r2,2,54,0.967134
N5K,Y+X2_M3_r2,2,55,0.964816
N5K,Y+X2_M3_r2,2,56,0.965951
N5K,Y+X2_M3_r2,2,57,0.959971
N5K,Y+X2_M3_r2,2,58,0.946857
N5K,Y+X2_M3_r2,2,59,0.962804
N5K,Y+X2_M3_r2,2,60,0.964699
N5K,Y+X2_M3_r2,3,0,0.929876
N5K,Y+X2_M3_r2,3,1,0.928425
N5K,Y+X2_M3_r2,3,2,0.926909
N5K,Y+X2_M3_r2,3,3,0.932562
N5K,Y+X2_M3_r2,3,4,0.933003
N5K,Y+X2_M3_r2,3,5,0.931481
N5K,Y+X2_M3_r2,3,6,0.941014
N5K,Y+X2_M3_r2,3,7,0.945265
N5K,Y+X2_M3_r2,3,8,0.931854
N5K,Y+X2_M3_r2,3,9,0.927447
N5K,Y+X2_M3_r2,3,10,0.915549
N5K,Y+X2_M3_r2,3,11,0.911460
N5K,Y+X2_M3_r2,3,12,0.907562
N5K,Y+X2_M3_r2,3,13,0.904805
N5K,Y+X2_M3_r2,3,14,0.899569
N5K,Y+X2_M3_r2,3,15,0.901754
N5K,Y+X2_M3_r2,3,16,0.901502
N5K,Y+X2_M3_r2,3,17,0.950082
N5K,Y+X2_M3_r2,3,18,0.940059
N5K,Y+X2_M3_r2,3,19,0.938694
N5K,Y+X2_M3_r2,3,20,0.930232
N5K,Y+X2_M3_r2,3,21,0.942981
N5K,Y+X2_M3_r2,3,22,0.943196
N5K,Y+X2_M3_r2,3,23,0.949153
N5K,Y+X2_M3_r2,3,24,0.955156
N5K,Y+X2_M3_r2,3,25,0.952710
N5K,Y+X2_M3_r2,3,26,0.951758
N5K,Y+X2_M3_r2,3,27,0.948413
N5K,Y+X2_M3_r2,3,28,0.955074
N5K,Y+X2_M3_r2,3,29,0.941521
N5K,Y+X2_M3_r2,3,30,0.951121
N5K,Y+X2_M3_r2,3,31,0.935277
N5K,Y+X2_M3_r2,3,32,0.937692
N5K,Y+X2_M3_r2,3,33,0.919425
N5K,Y+X2_M3_r2,3,34,0.931795
N5K,Y+X2_M3_r2,3,35,0.929728
N5K,Y+X2_M3_r2,3,36,0.913068
N5K,Y+X2_M3_r2,3,37,0.928593
N5K,Y+X2_M3_r2,3,38,0.937588
N5K,Y+X2_M3_r2,3,39,0.927774
N5K,Y+X2_M3_r2,3,40,0.920682
N5K,Y+X2_M3_r2,3,41,0.920560
N5K,Y+X2_M3_r2,3,42,0.909415
N5K,Y+X2_M3_r2,3,43,0.909273
N5K,Y+X2_M3_r2,3,44,0.910277
N5K,Y+X2_M3_r2,3,45,0.911480
N5K,Y+X2_M3_r2,3,46,0.901973
N5K,Y+X2_M3_r2,3,47,0.909418
N5K,Y+X2_M3_r2,3,48,0.923166
N5K,Y+X2_M3_r2,3,49,0.919171
N5K,Y+X2_M3_r2,3,50,0.926489
N5K,Y+X2_M3_r2,3,51,0.914399
N5K,Y+X2_M3_r2,3,52,0.926886
N5K,Y+X2_M3_r2,3,53,0.923921
N5K,Y+X2_M3_r2,3,54,0.924724
N5K,Y+X2_M3_r2,3,55,0.927865
N5K,Y+X2_M3_r2,3,56,0.927545
N5K,Y+X2_M3_r2,3,57,0.934517
N5K,Y+X2_M3_r2,3,58,0.927387
N5K,Y+X2_M3_r2,3,59,0.911128
N5K,Y+X2_M3_r2,3,60,0.925218
N5K,Y+X2_M3_r2,3,61,0.920179
N5K,Y+X2_M3_r2,3,62,0.927330
N5K,Y+X2_M3_r2,4,0,0.808478
N5K,Y+X2_M3_r2,4,1,0.872008
N5K,Y+X2_M3_r2,4,2,0.910264
N5K,Y+X2_M3_r2,4,3,0.914100
N5K,Y+X2_M3_r2,4,4,0.897628
N5K,Y+X2_M3_r2,4,5,0.902491
N5K,Y+X2_M3_r2,4,6,0.915194
N5K,Y+X2_M3_r2,4,7,0.910367
N5K,Y+X2_M3_r2,4,8,0.917887
N5K,Y+X2_M3_r2,4,9,0.917736
N5K,Y+X2_M3_r2,4,10,0.926785
N5K,Y+X2_M3_r2,4,11,0.949636
N5K,Y+X2_M3_r2,4,12,0.939329
