partition,method,scene,frame,iou
N5K,Y+X2_M6,1,0,0.921086
N5K,Y+X2_M6,1,1,0.868503
N5K,Y+X2_M6,1,2,0.927610
N5K,Y+X2_M6,1,3,0.932433
N5K,Y+X2_M6,1,4,0.664596
N5K,Y+X2_M6,1,5,0.955060
N5K,Y+X2_M6,1,6,0.933485
N5K,Y+X2_M6,1,7,0.928666
N5K,Y+X2_M6,1,8,0.929250
N5K,Y+X2_M6,1,9,0.919076
N5K,Y+X2_M6,1,10,0.933350
N5K,Y+X2_M6,1,11,0.931537
N5K,Y+X2_M6,1,12,0.919939
N5K,Y+X2_M6,1,13,0.914771
N5K,Y+X2_M6,1,14,0.902262
N5K,Y+X2_M6,1,15,0.892272
N5K,Y+X2_M6,1,16,0.906914
N5K,Y+X2_M6,1,17,0.948993
N5K,Y+X2_M6,1,18,0.940427
N5K,Y+X2_M6,1,19,0.946701
N5K,Y+X2_M6,1,20,0.948771
N5K,Y+X2_M6,1,21,0.941939
N5K,Y+X2_M6,1,22,0.946336
N5K,Y+X2_M6,1,23,0.943634
N5K,Y+X2_M6,1,24,0.938041
N5K,Y+X2_M6,1,25,0.941773
N5K,Y+X2_M6,1,26,0.932015
N5K,Y+X2_M6,1,27,0.929743
N5K,Y+X2_M6,1,28,0.930239
N5K,Y+X2_M6,1,29,0.931194
N5K,Y+X2_M6,1,30,0.919922
N5K,Y+X2_M6,1,31,0.921497
N5K,Y+X2_M6,1,32,0.925744
N5K,Y+X2_M6,1,33,0.912572
N5K,Y+X2_M6,1,34,0.913914
N5K,Y+X2_M6,1,35,0.926260
N5K,Y+X2_M6,1,36,0.918805
N5K,Y+X2_M6,1,37,0.918963
N5K,Y+X2_M6,1,38,0.917487
N5K,Y+X2_M6,1,39,0.924915
N5K,Y+X2_M6,1,40,0.930439
N5K,Y+X2_M6,1,41,0.926398
N5K,Y+X2_M6,1,42,0.933406
N5K,Y+X2_M6,1,43,0.933130
N5K,Y+X2_M6,1,44,0.923125
N5K,Y+X2_M6,1,45,0.931117
N5K,Y+X2_M6,1,46,0.937577
N5K,Y+X2_M6,1,47,0.931218
N5K,Y+X2_M6,1,48,0.928605
N5K,Y+X2_M6,1,49,0.920946
N5K,Y+X2_M6,1,50,0.934028
N5K,Y+X2_M6,1,51,0.922790
N5K,Y+X2_M6,1,52,0.922388
N5K,Y+X2_M6,1,53,0.930409
N5K,Y+X2_M6,1,54,0.915132
N5K,Y+X2_M6,1,55,0.926041
N5K,Y+X2_M6,1,56,0.927143
N5K,Y+X2_M6,1,57,0.914918
N5K,Y+X2_M6,1,58,0.910691
N5K,Y+X2_M6,1,59,0.917158
N5K,Y+X2_M6,1,60,0.920457
N5K,Y+X2_M6,1,61,0.918289
N5K,Y+X2_M6,1,62,0.922637
N5K,Y+X2_M6,1,63,0.924096
N5K,Y+X2_M6,10,0,0.731217
N5K,Y+X2_M6,10,1,0.775437
N5K,Y+X2_M6,10,2,0.752468
N5K,Y+X2_M6,10,3,0.500740
N5K,Y+X2_M6,10,4,0.455777
N5K,Y+X2_M6,10,5,0.691924
N5K,Y+X2_M6,10,6,0.706394
N5K,Y+X2_M6,10,7,0.692042
N5K,Y+X2_M6,10,8,0.678934
N5K,Y+X2_M6,10,9,0.707232
N5K,Y+X2_M6,10,10,0.709269
N5K,Y+X2_M6,10,11,0.729984
N5K,Y+X2_M6,10,12,0.710371
N5K,Y+X2_M6,10,13,0.732107
N5K,Y+X2_M6,10,14,0.591780
N5K,Y+X2_M6,10,15,0.636150
N5K,Y+X2_M6,10,16,0.620112
N5K,Y+X2_M6,10,17,0.625079
N5K,Y+X2_M6,10,18,0.624375
N5K,Y+X2_M6,10,19,0.619538
N5K,Y+X2_M6,10,20,0.633878
N5K,Y+X2_M6,10,21,0.643244
N5K,Y+X2_M6,10,22,0.613248
N5K,Y+X2_M6,10,23,0.615338
N5K,Y+X2_M6,10,24,0.596210
N5K,Y+X2_M6,10,25,0.601000
N5K,Y+X2_M6,10,26,0.565227
N5K,Y+X2_M6,10,27,0.576313
N5K,Y+X2_M6,10,28,0.568571
N5K,Y+X2_M6,10,29,0.631788
N5K,Y+X2_M6,10,30,0.647973
N5K,Y+X2_M6,10,31,0.648653
N5K,Y+X2_M6,10,32,0.617723
N5K,Y+X2_M6,10,33,0.598449
N5K,Y+X2_M6,10,34,0.605029
N5K,Y+X2_M6,10,35,0.623972
N5K,Y+X2_M6,10,36,0.622704
N5K,Y+X2_M6,10,37,0.625008
N5K,Y+X2_M6,10,38,0.616511
N5K,Y+X2_M6,10,39,0.603479
N5K,Y+X2_M6,10,40,0.580114
N5K,Y+X2_M6,10,41,0.546553
N5K,Y+X2_M6,10,42,0.542918
N5K,Y+X2_M6,10,43,0.500890
N5K,Y+X2_M6,10,44,0.604746
N5K,Y+X2_M6,10,45,0.617599
N5K,Y+X2_M6,10,46,0.601377
N5K,Y+X2_M6,10,47,0.591087
N5K,Y+X2_M6,10,48,0.631832
N5K,Y+X2_M6,10,49,0.642693
N5K,Y+X2_M6,10,50,0.653465
N5K,Y+X2_M6,10,51,0.642677
N5K,Y+X2_M6,10,52,0.682596
N5K,Y+X2_M6,10,53,0.712539
N5K,Y+X2_M6,10,54,0.700981
N5K,Y+X2_M6,10,55,0.705671
N5K,Y+X2_M6,10,56,0.659302
N5K,Y+X2_M6,10,57,0.670122
N5K,Y+X2_M6,2,0,0.931829
N5K,Y+X2_M6,2,1,0.924214
N5K,Y+X2_M6,2,2,0.925521
N5K,Y+X2_M6,2,3,0.926276
N5K,Y+X2_M6,2,4,0.934997
N5K,Y+X2_M6,2,5,0.939512
N5K,Y+X2_M6,2,6,0.951512
N5K,Y+X2_M6,2,7,0.951945
N5K,Y+X2_M6,2,8,0.956634
N5K,Y+X2_M6,2,9,0.951683
N5K,Y+X2_M6,2,10,0.959396
N5K,Y+X2_M6,2,11,0.961001
N5K,Y+X2_M6,2,12,0.950785
N5K,Y+X2_M6,2,13,0.952824
N5K,Y+X2_M6,2,14,0.949031
N5K,Y+X2_M6,2,15,0.946119
N5K,Y+X2_M6,2,16,0.924413
N5K,Y+X2_M6,2,17,0.928569
N5K,Y+X2_M6,2,18,0.939280
N5K,Y+X2_M6,2,19,0.937692
N5K,Y+X2_M6,2,20,0.929940
N5K,Y+X2_M6,2,21,0.931702
N5K,Y+X2_M6,2,22,0.927346
N5K,Y+X2_M6,2,23,0.924315
N5K,Y+X2_M6,2,24,0.928274
N5K,Y+X2_M6,2,25,0.928216
N5K,Y+X2_M6,2,26,0.945935
N5K,Y+X2_M6,2,27,0.944065
N5K,Y+X2_M6,2,28,0.928838
N5K,Y+X2_M6,2,29,0.937339
N5K,Y+X2_M6,2,30,0.927548
N5K,Y+X2_M6,2,31,0.958063
N5K,Y+X2_M6,2,32,0.958344
