partition,method,scene,frame,iou
VF,FoodMem,1,0,0.984862
VF,FoodMem,1,1,0.987941
VF,FoodMem,1,2,0.988563
VF,FoodMem,1,3,0.990451
VF,FoodMem,1,4,0.988566
VF,FoodMem,1,5,0.987435
VF,FoodMem,1,6,0.989585
VF,FoodMem,1,7,0.987338
VF,FoodMem,1,8,0.986612
VF,FoodMem,1,9,0.988323
VF,FoodMem,1,10,0.986515
VF,FoodMem,1,11,0.989177
VF,FoodMem,1,12,0.988779
VF,FoodMem,1,13,0.988792
VF,FoodMem,1,14,0.989085
VF,FoodMem,1,15,0.989955
VF,FoodMem,1,16,0.987608
VF,FoodMem,1,17,0.985236
VF,FoodMem,1,18,0.989600
VF,FoodMem,1,19,0.984426
VF,FoodMem,1,20,0.987362
VF,FoodMem,1,21,0.986818
VF,FoodMem,1,22,0.984477
VF,FoodMem,1,23,0.983622
VF,FoodMem,1,24,0.985246
VF,FoodMem,1,25,0.988252
VF,FoodMem,1,26,0.987408
VF,FoodMem,1,27,0.986644
VF,FoodMem,1,28,0.990352
VF,FoodMem,1,29,0.989123
VF,FoodMem,1,30,0.989582
VF,FoodMem,1,31,0.985342
VF,FoodMem,1,32,0.987334
VF,FoodMem,1,33,0.986218
VF,FoodMem,1,34,0.988746
VF,FoodMem,1,35,0.990634
VF,FoodMem,1,36,0.990652
VF,FoodMem,1,37,0.990836
VF,FoodMem,1,38,0.991154
VF,FoodMem,1,39,0.990704
VF,FoodMem,1,40,0.989379
VF,FoodMem,1,41,0.987607
VF,FoodMem,1,42,0.989803
VF,FoodMem,1,43,0.988336
VF,FoodMem,1,44,0.989776
VF,FoodMem,1,45,0.985295
VF,FoodMem,1,46,0.985975
VF,FoodMem,1,47,0.984352
VF,FoodMem,1,48,0.985529
VF,FoodMem,1,49,0.989101
VF,FoodMem,1,50,0.988874
VF,FoodMem,1,51,0.987946
VF,FoodMem,1,52,0.986464
VF,FoodMem,1,53,0.988452
VF,FoodMem,1,54,0.986599
VF,FoodMem,1,55,0.986238
VF,FoodMem,1,56,0.988108
VF,FoodMem,1,57,0.986304
VF,FoodMem,1,58,0.986262
VF,FoodMem,1,59,0.986293
VF,FoodMem,1,60,0.987021
VF,FoodMem,1,61,0.982408
VF,FoodMem,1,62,0.981840
VF,FoodMem,1,63,0.987136
VF,FoodMem,1,64,0.985497
VF,FoodMem,1,65,0.986511
VF,FoodMem,1,66,0.989693
VF,FoodMem,1,67,0.990241
VF,FoodMem,1,68,0.989629
VF,FoodMem,1,69,0.989385
VF,FoodMem,1,70,0.990138
VF,FoodMem,1,71,0.989140
VF,FoodMem,1,72,0.990403
VF,FoodMem,1,73,0.991169
VF,FoodMem,1,74,0.990549
VF,FoodMem,1,75,0.989670
VF,FoodMem,1,76,0.985185
VF,FoodMem,1,77,0.986566
VF,FoodMem,1,78,0.991733
VF,FoodMem,1,79,0.990543
VF,FoodMem,1,80,0.989602
VF,FoodMem,1,81,0.988336
VF,FoodMem,1,82,0.981888
VF,FoodMem,1,83,0.979586
VF,FoodMem,1,84,0.980078
VF,FoodMem,1,85,0.980591
VF,FoodMem,1,86,0.979487
VF,FoodMem,1,87,0.978892
VF,FoodMem,1,88,0.975863
VF,FoodMem,1,89,0.972117
VF,FoodMem,1,90,0.971113
VF,FoodMem,1,91,0.962720
VF,FoodMem,1,92,0.970682
VF,FoodMem,1,93,0.964755
VF,FoodMem,1,94,0.974386
VF,FoodMem,1,95,0.972598
VF,FoodMem,1,96,0.977770
VF,FoodMem,1,97,0.979390
VF,FoodMem,1,98,0.980508
VF,FoodMem,1,99,0.979979
VF,FoodMem,1,100,0.981408
VF,FoodMem,1,101,0.972971
VF,FoodMem,1,102,0.978682
VF,FoodMem,1,103,0.974946
VF,FoodMem,1,104,0.973742
VF,FoodMem,1,105,0.977547
VF,FoodMem,1,106,0.978313
VF,FoodMem,1,107,0.980448
VF,FoodMem,1,108,0.975702
VF,FoodMem,1,109,0.973098
VF,FoodMem,1,110,0.974688
VF,FoodMem,1,111,0.967044
VF,FoodMem,1,112,0.972800
VF,FoodMem,1,113,0.972482
VF,FoodMem,1,114,0.974467
VF,FoodMem,1,115,0.975121
VF,FoodMem,1,116,0.973930
VF,FoodMem,1,117,0.975578
VF,FoodMem,1,118,0.981484
VF,FoodMem,1,119,0.980500
VF,FoodMem,1,120,0.977601
VF,FoodMem,1,121,0.977050
VF,FoodMem,1,122,0.977972
VF,FoodMem,1,123,0.971813
VF,FoodMem,1,124,0.968712
VF,FoodMem,1,125,0.977124
VF,FoodMem,1,126,0.975321
VF,FoodMem,1,127,0.972416
VF,FoodMem,1,128,0.978380
VF,FoodMem,1,129,0.978314
VF,FoodMem,1,130,0.973040
VF,FoodMem,1,131,0.976180
VF,FoodMem,1,132,0.970788
VF,FoodMem,1,133,0.976911
VF,FoodMem,1,134,0.980192
VF,FoodMem,1,135,0.976406
VF,FoodMem,1,136,0.976068
VF,FoodMem,1,137,0.975598
VF,FoodMem,1,138,0.977600
VF,FoodMem,1,139,0.979181
VF,FoodMem,1,140,0.978952
VF,FoodMem,1,141,0.982173
VF,FoodMem,1,142,0.970683
VF,FoodMem,1,143,0.970943
VF,FoodMem,1,144,0.971678
VF,FoodMem,1,145,0.971148
VF,FoodMem,1,146,0.975573
VF,FoodMem,1,147,0.973874
VF,FoodMem,1,148,0.974089
VF,FoodMem,1,149,0.974588
VF,FoodMem,1,150,0.967512
VF,FoodMem,1,151,0.973322
VF,FoodMem,1,152,0.964475
VF,FoodMem,1,153,0.970079
VF,FoodMem,1,154,0.980286
VF,FoodMem,1,155,0.975363
VF,FoodMem,1,156,0.977631
VF,FoodMem,1,157,0.975624
VF,FoodMem,1,158,0.973586
VF,FoodMem,1,159,0.983705
VF,FoodMem,1,160,0.978936
VF,FoodMem,1,161,0.971220
VF,FoodMem,1,162,0.978079
VF,FoodMem,1,163,0.977407
VF,FoodMem,1,164,0.966123
VF,FoodMem,1,165,0.973857
VF,FoodMem,1,166,0.975749
VF,FoodMem,1,167,0.974633
VF,FoodMem,1,168,0.978896
VF,FoodMem,1,169,0.979900
VF,FoodMem,1,170,0.971251
VF,FoodMem,1,171,0.976188
VF,FoodMem,10,0,0.947094
VF,FoodMem,10,1,0.948800
VF,FoodMem,10,2,0.940581
VF,FoodMem,10,3,0.949562
VF,FoodMem,10,4,0.943490
VF,FoodMem,10,5,0.949620
VF,FoodMem,10,6,0.937283
VF,FoodMem,10,7,0.925725
VF,FoodMem,10,8,0.949391
VF,FoodMem,10,9,0.944448
VF,FoodMem,10,10,0.934463
VF,FoodMem,10,11,0.949084
VF,FoodMem,10,12,0.937026
VF,FoodMem,10,13,0.934534
VF,FoodMem,10,14,0.933319
VF,FoodMem,10,15,0.949904
VF,FoodMem,10,16,0.927065
VF,FoodMem,10,17,0.952913
VF,FoodMem,10,18,0.935896
VF,FoodMem,10,19,0.938628
VF,FoodMem,10,20,0.931010
VF,FoodMem,10,21,0.931978
VF,FoodMem,10,22,0.946836
VF,FoodMem,10,23,0.925765
VF,FoodMem,10,24,0.916393
VF,FoodMem,10,25,0.914515
VF,FoodMem,10,26,0.936667
VF,FoodMem,10,27,0.943092
VF,FoodMem,10,28,0.949555
VF,FoodMem,10,29,0.942209
VF,FoodMem,10,30,0.965318
VF,FoodMem,10,31,0.962833
VF,FoodMem,10,32,0.956787
VF,FoodMem,10,33,0.963839
VF,FoodMem,10,34,0.939240
VF,FoodMem,10,35,0.957697
VF,FoodMem,10,36,0.961084
VF,FoodMem,10,37,0.962310
VF,FoodMem,10,38,0.970451
VF,FoodMem,10,39,0.957557
VF,FoodMem,10,40,0.927861
VF,FoodMem,10,41,0.923521
VF,FoodMem,10,42,0.934656
VF,FoodMem,10,43,0.950942
VF,FoodMem,10,44,0.949698
VF,FoodMem,10,45,0.934308
VF,FoodMem,10,46,0.942913
VF,FoodMem,10,47,0.962209
VF,FoodMem,10,48,0.926534
VF,FoodMem,10,49,0.930973
VF,FoodMem,10,50,0.936090
VF,FoodMem,10,51,0.967032
VF,FoodMem,10,52,0.981898
VF,FoodMem,10,53,0.943175
VF,FoodMem,10,54,0.929452
VF,FoodMem,10,55,0.957232
VF,FoodMem,10,56,0.949687
VF,FoodMem,10,57,0.960408
VF,FoodMem,10,58,0.944963
VF,FoodMem,10,59,0.925231
VF,FoodMem,10,60,0.946009
VF,FoodMem,10,61,0.951398
VF,FoodMem,10,62,0.945856
VF,FoodMem,10,63,0.945495
VF,FoodMem,10,64,0.948178
VF,FoodMem,10,65,0.925952
VF,FoodMem,10,66,0.906669
VF,FoodMem,10,67,0.929737
VF,FoodMem,10,68,0.937289
VF,FoodMem,10,69,0.933918
VF,FoodMem,10,70,0.957842
