partition,method,scene,frame,iou
VF,FoodMem_mem40,1,0,0.984862
VF,FoodMem_mem40,1,1,0.987941
VF,FoodMem_mem40,1,2,0.988563
VF,FoodMem_mem40,1,3,0.990451
VF,FoodMem_mem40,1,4,0.988566
VF,FoodMem_mem40,1,5,0.987435
VF,FoodMem_mem40,1,6,0.989585
VF,FoodMem_mem40,1,7,0.987338
VF,FoodMem_mem40,1,8,0.986612
VF,FoodMem_mem40,1,9,0.988323
VF,FoodMem_mem40,1,10,0.986515
VF,FoodMem_mem40,1,11,0.989177
VF,FoodMem_mem40,1,12,0.988779
VF,FoodMem_mem40,1,13,0.988792
VF,FoodMem_mem40,1,14,0.989085
VF,FoodMem_mem40,1,15,0.989955
VF,FoodMem_mem40,1,16,0.987608
VF,FoodMem_mem40,1,17,0.985236
VF,FoodMem_mem40,1,18,0.989600
VF,FoodMem_mem40,1,19,0.984426
VF,FoodMem_mem40,1,20,0.987362
VF,FoodMem_mem40,1,21,0.986818
VF,FoodMem_mem40,1,22,0.984477
VF,FoodMem_mem40,1,23,0.983622
VF,FoodMem_mem40,1,24,0.985246
VF,FoodMem_mem40,1,25,0.988252
VF,FoodMem_mem40,1,26,0.987408
VF,FoodMem_mem40,1,27,0.986644
VF,FoodMem_mem40,1,28,0.990352
VF,FoodMem_mem40,1,29,0.989123
VF,FoodMem_mem40,1,30,0.989582
VF,FoodMem_mem40,1,31,0.985342
VF,FoodMem_mem40,1,32,0.987334
VF,FoodMem_mem40,1,33,0.986218
VF,FoodMem_mem40,1,34,0.988746
VF,FoodMem_mem40,1,35,0.990634
VF,FoodMem_mem40,1,36,0.990652
VF,FoodMem_mem40,1,37,0.990836
VF,FoodMem_mem40,1,38,0.991154
VF,FoodMem_mem40,1,39,0.990704
VF,FoodMem_mem40,1,40,0.989379
VF,FoodMem_mem40,1,41,0.987607
VF,FoodMem_mem40,1,42,0.989803
VF,FoodMem_mem40,1,43,0.988336
VF,FoodMem_mem40,1,44,0.989776
VF,FoodMem_mem40,1,45,0.985295
VF,FoodMem_mem40,1,46,0.985975
VF,FoodMem_mem40,1,47,0.984352
VF,FoodMem_mem40,1,48,0.985529
VF,FoodMem_mem40,1,49,0.989101
VF,FoodMem_mem40,1,50,0.988874
VF,FoodMem_mem40,1,51,0.987946
VF,FoodMem_mem40,1,52,0.986464
VF,FoodMem_mem40,1,53,0.988452
VF,FoodMem_mem40,1,54,0.986599
VF,FoodMem_mem40,1,55,0.986238
VF,FoodMem_mem40,1,56,0.988108
VF,FoodMem_mem40,1,57,0.986304
VF,FoodMem_mem40,1,58,0.986262
VF,FoodMem_mem40,1,59,0.986293
VF,FoodMem_mem40,1,60,0.987021
VF,FoodMem_mem40,1,61,0.982408
VF,FoodMem_mem40,1,62,0.981840
VF,FoodMem_mem40,1,63,0.987136
VF,FoodMem_mem40,1,64,0.985497
VF,FoodMem_mem40,1,65,0.986511
VF,FoodMem_mem40,1,66,0.989693
VF,FoodMem_mem40,1,67,0.990241
VF,FoodMem_mem40,1,68,0.989629
VF,FoodMem_mem40,1,69,0.989385
VF,FoodMem_mem40,1,70,0.990138
VF,FoodMem_mem40,1,71,0.989140
VF,FoodMem_mem40,1,72,0.990403
VF,FoodMem_mem40,1,73,0.991169
VF,FoodMem_mem40,1,74,0.990549
VF,FoodMem_mem40,1,75,0.989670
VF,FoodMem_mem40,1,76,0.985185
VF,FoodMem_mem40,1,77,0.986566
VF,FoodMem_mem40,1,78,0.991733
VF,FoodMem_mem40,1,79,0.990543
VF,FoodMem_mem40,1,80,0.989602
VF,FoodMem_mem40,1,81,0.988336
VF,FoodMem_mem40,1,82,0.981888
VF,FoodMem_mem40,1,83,0.979586
VF,FoodMem_mem40,1,84,0.980078
VF,FoodMem_mem40,1,85,0.980591
VF,FoodMem_mem40,1,86,0.979487
VF,FoodMem_mem40,1,87,0.978892
VF,FoodMem_mem40,1,88,0.975863
VF,FoodMem_mem40,1,89,0.972117
VF,FoodMem_mem40,1,90,0.971113
VF,FoodMem_mem40,1,91,0.962720
VF,FoodMem_mem40,1,92,0.970682
VF,FoodMem_mem40,1,93,0.964755
VF,FoodMem_mem40,1,94,0.974386
VF,FoodMem_mem40,1,95,0.972598
VF,FoodMem_mem40,1,96,0.977770
VF,FoodMem_mem40,1,97,0.979390
VF,FoodMem_mem40,1,98,0.980508
VF,FoodMem_mem40,1,99,0.979979
VF,FoodMem_mem40,1,100,0.981408
VF,FoodMem_mem40,1,101,0.974307
VF,FoodMem_mem40,1,102,0.980548
VF,FoodMem_mem40,1,103,0.976474
VF,FoodMem_mem40,1,104,0.975776
VF,FoodMem_mem40,1,105,0.978420
VF,FoodMem_mem40,1,106,0.978364
VF,FoodMem_mem40,1,107,0.980671
VF,FoodMem_mem40,1,108,0.977028
VF,FoodMem_mem40,1,109,0.974323
VF,FoodMem_mem40,1,110,0.975560
VF,FoodMem_mem40,1,111,0.969030
VF,FoodMem_mem40,1,112,0.973869
VF,FoodMem_mem40,1,113,0.973470
VF,FoodMem_mem40,1,114,0.976698
VF,FoodMem_mem40,1,115,0.975617
VF,FoodMem_mem40,1,116,0.974847
VF,FoodMem_mem40,1,117,0.976231
VF,FoodMem_mem40,1,118,0.980840
VF,FoodMem_mem40,1,119,0.979418
VF,FoodMem_mem40,1,120,0.977597
VF,FoodMem_mem40,1,121,0.977785
VF,FoodMem_mem40,1,122,0.977970
VF,FoodMem_mem40,1,123,0.971588
VF,FoodMem_mem40,1,124,0.969570
VF,FoodMem_mem40,1,125,0.977866
VF,FoodMem_mem40,1,126,0.976791
VF,FoodMem_mem40,1,127,0.973484
VF,FoodMem_mem40,1,128,0.978111
VF,FoodMem_mem40,1,129,0.979099
VF,FoodMem_mem40,1,130,0.973801
VF,FoodMem_mem40,1,131,0.977027
VF,FoodMem_mem40,1,132,0.971537
VF,FoodMem_mem40,1,133,0.977495
VF,FoodMem_mem40,1,134,0.980891
VF,FoodMem_mem40,1,135,0.977372
VF,FoodMem_mem40,1,136,0.977006
VF,FoodMem_mem40,1,137,0.977112
VF,FoodMem_mem40,1,138,0.978805
VF,FoodMem_mem40,1,139,0.979822
VF,FoodMem_mem40,1,140,0.979526
VF,FoodMem_mem40,1,141,0.981465
VF,FoodMem_mem40,1,142,0.971751
VF,FoodMem_mem40,1,143,0.971915
VF,FoodMem_mem40,1,144,0.973013
VF,FoodMem_mem40,1,145,0.972116
VF,FoodMem_mem40,1,146,0.975387
VF,FoodMem_mem40,1,147,0.974890
VF,FoodMem_mem40,1,148,0.974836
VF,FoodMem_mem40,1,149,0.974873
VF,FoodMem_mem40,1,150,0.968195
VF,FoodMem_mem40,1,151,0.974483
VF,FoodMem_mem40,1,152,0.966183
VF,FoodMem_mem40,1,153,0.971849
VF,FoodMem_mem40,1,154,0.980893
VF,FoodMem_mem40,1,155,0.977011
VF,FoodMem_mem40,1,156,0.978854
VF,FoodMem_mem40,1,157,0.976622
VF,FoodMem_mem40,1,158,0.976755
VF,FoodMem_mem40,1,159,0.983681
VF,FoodMem_mem40,1,160,0.979279
VF,FoodMem_mem40,1,161,0.974688
VF,FoodMem_mem40,1,162,0.977998
VF,FoodMem_mem40,1,163,0.978128
VF,FoodMem_mem40,1,164,0.967598
VF,FoodMem_mem40,1,165,0.974688
VF,FoodMem_mem40,1,166,0.977722
VF,FoodMem_mem40,1,167,0.975749
VF,FoodMem_mem40,1,168,0.979740
VF,FoodMem_mem40,1,169,0.979979
VF,FoodMem_mem40,1,170,0.972758
VF,FoodMem_mem40,1,171,0.978046
VF,FoodMem_mem40,10,0,0.947094
VF,FoodMem_mem40,10,1,0.948800
VF,FoodMem_mem40,10,2,0.940581
VF,FoodMem_mem40,10,3,0.949562
VF,FoodMem_mem40,10,4,0.943490
VF,FoodMem_mem40,10,5,0.949620
