partition,method,scene,frame,iou
VF,S+X2,1,0,0.763635
VF,S+X2,1,1,0.746861
VF,S+X2,1,2,0.714468
VF,S+X2,1,3,0.747569
VF,S+X2,1,4,0.744088
VF,S+X2,1,5,0.752722
VF,S+X2,1,6,0.721106
VF,S+X2,1,7,0.752825
VF,S+X2,1,8,0.734980
VF,S+X2,1,9,0.743733
VF,S+X2,1,10,0.722694
VF,S+X2,1,11,0.757736
VF,S+X2,1,12,0.777019
VF,S+X2,1,13,0.745332
VF,S+X2,1,14,0.707831
VF,S+X2,1,15,0.775372
VF,S+X2,1,16,0.772153
VF,S+X2,1,17,0.739540
VF,S+X2,1,18,0.705665
VF,S+X2,1,19,0.780687
VF,S+X2,1,20,0.799482
VF,S+X2,1,21,0.896658
VF,S+X2,1,22,0.844425
VF,S+X2,1,23,0.750005
VF,S+X2,1,24,0.732549
VF,S+X2,1,25,0.756752
VF,S+X2,1,26,0.689435
VF,S+X2,1,27,0.713469
VF,S+X2,1,28,0.761309
VF,S+X2,1,29,0.781046
VF,S+X2,1,30,0.786480
VF,S+X2,1,31,0.777418
VF,S+X2,1,32,0.792432
VF,S+X2,1,33,0.779413
VF,S+X2,1,34,0.793801
VF,S+X2,1,35,0.797813
VF,S+X2,1,36,0.803750
VF,S+X2,1,37,0.817962
VF,S+X2,1,38,0.816767
VF,S+X2,1,39,0.846734
VF,S+X2,1,40,0.769408
VF,S+X2,1,41,0.723832
VF,S+X2,1,42,0.759978
VF,S+X2,1,43,0.760613
VF,S+X2,1,44,0.758963
VF,S+X2,1,45,0.840952
VF,S+X2,1,46,0.838893
VF,S+X2,1,47,0.814617
VF,S+X2,1,48,0.804060
VF,S+X2,1,49,0.792583
VF,S+X2,1,50,0.808000
VF,S+X2,1,51,0.805121
VF,S+X2,1,52,0.822350
VF,S+X2,1,53,0.833929
VF,S+X2,1,54,0.831908
VF,S+X2,1,55,0.843540
VF,S+X2,1,56,0.828234
VF,S+X2,1,57,0.841696
VF,S+X2,1,58,0.857363
VF,S+X2,1,59,0.927452
VF,S+X2,1,60,0.930537
VF,S+X2,1,61,0.914413
VF,S+X2,1,62,0.914013
VF,S+X2,1,63,0.810002
VF,S+X2,1,64,0.806846
VF,S+X2,1,65,0.774245
VF,S+X2,1,66,0.781425
VF,S+X2,1,67,0.767827
VF,S+X2,1,68,0.763230
VF,S+X2,1,69,0.761588
VF,S+X2,1,70,0.739838
VF,S+X2,1,71,0.733449
VF,S+X2,1,72,0.766557
VF,S+X2,1,73,0.830414
VF,S+X2,1,74,0.847873
VF,S+X2,1,75,0.799357
VF,S+X2,1,76,0.761185
VF,S+X2,1,77,0.807900
VF,S+X2,1,78,0.873230
VF,S+X2,1,79,0.881874
VF,S+X2,1,80,0.777512
VF,S+X2,1,81,0.767652
VF,S+X2,1,82,0.902649
VF,S+X2,1,83,0.888687
VF,S+X2,1,84,0.904047
VF,S+X2,1,85,0.889870
VF,S+X2,1,86,0.866690
VF,S+X2,1,87,0.897584
VF,S+X2,1,88,0.953163
VF,S+X2,1,89,0.954532
VF,S+X2,1,90,0.944169
VF,S+X2,1,91,0.948993
VF,S+X2,1,92,0.949613
VF,S+X2,1,93,0.918435
VF,S+X2,1,94,0.942123
VF,S+X2,1,95,0.931503
VF,S+X2,1,96,0.942269
VF,S+X2,1,97,0.972270
VF,S+X2,1,98,0.942896
VF,S+X2,1,99,0.947040
VF,S+X2,1,100,0.966841
VF,S+X2,1,101,0.956393
VF,S+X2,1,102,0.957688
VF,S+X2,1,103,0.956531
VF,S+X2,1,104,0.961916
VF,S+X2,1,105,0.963344
VF,S+X2,1,106,0.962623
VF,S+X2,1,107,0.967124
VF,S+X2,1,108,0.962099
VF,S+X2,1,109,0.958584
VF,S+X2,1,110,0.960618
VF,S+X2,1,111,0.942468
VF,S+X2,1,112,0.960558
VF,S+X2,1,113,0.956522
VF,S+X2,1,114,0.964154
VF,S+X2,1,115,0.965271
VF,S+X2,1,116,0.957723
VF,S+X2,1,117,0.965482
VF,S+X2,1,118,0.963547
VF,S+X2,1,119,0.967225
VF,S+X2,1,120,0.965088
VF,S+X2,1,121,0.955197
VF,S+X2,1,122,0.953332
VF,S+X2,1,123,0.946772
VF,S+X2,1,124,0.942080
VF,S+X2,1,125,0.952030
VF,S+X2,1,126,0.952235
VF,S+X2,1,127,0.948126
VF,S+X2,1,128,0.950123
VF,S+X2,1,129,0.952327
VF,S+X2,1,130,0.946401
VF,S+X2,1,131,0.941609
VF,S+X2,1,132,0.942854
VF,S+X2,1,133,0.949736
VF,S+X2,1,134,0.953676
VF,S+X2,1,135,0.946356
VF,S+X2,1,136,0.949680
VF,S+X2,1,137,0.946879
VF,S+X2,1,138,0.944500
VF,S+X2,1,139,0.939117
VF,S+X2,1,140,0.954722
VF,S+X2,1,141,0.946536
VF,S+X2,1,142,0.935907
VF,S+X2,1,143,0.940176
VF,S+X2,1,144,0.942246
VF,S+X2,1,145,0.943680
VF,S+X2,1,146,0.957517
VF,S+X2,1,147,0.952395
VF,S+X2,1,148,0.951690
VF,S+X2,1,149,0.942895
VF,S+X2,1,150,0.945848
VF,S+X2,1,151,0.935694
VF,S+X2,1,152,0.933062
VF,S+X2,1,153,0.934423
VF,S+X2,1,154,0.945303
VF,S+X2,1,155,0.942436
VF,S+X2,1,156,0.942368
VF,S+X2,1,157,0.942697
VF,S+X2,1,158,0.937360
VF,S+X2,1,159,0.954033
VF,S+X2,1,160,0.946847
VF,S+X2,1,161,0.937114
VF,S+X2,1,162,0.938128
VF,S+X2,1,163,0.925620
VF,S+X2,1,164,0.916056
VF,S+X2,1,165,0.932124
VF,S+X2,1,166,0.932723
VF,S+X2,1,167,0.932710
VF,S+X2,1,168,0.935796
VF,S+X2,1,169,0.936977
VF,S+X2,1,170,0.931939
VF,S+X2,1,171,0.938886
VF,S+X2,10,0,0.914105
