partition,method,scene,frame,iou
VF,S+X2_M6,1,0,0.763635
VF,S+X2_M6,1,1,0.461183
VF,S+X2_M6,1,2,0.621100
VF,S+X2_M6,1,3,0.689158
VF,S+X2_M6,1,4,0.723798
VF,S+X2_M6,1,5,0.193799
VF,S+X2_M6,1,6,0.647512
VF,S+X2_M6,1,7,0.649385
VF,S+X2_M6,1,8,0.631267
VF,S+X2_M6,1,9,0.638271
VF,S+X2_M6,1,10,0.597315
VF,S+X2_M6,1,11,0.583308
VF,S+X2_M6,1,12,0.613149
VF,S+X2_M6,1,13,0.591214
VF,S+X2_M6,1,14,0.530068
VF,S+X2_M6,1,15,0.643828
VF,S+X2_M6,1,16,0.657476
VF,S+X2_M6,1,17,0.613099
VF,S+X2_M6,1,18,0.543682
VF,S+X2_M6,1,19,0.468131
VF,S+X2_M6,1,20,0.541334
VF,S+X2_M6,1,21,0.571471
VF,S+X2_M6,1,22,0.565383
VF,S+X2_M6,1,23,0.558871
VF,S+X2_M6,1,24,0.577729
VF,S+X2_M6,1,25,0.614213
VF,S+X2_M6,1,26,0.508293
VF,S+X2_M6,1,27,0.501938
VF,S+X2_M6,1,28,0.645831
VF,S+X2_M6,1,29,0.663700
VF,S+X2_M6,1,30,0.672499
VF,S+X2_M6,1,31,0.658314
VF,S+X2_M6,1,32,0.669693
VF,S+X2_M6,1,33,0.638507
VF,S+X2_M6,1,34,0.684184
VF,S+X2_M6,1,35,0.679849
VF,S+X2_M6,1,36,0.656303
VF,S+X2_M6,1,37,0.612976
VF,S+X2_M6,1,38,0.554649
VF,S+X2_M6,1,39,0.594711
VF,S+X2_M6,1,40,0.621672
VF,S+X2_M6,1,41,0.569593
VF,S+X2_M6,1,42,0.617712
VF,S+X2_M6,1,43,0.575925
VF,S+X2_M6,1,44,0.606538
VF,S+X2_M6,1,45,0.622582
VF,S+X2_M6,1,46,0.623100
VF,S+X2_M6,1,47,0.605737
VF,S+X2_M6,1,48,0.626072
VF,S+X2_M6,1,49,0.606154
VF,S+X2_M6,1,50,0.581667
VF,S+X2_M6,1,51,0.612792
VF,S+X2_M6,1,52,0.660177
VF,S+X2_M6,1,53,0.674140
VF,S+X2_M6,1,54,0.657980
VF,S+X2_M6,1,55,0.638648
VF,S+X2_M6,1,56,0.645157
VF,S+X2_M6,1,57,0.597661
VF,S+X2_M6,1,58,0.560350
VF,S+X2_M6,1,59,0.567221
VF,S+X2_M6,1,60,0.627174
VF,S+X2_M6,1,61,0.619418
VF,S+X2_M6,1,62,0.595203
VF,S+X2_M6,1,63,0.592244
VF,S+X2_M6,1,64,0.616177
VF,S+X2_M6,1,65,0.633280
VF,S+X2_M6,1,66,0.662642
VF,S+X2_M6,1,67,0.673583
VF,S+X2_M6,1,68,0.669826
VF,S+X2_M6,1,69,0.649841
