partition,method,scene,frame,iou
VF,S+X2_M6_r2,1,0,0.763635
VF,S+X2_M6_r2,1,1,0.461183
VF,S+X2_M6_r2,1,2,0.485796
VF,S+X2_M6_r2,1,3,0.689158
VF,S+X2_M6_r2,1,4,0.707434
VF,S+X2_M6_r2,1,5,0.721638
VF,S+X2_M6_r2,1,6,0.632527
VF,S+X2_M6_r2,1,7,0.653146
VF,S+X2_M6_r2,1,8,0.649686
VF,S+X2_M6_r2,1,9,0.648910
VF,S+X2_M6_r2,1,10,0.644916
VF,S+X2_M6_r2,1,11,0.669525
VF,S+X2_M6_r2,1,12,0.718949
VF,S+X2_M6_r2,1,13,0.700546
VF,S+X2_M6_r2,1,14,0.671739
VF,S+X2_M6_r2,1,15,0.802803
VF,S+X2_M6_r2,1,16,0.789047
VF,S+X2_M6_r2,1,17,0.743337
VF,S+X2_M6_r2,1,18,0.634654
VF,S+X2_M6_r2,1,19,0.536733
VF,S+X2_M6_r2,1,20,0.603238
VF,S+X2_M6_r2,1,21,0.595567
VF,S+X2_M6_r2,1,22,0.569353
VF,S+X2_M6_r2,1,23,0.549164
VF,S+X2_M6_r2,1,24,0.609088
VF,S+X2_M6_r2,1,25,0.649795
VF,S+X2_M6_r2,1,26,0.552442
VF,S+X2_M6_r2,1,27,0.436990
VF,S+X2_M6_r2,1,28,0.482784
VF,S+X2_M6_r2,1,29,0.685343
VF,S+X2_M6_r2,1,30,0.663137
VF,S+X2_M6_r2,1,31,0.672850
VF,S+X2_M6_r2,1,32,0.698697
VF,S+X2_M6_r2,1,33,0.658704
VF,S+X2_M6_r2,1,34,0.746460
VF,S+X2_M6_r2,1,35,0.757237
VF,S+X2_M6_r2,1,36,0.717672
VF,S+X2_M6_r2,1,37,0.661872
VF,S+X2_M6_r2,1,38,0.568705
VF,S+X2_M6_r2,1,39,0.658753
VF,S+X2_M6_r2,1,40,0.613378
VF,S+X2_M6_r2,1,41,0.587927
VF,S+X2_M6_r2,1,42,0.626448
VF,S+X2_M6_r2,1,43,0.582741
VF,S+X2_M6_r2,1,44,0.634914
VF,S+X2_M6_r2,1,45,0.706847
VF,S+X2_M6_r2,1,46,0.680805
VF,S+X2_M6_r2,1,47,0.665414
VF,S+X2_M6_r2,1,48,0.666761
VF,S+X2_M6_r2,1,49,0.650986
VF,S+X2_M6_r2,1,50,0.652820
VF,S+X2_M6_r2,1,51,0.683433
VF,S+X2_M6_r2,1,52,0.737324
VF,S+X2_M6_r2,1,53,0.791593
VF,S+X2_M6_r2,1,54,0.775427
VF,S+X2_M6_r2,1,55,0.778142
VF,S+X2_M6_r2,1,56,0.746882
VF,S+X2_M6_r2,1,57,0.679599
VF,S+X2_M6_r2,1,58,0.626751
VF,S+X2_M6_r2,1,59,0.627696
VF,S+X2_M6_r2,1,60,0.667372
VF,S+X2_M6_r2,1,61,0.571337
VF,S+X2_M6_r2,1,62,0.567822
VF,S+X2_M6_r2,1,63,0.605128
VF,S+X2_M6_r2,1,64,0.626533
VF,S+X2_M6_r2,1,65,0.625403
VF,S+X2_M6_r2,1,66,0.684271
VF,S+X2_M6_r2,1,67,0.376514
VF,S+X2_M6_r2,1,68,0.351614
VF,S+X2_M6_r2,1,69,0.416777
VF,S+X2_M6_r2,1,70,0.472276
VF,S+X2_M6_r2,1,71,0.577811
VF,S+X2_M6_r2,1,72,0.684538
VF,S+X2_M6_r2,1,73,0.740018
VF,S+X2_M6_r2,1,74,0.732060
VF,S+X2_M6_r2,1,75,0.707152
VF,S+X2_M6_r2,1,76,0.650982
VF,S+X2_M6_r2,1,77,0.731349
VF,S+X2_M6_r2,1,78,0.557393
VF,S+X2_M6_r2,1,79,0.671252
VF,S+X2_M6_r2,1,80,0.646193
VF,S+X2_M6_r2,1,81,0.663391
VF,S+X2_M6_r2,1,82,0.603613
VF,S+X2_M6_r2,1,83,0.514367
VF,S+X2_M6_r2,1,84,0.554287
VF,S+X2_M6_r2,1,85,0.534641
VF,S+X2_M6_r2,1,86,0.491136
VF,S+X2_M6_r2,1,87,0.518320
VF,S+X2_M6_r2,1,88,0.598161
VF,S+X2_M6_r2,1,89,0.786841
VF,S+X2_M6_r2,1,90,0.785371
VF,S+X2_M6_r2,1,91,0.556168
VF,S+X2_M6_r2,1,92,0.446232
VF,S+X2_M6_r2,1,93,0.533520
VF,S+X2_M6_r2,1,94,0.543541
VF,S+X2_M6_r2,1,95,0.587944
VF,S+X2_M6_r2,1,96,0.686145
VF,S+X2_M6_r2,1,97,0.687645
VF,S+X2_M6_r2,1,98,0.468518
VF,S+X2_M6_r2,1,99,0.533105
VF,S+X2_M6_r2,1,100,0.672412
VF,S+X2_M6_r2,1,101,0.753187
VF,S+X2_M6_r2,1,102,0.766379
VF,S+X2_M6_r2,1,103,0.829188
VF,S+X2_M6_r2,1,104,0.735436
VF,S+X2_M6_r2,1,105,0.658251
VF,S+X2_M6_r2,1,106,0.569118
VF,S+X2_M6_r2,1,107,0.681932
VF,S+X2_M6_r2,1,108,0.378901
VF,S+X2_M6_r2,1,109,0.454317
VF,S+X2_M6_r2,1,110,0.515202
VF,S+X2_M6_r2,1,111,0.579946
VF,S+X2_M6_r2,1,112,0.586695
VF,S+X2_M6_r2,1,113,0.599024
VF,S+X2_M6_r2,1,114,0.686997
VF,S+X2_M6_r2,1,115,0.674327
VF,S+X2_M6_r2,1,116,0.676283
VF,S+X2_M6_r2,1,117,0.410584
VF,S+X2_M6_r2,1,118,0.569616
VF,S+X2_M6_r2,1,119,0.715921
VF,S+X2_M6_r2,1,120,0.848182
VF,S+X2_M6_r2,1,121,0.860041
VF,S+X2_M6_r2,1,122,0.888996
VF,S+X2_M6_r2,1,123,0.927821
VF,S+X2_M6_r2,1,124,0.936533
VF,S+X2_M6_r2,1,125,0.877072
VF,S+X2_M6_r2,1,126,0.800821
VF,S+X2_M6_r2,1,127,0.812159
VF,S+X2_M6_r2,1,128,0.796839
VF,S+X2_M6_r2,1,129,0.862343
VF,S+X2_M6_r2,1,130,0.865316
VF,S+X2_M6_r2,1,131,0.910824
VF,S+X2_M6_r2,1,132,0.913290
VF,S+X2_M6_r2,1,133,0.910071
VF,S+X2_M6_r2,1,134,0.898533
VF,S+X2_M6_r2,1,135,0.924435
VF,S+X2_M6_r2,1,136,0.899960
VF,S+X2_M6_r2,1,137,0.891647
VF,S+X2_M6_r2,1,138,0.899780
VF,S+X2_M6_r2,1,139,0.955830
VF,S+X2_M6_r2,1,140,0.926745
VF,S+X2_M6_r2,1,141,0.931094
VF,S+X2_M6_r2,1,142,0.917904
VF,S+X2_M6_r2,1,143,0.924537
VF,S+X2_M6_r2,1,144,0.901221
VF,S+X2_M6_r2,1,145,0.924379
VF,S+X2_M6_r2,1,146,0.796002
VF,S+X2_M6_r2,1,147,0.839990
VF,S+X2_M6_r2,1,148,0.919448
VF,S+X2_M6_r2,1,149,0.961397
VF,S+X2_M6_r2,1,150,0.942440
VF,S+X2_M6_r2,1,151,0.931041
VF,S+X2_M6_r2,1,152,0.897172
VF,S+X2_M6_r2,1,153,0.885740
VF,S+X2_M6_r2,1,154,0.919685
VF,S+X2_M6_r2,1,155,0.950827
VF,S+X2_M6_r2,1,156,0.946835
VF,S+X2_M6_r2,1,157,0.823509
VF,S+X2_M6_r2,1,158,0.869018
VF,S+X2_M6_r2,1,159,0.890322
VF,S+X2_M6_r2,1,160,0.809130
VF,S+X2_M6_r2,1,161,0.631336
VF,S+X2_M6_r2,1,162,0.931425
VF,S+X2_M6_r2,1,163,0.946430
VF,S+X2_M6_r2,1,164,0.968117
VF,S+X2_M6_r2,1,165,0.895461
VF,S+X2_M6_r2,1,166,0.936887
VF,S+X2_M6_r2,1,167,0.942150
VF,S+X2_M6_r2,1,168,0.949339
VF,S+X2_M6_r2,1,169,0.954572
VF,S+X2_M6_r2,1,170,0.915327
VF,S+X2_M6_r2,1,171,0.962931
VF,S+X2_M6_r2,10,0,0.853526
VF,S+X2_M6_r2,10,1,0.759182
VF,S+X2_M6_r2,10,2,0.741590
VF,S+X2_M6_r2,10,3,0.757297
VF,S+X2_M6_r2,10,4,0.712806
VF,S+X2_M6_r2,10,5,0.810129
VF,S+X2_M6_r2,10,6,0.808666
VF,S+X2_M6_r2,10,7,0.799659
VF,S+X2_M6_r2,10,8,0.822818
VF,S+X2_M6_r2,10,9,0.885910
VF,S+X2_M6_r2,10,10,0.918421
VF,S+X2_M6_r2,10,11,0.921033
VF,S+X2_M6_r2,10,12,0.925527
VF,S+X2_M6_r2,10,13,0.921601
VF,S+X2_M6_r2,10,14,0.945312
VF,S+X2_M6_r2,10,15,0.935129
VF,S+X2_M6_r2,10,16,0.927307
VF,S+X2_M6_r2,10,17,0.919650
VF,S+X2_M6_r2,10,18,0.863750
VF,S+X2_M6_r2,10,19,0.908871
VF,S+X2_M6_r2,10,20,0.918710
VF,S+X2_M6_r2,10,21,0.923207
VF,S+X2_M6_r2,10,22,0.918710
VF,S+X2_M6_r2,10,23,0.919701
VF,S+X2_M6_r2,10,24,0.919469
VF,S+X2_M6_r2,10,25,0.904265
VF,S+X2_M6_r2,10,26,0.912682
VF,S+X2_M6_r2,10,27,0.888777
VF,S+X2_M6_r2,10,28,0.853655
VF,S+X2_M6_r2,10,29,0.802219
VF,S+X2_M6_r2,10,30,0.866979
VF,S+X2_M6_r2,10,31,0.896893
VF,S+X2_M6_r2,10,32,0.895635
VF,S+X2_M6_r2,10,33,0.910334
VF,S+X2_M6_r2,10,34,0.874296
VF,S+X2_M6_r2,10,35,0.920862
VF,S+X2_M6_r2,10,36,0.935908
VF,S+X2_M6_r2,10,37,0.943813
VF,S+X2_M6_r2,10,38,0.945763
VF,S+X2_M6_r2,10,39,0.945246
VF,S+X2_M6_r2,10,40,0.931560
VF,S+X2_M6_r2,10,41,0.916897
VF,S+X2_M6_r2,10,42,0.930717
VF,S+X2_M6_r2,10,43,0.931692
VF,S+X2_M6_r2,10,44,0.946543
VF,S+X2_M6_r2,10,45,0.933618
VF,S+X2_M6_r2,10,46,0.933723
VF,S+X2_M6_r2,10,47,0.920205
VF,S+X2_M6_r2,10,48,0.853198
VF,S+X2_M6_r2,10,49,0.883384
VF,S+X2_M6_r2,10,50,0.883973
VF,S+X2_M6_r2,10,51,0.862227
VF,S+X2_M6_r2,10,52,0.899246
VF,S+X2_M6_r2,10,53,0.855677
VF,S+X2_M6_r2,10,54,0.773855
VF,S+X2_M6_r2,10,55,0.764580
VF,S+X2_M6_r2,10,56,0.725344
VF,S+X2_M6_r2,10,57,0.746889
VF,S+X2_M6_r2,10,58,0.837951
VF,S+X2_M6_r2,10,59,0.868866
VF,S+X2_M6_r2,10,60,0.870312
VF,S+X2_M6_r2,10,61,0.849259
VF,S+X2_M6_r2,10,62,0.823950
VF,S+X2_M6_r2,10,63,0.797397
VF,S+X2_M6_r2,10,64,0.900656
VF,S+X2_M6_r2,10,65,0.926582
VF,S+X2_M6_r2,10,66,0.889076
VF,S+X2_M6_r2,10,67,0.922406
VF,S+X2_M6_r2,10,68,0.895253
VF,S+X2_M6_r2,10,69,0.921005
VF,S+X2_M6_r2,10,70,0.947069
VF,S+X2_M6_r2,10,71,0.944420
VF,S+X2_M6_r2,10,72,0.904914
VF,S+X2_M6_r2,10,73,0.809762
VF,S+X2_M6_r2,10,74,0.906447
VF,S+X2_M6_r2,10,75,0.875679
VF,S+X2_M6_r2,10,76,0.899826
VF,S+X2_M6_r2,10,77,0.899522
VF,S+X2_M6_r2,10,78,0.913781
VF,S+X2_M6_r2,10,79,0.924817
VF,S+X2_M6_r2,10,80,0.953167
VF,S+X2_M6_r2,10,81,0.938742
VF,S+X2_M6_r2,10,82,0.951233
VF,S+X2_M6_r2,10,83,0.919096
VF,S+X2_M6_r2,10,84,0.921658
VF,S+X2_M6_r2,10,85,0.700234
VF,S+X2_M6_r2,10,86,0.663310
VF,S+X2_M6_r2,10,87,0.675841
VF,S+X2_M6_r2,10,88,0.674208
VF,S+X2_M6_r2,10,89,0.632006
VF,S+X2_M6_r2,10,90,0.593420
VF,S+X2_M6_r2,10,91,0.646701
VF,S+X2_M6_r2,10,92,0.626127
VF,S+X2_M6_r2,10,93,0.548908
VF,S+X2_M6_r2,10,94,0.691866
VF,S+X2_M6_r2,10,95,0.607200
VF,S+X2_M6_r2,10,96,0.786460
VF,S+X2_M6_r2,10,97,0.765769
VF,S+X2_M6_r2,10,98,0.691528
VF,S+X2_M6_r2,10,99,0.676083
VF,S+X2_M6_r2,10,100,0.687616
VF,S+X2_M6_r2,10,101,0.764170
VF,S+X2_M6_r2,10,102,0.664440
