partition,method,scene,frame,iou
VF,SF+X2,1,0,0.964599
VF,SF+X2,1,1,0.980569
VF,SF+X2,1,2,0.978268
VF,SF+X2,1,3,0.982979
VF,SF+X2,1,4,0.979829
VF,SF+X2,1,5,0.978316
VF,SF+X2,1,6,0.980956
VF,SF+X2,1,7,0.980337
VF,SF+X2,1,8,0.975463
VF,SF+X2,1,9,0.978943
VF,SF+X2,1,10,0.977052
VF,SF+X2,1,11,0.984628
VF,SF+X2,1,12,0.983685
VF,SF+X2,1,13,0.979231
VF,SF+X2,1,14,0.976798
VF,SF+X2,1,15,0.980341
VF,SF+X2,1,16,0.984705
VF,SF+X2,1,17,0.983245
VF,SF+X2,1,18,0.983821
VF,SF+X2,1,19,0.980104
VF,SF+X2,1,20,0.976738
VF,SF+X2,1,21,0.985213
VF,SF+X2,1,22,0.982350
VF,SF+X2,1,23,0.979371
VF,SF+X2,1,24,0.979336
VF,SF+X2,1,25,0.982653
VF,SF+X2,1,26,0.980858
VF,SF+X2,1,27,0.979897
VF,SF+X2,1,28,0.986411
VF,SF+X2,1,29,0.981655
VF,SF+X2,1,30,0.983332
VF,SF+X2,1,31,0.984898
VF,SF+X2,1,32,0.986751
VF,SF+X2,1,33,0.980615
VF,SF+X2,1,34,0.982083
VF,SF+X2,1,35,0.984358
VF,SF+X2,1,36,0.986102
VF,SF+X2,1,37,0.987564
VF,SF+X2,1,38,0.988765
VF,SF+X2,1,39,0.987878
VF,SF+X2,1,40,0.983829
VF,SF+X2,1,41,0.983845
VF,SF+X2,1,42,0.983376
VF,SF+X2,1,43,0.980319
VF,SF+X2,1,44,0.985124
VF,SF+X2,1,45,0.984527
VF,SF+X2,1,46,0.984494
VF,SF+X2,1,47,0.985125
VF,SF+X2,1,48,0.984637
VF,SF+X2,1,49,0.986788
VF,SF+X2,1,50,0.986273
VF,SF+X2,1,51,0.985900
VF,SF+X2,1,52,0.985509
VF,SF+X2,1,53,0.988041
VF,SF+X2,1,54,0.987192
VF,SF+X2,1,55,0.989024
VF,SF+X2,1,56,0.988031
VF,SF+X2,1,57,0.987424
VF,SF+X2,1,58,0.987832
VF,SF+X2,1,59,0.986271
VF,SF+X2,1,60,0.985995
VF,SF+X2,1,61,0.983275
VF,SF+X2,1,62,0.981818
VF,SF+X2,1,63,0.985832
VF,SF+X2,1,64,0.981840
VF,SF+X2,1,65,0.986695
VF,SF+X2,1,66,0.984119
VF,SF+X2,1,67,0.988569
VF,SF+X2,1,68,0.989806
VF,SF+X2,1,69,0.988341
VF,SF+X2,1,70,0.988499
VF,SF+X2,1,71,0.989077
VF,SF+X2,1,72,0.988837
VF,SF+X2,1,73,0.988857
VF,SF+X2,1,74,0.989246
VF,SF+X2,1,75,0.987362
VF,SF+X2,1,76,0.982087
VF,SF+X2,1,77,0.983116
VF,SF+X2,1,78,0.989426
VF,SF+X2,1,79,0.989986
VF,SF+X2,1,80,0.988802
VF,SF+X2,1,81,0.988701
VF,SF+X2,1,82,0.982381
VF,SF+X2,1,83,0.978364
VF,SF+X2,1,84,0.979811
VF,SF+X2,1,85,0.978466
VF,SF+X2,1,86,0.978802
VF,SF+X2,1,87,0.977557
VF,SF+X2,1,88,0.978910
VF,SF+X2,1,89,0.970278
VF,SF+X2,1,90,0.971358
VF,SF+X2,1,91,0.964379
VF,SF+X2,1,92,0.970665
VF,SF+X2,1,93,0.964003
VF,SF+X2,1,94,0.973877
VF,SF+X2,1,95,0.972333
VF,SF+X2,1,96,0.974877
VF,SF+X2,1,97,0.980711
VF,SF+X2,1,98,0.977349
VF,SF+X2,1,99,0.978144
VF,SF+X2,1,100,0.980842
VF,SF+X2,1,101,0.975305
VF,SF+X2,1,102,0.977290
VF,SF+X2,1,103,0.973560
VF,SF+X2,1,104,0.976790
VF,SF+X2,1,105,0.979348
VF,SF+X2,1,106,0.979492
VF,SF+X2,1,107,0.978396
VF,SF+X2,1,108,0.975147
VF,SF+X2,1,109,0.971741
VF,SF+X2,1,110,0.974796
VF,SF+X2,1,111,0.971220
VF,SF+X2,1,112,0.976800
VF,SF+X2,1,113,0.976441
VF,SF+X2,1,114,0.979373
VF,SF+X2,1,115,0.977186
VF,SF+X2,1,116,0.977153
VF,SF+X2,1,117,0.975452
