partition,method,scene,frame,iou
VF,SF+X2_M9,1,0,0.964599
VF,SF+X2_M9,1,1,0.954618
VF,SF+X2_M9,1,2,0.960288
VF,SF+X2_M9,1,3,0.953946
VF,SF+X2_M9,1,4,0.955179
VF,SF+X2_M9,1,5,0.962600
VF,SF+X2_M9,1,6,0.976774
VF,SF+X2_M9,1,7,0.977860
VF,SF+X2_M9,1,8,0.971293
VF,SF+X2_M9,1,9,0.981264
VF,SF+X2_M9,1,10,0.980306
VF,SF+X2_M9,1,11,0.978003
VF,SF+X2_M9,1,12,0.981147
VF,SF+X2_M9,1,13,0.975995
VF,SF+X2_M9,1,14,0.970422
VF,SF+X2_M9,1,15,0.976883
VF,SF+X2_M9,1,16,0.980667
VF,SF+X2_M9,1,17,0.980469
VF,SF+X2_M9,1,18,0.980129
VF,SF+X2_M9,1,19,0.978107
VF,SF+X2_M9,1,20,0.969355
VF,SF+X2_M9,1,21,0.971921
VF,SF+X2_M9,1,22,0.970665
VF,SF+X2_M9,1,23,0.970091
VF,SF+X2_M9,1,24,0.973392
VF,SF+X2_M9,1,25,0.978745
VF,SF+X2_M9,1,26,0.977833
VF,SF+X2_M9,1,27,0.976538
VF,SF+X2_M9,1,28,0.984521
VF,SF+X2_M9,1,29,0.982042
VF,SF+X2_M9,1,30,0.984705
VF,SF+X2_M9,1,31,0.981194
VF,SF+X2_M9,1,32,0.984110
VF,SF+X2_M9,1,33,0.978177
VF,SF+X2_M9,1,34,0.980132
VF,SF+X2_M9,1,35,0.980545
VF,SF+X2_M9,1,36,0.982332
VF,SF+X2_M9,1,37,0.981802
VF,SF+X2_M9,1,38,0.982900
VF,SF+X2_M9,1,39,0.982786
VF,SF+X2_M9,1,40,0.977357
VF,SF+X2_M9,1,41,0.976392
VF,SF+X2_M9,1,42,0.980468
VF,SF+X2_M9,1,43,0.977358
VF,SF+X2_M9,1,44,0.974797
VF,SF+X2_M9,1,45,0.976344
VF,SF+X2_M9,1,46,0.977774
VF,SF+X2_M9,1,47,0.978421
VF,SF+X2_M9,1,48,0.983070
VF,SF+X2_M9,1,49,0.983320
VF,SF+X2_M9,1,50,0.979860
VF,SF+X2_M9,1,51,0.977258
VF,SF+X2_M9,1,52,0.980188
