partition,method,scene,frame,iou
VF,SF+X2_M9_r1,1,0,0.989654
VF,SF+X2_M9_r1,1,1,0.987196
VF,SF+X2_M9_r1,1,2,0.984386
VF,SF+X2_M9_r1,1,3,0.988464
VF,SF+X2_M9_r1,1,4,0.985707
VF,SF+X2_M9_r1,1,5,0.983866
VF,SF+X2_M9_r1,1,6,0.976774
VF,SF+X2_M9_r1,1,7,0.985917
VF,SF+X2_M9_r1,1,8,0.971293
VF,SF+X2_M9_r1,1,9,0.984711
VF,SF+X2_M9_r1,1,10,0.984273
VF,SF+X2_M9_r1,1,11,0.984844
VF,SF+X2_M9_r1,1,12,0.984966
VF,SF+X2_M9_r1,1,13,0.981627
VF,SF+X2_M9_r1,1,14,0.978197
VF,SF+X2_M9_r1,1,15,0.981059
VF,SF+X2_M9_r1,1,16,0.981241
VF,SF+X2_M9_r1,1,17,0.956121
VF,SF+X2_M9_r1,1,18,0.955070
VF,SF+X2_M9_r1,1,19,0.964026
VF,SF+X2_M9_r1,1,20,0.965501
VF,SF+X2_M9_r1,1,21,0.956940
VF,SF+X2_M9_r1,1,22,0.972371
VF,SF+X2_M9_r1,1,23,0.973817
VF,SF+X2_M9_r1,1,24,0.977744
VF,SF+X2_M9_r1,1,25,0.984742
VF,SF+X2_M9_r1,1,26,0.983344
VF,SF+X2_M9_r1,1,27,0.983354
VF,SF+X2_M9_r1,1,28,0.988563
VF,SF+X2_M9_r1,1,29,0.985628
VF,SF+X2_M9_r1,1,30,0.987356
VF,SF+X2_M9_r1,1,31,0.979344
VF,SF+X2_M9_r1,1,32,0.983048
VF,SF+X2_M9_r1,1,33,0.983711
VF,SF+X2_M9_r1,1,34,0.986714
VF,SF+X2_M9_r1,1,35,0.987017
VF,SF+X2_M9_r1,1,36,0.985046
VF,SF+X2_M9_r1,1,37,0.984913
VF,SF+X2_M9_r1,1,38,0.986199
VF,SF+X2_M9_r1,1,39,0.981470
VF,SF+X2_M9_r1,1,40,0.979440
VF,SF+X2_M9_r1,1,41,0.984793
VF,SF+X2_M9_r1,1,42,0.986635
VF,SF+X2_M9_r1,1,43,0.988535
VF,SF+X2_M9_r1,1,44,0.985067
VF,SF+X2_M9_r1,1,45,0.981520
VF,SF+X2_M9_r1,1,46,0.982335
VF,SF+X2_M9_r1,1,47,0.983501
VF,SF+X2_M9_r1,1,48,0.982239
VF,SF+X2_M9_r1,1,49,0.984020
VF,SF+X2_M9_r1,1,50,0.983459
VF,SF+X2_M9_r1,1,51,0.985602
VF,SF+X2_M9_r1,1,52,0.983916
VF,SF+X2_M9_r1,1,53,0.984297
VF,SF+X2_M9_r1,1,54,0.981749
VF,SF+X2_M9_r1,1,55,0.983654
VF,SF+X2_M9_r1,1,56,0.982122
VF,SF+X2_M9_r1,1,57,0.983111
VF,SF+X2_M9_r1,1,58,0.981755
VF,SF+X2_M9_r1,1,59,0.956512
VF,SF+X2_M9_r1,1,60,0.961594
VF,SF+X2_M9_r1,1,61,0.977287
VF,SF+X2_M9_r1,1,62,0.975635
VF,SF+X2_M9_r1,1,63,0.982677
VF,SF+X2_M9_r1,1,64,0.984234
VF,SF+X2_M9_r1,1,65,0.987742
VF,SF+X2_M9_r1,1,66,0.989967
VF,SF+X2_M9_r1,1,67,0.990165
VF,SF+X2_M9_r1,1,68,0.989959
VF,SF+X2_M9_r1,1,69,0.989043
VF,SF+X2_M9_r1,1,70,0.988650
VF,SF+X2_M9_r1,1,71,0.987262
VF,SF+X2_M9_r1,1,72,0.985717
VF,SF+X2_M9_r1,1,73,0.985387
VF,SF+X2_M9_r1,1,74,0.974291
VF,SF+X2_M9_r1,1,75,0.986470
VF,SF+X2_M9_r1,1,76,0.983316
VF,SF+X2_M9_r1,1,77,0.985309
VF,SF+X2_M9_r1,1,78,0.985233
VF,SF+X2_M9_r1,1,79,0.986037
VF,SF+X2_M9_r1,1,80,0.987706
VF,SF+X2_M9_r1,1,81,0.989326
VF,SF+X2_M9_r1,1,82,0.971478
VF,SF+X2_M9_r1,1,83,0.963404
VF,SF+X2_M9_r1,1,84,0.965628
VF,SF+X2_M9_r1,1,85,0.966717
VF,SF+X2_M9_r1,1,86,0.961014
VF,SF+X2_M9_r1,1,87,0.955839
VF,SF+X2_M9_r1,1,88,0.947694
VF,SF+X2_M9_r1,1,89,0.945309
VF,SF+X2_M9_r1,1,90,0.934391
VF,SF+X2_M9_r1,1,91,0.925631
VF,SF+X2_M9_r1,1,92,0.912225
VF,SF+X2_M9_r1,1,93,0.929133
VF,SF+X2_M9_r1,1,94,0.930785
VF,SF+X2_M9_r1,1,95,0.939102
VF,SF+X2_M9_r1,1,96,0.940286
VF,SF+X2_M9_r1,1,97,0.960600
VF,SF+X2_M9_r1,1,98,0.921432
VF,SF+X2_M9_r1,1,99,0.831124
VF,SF+X2_M9_r1,1,100,0.930498
VF,SF+X2_M9_r1,1,101,0.934411
VF,SF+X2_M9_r1,1,102,0.914730
VF,SF+X2_M9_r1,1,103,0.904310
VF,SF+X2_M9_r1,1,104,0.890236
VF,SF+X2_M9_r1,1,105,0.875559
VF,SF+X2_M9_r1,1,106,0.838970
VF,SF+X2_M9_r1,1,107,0.887833
VF,SF+X2_M9_r1,1,108,0.939972
VF,SF+X2_M9_r1,1,109,0.943306
VF,SF+X2_M9_r1,1,110,0.960440
VF,SF+X2_M9_r1,1,111,0.966558
