partition,method,scene,frame,iou
VF,Y+X2,1,0,0.971336
VF,Y+X2,1,1,0.970751
VF,Y+X2,1,2,0.973011
VF,Y+X2,1,3,0.970700
VF,Y+X2,1,4,0.971897
VF,Y+X2,1,5,0.971439
VF,Y+X2,1,6,0.966631
VF,Y+X2,1,7,0.968641
VF,Y+X2,1,8,0.970288
VF,Y+X2,1,9,0.969556
VF,Y+X2,1,10,0.964308
VF,Y+X2,1,11,0.964133
VF,Y+X2,1,12,0.967573
VF,Y+X2,1,13,0.968152
VF,Y+X2,1,14,0.964986
VF,Y+X2,1,15,0.966916
VF,Y+X2,1,16,0.959738
VF,Y+X2,1,17,0.957726
VF,Y+X2,1,18,0.967674
VF,Y+X2,1,19,0.967778
VF,Y+X2,1,20,0.972817
VF,Y+X2,1,21,0.972386
VF,Y+X2,1,22,0.973500
VF,Y+X2,1,23,0.968864
VF,Y+X2,1,24,0.965572
VF,Y+X2,1,25,0.965290
VF,Y+X2,1,26,0.962615
VF,Y+X2,1,27,0.965352
VF,Y+X2,1,28,0.972125
VF,Y+X2,1,29,0.974133
VF,Y+X2,1,30,0.974009
VF,Y+X2,1,31,0.966801
VF,Y+X2,1,32,0.969064
VF,Y+X2,1,33,0.975472
VF,Y+X2,1,34,0.972459
VF,Y+X2,1,35,0.972477
VF,Y+X2,1,36,0.970574
VF,Y+X2,1,37,0.973844
VF,Y+X2,1,38,0.974923
VF,Y+X2,1,39,0.974096
VF,Y+X2,1,40,0.975507
VF,Y+X2,1,41,0.962147
VF,Y+X2,1,42,0.967151
VF,Y+X2,1,43,0.970082
VF,Y+X2,1,44,0.969318
VF,Y+X2,1,45,0.964744
VF,Y+X2,1,46,0.964049
VF,Y+X2,1,47,0.961636
VF,Y+X2,1,48,0.962391
VF,Y+X2,1,49,0.969801
VF,Y+X2,1,50,0.966084
VF,Y+X2,1,51,0.964110
VF,Y+X2,1,52,0.964439
VF,Y+X2,1,53,0.965583
VF,Y+X2,1,54,0.963133
VF,Y+X2,1,55,0.961052
VF,Y+X2,1,56,0.965204
VF,Y+X2,1,57,0.964743
VF,Y+X2,1,58,0.964852
VF,Y+X2,1,59,0.967674
VF,Y+X2,1,60,0.971809
VF,Y+X2,1,61,0.965897
VF,Y+X2,1,62,0.966262
VF,Y+X2,1,63,0.969100
VF,Y+X2,1,64,0.972747
VF,Y+X2,1,65,0.963712
VF,Y+X2,1,66,0.967368
VF,Y+X2,1,67,0.973556
VF,Y+X2,1,68,0.971244
VF,Y+X2,1,69,0.971943
VF,Y+X2,1,70,0.971045
VF,Y+X2,1,71,0.970146
VF,Y+X2,1,72,0.973268
VF,Y+X2,1,73,0.974573
VF,Y+X2,1,74,0.972970
VF,Y+X2,1,75,0.974254
VF,Y+X2,1,76,0.973099
VF,Y+X2,1,77,0.973110
VF,Y+X2,1,78,0.978320
VF,Y+X2,1,79,0.977127
VF,Y+X2,1,80,0.974529
VF,Y+X2,1,81,0.970304
VF,Y+X2,1,82,0.959048
VF,Y+X2,1,83,0.956962
VF,Y+X2,1,84,0.958953
VF,Y+X2,1,85,0.959360
VF,Y+X2,1,86,0.958239
VF,Y+X2,1,87,0.958344
VF,Y+X2,1,88,0.954968
VF,Y+X2,1,89,0.952616
VF,Y+X2,1,90,0.949860
VF,Y+X2,1,91,0.941543
VF,Y+X2,1,92,0.946398
VF,Y+X2,1,93,0.942259
VF,Y+X2,1,94,0.951212
VF,Y+X2,1,95,0.949826
VF,Y+X2,1,96,0.950152
VF,Y+X2,1,97,0.950215
VF,Y+X2,1,98,0.949837
VF,Y+X2,1,99,0.945687
VF,Y+X2,1,100,0.948202
VF,Y+X2,1,101,0.942369
VF,Y+X2,1,102,0.948622
VF,Y+X2,1,103,0.947248
VF,Y+X2,1,104,0.944512
VF,Y+X2,1,105,0.949208
VF,Y+X2,1,106,0.952824
VF,Y+X2,1,107,0.962166
VF,Y+X2,1,108,0.958389
VF,Y+X2,1,109,0.959785
VF,Y+X2,1,110,0.953599
VF,Y+X2,1,111,0.942346
VF,Y+X2,1,112,0.948891
VF,Y+X2,1,113,0.943271
VF,Y+X2,1,114,0.949917
VF,Y+X2,1,115,0.954405
VF,Y+X2,1,116,0.950982
VF,Y+X2,1,117,0.949789
VF,Y+X2,1,118,0.954415
VF,Y+X2,1,119,0.948936
VF,Y+X2,1,120,0.951462
VF,Y+X2,1,121,0.955208
VF,Y+X2,1,122,0.952994
VF,Y+X2,1,123,0.944573
VF,Y+X2,1,124,0.936818
VF,Y+X2,1,125,0.954404
VF,Y+X2,1,126,0.947004
VF,Y+X2,1,127,0.948585
VF,Y+X2,1,128,0.943175
VF,Y+X2,1,129,0.945485
VF,Y+X2,1,130,0.937527
VF,Y+X2,1,131,0.943492
VF,Y+X2,1,132,0.942576
VF,Y+X2,1,133,0.942827
VF,Y+X2,1,134,0.945982
VF,Y+X2,1,135,0.943635
VF,Y+X2,1,136,0.944346
VF,Y+X2,1,137,0.943505
VF,Y+X2,1,138,0.945544
VF,Y+X2,1,139,0.946210
VF,Y+X2,1,140,0.954907
VF,Y+X2,1,141,0.957550
VF,Y+X2,1,142,0.945208
VF,Y+X2,1,143,0.951385
VF,Y+X2,1,144,0.943227
VF,Y+X2,1,145,0.946279
VF,Y+X2,1,146,0.951525
VF,Y+X2,1,147,0.951203
VF,Y+X2,1,148,0.950793
VF,Y+X2,1,149,0.951714
VF,Y+X2,1,150,0.944528
VF,Y+X2,1,151,0.951322
VF,Y+X2,1,152,0.942537
VF,Y+X2,1,153,0.944939
VF,Y+X2,1,154,0.953951
VF,Y+X2,1,155,0.947607
VF,Y+X2,1,156,0.949638
VF,Y+X2,1,157,0.952504
VF,Y+X2,1,158,0.944534
VF,Y+X2,1,159,0.967625
VF,Y+X2,1,160,0.961485
VF,Y+X2,1,161,0.951028
VF,Y+X2,1,162,0.950256
VF,Y+X2,1,163,0.955489
VF,Y+X2,1,164,0.944637
VF,Y+X2,1,165,0.945531
VF,Y+X2,1,166,0.944949
VF,Y+X2,1,167,0.940703
VF,Y+X2,1,168,0.945651
VF,Y+X2,1,169,0.954954
VF,Y+X2,1,170,0.945869
VF,Y+X2,1,171,0.954334
VF,Y+X2,10,0,0.923993
VF,Y+X2,10,1,0.932846
VF,Y+X2,10,2,0.928402
VF,Y+X2,10,3,0.933758
VF,Y+X2,10,4,0.930124
VF,Y+X2,10,5,0.935059
VF,Y+X2,10,6,0.924622
VF,Y+X2,10,7,0.883608
VF,Y+X2,10,8,0.933475
VF,Y+X2,10,9,0.929974
VF,Y+X2,10,10,0.921352
VF,Y+X2,10,11,0.930790
VF,Y+X2,10,12,0.925098
VF,Y+X2,10,13,0.921606
VF,Y+X2,10,14,0.923238
VF,Y+X2,10,15,0.941224
VF,Y+X2,10,16,0.916331
VF,Y+X2,10,17,0.935798
VF,Y+X2,10,18,0.917042
VF,Y+X2,10,19,0.922534
VF,Y+X2,10,20,0.913846
VF,Y+X2,10,21,0.919463
VF,Y+X2,10,22,0.930764
VF,Y+X2,10,23,0.910939
VF,Y+X2,10,24,0.903440
VF,Y+X2,10,25,0.899596
VF,Y+X2,10,26,0.923334
VF,Y+X2,10,27,0.929266
VF,Y+X2,10,28,0.939900
VF,Y+X2,10,29,0.926587
VF,Y+X2,10,30,0.945936
VF,Y+X2,10,31,0.946445
VF,Y+X2,10,32,0.941438
VF,Y+X2,10,33,0.952369
VF,Y+X2,10,34,0.929943
VF,Y+X2,10,35,0.946699
VF,Y+X2,10,36,0.952352
VF,Y+X2,10,37,0.954974
VF,Y+X2,10,38,0.961278
VF,Y+X2,10,39,0.945903
VF,Y+X2,10,40,0.915684
VF,Y+X2,10,41,0.913335
VF,Y+X2,10,42,0.922617
VF,Y+X2,10,43,0.938200
VF,Y+X2,10,44,0.935517
VF,Y+X2,10,45,0.921315
VF,Y+X2,10,46,0.927444
VF,Y+X2,10,47,0.953946
VF,Y+X2,10,48,0.915693
VF,Y+X2,10,49,0.920231
VF,Y+X2,10,50,0.927406
VF,Y+X2,10,51,0.955131
VF,Y+X2,10,52,0.972199
VF,Y+X2,10,53,0.929532
VF,Y+X2,10,54,0.914077
VF,Y+X2,10,55,0.942401
VF,Y+X2,10,56,0.936454
VF,Y+X2,10,57,0.945864
VF,Y+X2,10,58,0.928870
VF,Y+X2,10,59,0.911208
VF,Y+X2,10,60,0.932054
VF,Y+X2,10,61,0.940602
VF,Y+X2,10,62,0.939179
VF,Y+X2,10,63,0.935164
VF,Y+X2,10,64,0.939277
VF,Y+X2,10,65,0.915363
VF,Y+X2,10,66,0.896658
VF,Y+X2,10,67,0.920814
VF,Y+X2,10,68,0.926087
VF,Y+X2,10,69,0.923053
VF,Y+X2,10,70,0.949088
VF,Y+X2,10,71,0.932644
VF,Y+X2,10,72,0.924094
VF,Y+X2,10,73,0.921152
VF,Y+X2,10,74,0.939823
VF,Y+X2,10,75,0.947426
VF,Y+X2,10,76,0.960835
VF,Y+X2,10,77,0.935886
VF,Y+X2,10,78,0.944559
VF,Y+X2,10,79,0.933891
VF,Y+X2,10,80,0.938361
VF,Y+X2,10,81,0.933527
VF,Y+X2,10,82,0.946020
VF,Y+X2,10,83,0.946957
VF,Y+X2,10,84,0.935154
VF,Y+X2,10,85,0.938463
VF,Y+X2,10,86,0.930709
VF,Y+X2,10,87,0.919923
