partition,method,scene,frame,iou
VF,Y+X2_M9,1,0,0.971336
VF,Y+X2_M9,1,1,0.967515
VF,Y+X2_M9,1,2,0.968490
VF,Y+X2_M9,1,3,0.964202
VF,Y+X2_M9,1,4,0.805720
VF,Y+X2_M9,1,5,0.706070
VF,Y+X2_M9,1,6,0.955351
VF,Y+X2_M9,1,7,0.962003
VF,Y+X2_M9,1,8,0.958116
VF,Y+X2_M9,1,9,0.963112
VF,Y+X2_M9,1,10,0.957420
VF,Y+X2_M9,1,11,0.958713
VF,Y+X2_M9,1,12,0.961138
VF,Y+X2_M9,1,13,0.962841
VF,Y+X2_M9,1,14,0.956195
VF,Y+X2_M9,1,15,0.962616
VF,Y+X2_M9,1,16,0.956355
VF,Y+X2_M9,1,17,0.953698
VF,Y+X2_M9,1,18,0.962000
VF,Y+X2_M9,1,19,0.962144
VF,Y+X2_M9,1,20,0.966457
VF,Y+X2_M9,1,21,0.964990
VF,Y+X2_M9,1,22,0.967228
VF,Y+X2_M9,1,23,0.961422
VF,Y+X2_M9,1,24,0.959503
VF,Y+X2_M9,1,25,0.960648
VF,Y+X2_M9,1,26,0.959806
VF,Y+X2_M9,1,27,0.962799
VF,Y+X2_M9,1,28,0.969898
VF,Y+X2_M9,1,29,0.970790
VF,Y+X2_M9,1,30,0.971193
VF,Y+X2_M9,1,31,0.962337
VF,Y+X2_M9,1,32,0.963799
VF,Y+X2_M9,1,33,0.971542
VF,Y+X2_M9,1,34,0.969033
VF,Y+X2_M9,1,35,0.968975
VF,Y+X2_M9,1,36,0.966458
VF,Y+X2_M9,1,37,0.970839
VF,Y+X2_M9,1,38,0.972396
VF,Y+X2_M9,1,39,0.970788
VF,Y+X2_M9,1,40,0.972970
VF,Y+X2_M9,1,41,0.961346
VF,Y+X2_M9,1,42,0.964671
VF,Y+X2_M9,1,43,0.965449
VF,Y+X2_M9,1,44,0.965811
VF,Y+X2_M9,1,45,0.643777
VF,Y+X2_M9,1,46,0.632890
VF,Y+X2_M9,1,47,0.611360
VF,Y+X2_M9,1,48,0.694146
VF,Y+X2_M9,1,49,0.955230
VF,Y+X2_M9,1,50,0.804202
VF,Y+X2_M9,1,51,0.957542
VF,Y+X2_M9,1,52,0.958933
VF,Y+X2_M9,1,53,0.960152
VF,Y+X2_M9,1,54,0.957889
VF,Y+X2_M9,1,55,0.956590
VF,Y+X2_M9,1,56,0.959443
VF,Y+X2_M9,1,57,0.959762
VF,Y+X2_M9,1,58,0.960165
VF,Y+X2_M9,1,59,0.961469
VF,Y+X2_M9,1,60,0.966873
VF,Y+X2_M9,1,61,0.960701
VF,Y+X2_M9,1,62,0.960757
VF,Y+X2_M9,1,63,0.963090
VF,Y+X2_M9,1,64,0.968028
VF,Y+X2_M9,1,65,0.959681
VF,Y+X2_M9,1,66,0.965376
VF,Y+X2_M9,1,67,0.972134
VF,Y+X2_M9,1,68,0.969692
VF,Y+X2_M9,1,69,0.969579
VF,Y+X2_M9,1,70,0.968915
VF,Y+X2_M9,1,71,0.968338
VF,Y+X2_M9,1,72,0.967808
VF,Y+X2_M9,1,73,0.770411
VF,Y+X2_M9,1,74,0.969242
VF,Y+X2_M9,1,75,0.969657
VF,Y+X2_M9,1,76,0.960538
VF,Y+X2_M9,1,77,0.969282
VF,Y+X2_M9,1,78,0.974967
VF,Y+X2_M9,1,79,0.974102
VF,Y+X2_M9,1,80,0.971599
VF,Y+X2_M9,1,81,0.968073
VF,Y+X2_M9,1,82,0.954121
VF,Y+X2_M9,1,83,0.951971
VF,Y+X2_M9,1,84,0.953556
VF,Y+X2_M9,1,85,0.953369
VF,Y+X2_M9,1,86,0.951583
VF,Y+X2_M9,1,87,0.951030
VF,Y+X2_M9,1,88,0.947997
VF,Y+X2_M9,1,89,0.946503
VF,Y+X2_M9,1,90,0.945051
VF,Y+X2_M9,1,91,0.935576
VF,Y+X2_M9,1,92,0.943261
VF,Y+X2_M9,1,93,0.939041
VF,Y+X2_M9,1,94,0.946771
VF,Y+X2_M9,1,95,0.944866
VF,Y+X2_M9,1,96,0.943714
VF,Y+X2_M9,1,97,0.942293
VF,Y+X2_M9,1,98,0.944618
VF,Y+X2_M9,1,99,0.939028
VF,Y+X2_M9,1,100,0.941970
VF,Y+X2_M9,1,101,0.942469
VF,Y+X2_M9,1,102,0.945825
