partition,method,scene,frame,iou
VF,Y+X2_M9_r1,1,0,0.966812
VF,Y+X2_M9_r1,1,1,0.964415
VF,Y+X2_M9_r1,1,2,0.966162
VF,Y+X2_M9_r1,1,3,0.962510
VF,Y+X2_M9_r1,1,4,0.963500
VF,Y+X2_M9_r1,1,5,0.962805
VF,Y+X2_M9_r1,1,6,0.956667
VF,Y+X2_M9_r1,1,7,0.957938
VF,Y+X2_M9_r1,1,8,0.961274
VF,Y+X2_M9_r1,1,9,0.958864
VF,Y+X2_M9_r1,1,10,0.951693
VF,Y+X2_M9_r1,1,11,0.955892
VF,Y+X2_M9_r1,1,12,0.959296
VF,Y+X2_M9_r1,1,13,0.960214
VF,Y+X2_M9_r1,1,14,0.957136
VF,Y+X2_M9_r1,1,15,0.959110
VF,Y+X2_M9_r1,1,16,0.952557
VF,Y+X2_M9_r1,1,17,0.949243
VF,Y+X2_M9_r1,1,18,0.958231
VF,Y+X2_M9_r1,1,19,0.957890
VF,Y+X2_M9_r1,1,20,0.963382
VF,Y+X2_M9_r1,1,21,0.962905
VF,Y+X2_M9_r1,1,22,0.964506
VF,Y+X2_M9_r1,1,23,0.958922
VF,Y+X2_M9_r1,1,24,0.956208
VF,Y+X2_M9_r1,1,25,0.956724
VF,Y+X2_M9_r1,1,26,0.955692
VF,Y+X2_M9_r1,1,27,0.956879
VF,Y+X2_M9_r1,1,28,0.963350
VF,Y+X2_M9_r1,1,29,0.964604
VF,Y+X2_M9_r1,1,30,0.966367
VF,Y+X2_M9_r1,1,31,0.957186
VF,Y+X2_M9_r1,1,32,0.959650
VF,Y+X2_M9_r1,1,33,0.968260
VF,Y+X2_M9_r1,1,34,0.964385
VF,Y+X2_M9_r1,1,35,0.964740
VF,Y+X2_M9_r1,1,36,0.962752
VF,Y+X2_M9_r1,1,37,0.967413
VF,Y+X2_M9_r1,1,38,0.966268
VF,Y+X2_M9_r1,1,39,0.967081
VF,Y+X2_M9_r1,1,40,0.969021
VF,Y+X2_M9_r1,1,41,0.956236
VF,Y+X2_M9_r1,1,42,0.960213
VF,Y+X2_M9_r1,1,43,0.961663
VF,Y+X2_M9_r1,1,44,0.960205
VF,Y+X2_M9_r1,1,45,0.954249
VF,Y+X2_M9_r1,1,46,0.952976
VF,Y+X2_M9_r1,1,47,0.951181
VF,Y+X2_M9_r1,1,48,0.950134
VF,Y+X2_M9_r1,1,49,0.959153
VF,Y+X2_M9_r1,1,50,0.955800
VF,Y+X2_M9_r1,1,51,0.956047
VF,Y+X2_M9_r1,1,52,0.955298
VF,Y+X2_M9_r1,1,53,0.956953
VF,Y+X2_M9_r1,1,54,0.952677
VF,Y+X2_M9_r1,1,55,0.951323
VF,Y+X2_M9_r1,1,56,0.956277
VF,Y+X2_M9_r1,1,57,0.954928
VF,Y+X2_M9_r1,1,58,0.954711
VF,Y+X2_M9_r1,1,59,0.959489
VF,Y+X2_M9_r1,1,60,0.963133
VF,Y+X2_M9_r1,1,61,0.957358
VF,Y+X2_M9_r1,1,62,0.957764
VF,Y+X2_M9_r1,1,63,0.953690
VF,Y+X2_M9_r1,1,64,0.965417
VF,Y+X2_M9_r1,1,65,0.955404
VF,Y+X2_M9_r1,1,66,0.962060
VF,Y+X2_M9_r1,1,67,0.966878
VF,Y+X2_M9_r1,1,68,0.964043
VF,Y+X2_M9_r1,1,69,0.963986
