method,partition,precision,precision_std,recall,recall_std,f1,f1_std,iou,iou_std,accuracy,accuracy_std,mAP,n_scenes
S+X2,FKIT,38.0058,48.2933,35.3232,45.9829,36.0773,46.7992,34.6398,45.1006,98.5168,1.2542,38.0058,21
S+X2_M1_r0,FKIT,57.2222,45.2775,51.8958,47.2537,52.8329,46.9695,50.9872,46.3779,98.7813,1.3067,57.2222,21
S+X2_M1_r1,FKIT,58.2544,44.9158,49.6667,48.1135,50.3701,48.0938,48.7757,47.2575,98.7537,1.3590,58.2544,21
S+X2_M1_r2,FKIT,66.0108,45.2389,63.0556,45.9002,63.3703,45.8120,61.4974,44.7799,98.9651,1.3419,66.0108,21
S+X2_M3,FKIT,49.0426,44.3258,38.0918,42.5226,40.2215,43.9984,37.3748,41.6948,98.5178,1.2283,49.0426,21
S+X2_M3_r0,FKIT,74.0622,36.8084,59.2774,38.3848,62.7543,38.3999,57.9636,37.2794,98.9165,1.0711,74.0622,21
S+X2_M3_r1,FKIT,70.2851,30.8803,52.3093,37.1051,55.2661,36.4150,50.5296,35.2365,98.6389,1.1720,70.2851,21
S+X2_M3_r2,FKIT,72.2036,36.9792,59.2164,41.4638,61.3033,41.3792,57.2597,39.8563,98.8451,1.2535,72.2036,21
S+X2_M6,FKIT,55.1000,40.7612,33.4904,37.2836,37.2074,39.3541,33.1963,36.9275,98.4482,1.1339,55.1000,21
S+X2_M6_r0,FKIT,73.9732,28.8048,46.1097,31.3972,52.1099,32.9007,45.4021,30.9247,98.6435,1.0835,73.9732,21
S+X2_M6_r1,FKIT,71.3753,31.7376,41.1417,30.0014,47.7991,32.2191,40.8172,29.5665,98.5279,1.1085,71.3753,21
S+X2_M6_r2,FKIT,78.4569,27.2696,41.1743,24.3418,49.4107,27.0068,40.8513,24.0654,98.5163,1.0463,78.4569,21
S+X2_M9,FKIT,53.8473,39.4555,28.8896,34.0424,33.0930,36.1912,28.6736,33.7422,98.3409,1.0372,53.8473,21
S+X2_M9_r0,FKIT,82.9198,26.2703,44.3626,27.2686,53.0043,29.1143,44.0189,26.8231,98.5829,1.0481,82.9198,21
S+X2_M9_r1,FKIT,79.6074,25.8905,40.1621,23.7003,49.3474,26.2852,40.0741,23.6349,98.5538,0.8700,79.6074,21
S+X2_M9_r2,FKIT,83.5873,25.9837,43.9601,24.2682,53.0334,26.8618,43.6660,24.0620,98.5506,1.0232,83.5873,21
SF+X2,FKIT,92.6236,21.4148,92.3289,23.2506,91.5531,22.5079,89.9301,22.6851,99.6969,0.6740,92.6236,21
SF+X2_M1_r0,FKIT,93.1426,21.2108,92.3228,23.0340,92.0584,22.3970,90.4799,22.5894,99.6834,0.8744,93.1426,21
SF+X2_M1_r1,FKIT,88.9915,23.5113,87.5929,30.6885,87.1063,29.0785,85.4248,29.8907,99.5188,1.0032,88.9915,21
SF+X2_M1_r2,FKIT,85.5046,31.4335,81.3133,36.8410,81.5105,35.1756,79.4688,35.9628,99.4011,0.9987,85.5046,21
SF+X2_M3,FKIT,90.3433,22.8833,88.8909,27.7655,88.3259,26.2759,86.4382,26.9310,99.5588,0.9386,90.3433,21
SF+X2_M3_r0,FKIT,88.6936,27.4934,90.1645,27.9132,89.1175,27.6004,87.7710,27.2452,99.5429,1.0687,88.6936,21
SF+X2_M3_r1,FKIT,92.8758,21.3823,91.4249,23.8501,91.4033,22.5219,89.1751,23.3788,99.6291,0.9692,92.8758,21
SF+X2_M3_r2,FKIT,92.5422,21.2648,93.9710,21.5743,92.9012,21.4333,91.2873,21.2048,99.6583,0.9653,92.5422,21
SF+X2_M6,FKIT,92.5300,14.8883,90.2685,26.7493,89.4884,25.2307,87.6539,26.0023,99.5894,0.9194,92.5300,21
SF+X2_M6_r0,FKIT,94.1597,10.4921,92.8638,16.9831,92.3976,14.6778,89.7294,16.3447,99.6434,0.7836,94.1597,21
SF+X2_M6_r1,FKIT,90.7431,20.5067,91.5085,23.5195,90.0288,22.5064,87.9050,22.6916,99.5357,0.9563,90.7431,21
SF+X2_M6_r2,FKIT,88.2252,23.2277,87.7645,29.2082,86.8879,28.0412,84.8489,28.6077,99.4459,1.1007,88.2252,21
