method,partition,precision,precision_std,recall,recall_std,f1,f1_std,iou,iou_std,accuracy,accuracy_std,mAP,n_scenes
S+X2,MTF,53.7079,42.3080,55.1489,45.8232,48.1755,39.8410,40.7853,36.0120,96.0782,3.1096,53.7079,13
S+X2_M1_r0,MTF,64.1940,30.2320,58.8076,46.0829,53.7906,38.6158,46.3765,37.2551,96.9239,2.6535,64.1940,13
S+X2_M1_r1,MTF,66.2613,32.5334,58.6661,46.6203,54.4453,40.2881,47.4753,38.3951,97.4147,2.2204,66.2613,13
S+X2_M1_r2,MTF,63.1557,36.4405,50.7491,45.2283,47.2834,39.0467,40.5588,37.1027,96.2544,3.0778,63.1557,13
S+X2_M3,MTF,66.4036,33.3442,57.7496,44.0652,51.3823,36.1628,42.4667,32.9982,96.3199,2.7755,66.4036,13
S+X2_M3_r0,MTF,66.7343,29.7482,62.5417,44.2098,54.0956,34.9439,45.3463,33.6601,96.6624,2.5462,66.7343,13
S+X2_M3_r1,MTF,68.6068,31.5005,63.9729,43.4039,57.2541,35.0568,48.3925,33.9218,97.0749,2.1768,68.6068,13
S+X2_M3_r2,MTF,69.2113,31.8888,64.3099,40.2958,57.5330,30.3148,47.2020,27.9741,96.7728,2.1985,69.2113,13
S+X2_M6,MTF,67.9700,30.8697,58.0362,40.4491,52.1233,30.5961,41.6340,26.9571,96.4866,2.1024,67.9700,13
S+X2_M6_r0,MTF,69.3577,29.7646,63.5087,43.4296,54.4162,34.0354,45.3761,32.0397,96.7007,2.2746,69.3577,13
S+X2_M6_r1,MTF,71.3211,28.3066,67.3053,41.7760,60.2690,32.7399,50.8971,31.2135,96.9822,2.4672,71.3211,13
S+X2_M6_r2,MTF,66.9683,28.5920,66.0008,39.2055,57.0132,27.9357,45.7649,25.1459,96.6184,2.0880,66.9683,13
S+X2_M9,MTF,70.6221,29.4766,60.6636,39.7341,55.4599,30.1982,45.0143,26.9378,96.9645,1.6463,70.6221,13
S+X2_M9_r0,MTF,70.9847,30.7630,62.8497,40.2050,56.5667,31.4902,46.5885,29.8739,96.8505,2.0261,70.9847,13
S+X2_M9_r1,MTF,69.5678,28.8766,64.6785,41.5032,57.6139,31.5417,47.8328,29.9150,96.8392,2.2342,69.5678,13
S+X2_M9_r2,MTF,66.6318,30.9867,64.0811,42.1761,54.7372,32.2085,44.7236,30.0838,96.6272,2.0930,66.6318,13
SF+X2,MTF,98.4581,1.7600,95.6296,9.8157,96.5724,6.3426,94.1496,9.5642,99.7959,0.2652,98.4581,13
SF+X2_M1_r0,MTF,98.2232,2.4406,95.0374,8.7684,96.2064,5.4386,93.3303,8.4205,99.7474,0.2505,98.2232,13
SF+X2_M1_r1,MTF,98.0098,2.4098,97.8707,2.2090,97.8799,1.6280,95.9591,3.0087,99.8334,0.1167,98.0098,13
SF+X2_M1_r2,MTF,97.3585,3.1776,96.1994,6.0142,96.5658,3.5206,93.6733,6.0789,99.7780,0.1627,97.3585,13
SF+X2_M3,MTF,98.7769,1.6171,94.1471,14.2998,95.3847,10.7771,92.9726,14.0309,99.7623,0.4060,98.7769,13
SF+X2_M3_r0,MTF,97.3837,3.2717,93.0684,16.3419,93.8967,12.1685,90.5769,15.9002,99.6740,0.4257,97.3837,13
SF+X2_M3_r1,MTF,97.0164,4.3708,95.9797,6.4839,96.0915,4.1555,93.0953,6.8981,99.7187,0.2186,97.0164,13
SF+X2_M3_r2,MTF,97.2859,3.4818,94.9217,9.5435,95.4141,6.8401,92.4916,9.4105,99.7410,0.2529,97.2859,13
SF+X2_M6,MTF,98.4503,1.7054,93.3431,15.2887,94.7018,11.6668,91.9502,15.0200,99.7211,0.4329,98.4503,13
SF+X2_M6_r0,MTF,97.5026,4.4210,95.1297,8.5522,95.6424,5.8167,92.7126,8.8088,99.6137,0.5994,97.5026,13
SF+X2_M6_r1,MTF,97.6465,3.9279,94.8825,7.8456,95.8604,4.8304,92.6254,7.9087,99.7237,0.2211,97.6465,13
SF+X2_M6_r2,MTF,96.7391,5.2298,94.7570,9.4221,95.0012,6.2660,91.5909,9.6880,99.6582,0.3027,96.7391,13
SF+X2_M9,MTF,94.7865,13.3925,90.4212,25.5697,91.1112,24.5868,89.0844,25.2432,99.6459,0.7036,94.7865,13
SF+X2_M9_r0,MTF,96.5708,5.0293,95.2731,6.0454,95.3956,4.2407,92.0508,6.9251,99.6274,0.3639,96.5708,13
SF+X2_M9_r1,MTF,97.7396,2.6761,94.3297,9.8739,95.3576,6.6413,92.1789,9.6734,99.7256,0.2600,97.7396,13
SF+X2_M9_r2,MTF,96.5848,4.8188,94.6788,9.8527,94.8535,6.7847,91.4286,10.0838,99.5922,0.4772,96.5848,13
