method,partition,precision,precision_std,recall,recall_std,f1,f1_std,iou,iou_std,accuracy,accuracy_std,mAP,n_scenes
S+X2,N5K,82.8073,6.4606,97.0899,8.1188,88.7567,4.0368,80.2406,6.0008,95.1076,3.1890,82.8073,10
S+X2_M1_r0,N5K,68.2307,23.6327,99.3580,1.7717,78.2422,19.2411,67.6795,23.0386,88.2931,11.5000,68.2307,10
S+X2_M1_r1,N5K,59.8921,19.8426,99.3153,1.2283,72.5565,15.9322,59.5295,19.5306,84.0586,10.8864,59.8921,10
S+X2_M1_r2,N5K,74.5750,18.8021,97.9472,5.4323,82.8396,14.4331,72.8473,17.6289,90.5777,9.8979,74.5750,10
S+X2_M3,N5K,80.0412,7.3884,98.4030,3.8381,87.8195,4.3418,78.8035,6.4790,94.1515,4.4538,80.0412,10
S+X2_M3_r0,N5K,68.0236,14.4128,97.6018,5.5753,78.2736,9.9616,66.0086,12.5942,88.7606,6.3721,68.0236,10
S+X2_M3_r1,N5K,65.0138,17.7123,99.3264,1.0219,76.5304,14.6224,64.6308,17.6597,87.5765,8.6290,65.0138,10
S+X2_M3_r2,N5K,71.1654,13.2901,98.1671,2.0099,81.1309,9.6711,69.7777,12.4655,90.6252,5.6144,71.1654,10
S+X2_M6,N5K,76.1864,6.8805,98.0379,5.2328,84.9827,4.2804,74.7676,6.1946,92.5879,4.2619,76.1864,10
S+X2_M6_r0,N5K,66.3795,14.1280,97.1418,3.5032,76.7600,11.5817,64.4910,13.8918,88.1546,6.5611,66.3795,10
S+X2_M6_r1,N5K,65.5148,12.3932,95.4192,4.6539,74.9567,10.6615,61.7003,12.9950,87.4272,5.9099,65.5148,10
S+X2_M6_r2,N5K,69.6274,11.4555,96.9222,5.3580,79.2143,8.4216,67.3241,10.9661,89.3510,5.9956,69.6274,10
S+X2_M9,N5K,70.0858,7.6507,98.6178,3.6777,80.7550,5.1582,69.1102,7.1593,89.6658,4.6238,70.0858,10
S+X2_M9_r0,N5K,68.4845,12.1943,94.6504,8.5931,76.4816,10.2930,64.3121,12.4194,88.7547,5.2437,68.4845,10
