method,partition,precision,precision_std,recall,recall_std,f1,f1_std,iou,iou_std,accuracy,accuracy_std,mAP,n_scenes
S+X2,VF,67.1370,43.7766,59.0710,46.1297,60.7002,46.0420,57.2643,44.5390,98.0716,1.8819,67.1370,11
S+X2_M1_r0,VF,58.0569,40.0816,41.1332,44.9965,43.4233,45.0787,39.8445,43.3816,96.8083,2.7728,58.0569,11
S+X2_M1_r1,VF,61.0381,43.7383,54.2682,45.1211,54.9038,44.5944,50.7834,41.9243,97.4915,2.5143,61.0381,11
S+X2_M1_r2,VF,72.8400,40.3620,49.7481,37.3661,54.5075,38.8517,48.9010,36.5400,97.2170,2.5910,72.8400,11
S+X2_M3,VF,69.0011,38.0830,50.6615,41.8051,54.6905,42.0845,49.7228,40.7601,97.8401,1.7235,69.0011,11
S+X2_M3_r0,VF,64.6363,40.7309,45.2111,41.4334,49.3032,43.4396,44.2005,40.4016,97.4422,2.3766,64.6363,11
S+X2_M3_r1,VF,69.5237,38.8873,49.3862,36.8970,55.0620,38.8111,48.7905,36.2394,97.6028,2.1313,69.5237,11
S+X2_M3_r2,VF,67.3536,42.8110,51.5881,41.0112,55.7272,43.5966,50.9951,40.4733,97.9322,1.7793,67.3536,11
S+X2_M6,VF,69.8343,39.2129,51.7694,41.3885,56.1337,42.8626,50.9211,40.4939,97.8108,1.7321,69.8343,11
S+X2_M6_r0,VF,66.4052,37.9909,35.5676,29.7135,42.4409,33.7193,35.1684,29.2849,97.4078,1.4298,66.4052,11
S+X2_M6_r1,VF,69.2739,42.1044,42.7380,34.2034,49.8729,38.4705,42.4356,33.8932,97.3055,2.2847,69.2739,11
S+X2_M6_r2,VF,69.1680,42.6798,44.5678,34.4957,51.9233,38.8392,44.3298,34.2595,97.6135,1.5473,69.1680,11
S+X2_M9,VF,68.5420,40.2522,48.1789,39.6908,53.1581,41.5995,47.5029,38.9108,97.7080,1.6922,68.5420,11
S+X2_M9_r0,VF,71.7767,38.6585,43.8408,34.6836,50.9882,38.7589,43.5187,34.3384,97.6363,1.5665,71.7767,11
S+X2_M9_r1,VF,71.7291,38.2318,43.5444,34.7327,50.4226,38.4098,43.0888,34.2264,97.6539,1.5817,71.7291,11
S+X2_M9_r2,VF,66.8584,38.5304,39.7130,33.5923,46.4008,37.5216,39.2154,32.9687,97.5108,1.5193,66.8584,11
SF+X2,VF,91.6838,16.9095,96.9184,7.8203,93.2295,15.7814,90.3958,19.2484,99.2067,2.0260,91.6838,11
