method,partition,mAP,recall,precision,f1,iou,accuracy,continuity,flicker,drift,sigma
BiRefNet,N5K,95.82,98.2,95.82,96.95,94.09,98.78,100.0,0.0,0.8671,1.9495
BiRefNet,MTF,59.77,98.0,59.77,67.37,58.75,94.78,48.8384,13.7558,8.2269,36.7006
BiRefNet,VF,49.65,86.73,49.65,56.31,47.53,93.29,36.2132,10.4414,6.7993,36.335
BiRefNet,FKIT,98.65,98.88,98.65,98.69,97.55,99.93,99.6989,0.1588,0.3789,4.2533
BiRefNet,MEAN,75.97,95.45,75.97,79.83,74.48,96.7,71.19,6.09,4.07,19.81
CCNet,N5K,93.94,97.01,93.94,95.39,91.28,98.1,100.0,0.0,1.334,4.1737
CCNet,MTF,96.02,87.97,96.02,89.98,85.55,99.47,89.4758,7.9363,5.7787,24.7854
CCNet,VF,77.03,74.61,77.03,69.36,61.22,97.62,56.4165,17.6313,11.3781,33.4586
CCNet,FKIT,91.87,75.96,91.87,79.73,74.28,99.29,77.1172,6.7886,4.9986,31.7097
CCNet,MEAN,89.72,83.89,89.72,83.62,78.08,98.62,80.75,8.09,5.87,23.53
CCNet-Re,N5K,95.3,95.82,95.3,95.48,91.45,98.18,100.0,0.0,1.4616,4.2105
CCNet-Re,MTF,96.32,89.65,96.32,91.52,87.14,99.48,91.6037,3.8593,3.812,21.6733
CCNet-Re,VF,74.49,88.48,74.49,77.49,68.97,97.58,68.7705,11.0568,7.5041,28.6977
CCNet-Re,FKIT,89.75,86.06,89.75,85.09,79.23,99.28,83.7287,7.2784,5.4116,26.0646
CCNet-Re,MEAN,88.97,90.0,88.97,87.4,81.7,98.63,86.03,5.55,4.55,20.16
DEVA,N5K,78.41,96.88,78.41,83.61,76.23,90.42,74.7838,1.3212,1.5334,25.5589
DEVA,MTF,90.63,97.33,90.63,92.5,88.25,99.4,92.4631,0.1548,1.0875,20.7772
DEVA,VF,75.78,93.26,75.78,79.69,74.41,96.87,71.9545,1.839,2.4584,34.3258
DEVA,MEAN,81.61,95.82,81.61,85.27,79.63,95.56,79.73,1.1,1.69,26.89
DoraemonGPT,N5K,0.0,0.0,0.0,0.0,0.0,80.72,0.0,0.0,0.0,0.0
DoraemonGPT,MEAN,0.0,0.0,0.0,0.0,0.0,80.72,0.0,0.0,0.0,0.0
FLMM,N5K,56.23,44.34,56.23,48.22,42.78,90.08,35.8175,25.2912,18.1893,39.8554
FLMM,MTF,47.86,46.72,47.86,46.69,44.78,97.49,33.8902,29.5741,25.8688,46.9885
FLMM,VF,35.56,45.67,35.56,37.69,33.01,95.6,24.1043,27.1343,19.1418,38.8374
FLMM,FKIT,57.19,58.35,57.19,57.29,55.03,98.9,47.8752,23.5631,20.7244,45.7978
FLMM,MEAN,49.21,48.77,49.21,47.47,43.9,95.52,35.42,26.39,20.98,42.87
FLMM+S2,N5K,57.32,52.34,57.32,53.41,41.42,86.14,38.7716,9.9933,5.5888,25.7514
FLMM+S2,MTF,35.27,38.64,35.27,35.16,25.17,93.67,10.9763,8.2787,7.4889,22.4256
FLMM+S2,VF,40.1,47.99,40.1,32.29,21.64,93.32,5.1289,10.0258,7.9508,18.4959
FLMM+S2,FKIT,43.58,44.08,43.58,42.63,30.51,97.32,,,,
FLMM+S2,MEAN,44.07,45.76,44.07,40.87,29.69,92.61,18.29,9.43,7.01,22.22
FLMM+X2,N5K,67.21,58.64,67.21,61.69,56.53,92.66,64.5751,0.0,0.8217,40.1492
FLMM+X2,MTF,52.45,53.01,52.45,52.67,51.62,98.03,53.8462,0.0,0.3566,47.2364
FLMM+X2,VF,22.17,43.31,22.17,26.86,20.37,94.79,15.4693,3.5044,3.2898,26.1393
FLMM+X2,MEAN,47.28,51.65,47.28,47.07,42.84,95.16,44.63,1.17,1.49,37.84
FPN-Re,N5K,85.79,96.81,85.79,90.48,83.3,96.39,98.0645,3.592,5.4523,10.6708
FPN-Re,MTF,69.1,87.81,69.1,73.26,63.37,97.09,60.7121,23.4923,12.7362,29.7657
FPN-Re,VF,68.92,87.14,68.92,73.11,63.36,97.26,59.5065,13.7448,9.4061,28.7703
FPN-Re,FKIT,88.96,84.7,88.96,84.31,76.57,99.27,82.2316,9.8899,7.1966,23.0556
FPN-Re,MEAN,78.19,89.11,78.19,80.29,71.65,97.5,75.13,12.68,8.7,23.07
FSAM,N5K,,,,,,,100.0,0.0,1.0387,2.2122
FSAM,MTF,,,,,,,98.5804,1.7189,2.804,9.1236
FSAM,VF,,,,,,,73.9195,7.5987,5.5578,29.7433
FSAM,FKIT,,,,,,,91.0388,2.9962,2.8667,20.015
FSAM,MEAN,,,,,,,90.88,3.08,3.07,15.27
FoodMem,N5K,94.35,99.01,94.35,96.6,93.45,98.58,100.0,0.0,0.9138,2.3116
FoodMem,MTF,98.34,97.65,98.34,97.91,96.05,99.84,100.0,0.5305,1.051,5.0789
FoodMem,VF,82.63,91.68,82.63,84.28,79.12,98.13,78.234,3.1243,2.9709,29.5606
FoodMem,FKIT,96.34,92.53,96.34,92.98,91.44,99.72,92.6403,0.0039,0.2217,21.0727
FoodMem,MEAN,92.91,95.22,92.91,92.94,90.02,99.07,92.72,0.91,1.29,14.51
SETR_MLA,N5K,94.79,97.96,94.79,96.31,92.91,98.52,100.0,0.0,1.0387,2.2122
SETR_MLA,MTF,97.47,94.52,97.47,95.66,92.16,99.69,98.5804,1.7189,2.804,9.1236
SETR_MLA,VF,80.01,90.25,80.01,81.85,75.61,97.94,73.9195,7.5987,5.5578,29.7433
SETR_MLA,FKIT,96.97,88.8,96.97,90.88,86.71,99.6,91.0388,2.9962,2.8667,20.015
SETR_MLA,MEAN,92.31,92.88,92.31,91.17,86.85,98.94,90.88,3.08,3.07,15.27
SeTM+S2,N5K,64.75,68.29,64.75,66.18,52.84,87.26,54.7,12.9137,6.8608,21.6223
SeTM+S2,VF,41.18,48.34,41.18,33.13,22.47,93.5,5.8289,10.2546,8.1933,19.6356
SeTM+S2,MEAN,52.97,58.32,52.97,49.66,37.66,90.38,30.26,11.58,7.53,20.63
SeTN,N5K,95.17,96.45,95.17,95.73,91.86,98.28,100.0,0.0,1.2083,3.2451
SeTN,MTF,95.73,91.9,95.73,92.82,88.01,99.41,95.3341,2.8052,4.443,15.9252
SeTN,VF,74.04,89.89,74.04,77.5,69.8,97.36,64.6764,15.5324,9.2378,30.6567
SeTN,FKIT,89.83,77.66,89.83,80.48,74.13,99.18,78.0507,8.0322,6.0229,30.0694
SeTN,MEAN,88.69,88.97,88.69,86.63,80.95,98.56,84.52,6.59,5.23,19.97
SegMan_ADE,N5K,62.25,92.12,62.25,70.61,57.28,85.75,60.2152,11.9967,8.9794,19.5403
SegMan_ADE,MEAN,62.25,92.12,62.25,70.61,57.28,85.75,60.22,12.0,8.98,19.54
Swin-B,N5K,93.81,98.45,93.81,96.0,92.41,98.4,99.6774,0.4892,1.8698,4.0657
Swin-B,MTF,95.09,93.36,95.09,93.4,88.89,99.49,95.0978,7.8087,5.206,13.5486
Swin-B,VF,78.48,89.97,78.48,80.81,73.85,97.8,74.0186,9.3234,7.2799,29.169
Swin-B,FKIT,92.59,88.89,92.59,88.92,83.93,99.51,88.0193,8.6301,5.4678,21.3688
Swin-B,MEAN,89.99,92.67,89.99,89.78,84.77,98.8,89.2,6.56,4.96,17.04
Swin-S,N5K,93.26,98.85,93.26,95.93,92.22,98.36,100.0,0.0,1.3566,2.7408
Swin-S,MTF,96.62,92.9,96.62,94.2,89.96,99.57,96.1023,6.4623,4.7794,11.6702
Swin-S,VF,72.41,90.37,72.41,76.97,68.76,97.36,66.7075,11.9664,8.1029,29.9261
Swin-S,FKIT,89.45,82.76,89.45,82.24,76.33,99.21,77.883,11.4367,7.0574,29.0647
Swin-S,MEAN,87.93,91.22,87.93,87.34,81.82,98.62,85.17,7.47,5.32,18.35
Y+S2,N5K,64.9,62.85,64.9,61.92,48.89,86.59,48.452,11.5934,6.5544,23.5545
Y+S2,MTF,27.39,32.4,27.39,26.71,18.91,82.07,7.2548,7.3405,6.6042,22.6967
Y+S2,VF,41.03,48.84,41.03,33.3,22.59,93.47,5.9891,10.2758,8.1668,19.5911
Y+S2,FKIT,43.6,41.31,43.6,40.41,28.77,97.33,14.0237,4.0775,5.3642,21.8646
Y+S2,MEAN,44.23,46.35,44.23,40.58,29.79,89.86,18.93,8.32,6.67,21.93
Y+X2,N5K,93.39,86.69,93.39,87.5,81.38,95.59,89.6491,0.0,1.0414,21.9272
Y+X2,MTF,77.13,88.84,77.13,77.25,73.81,91.12,76.6138,0.0773,0.7327,36.6927
Y+X2,VF,81.1,92.0,81.1,83.61,77.86,98.06,77.984,3.1243,2.9622,28.8973
Y+X2,FKIT,87.81,89.93,87.81,88.76,87.29,99.68,89.9824,0.0416,0.2672,30.9607
Y+X2,MEAN,84.86,89.36,84.86,84.28,80.09,96.11,83.56,0.81,1.25,29.62
YOLO,N5K,86.51,78.22,86.51,79.06,72.69,94.34,71.5503,14.4308,10.62,30.5656
YOLO,MTF,73.36,76.03,73.36,73.4,70.59,97.27,65.8062,20.3403,17.9398,40.6069
YOLO,VF,47.92,68.92,47.92,52.82,45.5,95.4,32.4398,28.6916,18.9241,37.2373
YOLO,FKIT,59.7,64.14,59.7,59.5,56.02,95.37,52.1105,17.092,13.5762,43.429
YOLO,MEAN,66.87,71.83,66.87,66.19,61.2,95.59,55.48,20.14,15.27,37.96
kMean++,N5K,25.56,43.93,25.56,31.2,20.37,64.11,4.6032,2.6112,2.8247,16.276
kMean++,MTF,69.72,70.03,69.72,65.98,54.57,97.21,59.2068,1.9343,3.7213,24.3211
kMean++,VF,41.83,50.4,41.83,41.38,32.64,95.03,28.412,5.3511,5.6752,30.2506
kMean++,FKIT,47.07,58.66,47.07,45.8,36.79,94.87,32.759,0.9429,1.5871,32.6759
kMean++,MEAN,46.05,55.76,46.05,46.09,36.09,87.81,31.25,2.71,3.45,25.88
