method,frame,mAP,recall,iou,accuracy
FoodLMM,0,0.0000,0.0000,0.0000,95.5700
FoodLMM,1,0.0000,0.0000,0.0000,95.5294
FoodLMM,2,0.0000,0.0000,0.0000,95.5308
FoodLMM,3,0.0000,0.0000,0.0000,95.5341
FoodLMM,4,0.0000,0.0000,0.0000,95.5483
FoodLMM,5,0.0000,0.0000,0.0000,95.5349
FoodLMM,6,98.9139,92.8804,91.9427,99.6386
FoodLMM,7,98.5196,93.5170,92.2211,99.6492
FoodLMM,8,98.1466,93.7072,92.0779,99.6421
FoodLMM,9,98.2292,94.9189,93.3220,99.6991
FoodLMM,10,0.0000,0.0000,0.0000,95.5508
FoodLMM,11,98.7321,91.0015,89.9503,99.5469
FoodLMM,12,98.6882,95.0039,93.8191,99.7203
FoodLMM,13,98.5158,84.8167,83.7465,99.2564
FoodLMM,14,99.3639,92.8916,92.3425,99.6421
FoodLMM,15,0.0000,0.0000,0.0000,95.3950
FoodLMM,16,99.1952,93.2725,92.5719,99.6609
FoodLMM,17,0.0000,0.0000,0.0000,95.5289
FoodLMM,18,0.0000,0.0000,0.0000,95.5489
FoodLMM,19,0.0000,0.0000,0.0000,95.5136
FoodLMM,20,0.0000,0.0000,0.0000,95.4899
FoodLMM,21,0.0000,0.0000,0.0000,95.4890
FoodLMM,22,0.0000,0.0000,0.0000,95.5174
FoodLMM,23,0.0000,0.0000,0.0000,95.5563
FoodLMM,24,0.0000,0.0000,0.0000,95.5686
FoodLMM,25,0.0000,0.0000,0.0000,95.5848
FoodLMM,26,0.0000,0.0000,0.0000,95.5825
FoodLMM,27,0.0000,0.0000,0.0000,95.5697
FoodLMM,28,99.9428,91.3298,91.2821,99.6139
FoodLMM,29,0.0000,0.0000,0.0000,95.5292
FoodLMM,30,98.7526,91.3781,90.3354,99.5589
FoodLMM,31,99.1209,94.6678,93.8796,99.7182
FoodLMM,32,0.0000,0.0000,0.0000,95.3731
FoodLMM,33,100.0000,49.6603,49.6603,97.6415
FoodLMM,34,100.0000,62.5338,62.5338,98.2150
FoodLMM,35,99.9935,46.3008,46.2994,97.4293
FoodLMM,36,100.0000,52.8466,52.8466,97.7257
FoodLMM,37,0.0000,0.0000,0.0000,95.1661
FoodLMM,38,0.0000,0.0000,0.0000,95.1484
FoodLMM,39,0.0000,0.0000,0.0000,95.1019
FoodLMM,40,100.0000,62.7106,62.7106,98.1685
FoodLMM,41,100.0000,77.2838,77.2838,98.8919
FoodLMM,42,0.0000,0.0000,0.0000,95.1798
FoodLMM,43,99.9600,90.5002,90.4674,99.5424
FoodLMM,44,99.9902,91.2796,91.2714,99.5783
FoodLMM,45,0.0000,0.0000,0.0000,95.2161
FoodLMM,46,99.6008,96.9816,96.6061,99.8377
FoodLMM,47,0.0000,0.0000,0.0000,95.2205
FoodLMM,48,0.0000,0.0000,0.0000,95.2459
FoodLMM,49,99.8297,94.7277,94.5748,99.7422
FoodLMM,50,0.0000,0.0000,0.0000,95.2648
FoodLMM,51,0.0000,0.0000,0.0000,95.2970
FoodLMM,52,0.0000,0.0000,0.0000,95.3001
FoodLMM,53,99.7438,91.1115,90.8988,99.5715
FoodLMM,54,0.0000,0.0000,0.0000,95.2830
FoodLMM,55,100.0000,35.7276,35.7276,96.9643
FoodLMM,56,99.9554,47.8371,47.8269,97.5217
FoodLMM,57,99.9298,63.8428,63.8142,98.2473
FoodLMM,58,99.9602,87.8637,87.8329,99.3966
FoodLMM,59,0.0000,0.0000,0.0000,94.9243
FoodLMM,60,0.0000,0.0000,0.0000,94.8061
FoodLMM,61,99.9844,86.6239,86.6122,99.2844
FoodLMM,62,99.9798,91.0058,90.9891,99.5038
FoodLMM,63,99.8277,98.1698,98.0037,99.8873
FoodLMM,64,100.0000,56.6640,56.6640,97.4823
FoodLMM,65,99.9714,93.0260,93.0012,99.5817
FoodLMM,66,99.8262,97.6269,97.4612,99.8442
FoodLMM,67,99.9962,60.7240,60.7226,97.5418
FoodLMM,68,100.0000,38.7184,38.7184,96.1189
FoodLMM,69,99.8960,95.1099,95.0158,99.6791
FoodLMM,70,99.9828,38.3812,38.3786,95.9553
FoodLMM,71,0.0000,0.0000,0.0000,93.2656
FoodLMM,72,0.0000,0.0000,0.0000,93.0382
FoodLMM,73,0.0000,0.0000,0.0000,92.8532
FoodLMM,74,0.0000,0.0000,0.0000,92.7616
FoodLMM,75,100.0000,30.8008,30.8008,95.0282
FoodLMM,76,100.0000,45.0495,45.0495,96.1033
FoodLMM,77,100.0000,41.6907,41.6907,95.9264
FoodLMM,78,0.0000,0.0000,0.0000,93.1121
FoodLMM,79,100.0000,27.5595,27.5595,95.0434
FoodLMM,80,0.0000,0.0000,0.0000,93.2967
FoodLMM,81,0.0000,0.0000,0.0000,93.4154
FoodLMM,82,0.0000,0.0000,0.0000,93.5064
FoodLMM,83,0.0000,0.0000,0.0000,93.5910
FoodLMM,84,100.0000,43.7903,43.7903,96.3921
FoodLMM,85,100.0000,35.1946,35.1946,95.8173
FoodLMM,86,0.0000,0.0000,0.0000,93.5033
FoodLMM,87,99.9960,56.3093,56.3080,97.1616
FoodLMM,88,0.0000,0.0000,0.0000,93.5984
FoodLMM,89,99.9862,33.3931,33.3916,95.8073
FoodLMM,90,100.0000,31.2732,31.2732,95.7399
FoodLMM,91,0.0000,0.0000,0.0000,93.9008
FoodLMM,92,0.0000,0.0000,0.0000,94.0231
FoodLMM,93,99.9548,54.8759,54.8623,97.3676
FoodLMM,94,0.0000,0.0000,0.0000,94.3106
FoodLMM,95,99.3558,97.7299,97.1145,99.8396
