method,n_frames,le50,r50_75,r75_95,ge95,le50_pct,r50_75_pct,r75_95_pct,ge95_pct
FoodLMM,780,422,2,7,349,54.1,0.3,0.9,44.7
kMean++,780,578,29,150,23,74.1,3.7,19.2,2.9
CCNet-Re,780,46,22,58,654,5.9,2.8,7.4,83.8
CCNet,780,11,18,20,731,1.4,2.3,2.6,93.7
YOLO,780,54,15,95,616,6.9,1.9,12.2,79.0
Swin-S,780,122,66,85,507,15.6,8.5,10.9,65.0
FPN-Re,780,32,44,107,597,4.1,5.6,13.7,76.5
Swin-B,780,15,33,92,640,1.9,4.2,11.8,82.1
SeTR-Naive,780,10,10,25,735,1.3,1.3,3.2,94.2
SegMan,780,61,2,29,688,7.8,0.3,3.7,88.2
SeTR-MLA,780,0,0,1,779,0.0,0.0,0.1,99.9
FoodSAM,780,37,17,44,682,4.7,2.2,5.6,87.4
BiRefNet,780,0,0,0,780,0.0,0.0,0.0,100.0
DEVA,780,0,0,0,780,0.0,0.0,0.0,100.0
FoodMem,780,0,0,0,780,0.0,0.0,0.0,100.0
YOLO+XMem2,780,0,0,0,780,0.0,0.0,0.0,100.0
