method,params_M,speed_ms_img,vram_MB,source
BiRefNet,220.18,130.0,3066,measured+pub_params
CCNet,49.89,66.9,4166,measured
CCNet-Re,49.87,90.2,6320,measured
DEVA,241.0,1512.0,8570,measured+pub_params
DoraemonGPT,,1522.0,6158,measured
FLMM,7706.0,1077.0,18086,measured+pub_params
FLMM+S2,7930.45,559.3,14131,composed(seed+tracker)
FLMM+S3,8567.24,1096.3,14131,composed(seed+tracker)
FLMM+X2,7768.22,541.5,14131,composed(seed+tracker)
FPN-Re,28.49,78.0,4512,measured
FSAM,636.0,1353000.0,12800,published
FoodMem,373.72,541.5,9368,composed(seed+tracker)
S+X2,114.02,541.5,4510,composed(seed+tracker)
SC+S2,276.26,559.3,4880,composed(seed+tracker)
SC+S3,913.05,1096.3,6268,composed(seed+tracker)
SC+X2,114.03,541.5,4880,composed(seed+tracker)
SETR_MLA,311.5,706.6,9368,measured
SF+S2,276.24,559.3,3700,composed(seed+tracker)
SF+S3,913.03,1096.3,6268,composed(seed+tracker)
SF+X2,114.01,541.5,3700,composed(seed+tracker)
SeTM+S2,535.95,559.3,9368,composed(seed+tracker)
SeTM+S3,1172.74,1096.3,9368,composed(seed+tracker)
SeTN,94.82,290.5,6862,measured
Seg+S2,276.25,559.3,4510,composed(seed+tracker)
Seg+S3,913.04,1096.3,6268,composed(seed+tracker)
SegMan_ADE,51.8,120.0,4510,measured
SegMan_COCO,51.81,119.0,4880,measured
SegMan_FS,51.79,114.0,3700,measured
Swin-B,121.24,133.8,7034,measured
Swin-S,81.22,117.9,6642,measured
Y+S2,234.57,559.3,3446,composed(seed+tracker)
Y+S3,871.36,1096.3,6268,composed(seed+tracker)
Y+X2,72.34,541.5,2746,composed(seed+tracker)
YOLO,10.12,56.6,2746,measured
kMean++,,117.0,1,measured
