partition,method,scene,frame,filename,iou
MTF,Y+X2,1,0,1_000.png,0.956167435938246
MTF,Y+X2,1,1,1_001.png,0.9705578345553797
MTF,Y+X2,1,2,1_002.png,0.9744573785371913
MTF,Y+X2,1,3,1_003.png,0.97643156424581
MTF,Y+X2,1,4,1_004.png,0.9735742060920285
MTF,Y+X2,1,5,1_005.png,0.9799604028578807
MTF,Y+X2,1,6,1_006.png,0.9805955107650023
MTF,Y+X2,1,7,1_007.png,0.9780172329191937
MTF,Y+X2,1,8,1_008.png,0.9828350646060299
MTF,Y+X2,1,9,1_009.png,0.9844964703779823
MTF,Y+X2,1,10,1_010.png,0.9728406466512702
MTF,Y+X2,1,11,1_011.png,0.9767574504491658
MTF,Y+X2,1,12,1_012.png,0.9795067902142472
MTF,Y+X2,1,13,1_013.png,0.982731672884945
MTF,Y+X2,1,14,1_014.png,0.9791681823693464
MTF,Y+X2,1,15,1_015.png,0.9835605840827772
MTF,Y+X2,1,16,1_016.png,0.9808342146671137
MTF,Y+X2,1,17,1_017.png,0.9816951626940678
MTF,Y+X2,1,18,1_018.png,0.9785746168724893
MTF,Y+X2,1,19,1_019.png,0.9630904917240546
MTF,Y+X2,1,20,1_020.png,0.9719052344331431
MTF,Y+X2,1,21,1_021.png,0.9780223225482819
MTF,Y+X2,1,22,1_022.png,0.9864198708774607
MTF,Y+X2,1,23,1_023.png,0.985926858397082
MTF,Y+X2,1,24,1_024.png,0.9763460238792521
MTF,Y+X2,1,25,1_025.png,0.9854257624776204
MTF,Y+X2,1,26,1_026.png,0.987561781938398
MTF,Y+X2,1,27,1_027.png,0.9851320996898064
MTF,Y+X2,1,28,1_028.png,0.9883122251869668
MTF,Y+X2,1,29,1_029.png,0.981844099332283
MTF,Y+X2,1,30,1_030.png,0.9835351089588378
MTF,Y+X2,1,31,1_031.png,0.9869676350937826
MTF,Y+X2,1,32,1_032.png,0.9883342091434577
MTF,Y+X2,1,33,1_033.png,0.9876791123515197
MTF,Y+X2,1,34,1_034.png,0.986368
MTF,Y+X2,1,35,1_035.png,0.9896238651102465
MTF,Y+X2,1,36,1_036.png,0.9893811887759165
MTF,Y+X2,1,37,1_037.png,0.9892428857605444
MTF,Y+X2,1,38,1_038.png,0.9869833295272893
MTF,Y+X2,1,39,1_039.png,0.9837050733849532
MTF,Y+X2,1,40,1_040.png,0.9825500749042889
MTF,Y+X2,1,41,1_041.png,0.9888913330400352
MTF,Y+X2,1,42,1_042.png,0.9922027290448343
MTF,Y+X2,1,43,1_043.png,0.9904426964482268
MTF,Y+X2,1,44,1_044.png,0.9911142886324176
MTF,Y+X2,1,45,1_045.png,0.9900884198516828
MTF,Y+X2,1,46,1_046.png,0.987391646966115
MTF,Y+X2,1,47,1_047.png,0.9906636582898934
MTF,Y+X2,1,48,1_048.png,0.9909618573797678
MTF,Y+X2,1,49,1_049.png,0.9872693295958888
MTF,Y+X2,1,50,1_050.png,0.9913444378346222
MTF,Y+X2,1,51,1_051.png,0.9925999715383521
MTF,Y+X2,1,52,1_052.png,0.9927536231884058
MTF,Y+X2,1,53,1_053.png,0.9918250790895602
MTF,Y+X2,1,54,1_054.png,0.9919220653749128
MTF,Y+X2,1,55,1_055.png,0.9923899257111796
MTF,Y+X2,1,56,1_056.png,0.9904886763836406
MTF,Y+X2,1,57,1_057.png,0.9871836121836122
MTF,Y+X2,1,58,1_058.png,0.987999668956385
MTF,Y+X2,1,59,1_059.png,0.9850798149683146
MTF,Y+X2,1,60,1_060.png,0.9789933444259568
MTF,Y+X2,1,61,1_061.png,0.9747566986064897
MTF,Y+X2,1,62,1_062.png,0.9827637814916438
MTF,Y+X2,1,63,1_063.png,0.9757216077690856
MTF,Y+X2,1,64,1_064.png,0.9817112684507381
MTF,Y+X2,1,65,1_065.png,0.9878942562109256
MTF,Y+X2,1,66,1_066.png,0.9850059835277002
MTF,Y+X2,1,67,1_067.png,0.9854861077901583
MTF,Y+X2,1,68,1_068.png,0.990767483769039
MTF,Y+X2,1,69,1_069.png,0.9900648057089543
MTF,Y+X2,1,70,1_070.png,0.9912373470312736
MTF,Y+X2,1,71,1_071.png,0.9910236535480322
MTF,Y+X2,1,72,1_072.png,0.9903623747108713
MTF,Y+X2,1,73,1_073.png,0.9902273259901571
MTF,Y+X2,1,74,1_074.png,0.9857561415370746
MTF,Y+X2,1,75,1_075.png,0.9807821680046643
MTF,Y+X2,1,76,1_076.png,0.958162972130749
MTF,Y+X2,1,77,1_077.png,0.9837691818759647
MTF,Y+X2,1,78,1_078.png,0.9845870513691872
MTF,Y+X2,1,79,1_079.png,0.9830801323247434
MTF,Y+X2,1,80,1_080.png,0.9860930836269238
MTF,Y+X2,1,81,1_081.png,0.9824404584549987
MTF,Y+X2,1,82,1_082.png,0.9784651094245082
MTF,Y+X2,1,83,1_083.png,0.9826272954924875
MTF,Y+X2,1,84,1_084.png,0.9817631307208989
MTF,Y+X2,1,85,1_085.png,0.9798136933533345
MTF,Y+X2,1,86,1_086.png,0.9789198877805486
MTF,Y+X2,1,87,1_087.png,0.9773421337799232
MTF,Y+X2,1,88,1_088.png,0.9758254012505476
MTF,Y+X2,1,89,1_089.png,0.979363822070288
MTF,Y+X2,1,90,1_090.png,0.9783089102962947
MTF,Y+X2,1,91,1_091.png,0.9736073440433967
MTF,Y+X2,1,92,1_092.png,0.9779346510689795
MTF,Y+X2,1,93,1_093.png,0.9803329223181257
MTF,Y+X2,1,94,1_094.png,0.9805493261096432
MTF,Y+X2,1,95,1_095.png,0.9802813653136532
MTF,Y+X2,1,96,1_096.png,0.9796910012973228
MTF,Y+X2,1,97,1_097.png,0.9852771430590563
MTF,Y+X2,1,98,1_098.png,0.9842879688080208
MTF,Y+X2,1,99,1_099.png,0.9850547838444964
MTF,Y+X2,1,100,1_100.png,0.9763064398484742
MTF,Y+X2,1,101,1_101.png,0.9678117459764682
MTF,Y+X2,1,102,1_102.png,0.9731771403547186
MTF,Y+X2,1,103,1_103.png,0.9708751876226763
MTF,Y+X2,1,104,1_104.png,0.973143084115005
MTF,Y+X2,1,105,1_105.png,0.9761990153565258
MTF,Y+X2,1,106,1_106.png,0.9749361644940197
MTF,Y+X2,1,107,1_107.png,0.9778244631185807
MTF,Y+X2,1,108,1_108.png,0.9769676188011516
MTF,Y+X2,1,109,1_109.png,0.9695287239949051
MTF,Y+X2,1,110,1_110.png,0.9724183006535948
MTF,Y+X2,1,111,1_111.png,0.9799216295864503
MTF,Y+X2,1,112,1_112.png,0.9753287894787367
MTF,Y+X2,1,113,1_113.png,0.9803068468055873
MTF,Y+X2,1,114,1_114.png,0.9823486907752125
MTF,Y+X2,1,115,1_115.png,0.9752629188358198
MTF,Y+X2,1,116,1_116.png,0.9736134864402639
MTF,Y+X2,1,117,1_117.png,0.9830343484911696
MTF,Y+X2,1,118,1_118.png,0.9852976049324164
MTF,Y+X2,1,119,1_119.png,0.9867839935760171
MTF,Y+X2,1,120,1_120.png,0.9800551321550186
MTF,Y+X2,1,121,1_121.png,0.9827755603315935
MTF,Y+X2,1,122,1_122.png,0.9835899574113233
MTF,Y+X2,1,123,1_123.png,0.9775125097968288
MTF,Y+X2,1,124,1_124.png,0.9828426776673542
MTF,Y+X2,1,125,1_125.png,0.9773256179633939
MTF,Y+X2,1,126,1_126.png,0.9868851437649917
MTF,Y+X2,1,127,1_127.png,0.9889632936507936
MTF,Y+X2,1,128,1_128.png,0.9913306514485296
MTF,Y+X2,1,129,1_129.png,0.9867137158637619
MTF,Y+X2,1,130,1_130.png,0.9877956451954817
MTF,Y+X2,1,131,1_131.png,0.9866006147602137
MTF,Y+X2,1,132,1_132.png,0.9811745631417762
MTF,Y+X2,1,133,1_133.png,0.9824578282342377
MTF,Y+X2,1,134,1_134.png,0.9857753417506769
MTF,Y+X2,1,135,1_135.png,0.9869677969996389
MTF,Y+X2,1,136,1_136.png,0.9915697765520699
MTF,Y+X2,1,137,1_137.png,0.9918354016982365
MTF,Y+X2,1,138,1_138.png,0.988675068119891
MTF,Y+X2,1,139,1_139.png,0.9896492705588307
MTF,Y+X2,1,140,1_140.png,0.9895187820365695
MTF,Y+X2,1,141,1_141.png,0.9839387384699535
MTF,Y+X2,1,142,1_142.png,0.9855657901507745
MTF,Y+X2,1,143,1_143.png,0.9877342961822333
MTF,Y+X2,1,144,1_144.png,0.9927901756239271
MTF,Y+X2,1,145,1_145.png,0.9896529935232479
MTF,Y+X2,1,146,1_146.png,0.9912826251008353
MTF,Y+X2,1,147,1_147.png,0.9922081186376775
MTF,Y+X2,1,148,1_148.png,0.9918667319941206
MTF,Y+X2,1,149,1_149.png,0.991229341838214
MTF,Y+X2,1,150,1_150.png,0.9919350978796726
MTF,Y+X2,1,151,1_151.png,0.9891553079295593
MTF,Y+X2,1,152,1_152.png,0.9872196832819641
MTF,Y+X2,1,153,1_153.png,0.9902972345720438
MTF,Y+X2,1,154,1_154.png,0.9892433234421365
MTF,Y+X2,1,155,1_155.png,0.9878562995446112
