partition,method,scene,frame,filename,iou
N5K,FLMM+S2,1,0,1_000.png,0.9298989018946702
N5K,FLMM+S2,1,1,1_001.png,0.937500353722462
N5K,FLMM+S2,1,2,1_002.png,0.7275687972378068
N5K,FLMM+S2,1,3,1_003.png,0.40072841604490667
N5K,FLMM+S2,1,4,1_004.png,0.35917952662348285
N5K,FLMM+S2,1,5,1_005.png,0.3928697808577401
N5K,FLMM+S2,1,6,1_006.png,0.2865866485554066
N5K,FLMM+S2,1,7,1_007.png,0.2822529955414996
N5K,FLMM+S2,1,8,1_008.png,0.2783323531288041
N5K,FLMM+S2,1,9,1_009.png,0.2703226458808685
N5K,FLMM+S2,1,10,1_010.png,0.7592044450313367
N5K,FLMM+S2,1,11,1_011.png,0.7480531156224562
N5K,FLMM+S2,1,12,1_012.png,0.7278914032987014
N5K,FLMM+S2,1,13,1_013.png,0.7387348774018244
N5K,FLMM+S2,1,14,1_014.png,0.711978205907928
N5K,FLMM+S2,1,15,1_015.png,0.6865968674424701
N5K,FLMM+S2,1,16,1_016.png,0.6979361783699544
N5K,FLMM+S2,1,17,1_017.png,0.393867072625643
N5K,FLMM+S2,1,18,1_018.png,0.4037986950601091
N5K,FLMM+S2,1,19,1_019.png,0.4150269975768603
N5K,FLMM+S2,1,20,1_020.png,0.43667171687808015
N5K,FLMM+S2,1,21,1_021.png,0.46104751687359385
N5K,FLMM+S2,1,22,1_022.png,0.482968387908329
N5K,FLMM+S2,1,23,1_023.png,0.5126452464475547
N5K,FLMM+S2,1,24,1_024.png,0.7680326996359611
N5K,FLMM+S2,1,25,1_025.png,0.7757624812236957
N5K,FLMM+S2,1,26,1_026.png,0.7484950589708446
N5K,FLMM+S2,1,27,1_027.png,0.7618099026417348
N5K,FLMM+S2,1,28,1_028.png,0.736477404183697
N5K,FLMM+S2,1,29,1_029.png,0.7357924863057268
N5K,FLMM+S2,1,30,1_030.png,0.7329948553421898
N5K,FLMM+S2,1,31,1_031.png,0.7423032367050703
N5K,FLMM+S2,1,32,1_032.png,0.40005863938491115
N5K,FLMM+S2,1,33,1_033.png,0.40527369193373697
N5K,FLMM+S2,1,34,1_034.png,0.4044837729545207
N5K,FLMM+S2,1,35,1_035.png,0.4032626205013417
N5K,FLMM+S2,1,36,1_036.png,0.4144650107042208
N5K,FLMM+S2,1,37,1_037.png,0.4199573477270456
N5K,FLMM+S2,1,38,1_038.png,0.7458626623366297
N5K,FLMM+S2,1,39,1_039.png,0.751802348872671
N5K,FLMM+S2,1,40,1_040.png,0.7593940953642301
N5K,FLMM+S2,1,41,1_041.png,0.7561799276884147
N5K,FLMM+S2,1,42,1_042.png,0.7695149212899999
N5K,FLMM+S2,1,43,1_043.png,0.7436730143813972
N5K,FLMM+S2,1,44,1_044.png,0.7525196037086611
N5K,FLMM+S2,1,45,1_045.png,0.7508788421658035
N5K,FLMM+S2,1,46,1_046.png,0.7512538847805609
N5K,FLMM+S2,1,47,1_047.png,0.7434316179769974
N5K,FLMM+S2,1,48,1_048.png,0.4470287081394562
N5K,FLMM+S2,1,49,1_049.png,0.4308338046955645
N5K,FLMM+S2,1,50,1_050.png,0.41908140767719065
N5K,FLMM+S2,1,51,1_051.png,0.40739133219800633
N5K,FLMM+S2,1,52,1_052.png,0.8004249331308324
N5K,FLMM+S2,1,53,1_053.png,0.8099829499654828
N5K,FLMM+S2,1,54,1_054.png,0.7947875340241956
N5K,FLMM+S2,1,55,1_055.png,0.8017592947436811
N5K,FLMM+S2,1,56,1_056.png,0.8088446483799935
N5K,FLMM+S2,1,57,1_057.png,0.801356144846734
N5K,FLMM+S2,1,58,1_058.png,0.8019737168361022
N5K,FLMM+S2,1,59,1_059.png,0.7964712507038728
N5K,FLMM+S2,1,60,1_060.png,0.8233307642381957
N5K,FLMM+S2,1,61,1_061.png,0.8268545518209344
N5K,FLMM+S2,1,62,1_062.png,0.8198311793966221
N5K,FLMM+S2,1,63,1_063.png,0.814000739918609
N5K,FLMM+S2,10,0,10_000.png,0.47107958863505767
N5K,FLMM+S2,10,1,10_001.png,0.4491584751695509
N5K,FLMM+S2,10,2,10_002.png,0.30483424239273255
N5K,FLMM+S2,10,3,10_003.png,0.4105522794284418
N5K,FLMM+S2,10,4,10_004.png,0.24582723792950686
N5K,FLMM+S2,10,5,10_005.png,0.1326803003396428
N5K,FLMM+S2,10,6,10_006.png,0.15116747430666927
N5K,FLMM+S2,10,7,10_007.png,0.1441237092696594
N5K,FLMM+S2,10,8,10_008.png,0.1323807909870082
N5K,FLMM+S2,10,9,10_009.png,0.12296891339949882
N5K,FLMM+S2,10,10,10_010.png,0.3368629499824525
N5K,FLMM+S2,10,11,10_011.png,0.436501097320554
N5K,FLMM+S2,10,12,10_012.png,0.3785604412245256
N5K,FLMM+S2,10,13,10_013.png,0.37902647663773725
N5K,FLMM+S2,10,14,10_014.png,0.22987306975969904
N5K,FLMM+S2,10,15,10_015.png,0.27245237583552373
N5K,FLMM+S2,10,16,10_016.png,0.2605339177876527
N5K,FLMM+S2,10,17,10_017.png,0.24081831874112808
N5K,FLMM+S2,10,18,10_018.png,0.24009873693465325
N5K,FLMM+S2,10,19,10_019.png,0.2518281549721197
N5K,FLMM+S2,10,20,10_020.png,0.2585972119468735
N5K,FLMM+S2,10,21,10_021.png,0.6703723477135176
N5K,FLMM+S2,10,22,10_022.png,0.6569290250454172
N5K,FLMM+S2,10,23,10_023.png,0.6989775538704014
N5K,FLMM+S2,10,24,10_024.png,0.665712781651129
N5K,FLMM+S2,10,25,10_025.png,0.3931133337070284
N5K,FLMM+S2,10,26,10_026.png,0.3859294544811908
N5K,FLMM+S2,10,27,10_027.png,0.3834961207221232
N5K,FLMM+S2,10,28,10_028.png,0.3867380233917947
N5K,FLMM+S2,10,29,10_029.png,0.4119987715255739
N5K,FLMM+S2,10,30,10_030.png,0.4300402771871013
N5K,FLMM+S2,10,31,10_031.png,0.38632939150556295
N5K,FLMM+S2,10,32,10_032.png,0.4055319624864719
N5K,FLMM+S2,10,33,10_033.png,0.26321849534342256
N5K,FLMM+S2,10,34,10_034.png,0.3893751895755652
N5K,FLMM+S2,10,35,10_035.png,0.3899220760193757
N5K,FLMM+S2,10,36,10_036.png,0.523351968191384
N5K,FLMM+S2,10,37,10_037.png,0.38415751983691976
N5K,FLMM+S2,10,38,10_038.png,0.3743844799502876
N5K,FLMM+S2,10,39,10_039.png,0.4854166294223859
N5K,FLMM+S2,10,40,10_040.png,0.3744701964281117
N5K,FLMM+S2,10,41,10_041.png,0.4536203504763977
N5K,FLMM+S2,10,42,10_042.png,0.4586350088820883
N5K,FLMM+S2,10,43,10_043.png,0.2224844663427856
N5K,FLMM+S2,10,44,10_044.png,0.1933992787480235
N5K,FLMM+S2,10,45,10_045.png,0.19125045040051
N5K,FLMM+S2,10,46,10_046.png,0.19961959811213062
N5K,FLMM+S2,10,47,10_047.png,0.19719696630644712
N5K,FLMM+S2,10,48,10_048.png,0.5462259983146664
N5K,FLMM+S2,10,49,10_049.png,0.5532842232002668
N5K,FLMM+S2,10,50,10_050.png,0.5357116549353413
N5K,FLMM+S2,10,51,10_051.png,0.5259984085144477
N5K,FLMM+S2,10,52,10_052.png,0.5263262892693712
N5K,FLMM+S2,10,53,10_053.png,0.5532772324464792
N5K,FLMM+S2,10,54,10_054.png,0.5557972749743286
N5K,FLMM+S2,10,55,10_055.png,0.5621486330381209
N5K,FLMM+S2,10,56,10_056.png,0.5405029765321351
N5K,FLMM+S2,10,57,10_057.png,0.5718384547140899
N5K,FLMM+S2,2,0,2_000.png,0.9394787642091089
N5K,FLMM+S2,2,1,2_001.png,0.9544117273729906
N5K,FLMM+S2,2,2,2_002.png,0.6820845163861583
N5K,FLMM+S2,2,3,2_003.png,0.31342206206694273
N5K,FLMM+S2,2,4,2_004.png,0.28509185644342633
N5K,FLMM+S2,2,5,2_005.png,0.11342861689083575
N5K,FLMM+S2,2,6,2_006.png,0.07339760446218917
N5K,FLMM+S2,2,7,2_007.png,0.0625215151844277
