partition,method,scene,frame,filename,iou
N5K,SC+X2,1,0,1_000.png,0.708211308473601
N5K,SC+X2,1,1,1_001.png,0.7167112875602606
N5K,SC+X2,1,2,1_002.png,0.7229766938899477
N5K,SC+X2,1,3,1_003.png,0.7332613558346068
N5K,SC+X2,1,4,1_004.png,0.7422826046360395
N5K,SC+X2,1,5,1_005.png,0.793344722005425
N5K,SC+X2,1,6,1_006.png,0.8193555208733742
N5K,SC+X2,1,7,1_007.png,0.815060021905328
N5K,SC+X2,1,8,1_008.png,0.8835759316103905
N5K,SC+X2,1,9,1_009.png,0.8722396901495247
N5K,SC+X2,1,10,1_010.png,0.7850725362681341
N5K,SC+X2,1,11,1_011.png,0.774402907869578
N5K,SC+X2,1,12,1_012.png,0.7872291383699279
N5K,SC+X2,1,13,1_013.png,0.7977160879606296
N5K,SC+X2,1,14,1_014.png,0.7940205761408891
N5K,SC+X2,1,15,1_015.png,0.8029418858620644
N5K,SC+X2,1,16,1_016.png,0.8437320695468071
N5K,SC+X2,1,17,1_017.png,0.8688937464914973
N5K,SC+X2,1,18,1_018.png,0.9085039662735261
N5K,SC+X2,1,19,1_019.png,0.9342547450029215
N5K,SC+X2,1,20,1_020.png,0.9145232458341728
N5K,SC+X2,1,21,1_021.png,0.9279754792456751
N5K,SC+X2,1,22,1_022.png,0.9344897130372857
N5K,SC+X2,1,23,1_023.png,0.9356616186450144
N5K,SC+X2,1,24,1_024.png,0.9295296663250199
N5K,SC+X2,1,25,1_025.png,0.9335128148430145
N5K,SC+X2,1,26,1_026.png,0.9247092385842455
N5K,SC+X2,1,27,1_027.png,0.9206848189889756
N5K,SC+X2,1,28,1_028.png,0.9226007681390669
N5K,SC+X2,1,29,1_029.png,0.9210769599506945
N5K,SC+X2,1,30,1_030.png,0.9111961698710528
N5K,SC+X2,1,31,1_031.png,0.9118301966494105
N5K,SC+X2,1,32,1_032.png,0.9227664494429262
N5K,SC+X2,1,33,1_033.png,0.9231537953081644
N5K,SC+X2,1,34,1_034.png,0.9182976900528733
N5K,SC+X2,1,35,1_035.png,0.9316856732350961
N5K,SC+X2,1,36,1_036.png,0.92363678353472
N5K,SC+X2,1,37,1_037.png,0.923047726999502
N5K,SC+X2,1,38,1_038.png,0.9271962487932699
N5K,SC+X2,1,39,1_039.png,0.9298468410650479
N5K,SC+X2,1,40,1_040.png,0.9281161716792085
N5K,SC+X2,1,41,1_041.png,0.9220408271526758
N5K,SC+X2,1,42,1_042.png,0.9284156453223507
N5K,SC+X2,1,43,1_043.png,0.9305103095239269
N5K,SC+X2,1,44,1_044.png,0.9248648517218742
N5K,SC+X2,1,45,1_045.png,0.9268174426164879
N5K,SC+X2,1,46,1_046.png,0.9285620344014505
