partition,method,scene,frame,filename,iou
N5K,SF+S2,1,0,1_000.png,0.927062113536803
N5K,SF+S2,1,1,1_001.png,0.933987248099314
N5K,SF+S2,1,2,1_002.png,0.7284811031726688
N5K,SF+S2,1,3,1_003.png,0.4020756757823031
N5K,SF+S2,1,4,1_004.png,0.35903257697689855
N5K,SF+S2,1,5,1_005.png,0.396036774475246
N5K,SF+S2,1,6,1_006.png,0.28646499369182304
N5K,SF+S2,1,7,1_007.png,0.2821817398794143
N5K,SF+S2,1,8,1_008.png,0.27817252147373694
N5K,SF+S2,1,9,1_009.png,0.27018560445717676
N5K,SF+S2,1,10,1_010.png,0.7596056809635491
N5K,SF+S2,1,11,1_011.png,0.7479250726275016
N5K,SF+S2,1,12,1_012.png,0.7274316988162735
N5K,SF+S2,1,13,1_013.png,0.7379854419019951
N5K,SF+S2,1,14,1_014.png,0.7123318131873085
N5K,SF+S2,1,15,1_015.png,0.6859861753557349
N5K,SF+S2,1,16,1_016.png,0.6959954195943324
N5K,SF+S2,1,17,1_017.png,0.3930184281597737
N5K,SF+S2,1,18,1_018.png,0.403975174300841
N5K,SF+S2,1,19,1_019.png,0.41552460535421354
N5K,SF+S2,1,20,1_020.png,0.43674899198271655
N5K,SF+S2,1,21,1_021.png,0.461307135048365
N5K,SF+S2,1,22,1_022.png,0.48311956733715944
N5K,SF+S2,1,23,1_023.png,0.5130591376741787
N5K,SF+S2,1,24,1_024.png,0.768514702133084
N5K,SF+S2,1,25,1_025.png,0.7765468575750195
N5K,SF+S2,1,26,1_026.png,0.7486322425735994
N5K,SF+S2,1,27,1_027.png,0.7629997105423844
N5K,SF+S2,1,28,1_028.png,0.7370352828498486
N5K,SF+S2,1,29,1_029.png,0.7362752623224083
N5K,SF+S2,1,30,1_030.png,0.7336634473812091
N5K,SF+S2,1,31,1_031.png,0.742964378057357
N5K,SF+S2,1,32,1_032.png,0.4019365393012441
N5K,SF+S2,1,33,1_033.png,0.40666216399295513
N5K,SF+S2,1,34,1_034.png,0.40619070005768293
N5K,SF+S2,1,35,1_035.png,0.4059278000082588
N5K,SF+S2,1,36,1_036.png,0.4162054485413306
N5K,SF+S2,1,37,1_037.png,0.42175515228687194
