partition,method,scene,frame,filename,iou
VF,CCNet-Re,1,0,1_000.png,0.9813646969792521
VF,CCNet-Re,1,1,1_001.png,0.9637934924418547
VF,CCNet-Re,1,2,1_002.png,0.9834269203510876
VF,CCNet-Re,1,3,1_003.png,0.9856624563289438
VF,CCNet-Re,1,4,1_004.png,0.984179637662669
VF,CCNet-Re,1,5,1_005.png,0.9800799281266458
VF,CCNet-Re,1,6,1_006.png,0.9769189561490779
VF,CCNet-Re,1,7,1_007.png,0.9784269927110275
VF,CCNet-Re,1,8,1_008.png,0.9729753065101019
VF,CCNet-Re,1,9,1_009.png,0.7185362181270663
VF,CCNet-Re,1,10,1_010.png,0.9796951237991333
VF,CCNet-Re,1,11,1_011.png,0.9841163245642208
VF,CCNet-Re,1,12,1_012.png,0.9296985231869063
VF,CCNet-Re,1,13,1_013.png,0.8047349493149643
VF,CCNet-Re,1,14,1_014.png,0.8376650548633067
VF,CCNet-Re,1,15,1_015.png,0.8157129336811246
VF,CCNet-Re,1,16,1_016.png,0.7953228086710651
VF,CCNet-Re,1,17,1_017.png,0.71110081790368
VF,CCNet-Re,1,18,1_018.png,0.9807453416149068
VF,CCNet-Re,1,19,1_019.png,0.9782855628336677
VF,CCNet-Re,1,20,1_020.png,0.9760459779974695
VF,CCNet-Re,1,21,1_021.png,0.9718750652006093
VF,CCNet-Re,1,22,1_022.png,0.9641709763359975
VF,CCNet-Re,1,23,1_023.png,0.9707703549863467
VF,CCNet-Re,1,24,1_024.png,0.9705722784502273
VF,CCNet-Re,1,25,1_025.png,0.9688546441691862
VF,CCNet-Re,1,26,1_026.png,0.9794262787190113
VF,CCNet-Re,1,27,1_027.png,0.9793886963545874
VF,CCNet-Re,1,28,1_028.png,0.9845975630684743
VF,CCNet-Re,1,29,1_029.png,0.9781974026721125
VF,CCNet-Re,1,30,1_030.png,0.9791257637394568
VF,CCNet-Re,1,31,1_031.png,0.9797999773985762
VF,CCNet-Re,1,32,1_032.png,0.9844083809928212
VF,CCNet-Re,1,33,1_033.png,0.9850921720545017
VF,CCNet-Re,1,34,1_034.png,0.9802085758752956
VF,CCNet-Re,1,35,1_035.png,0.9816927722876985
VF,CCNet-Re,1,36,1_036.png,0.9823690605449563
VF,CCNet-Re,1,37,1_037.png,0.9811477305186415
VF,CCNet-Re,1,38,1_038.png,0.9812717296827467
VF,CCNet-Re,1,39,1_039.png,0.9780970614582053
VF,CCNet-Re,1,40,1_040.png,0.9674553641278837
VF,CCNet-Re,1,41,1_041.png,0.8894800747622751
VF,CCNet-Re,1,42,1_042.png,0.9802910898118565
VF,CCNet-Re,1,43,1_043.png,0.9807652896917176
VF,CCNet-Re,1,44,1_044.png,0.9694163702407167
VF,CCNet-Re,1,45,1_045.png,0.9704082989759276
VF,CCNet-Re,1,46,1_046.png,0.9707018187309875
VF,CCNet-Re,1,47,1_047.png,0.9542622701717064
VF,CCNet-Re,1,48,1_048.png,0.9672553348050037
VF,CCNet-Re,1,49,1_049.png,0.8500630554888302
VF,CCNet-Re,1,50,1_050.png,0.9770286801685469
VF,CCNet-Re,1,51,1_051.png,0.9318981822002732
VF,CCNet-Re,1,52,1_052.png,0.9534964108354745
VF,CCNet-Re,1,53,1_053.png,0.9814046942588753
VF,CCNet-Re,1,54,1_054.png,0.9547582949834301
VF,CCNet-Re,1,55,1_055.png,0.8759430331023864
VF,CCNet-Re,1,56,1_056.png,0.8494727941907888
VF,CCNet-Re,1,57,1_057.png,0.9328349373340324
VF,CCNet-Re,1,58,1_058.png,0.9618659975104227
VF,CCNet-Re,1,59,1_059.png,0.9562022462527661
VF,CCNet-Re,1,60,1_060.png,0.9667676963091937
VF,CCNet-Re,1,61,1_061.png,0.9588632326820604
VF,CCNet-Re,1,62,1_062.png,0.9567352885880804
VF,CCNet-Re,1,63,1_063.png,0.9724290892042483
VF,CCNet-Re,1,64,1_064.png,0.9394750858089714
VF,CCNet-Re,1,65,1_065.png,0.9757821148567702
VF,CCNet-Re,1,66,1_066.png,0.9787822878228782
VF,CCNet-Re,1,67,1_067.png,0.9828750377144522
VF,CCNet-Re,1,68,1_068.png,0.9848223679792258
VF,CCNet-Re,1,69,1_069.png,0.9823105481546189
VF,CCNet-Re,1,70,1_070.png,0.9837099031289486
VF,CCNet-Re,1,71,1_071.png,0.9843626669843776
VF,CCNet-Re,1,72,1_072.png,0.9824311724002552
VF,CCNet-Re,1,73,1_073.png,0.9833855583485417
VF,CCNet-Re,1,74,1_074.png,0.980672791829862
VF,CCNet-Re,1,75,1_075.png,0.9795202161663427
VF,CCNet-Re,1,76,1_076.png,0.9823705037675939
VF,CCNet-Re,1,77,1_077.png,0.9863952536824877
VF,CCNet-Re,1,78,1_078.png,0.9775301632363378
VF,CCNet-Re,1,79,1_079.png,0.9813049853372434
VF,CCNet-Re,1,80,1_080.png,0.9674692124676413
VF,CCNet-Re,1,81,1_081.png,0.9706471588149587
VF,CCNet-Re,1,82,1_082.png,0.9010005885815185
VF,CCNet-Re,1,83,1_083.png,0.9636569594562704
VF,CCNet-Re,1,84,1_084.png,0.9650049358341559
VF,CCNet-Re,1,85,1_085.png,0.9704138851802403
VF,CCNet-Re,1,86,1_086.png,0.9702925305310991
VF,CCNet-Re,1,87,1_087.png,0.952613104524181
VF,CCNet-Re,1,88,1_088.png,0.9504881986622588
VF,CCNet-Re,1,89,1_089.png,0.9012120327102804
VF,CCNet-Re,1,90,1_090.png,0.9226134978125224
VF,CCNet-Re,1,91,1_091.png,0.9004550625711035
VF,CCNet-Re,1,92,1_092.png,0.9445402298850575
VF,CCNet-Re,1,93,1_093.png,0.9152294066724379
VF,CCNet-Re,1,94,1_094.png,0.9508399975203026
VF,CCNet-Re,1,95,1_095.png,0.8861650343088382
VF,CCNet-Re,1,96,1_096.png,0.8513828513828514
VF,CCNet-Re,1,97,1_097.png,0.6367348605496346
VF,CCNet-Re,1,98,1_098.png,0.7633879541360981
VF,CCNet-Re,1,99,1_099.png,0.8101096804959466
VF,CCNet-Re,1,100,1_100.png,0.6512558869701727
VF,CCNet-Re,1,101,1_101.png,0.9498374864572048
VF,CCNet-Re,1,102,1_102.png,0.6461090909090909
VF,CCNet-Re,1,103,1_103.png,0.5756023898627799
VF,CCNet-Re,1,104,1_104.png,0.7756174982640611
VF,CCNet-Re,1,105,1_105.png,0.7592866292245541
VF,CCNet-Re,1,106,1_106.png,0.6923234705912518
VF,CCNet-Re,1,107,1_107.png,0.4521566490189972
VF,CCNet-Re,1,108,1_108.png,0.6889404407685713
VF,CCNet-Re,1,109,1_109.png,0.9255169772785294
VF,CCNet-Re,1,110,1_110.png,0.9059924846726877
VF,CCNet-Re,1,111,1_111.png,0.9164696063430241
VF,CCNet-Re,1,112,1_112.png,0.9222666378565255
VF,CCNet-Re,1,113,1_113.png,0.8246654008243413
VF,CCNet-Re,1,114,1_114.png,0.8342176300847063
VF,CCNet-Re,1,115,1_115.png,0.9166204007469843
VF,CCNet-Re,1,116,1_116.png,0.7544399202980161
VF,CCNet-Re,1,117,1_117.png,0.9640366399500364
VF,CCNet-Re,1,118,1_118.png,0.9539511494252874
VF,CCNet-Re,1,119,1_119.png,0.9396938302149374
VF,CCNet-Re,1,120,1_120.png,0.8672003961703533
VF,CCNet-Re,1,121,1_121.png,0.9457410059819699
VF,CCNet-Re,1,122,1_122.png,0.9107950263752826
VF,CCNet-Re,1,123,1_123.png,0.9340033500837521
VF,CCNet-Re,1,124,1_124.png,0.8828465215082315
VF,CCNet-Re,1,125,1_125.png,0.8962547305232937
VF,CCNet-Re,1,126,1_126.png,0.9297936587820835
VF,CCNet-Re,1,127,1_127.png,0.8698630136986302
VF,CCNet-Re,1,128,1_128.png,0.889694458829622
VF,CCNet-Re,1,129,1_129.png,0.9299348230912476
VF,CCNet-Re,1,130,1_130.png,0.9439209377154677
VF,CCNet-Re,1,131,1_131.png,0.9233848548871344
VF,CCNet-Re,1,132,1_132.png,0.9331152718249492
VF,CCNet-Re,1,133,1_133.png,0.9217659137577002
VF,CCNet-Re,1,134,1_134.png,0.950354609929078
VF,CCNet-Re,1,135,1_135.png,0.9407571041269204
VF,CCNet-Re,1,136,1_136.png,0.9605172920544724
VF,CCNet-Re,1,137,1_137.png,0.9449152542372882
VF,CCNet-Re,1,138,1_138.png,0.8141891891891891
VF,CCNet-Re,1,139,1_139.png,0.8873744619799139
VF,CCNet-Re,1,140,1_140.png,0.9363572784493955
VF,CCNet-Re,1,141,1_141.png,0.931916607916205
VF,CCNet-Re,1,142,1_142.png,0.8956885982836126
VF,CCNet-Re,1,143,1_143.png,0.9203800045238634
VF,CCNet-Re,1,144,1_144.png,0.9127813072036179
VF,CCNet-Re,1,145,1_145.png,0.8419086749463068
VF,CCNet-Re,1,146,1_146.png,0.8893277238773933
VF,CCNet-Re,1,147,1_147.png,0.9512077002239845
VF,CCNet-Re,1,148,1_148.png,0.9668365701012969
VF,CCNet-Re,1,149,1_149.png,0.9667003812339532
VF,CCNet-Re,1,150,1_150.png,0.4259641873278237
VF,CCNet-Re,1,151,1_151.png,0.9448409551502335
VF,CCNet-Re,1,152,1_152.png,0.4543683301598548
VF,CCNet-Re,1,153,1_153.png,0.9679164196799052
VF,CCNet-Re,1,154,1_154.png,0.7487422600619195
VF,CCNet-Re,1,155,1_155.png,0.5511648115198411
VF,CCNet-Re,1,156,1_156.png,0.5532863138765091
VF,CCNet-Re,1,157,1_157.png,0.9159855060251116
VF,CCNet-Re,1,158,1_158.png,0.8694537740852042
VF,CCNet-Re,1,159,1_159.png,0.8585606001406579
VF,CCNet-Re,1,160,1_160.png,0.8953401258615523
VF,CCNet-Re,1,161,1_161.png,0.817487490123782
VF,CCNet-Re,1,162,1_162.png,0.9561305732484077
VF,CCNet-Re,1,163,1_163.png,0.8556073818698033
VF,CCNet-Re,1,164,1_164.png,0.8208353108685335
VF,CCNet-Re,1,165,1_165.png,0.8193992730055482
VF,CCNet-Re,1,166,1_166.png,0.9468974333759465
VF,CCNet-Re,1,167,1_167.png,0.950383400992332
VF,CCNet-Re,1,168,1_168.png,0.9523762571484914
VF,CCNet-Re,1,169,1_169.png,0.9551954242135366
VF,CCNet-Re,1,170,1_170.png,0.9334616442122629
VF,CCNet-Re,1,171,1_171.png,0.9341223566269254
VF,CCNet-Re,10,0,10_000.png,0.9310261261849059
VF,CCNet-Re,10,1,10_001.png,0.9442429847404414
VF,CCNet-Re,10,2,10_002.png,0.9445292366202117
VF,CCNet-Re,10,3,10_003.png,0.95046393637444
VF,CCNet-Re,10,4,10_004.png,0.9457522899648089
VF,CCNet-Re,10,5,10_005.png,0.9456800142013034
VF,CCNet-Re,10,6,10_006.png,0.9595214723926381
VF,CCNet-Re,10,7,10_007.png,0.9521360942190747
VF,CCNet-Re,10,8,10_008.png,0.951561645455486
VF,CCNet-Re,10,9,10_009.png,0.9487341861217827
VF,CCNet-Re,10,10,10_010.png,0.6331016739346769
VF,CCNet-Re,10,11,10_011.png,0.612365087970036
VF,CCNet-Re,10,12,10_012.png,0.6099874149687842
VF,CCNet-Re,10,13,10_013.png,0.6008797503086843
VF,CCNet-Re,10,14,10_014.png,0.9294096124193084
VF,CCNet-Re,10,15,10_015.png,0.9047608190067946
VF,CCNet-Re,10,16,10_016.png,0.8151539190410083
VF,CCNet-Re,10,17,10_017.png,0.9532534870846218
VF,CCNet-Re,10,18,10_018.png,0.7703790115227122
VF,CCNet-Re,10,19,10_019.png,0.64198758408411
VF,CCNet-Re,10,20,10_020.png,0.8771434202746206
VF,CCNet-Re,10,21,10_021.png,0.807463419424531
VF,CCNet-Re,10,22,10_022.png,0.8589124540355829
VF,CCNet-Re,10,23,10_023.png,0.8195213399677623
VF,CCNet-Re,10,24,10_024.png,0.7806229965570461
VF,CCNet-Re,10,25,10_025.png,0.924398338864891
VF,CCNet-Re,10,26,10_026.png,0.9249673973793703
VF,CCNet-Re,10,27,10_027.png,0.9454416995966252
VF,CCNet-Re,10,28,10_028.png,0.94405495026054
VF,CCNet-Re,10,29,10_029.png,0.936710088557378
VF,CCNet-Re,10,30,10_030.png,0.9552900901546789
VF,CCNet-Re,10,31,10_031.png,0.9452095004864303
VF,CCNet-Re,10,32,10_032.png,0.9354577617569507
VF,CCNet-Re,10,33,10_033.png,0.9434761929028861
VF,CCNet-Re,10,34,10_034.png,0.9348581027604141
VF,CCNet-Re,10,35,10_035.png,0.9485484006124828
VF,CCNet-Re,10,36,10_036.png,0.9490706061331501
VF,CCNet-Re,10,37,10_037.png,0.949829182279039
VF,CCNet-Re,10,38,10_038.png,0.954105547125274
VF,CCNet-Re,10,39,10_039.png,0.946438112752712
VF,CCNet-Re,10,40,10_040.png,0.9250263690527096
VF,CCNet-Re,10,41,10_041.png,0.9193043059125964
VF,CCNet-Re,10,42,10_042.png,0.9296396616131144
VF,CCNet-Re,10,43,10_043.png,0.9455280685061845
VF,CCNet-Re,10,44,10_044.png,0.9465164282078833
VF,CCNet-Re,10,45,10_045.png,0.9386411466924521
VF,CCNet-Re,10,46,10_046.png,0.9396679245283018
VF,CCNet-Re,10,47,10_047.png,0.9579667070770274
VF,CCNet-Re,10,48,10_048.png,0.9257955166757791
VF,CCNet-Re,10,49,10_049.png,0.9171421634090081
VF,CCNet-Re,10,50,10_050.png,0.9280630143371961
VF,CCNet-Re,10,51,10_051.png,0.9509964042074134
VF,CCNet-Re,10,52,10_052.png,0.9664211787623765
VF,CCNet-Re,10,53,10_053.png,0.9380301700722912
VF,CCNet-Re,10,54,10_054.png,0.9214877900015813
VF,CCNet-Re,10,55,10_055.png,0.9569983456044858
VF,CCNet-Re,10,56,10_056.png,0.9475446428571429
VF,CCNet-Re,10,57,10_057.png,0.9617150259719025
VF,CCNet-Re,10,58,10_058.png,0.9525354342872591
VF,CCNet-Re,10,59,10_059.png,0.947748264448985
VF,CCNet-Re,10,60,10_060.png,0.9655587392550143
VF,CCNet-Re,10,61,10_061.png,0.9570776957769578
VF,CCNet-Re,10,62,10_062.png,0.9587452877160537
VF,CCNet-Re,10,63,10_063.png,0.9545577286579485
VF,CCNet-Re,10,64,10_064.png,0.9562190352020861
VF,CCNet-Re,10,65,10_065.png,0.6100381040704824
VF,CCNet-Re,10,66,10_066.png,0.6856181490217844
VF,CCNet-Re,10,67,10_067.png,0.8774404027949034
VF,CCNet-Re,10,68,10_068.png,0.6427361553300607
VF,CCNet-Re,10,69,10_069.png,0.6258515955401769
VF,CCNet-Re,10,70,10_070.png,0.7521061968993216
VF,CCNet-Re,10,71,10_071.png,0.8420703707675659
VF,CCNet-Re,10,72,10_072.png,0.8067950439717541
VF,CCNet-Re,10,73,10_073.png,0.9339768183837487
VF,CCNet-Re,10,74,10_074.png,0.9497778755223224
VF,CCNet-Re,10,75,10_075.png,0.9602730088536003
VF,CCNet-Re,10,76,10_076.png,0.9667995589108491
VF,CCNet-Re,10,77,10_077.png,0.9295672052384827
VF,CCNet-Re,10,78,10_078.png,0.9561592299479741
VF,CCNet-Re,10,79,10_079.png,0.9424737656975744
VF,CCNet-Re,10,80,10_080.png,0.9504402402806765
VF,CCNet-Re,10,81,10_081.png,0.9468884921509911
VF,CCNet-Re,10,82,10_082.png,0.9503597523565174
VF,CCNet-Re,10,83,10_083.png,0.9445786205034352
VF,CCNet-Re,10,84,10_084.png,0.9376617655157222
VF,CCNet-Re,10,85,10_085.png,0.9468068715815423
VF,CCNet-Re,10,86,10_086.png,0.941541701463273
