partition,method,scene,frame,filename,iou
VF,FLMM+S3,1,0,1_000.png,0.6552375753249208
VF,FLMM+S3,1,1,1_001.png,0.6571853405643657
VF,FLMM+S3,1,2,1_002.png,0.6699925517872023
VF,FLMM+S3,1,3,1_003.png,0.6508275540788792
VF,FLMM+S3,1,4,1_004.png,0.6306348491670418
VF,FLMM+S3,1,5,1_005.png,0.6444149631148365
VF,FLMM+S3,1,6,1_006.png,0.6893468076705546
VF,FLMM+S3,1,7,1_007.png,0.7829217391304348
VF,FLMM+S3,1,8,1_008.png,0.9663248297878352
VF,FLMM+S3,1,9,1_009.png,0.9613777803388268
VF,FLMM+S3,1,10,1_010.png,0.9584844408048666
VF,FLMM+S3,1,11,1_011.png,0.9651830683040009
VF,FLMM+S3,1,12,1_012.png,0.9668103710000607
VF,FLMM+S3,1,13,1_013.png,0.9663583605368153
VF,FLMM+S3,1,14,1_014.png,0.9632275271997465
VF,FLMM+S3,1,15,1_015.png,0.964352063757034
VF,FLMM+S3,1,16,1_016.png,0.9606418705298804
VF,FLMM+S3,1,17,1_017.png,0.9550474083952706
VF,FLMM+S3,1,18,1_018.png,0.9618634310512798
VF,FLMM+S3,1,19,1_019.png,0.9656216176551522
VF,FLMM+S3,1,20,1_020.png,0.9647058823529412
VF,FLMM+S3,1,21,1_021.png,0.9632158367841632
VF,FLMM+S3,1,22,1_022.png,0.9650786353274716
VF,FLMM+S3,1,23,1_023.png,0.9657579102969519
VF,FLMM+S3,1,24,1_024.png,0.9762276273519963
VF,FLMM+S3,1,25,1_025.png,0.9653054134293475
VF,FLMM+S3,1,26,1_026.png,0.9664998074701578
VF,FLMM+S3,1,27,1_027.png,0.6986722738458148
VF,FLMM+S3,1,28,1_028.png,0.948579425596065
VF,FLMM+S3,1,29,1_029.png,0.9648083918450215
VF,FLMM+S3,1,30,1_030.png,0.9614554472117195
VF,FLMM+S3,1,31,1_031.png,0.9640655665201647
VF,FLMM+S3,1,32,1_032.png,0.9650943396226415
VF,FLMM+S3,1,33,1_033.png,0.9697397303229852
VF,FLMM+S3,1,34,1_034.png,0.9705375770219785
VF,FLMM+S3,1,35,1_035.png,0.9836574776746321
VF,FLMM+S3,1,36,1_036.png,0.9652355358836547
VF,FLMM+S3,1,37,1_037.png,0.9817904071810956
VF,FLMM+S3,1,38,1_038.png,0.9812100714017287
VF,FLMM+S3,1,39,1_039.png,0.9657357790601814
VF,FLMM+S3,1,40,1_040.png,0.9797065631689785
VF,FLMM+S3,1,41,1_041.png,0.9635836711991921
VF,FLMM+S3,1,42,1_042.png,0.5500003951038728
VF,FLMM+S3,1,43,1_043.png,0.5696782147080283
VF,FLMM+S3,1,44,1_044.png,0.5488972032164045
VF,FLMM+S3,1,45,1_045.png,0.9709655052868782
VF,FLMM+S3,1,46,1_046.png,0.9685521361408528
VF,FLMM+S3,1,47,1_047.png,0.9577088245200405
VF,FLMM+S3,1,48,1_048.png,0.9668651252813835
VF,FLMM+S3,1,49,1_049.png,0.9596813254722496
VF,FLMM+S3,1,50,1_050.png,0.9605278293592756
VF,FLMM+S3,1,51,1_051.png,0.9709679604416447
VF,FLMM+S3,1,52,1_052.png,0.971685655857435
VF,FLMM+S3,1,53,1_053.png,0.9644700576296668
VF,FLMM+S3,1,54,1_054.png,0.9663041131382921
VF,FLMM+S3,1,55,1_055.png,0.9613487303099949
VF,FLMM+S3,1,56,1_056.png,0.9604991921555518
VF,FLMM+S3,1,57,1_057.png,0.9594819452783258
VF,FLMM+S3,1,58,1_058.png,0.9540653781545056
VF,FLMM+S3,1,59,1_059.png,0.956718845293759
VF,FLMM+S3,1,60,1_060.png,0.9623445900537635
VF,FLMM+S3,1,61,1_061.png,0.9555111676048665
VF,FLMM+S3,1,62,1_062.png,0.9573500659300687
VF,FLMM+S3,1,63,1_063.png,0.9693420356323866
VF,FLMM+S3,1,64,1_064.png,0.9639142083127535
VF,FLMM+S3,1,65,1_065.png,0.9617279774074455
VF,FLMM+S3,1,66,1_066.png,0.9710278357189096
VF,FLMM+S3,1,67,1_067.png,0.976304582071938
VF,FLMM+S3,1,68,1_068.png,0.9745596653456627
VF,FLMM+S3,1,69,1_069.png,0.9754350784215426
VF,FLMM+S3,1,70,1_070.png,0.9728614357262103
VF,FLMM+S3,1,71,1_071.png,0.9648270360432228
VF,FLMM+S3,1,72,1_072.png,0.9650098519036421
VF,FLMM+S3,1,73,1_073.png,0.9616228988956109
VF,FLMM+S3,1,74,1_074.png,0.9702851407781781
VF,FLMM+S3,1,75,1_075.png,0.9639786420609443
VF,FLMM+S3,1,76,1_076.png,0.9678068410462777
VF,FLMM+S3,1,77,1_077.png,0.9654415641789343
VF,FLMM+S3,1,78,1_078.png,0.9693579095499573
VF,FLMM+S3,1,79,1_079.png,0.9681035513571685
VF,FLMM+S3,1,80,1_080.png,0.9756308150353554
VF,FLMM+S3,1,81,1_081.png,0.9642941628718434
VF,FLMM+S3,1,82,1_082.png,0.9525790685462697
VF,FLMM+S3,1,83,1_083.png,0.47126488836556313
VF,FLMM+S3,1,84,1_084.png,0.44791479820627805
VF,FLMM+S3,1,85,1_085.png,0.42305243530856335
VF,FLMM+S3,1,86,1_086.png,0.40058102001291157
VF,FLMM+S3,1,87,1_087.png,0.38423249032128315
VF,FLMM+S3,1,88,1_088.png,0.30153996691750345
VF,FLMM+S3,1,89,1_089.png,0.27579401043240087
VF,FLMM+S3,1,90,1_090.png,0.9408387924630243
VF,FLMM+S3,1,91,1_091.png,0.9376657824933687
VF,FLMM+S3,1,92,1_092.png,0.9380920162381596
VF,FLMM+S3,1,93,1_093.png,0.9376405898525368
VF,FLMM+S3,1,94,1_094.png,0.9405958046888772
VF,FLMM+S3,1,95,1_095.png,0.9401848830886351
VF,FLMM+S3,1,96,1_096.png,0.9388013881473571
VF,FLMM+S3,1,97,1_097.png,0.9471651016284321
VF,FLMM+S3,1,98,1_098.png,0.352180288026995
VF,FLMM+S3,1,99,1_099.png,0.33990634447056967
VF,FLMM+S3,1,100,1_100.png,0.3143173168856977
VF,FLMM+S3,1,101,1_101.png,0.3029947251999319
VF,FLMM+S3,1,102,1_102.png,0.29023554880610036
VF,FLMM+S3,1,103,1_103.png,0.266960481856912
VF,FLMM+S3,1,104,1_104.png,0.9386499540018399
VF,FLMM+S3,1,105,1_105.png,0.940576856249276
VF,FLMM+S3,1,106,1_106.png,0.9486806428146287
VF,FLMM+S3,1,107,1_107.png,0.9501745006311725
VF,FLMM+S3,1,108,1_108.png,0.9597657244716068
VF,FLMM+S3,1,109,1_109.png,0.95731782753928
VF,FLMM+S3,1,110,1_110.png,0.9601331029628207
VF,FLMM+S3,1,111,1_111.png,0.9544409895903745
VF,FLMM+S3,1,112,1_112.png,0.9423620367901893
VF,FLMM+S3,1,113,1_113.png,0.9390955506929248
VF,FLMM+S3,1,114,1_114.png,0.49378072696988423
VF,FLMM+S3,1,115,1_115.png,0.4740864038737989
VF,FLMM+S3,1,116,1_116.png,0.46632792754844143
VF,FLMM+S3,1,117,1_117.png,0.4592293470857254
VF,FLMM+S3,1,118,1_118.png,0.3712519404123206
VF,FLMM+S3,1,119,1_119.png,0.3546341188409065
VF,FLMM+S3,1,120,1_120.png,0.32968679754233476
VF,FLMM+S3,1,121,1_121.png,0.3134551672544619
VF,FLMM+S3,1,122,1_122.png,0.2640836094825389
