partition,method,scene,frame,filename,iou
VF,FoodMem,1,0,1_000.png,0.9848622827198364
VF,FoodMem,1,1,1_001.png,0.9879410316447428
VF,FoodMem,1,2,1_002.png,0.9885628985698135
VF,FoodMem,1,3,1_003.png,0.9904510853484682
VF,FoodMem,1,4,1_004.png,0.9885660651051666
VF,FoodMem,1,5,1_005.png,0.9874347664015904
VF,FoodMem,1,6,1_006.png,0.9895846172809072
VF,FoodMem,1,7,1_007.png,0.9873378537735849
VF,FoodMem,1,8,1_008.png,0.9866116954634189
VF,FoodMem,1,9,1_009.png,0.9883230184177167
VF,FoodMem,1,10,1_010.png,0.9865147745889206
VF,FoodMem,1,11,1_011.png,0.989177457649338
VF,FoodMem,1,12,1_012.png,0.9887790508999226
VF,FoodMem,1,13,1_013.png,0.988792079736347
VF,FoodMem,1,14,1_014.png,0.9890846079327612
VF,FoodMem,1,15,1_015.png,0.9899548454324418
VF,FoodMem,1,16,1_016.png,0.9876076180537438
VF,FoodMem,1,17,1_017.png,0.9852356232724331
VF,FoodMem,1,18,1_018.png,0.9896003075965358
VF,FoodMem,1,19,1_019.png,0.9844257343502227
VF,FoodMem,1,20,1_020.png,0.9873622115053393
VF,FoodMem,1,21,1_021.png,0.9868182670081839
VF,FoodMem,1,22,1_022.png,0.9844768827689458
VF,FoodMem,1,23,1_023.png,0.9836223136365384
VF,FoodMem,1,24,1_024.png,0.9852460547203287
VF,FoodMem,1,25,1_025.png,0.9882523072923437
VF,FoodMem,1,26,1_026.png,0.9874078308925928
VF,FoodMem,1,27,1_027.png,0.9866442111859627
VF,FoodMem,1,28,1_028.png,0.9903523444666271
VF,FoodMem,1,29,1_029.png,0.9891234711706465
VF,FoodMem,1,30,1_030.png,0.9895821771188457
VF,FoodMem,1,31,1_031.png,0.9853417419464803
VF,FoodMem,1,32,1_032.png,0.987333864965444
VF,FoodMem,1,33,1_033.png,0.9862178069152288
VF,FoodMem,1,34,1_034.png,0.988746440517788
VF,FoodMem,1,35,1_035.png,0.9906337399583457
VF,FoodMem,1,36,1_036.png,0.990652499837038
VF,FoodMem,1,37,1_037.png,0.9908356164383562
VF,FoodMem,1,38,1_038.png,0.9911541759094188
VF,FoodMem,1,39,1_039.png,0.9907043450547116
VF,FoodMem,1,40,1_040.png,0.9893792151239976
VF,FoodMem,1,41,1_041.png,0.9876074174581637
VF,FoodMem,1,42,1_042.png,0.9898034959442477
VF,FoodMem,1,43,1_043.png,0.9883358456877753
VF,FoodMem,1,44,1_044.png,0.9897764296146501
VF,FoodMem,1,45,1_045.png,0.9852950917400808
VF,FoodMem,1,46,1_046.png,0.9859748752366202
VF,FoodMem,1,47,1_047.png,0.9843515681032796
VF,FoodMem,1,48,1_048.png,0.9855287809290005
VF,FoodMem,1,49,1_049.png,0.9891005345928271
VF,FoodMem,1,50,1_050.png,0.9888737897061322
VF,FoodMem,1,51,1_051.png,0.98794631132245
VF,FoodMem,1,52,1_052.png,0.986463822245483
VF,FoodMem,1,53,1_053.png,0.9884524775035723
VF,FoodMem,1,54,1_054.png,0.9865986930271756
VF,FoodMem,1,55,1_055.png,0.9862378049659187
VF,FoodMem,1,56,1_056.png,0.9881080770170974
VF,FoodMem,1,57,1_057.png,0.9863042785858371
VF,FoodMem,1,58,1_058.png,0.9862621407830179
VF,FoodMem,1,59,1_059.png,0.9862932940309507
VF,FoodMem,1,60,1_060.png,0.9870205850487541
VF,FoodMem,1,61,1_061.png,0.9824079938076138
VF,FoodMem,1,62,1_062.png,0.9818399100196832
VF,FoodMem,1,63,1_063.png,0.9871360011546927
VF,FoodMem,1,64,1_064.png,0.9854965244062206
VF,FoodMem,1,65,1_065.png,0.9865108322104976
