partition,method,scene,frame,filename,iou
VF,S+X2,apple,0,apple_0.png,0.0
VF,S+X2,apple,1,apple_1.png,0.0
VF,S+X2,apple,2,apple_2.png,0.0
VF,S+X2,apple,3,apple_3.png,0.0
VF,S+X2,apple,4,apple_4.png,0.0
VF,S+X2,apple,5,apple_5.png,0.0
VF,S+X2,apple,6,apple_6.png,0.0
VF,S+X2,apple,7,apple_7.png,0.0
VF,S+X2,apple,8,apple_8.png,0.0
VF,S+X2,apple,9,apple_9.png,0.0
VF,S+X2,apple,10,apple_10.png,0.0
VF,S+X2,apple,11,apple_11.png,0.0
VF,S+X2,apple,12,apple_12.png,0.0
VF,S+X2,apple,13,apple_13.png,0.0
VF,S+X2,apple,14,apple_14.png,0.0
VF,S+X2,apple,15,apple_15.png,0.0
VF,S+X2,apple,16,apple_16.png,0.0
VF,S+X2,apple,17,apple_17.png,0.0
VF,S+X2,apple,18,apple_18.png,0.0
VF,S+X2,apple,19,apple_19.png,0.0
VF,S+X2,apple,20,apple_20.png,0.0
VF,S+X2,apple,21,apple_21.png,0.0
VF,S+X2,apple,22,apple_22.png,0.0
VF,S+X2,apple,23,apple_23.png,0.0
VF,S+X2,apple,24,apple_24.png,0.0
VF,S+X2,apple,25,apple_25.png,0.0
VF,S+X2,apple,26,apple_26.png,0.0
VF,S+X2,apple,27,apple_27.png,0.0
VF,S+X2,apple,28,apple_28.png,0.0
VF,S+X2,apple,29,apple_29.png,0.0
VF,S+X2,apple,30,apple_30.png,0.0
VF,S+X2,apple,31,apple_31.png,0.0
VF,S+X2,apple,32,apple_32.png,0.0
VF,S+X2,apple,33,apple_33.png,0.0
VF,S+X2,apple,34,apple_34.png,0.0
VF,S+X2,apple,35,apple_35.png,0.0
VF,S+X2,apple,36,apple_36.png,0.0
VF,S+X2,apple,37,apple_37.png,0.0
VF,S+X2,apple,38,apple_38.png,0.0
VF,S+X2,apple,39,apple_39.png,0.0
VF,S+X2,apple,40,apple_40.png,0.0
VF,S+X2,apple,41,apple_41.png,0.0
