partition,method,scene,frame,filename,iou
VF,SegMan_ADE,1,0,1_000.png,0.7640192905437883
VF,SegMan_ADE,1,1,1_001.png,0.4617692214455982
VF,SegMan_ADE,1,2,1_002.png,0.6211766000770459
VF,SegMan_ADE,1,3,1_003.png,0.6894684241802171
VF,SegMan_ADE,1,4,1_004.png,0.7241261137765593
VF,SegMan_ADE,1,5,1_005.png,0.19393929941670046
VF,SegMan_ADE,1,6,1_006.png,0.1723427969906189
VF,SegMan_ADE,1,7,1_007.png,0.37860411390999155
VF,SegMan_ADE,1,8,1_008.png,0.7320567168542611
VF,SegMan_ADE,1,9,1_009.png,0.7994605529332435
VF,SegMan_ADE,1,10,1_010.png,0.7235029369135708
VF,SegMan_ADE,1,11,1_011.png,0.733696847104349
VF,SegMan_ADE,1,12,1_012.png,0.8220996834648043
VF,SegMan_ADE,1,13,1_013.png,0.7510556441775359
VF,SegMan_ADE,1,14,1_014.png,0.1182437526558923
VF,SegMan_ADE,1,15,1_015.png,0.8033056928274284
VF,SegMan_ADE,1,16,1_016.png,0.8439136412836791
VF,SegMan_ADE,1,17,1_017.png,0.7585784105035506
VF,SegMan_ADE,1,18,1_018.png,0.6462008765791315
VF,SegMan_ADE,1,19,1_019.png,0.5684214525903832
VF,SegMan_ADE,1,20,1_020.png,0.0
VF,SegMan_ADE,1,21,1_021.png,0.22783323546682324
VF,SegMan_ADE,1,22,1_022.png,0.46095672886065897
VF,SegMan_ADE,1,23,1_023.png,0.5495320946273226
VF,SegMan_ADE,1,24,1_024.png,0.6099152112199432
VF,SegMan_ADE,1,25,1_025.png,0.5779933580905329
VF,SegMan_ADE,1,26,1_026.png,0.565294378043382
VF,SegMan_ADE,1,27,1_027.png,0.5939204373710426
VF,SegMan_ADE,1,28,1_028.png,0.3820268599075741
VF,SegMan_ADE,1,29,1_029.png,0.0
VF,SegMan_ADE,1,30,1_030.png,0.0
VF,SegMan_ADE,1,31,1_031.png,0.10238839349714712
VF,SegMan_ADE,1,32,1_032.png,0.22650276516825346
VF,SegMan_ADE,1,33,1_033.png,0.087523578550256
VF,SegMan_ADE,1,34,1_034.png,0.5533212522652002
VF,SegMan_ADE,1,35,1_035.png,0.8199832675989004
VF,SegMan_ADE,1,36,1_036.png,0.645586038833425
VF,SegMan_ADE,1,37,1_037.png,0.4281014261329222
VF,SegMan_ADE,1,38,1_038.png,0.03819173811379579
VF,SegMan_ADE,1,39,1_039.png,0.0
VF,SegMan_ADE,1,40,1_040.png,0.6074631902385308
VF,SegMan_ADE,1,41,1_041.png,0.4951620008202573
VF,SegMan_ADE,1,42,1_042.png,0.5766213614551307
