partition,method,scene,frame,filename,iou
VF,Swin-B,1,0,1_000.png,0.9826968354682948
VF,Swin-B,1,1,1_001.png,0.9787641287046924
VF,Swin-B,1,2,1_002.png,0.9811770652484452
VF,Swin-B,1,3,1_003.png,0.9809458404028979
VF,Swin-B,1,4,1_004.png,0.9812121298122632
VF,Swin-B,1,5,1_005.png,0.9703218376494024
VF,Swin-B,1,6,1_006.png,0.9768697230210849
VF,Swin-B,1,7,1_007.png,0.9798572794820863
VF,Swin-B,1,8,1_008.png,0.9605587627396479
VF,Swin-B,1,9,1_009.png,0.9574980309402447
VF,Swin-B,1,10,1_010.png,0.9696854350010659
VF,Swin-B,1,11,1_011.png,0.9817743349897691
VF,Swin-B,1,12,1_012.png,0.9668057430359553
VF,Swin-B,1,13,1_013.png,0.83491041782351
VF,Swin-B,1,14,1_014.png,0.9399945731526107
VF,Swin-B,1,15,1_015.png,0.9844366079857833
VF,Swin-B,1,16,1_016.png,0.9873408501587857
VF,Swin-B,1,17,1_017.png,0.9722454439057013
VF,Swin-B,1,18,1_018.png,0.7494484010613043
VF,Swin-B,1,19,1_019.png,0.9037535073323099
VF,Swin-B,1,20,1_020.png,0.9487776986644227
VF,Swin-B,1,21,1_021.png,0.968763050196275
VF,Swin-B,1,22,1_022.png,0.9814136695631519
VF,Swin-B,1,23,1_023.png,0.9735600889638776
VF,Swin-B,1,24,1_024.png,0.9768257384592549
VF,Swin-B,1,25,1_025.png,0.9799292189848258
VF,Swin-B,1,26,1_026.png,0.9833131200958546
VF,Swin-B,1,27,1_027.png,0.9822899452172442
VF,Swin-B,1,28,1_028.png,0.9850430578637256
VF,Swin-B,1,29,1_029.png,0.9618497615610098
VF,Swin-B,1,30,1_030.png,0.9288032269804682
VF,Swin-B,1,31,1_031.png,0.9560990951067145
VF,Swin-B,1,32,1_032.png,0.9709155522304311
VF,Swin-B,1,33,1_033.png,0.970545077608605
VF,Swin-B,1,34,1_034.png,0.9854907929537402
VF,Swin-B,1,35,1_035.png,0.9903887329304848
VF,Swin-B,1,36,1_036.png,0.9878838927044188
VF,Swin-B,1,37,1_037.png,0.9880673167921655
VF,Swin-B,1,38,1_038.png,0.9839924670433146
VF,Swin-B,1,39,1_039.png,0.973034702549575
VF,Swin-B,1,40,1_040.png,0.9704060320719318
VF,Swin-B,1,41,1_041.png,0.8666526088274444
VF,Swin-B,1,42,1_042.png,0.9841256221039987
VF,Swin-B,1,43,1_043.png,0.9815015525221161
VF,Swin-B,1,44,1_044.png,0.9796470654563906
VF,Swin-B,1,45,1_045.png,0.9660741696513981
VF,Swin-B,1,46,1_046.png,0.970342550022664
VF,Swin-B,1,47,1_047.png,0.9710762773004525
VF,Swin-B,1,48,1_048.png,0.971769486835848
VF,Swin-B,1,49,1_049.png,0.9741657696447793
VF,Swin-B,1,50,1_050.png,0.9766127793236484
VF,Swin-B,1,51,1_051.png,0.9740580776868916
VF,Swin-B,1,52,1_052.png,0.9502094497022353
VF,Swin-B,1,53,1_053.png,0.9559496209035654
VF,Swin-B,1,54,1_054.png,0.9855173180630455
VF,Swin-B,1,55,1_055.png,0.98659758003821
VF,Swin-B,1,56,1_056.png,0.9836503649215562
VF,Swin-B,1,57,1_057.png,0.7821999859065605
VF,Swin-B,1,58,1_058.png,0.9740773641282403
VF,Swin-B,1,59,1_059.png,0.9568528457181646
VF,Swin-B,1,60,1_060.png,0.9522771845718021
VF,Swin-B,1,61,1_061.png,0.9624566943979638
VF,Swin-B,1,62,1_062.png,0.8933858095550453
VF,Swin-B,1,63,1_063.png,0.9713269454123112
VF,Swin-B,1,64,1_064.png,0.967105562895804
VF,Swin-B,1,65,1_065.png,0.9802453449501596
VF,Swin-B,1,66,1_066.png,0.926020655044172
VF,Swin-B,1,67,1_067.png,0.9755004170141784
VF,Swin-B,1,68,1_068.png,0.9848199681835496
VF,Swin-B,1,69,1_069.png,0.9816384008583378
VF,Swin-B,1,70,1_070.png,0.9794068179021208
VF,Swin-B,1,71,1_071.png,0.978189048181424
VF,Swin-B,1,72,1_072.png,0.9742562553359164
VF,Swin-B,1,73,1_073.png,0.9601334617501376
VF,Swin-B,1,74,1_074.png,0.8329068492240205
VF,Swin-B,1,75,1_075.png,0.8056198677482219
VF,Swin-B,1,76,1_076.png,0.9731724312682123
VF,Swin-B,1,77,1_077.png,0.9781964093410241
VF,Swin-B,1,78,1_078.png,0.9808246807664446
VF,Swin-B,1,79,1_079.png,0.9787319052156007
VF,Swin-B,1,80,1_080.png,0.9816922241004589
VF,Swin-B,1,81,1_081.png,0.8663454699180009
VF,Swin-B,1,82,1_082.png,0.7713923797459915
VF,Swin-B,1,83,1_083.png,0.9714955461790905
VF,Swin-B,1,84,1_084.png,0.9724966489599365
VF,Swin-B,1,85,1_085.png,0.9720748244626681
VF,Swin-B,1,86,1_086.png,0.9622359963269054
VF,Swin-B,1,87,1_087.png,0.9577226239332942
VF,Swin-B,1,88,1_088.png,0.9290904918534384
VF,Swin-B,1,89,1_089.png,0.9419331395348837
VF,Swin-B,1,90,1_090.png,0.944903777619387
VF,Swin-B,1,91,1_091.png,0.9474966770048737
VF,Swin-B,1,92,1_092.png,0.9600085849191586
VF,Swin-B,1,93,1_093.png,0.9387186629526463
VF,Swin-B,1,94,1_094.png,0.9543037348503587
VF,Swin-B,1,95,1_095.png,0.9583757637474541
VF,Swin-B,1,96,1_096.png,0.9074098709591593
VF,Swin-B,1,97,1_097.png,0.7691246551291698
VF,Swin-B,1,98,1_098.png,0.5873600778697073
VF,Swin-B,1,99,1_099.png,0.5063861524596787
VF,Swin-B,1,100,1_100.png,0.49715358148264
VF,Swin-B,1,101,1_101.png,0.8638645236525884
VF,Swin-B,1,102,1_102.png,0.7784524713131223
VF,Swin-B,1,103,1_103.png,0.9038992938286767
VF,Swin-B,1,104,1_104.png,0.9233875828812538
VF,Swin-B,1,105,1_105.png,0.9373130684245865
VF,Swin-B,1,106,1_106.png,0.751154802795215
VF,Swin-B,1,107,1_107.png,0.8413986887293162
VF,Swin-B,1,108,1_108.png,0.8161981410111085
VF,Swin-B,1,109,1_109.png,0.6736955448876127
VF,Swin-B,1,110,1_110.png,0.6363675508095074
VF,Swin-B,1,111,1_111.png,0.8122426737708889
VF,Swin-B,1,112,1_112.png,0.9456966653932216
VF,Swin-B,1,113,1_113.png,0.9535972754363559
VF,Swin-B,1,114,1_114.png,0.81474175035868
VF,Swin-B,1,115,1_115.png,0.9637761280471753
VF,Swin-B,1,116,1_116.png,0.8158916520292133
VF,Swin-B,1,117,1_117.png,0.0
VF,Swin-B,1,118,1_118.png,0.9512266569022336
VF,Swin-B,1,119,1_119.png,0.9284599781557186
VF,Swin-B,1,120,1_120.png,0.9411711385061639
