method,partition,scene,precision,recall,f1,iou,accuracy
BiRefNet,N5K,8,96.8931,98.3912,97.6297,95.3741,99.1801
BiRefNet,N5K,10,92.8522,99.7932,96.1898,92.6732,98.1067
BiRefNet,N5K,6,93.3701,99.7341,96.4408,93.1391,98.5227
BiRefNet,N5K,2,98.9729,94.4804,96.6617,93.5580,99.0469
BiRefNet,N5K,7,96.2134,99.2194,97.6848,95.4837,99.3022
BiRefNet,N5K,3,98.5745,92.8522,95.6231,91.6186,98.8559
BiRefNet,N5K,9,96.8007,98.9380,97.8523,95.8023,99.0707
BiRefNet,N5K,4,96.0701,99.4177,97.7109,95.5340,99.6389
BiRefNet,N5K,5,93.9780,99.3562,96.5870,93.4144,98.1102
BiRefNet,N5K,1,94.4920,99.8046,97.0724,94.3162,97.9204
FoodMem,N5K,8,95.6590,99.2354,97.4080,94.9517,99.1091
FoodMem,N5K,10,92.4804,99.3657,95.7870,91.9298,97.9161
FoodMem,N5K,6,92.0718,99.8011,95.7747,91.9030,98.2534
FoodMem,N5K,2,95.7143,99.0496,97.3408,94.8239,99.2224
FoodMem,N5K,7,93.9102,99.9153,96.8092,93.8345,99.0286
FoodMem,N5K,3,95.0179,98.1679,96.5588,93.3513,99.0783
FoodMem,N5K,9,96.4626,97.1474,96.7904,93.8421,98.7170
FoodMem,N5K,4,96.7219,99.2180,97.9455,95.9796,99.6725
FoodMem,N5K,5,92.6748,98.2067,95.3406,91.1282,97.4307
FoodMem,N5K,1,92.7661,99.9875,96.2366,92.7551,97.3564
SETR_MLA,N5K,8,98.3036,96.1333,97.1635,94.5116,99.0274
SETR_MLA,N5K,10,93.9160,95.5263,94.6916,89.9362,97.4739
SETR_MLA,N5K,6,93.2627,98.5532,95.8220,91.9925,98.2837
SETR_MLA,N5K,2,94.1349,99.0969,96.5378,93.3142,98.9977
SETR_MLA,N5K,7,93.0386,99.8409,96.3096,92.8996,98.8618
SETR_MLA,N5K,3,93.3874,98.8628,96.0367,92.3826,98.9199
SETR_MLA,N5K,9,96.9985,97.9945,97.4847,95.0994,98.9151
SETR_MLA,N5K,4,95.6180,98.6229,97.0726,94.3242,99.5395
SETR_MLA,N5K,5,95.1307,95.2303,95.1596,90.7769,97.4450
SETR_MLA,N5K,1,94.0992,99.7806,96.8517,93.9025,97.7425
SF+X2,N5K,8,97.2027,96.6229,96.9007,93.9987,98.9450
SF+X2,N5K,10,92.6997,99.0310,95.7477,91.8609,97.8933
SF+X2,N5K,6,91.2357,99.8896,95.3601,91.1437,98.0626
SF+X2,N5K,2,98.8837,95.5808,97.1894,94.5497,99.1940
SF+X2,N5K,7,94.4917,99.9239,97.1226,94.4232,99.1299
SF+X2,N5K,3,97.2090,97.2169,97.2069,94.5685,99.2582
SF+X2,N5K,9,93.4396,98.1950,95.7447,91.9014,98.2268
SF+X2,N5K,4,93.3135,99.8670,96.4735,93.1960,99.4335
SF+X2,N5K,5,90.8924,99.3209,94.8964,90.3276,97.1326
SF+X2,N5K,1,93.2409,99.9744,96.4862,93.2184,97.5347
SeTM+S2,N5K,8,68.5323,70.9249,69.4197,56.6889,89.6968
SeTM+S2,N5K,10,69.1128,75.4886,71.8647,59.6676,86.2787
SeTM+S2,N5K,6,58.8973,63.2881,60.8590,46.0719,83.8093
SeTM+S2,N5K,2,64.8840,67.8439,65.9965,53.6908,90.3801
SeTM+S2,N5K,7,61.7841,66.6588,63.8792,50.1076,89.0919
SeTM+S2,N5K,3,64.9818,66.8947,65.5632,52.8141,90.7410
SeTM+S2,N5K,9,66.8997,68.8100,67.5608,53.9800,85.9436
SeTM+S2,N5K,4,55.3034,57.0146,55.9981,41.9313,93.1427
SeTM+S2,N5K,5,63.3858,67.2589,65.0031,50.1886,80.8525
SeTM+S2,N5K,1,73.7233,78.7461,75.6991,63.2397,82.6897
SeTM+S3,N5K,8,97.1187,99.2027,98.1441,96.3598,99.3551
SeTM+S3,N5K,10,93.3869,99.4235,96.3015,92.8818,98.1791
SeTM+S3,N5K,6,92.0289,99.8796,95.7874,91.9268,98.2493
SeTM+S3,N5K,2,93.1585,99.5960,96.2574,92.7975,98.8907
SeTM+S3,N5K,7,92.8253,99.9523,96.2467,92.7835,98.8526
SeTM+S3,N5K,3,94.3942,99.0806,96.6678,93.5587,99.0686
SeTM+S3,N5K,9,97.6935,99.0675,98.3713,96.7985,99.2933
SeTM+S3,N5K,4,97.3959,99.4060,98.3880,96.8306,99.7449
SeTM+S3,N5K,5,95.1080,99.1093,97.0632,94.3029,98.4020
SeTM+S3,N5K,1,93.9916,99.9814,96.8900,93.9751,97.7932
Seg+S3,N5K,8,86.5523,99.9609,92.7185,86.5216,97.2616
Seg+S3,N5K,10,89.7574,99.9178,94.5566,89.6906,97.2596
Seg+S3,N5K,6,85.9611,99.9528,92.3914,85.9315,96.6670
Seg+S3,N5K,2,87.7739,99.9025,93.4201,87.6976,97.9893
Seg+S3,N5K,7,85.4268,99.9991,92.1164,85.4262,97.4690
Seg+S3,N5K,3,89.5535,99.3735,94.1712,89.0576,98.3237
Seg+S3,N5K,9,85.8202,99.9879,92.2869,85.8116,96.4116
Seg+S3,N5K,4,94.1456,71.7169,78.5828,68.8640,97.2804
Seg+S3,N5K,5,65.2108,99.9443,78.4366,65.1758,85.3028
Seg+S3,N5K,1,68.2478,99.9962,81.1024,68.2461,84.2856
SegMan_ADE,N5K,8,63.1606,99.5708,76.4539,62.8677,88.8467
SegMan_ADE,N5K,10,76.0940,97.2966,84.7084,73.9790,91.2370
SegMan_ADE,N5K,6,61.4968,92.2899,71.2839,56.1484,84.1438
SegMan_ADE,N5K,2,50.1545,90.8501,58.4283,44.4549,81.3328
SegMan_ADE,N5K,7,68.8689,91.7850,74.3624,61.6316,88.1785
SegMan_ADE,N5K,3,50.6246,96.1072,62.1145,47.1447,81.5665
SegMan_ADE,N5K,9,61.4969,97.1001,73.1304,58.7446,83.0179
SegMan_ADE,N5K,4,49.1079,68.3371,49.2311,37.2672,89.7683
SegMan_ADE,N5K,5,69.1485,87.9846,72.8346,58.3100,83.3997
SegMan_ADE,N5K,1,72.3390,99.9094,83.5867,72.2724,86.0087
SegMan_FS,N5K,8,98.0672,96.9472,97.4782,95.0892,99.1370
SegMan_FS,N5K,10,93.4610,96.5910,94.9890,90.4700,97.5553
SegMan_FS,N5K,6,92.3905,98.8622,95.5001,91.4093,98.1210
SegMan_FS,N5K,2,98.1479,95.1976,96.6292,93.4967,99.0402
SegMan_FS,N5K,7,94.5340,99.7705,97.0727,94.3270,99.1172
SegMan_FS,N5K,3,97.2497,96.4097,96.8192,93.8377,99.1587
SegMan_FS,N5K,9,95.7790,99.0939,97.3946,94.9335,98.8772
SegMan_FS,N5K,4,91.4268,99.5700,95.2637,91.0275,99.2001
SegMan_FS,N5K,5,93.4110,98.2182,95.7394,91.8388,97.6723
SegMan_FS,N5K,1,94.1429,99.8791,96.9239,94.0356,97.8145
Y+S3,N5K,8,94.1987,98.8231,96.4393,93.1365,98.7632
Y+S3,N5K,10,92.0948,97.3993,94.5826,89.8962,97.3070
Y+S3,N5K,6,90.2876,94.8375,92.3354,86.0221,96.8511
Y+S3,N5K,2,94.3338,98.5942,96.4093,93.0811,98.9317
Y+S3,N5K,7,91.0995,99.9963,95.3292,91.0963,98.5531
Y+S3,N5K,3,94.5843,98.6285,96.5487,93.3358,99.0512
Y+S3,N5K,9,94.4664,98.8645,96.5999,93.4526,98.5468
Y+S3,N5K,4,89.6717,99.9807,94.5358,89.6563,99.0977
Y+S3,N5K,5,91.0854,21.7657,35.0340,21.3061,78.8158
Y+S3,N5K,1,93.6966,99.9718,96.7293,93.6718,97.6900
YOLO,N5K,8,90.7557,95.1426,92.8808,89.2581,98.0910
YOLO,N5K,10,92.0772,54.7043,65.5521,51.7911,88.1071
YOLO,N5K,6,88.8604,89.6031,88.9080,80.4325,95.7510
YOLO,N5K,2,93.9631,95.8533,94.8908,91.6612,98.8153
YOLO,N5K,7,89.6649,98.1507,93.7032,89.5119,98.3611
YOLO,N5K,3,93.5814,97.3751,95.4330,91.2791,98.7845
YOLO,N5K,9,72.7311,66.2703,66.5882,62.2096,91.5113
YOLO,N5K,4,59.3730,51.7448,51.2631,47.3158,95.8372
YOLO,N5K,5,91.1419,40.0401,48.9947,36.4026,82.8864
YOLO,N5K,1,92.9437,93.3388,92.3916,87.0041,95.2231
BiRefNet,MTF,8,25.6989,99.4553,36.7830,25.5253,87.9203
BiRefNet,MTF,6,70.9760,99.6923,77.1963,70.7456,97.0432
BiRefNet,MTF,7,30.2144,99.7213,42.0699,30.1569,91.6767
BiRefNet,MTF,4,87.0673,93.7416,88.6637,82.1134,98.4996
BiRefNet,MTF,2,93.2207,99.5388,95.5087,92.7989,99.2206
BiRefNet,MTF,1,14.0787,97.5148,24.5389,14.0256,91.4313
BiRefNet,MTF,5,75.3721,99.8753,82.7163,75.2641,95.9765
BiRefNet,MTF,3,93.2207,99.5388,95.5087,92.7989,99.2206
BiRefNet,MTF,14,90.7452,99.5412,93.7358,90.4006,98.7873
BiRefNet,MTF,13,58.6927,96.8325,72.4002,57.3623,95.0230
BiRefNet,MTF,9,43.7942,98.0676,58.1057,43.3346,92.1286
BiRefNet,MTF,10,63.5253,91.1384,70.7640,59.1761,94.6737
BiRefNet,MTF,11,30.3656,99.3108,37.8428,29.9964,90.5167
FoodMem,MTF,8,99.5746,89.8171,94.3008,89.5350,99.6736
FoodMem,MTF,6,98.3774,99.9689,99.1656,98.3473,99.9587
FoodMem,MTF,7,94.5958,99.3585,96.7426,94.0266,99.8456
FoodMem,MTF,4,99.9998,94.5911,97.2179,94.5909,99.7325
FoodMem,MTF,2,98.7218,99.9402,99.3259,98.6629,99.9140
FoodMem,MTF,1,99.8682,97.2151,98.5162,97.0886,99.9583
FoodMem,MTF,5,99.5990,99.7802,99.6890,99.3809,99.9566
FoodMem,MTF,3,98.7218,99.9402,99.3259,98.6629,99.9140
FoodMem,MTF,14,99.3642,99.6960,99.5289,99.0633,99.9137
FoodMem,MTF,13,98.8478,97.1826,97.9912,96.0996,99.7462
FoodMem,MTF,9,99.9497,96.9927,98.4406,96.9443,99.8496
FoodMem,MTF,10,96.9989,96.9308,96.7607,94.1708,99.6021
FoodMem,MTF,11,93.8103,98.0578,95.8277,92.0954,99.8689
SETR_MLA,MTF,8,99.5829,78.3835,86.6222,78.0714,99.3967
SETR_MLA,MTF,6,96.0482,99.3623,97.6623,95.4492,99.8840
SETR_MLA,MTF,7,93.8956,92.5233,92.9642,87.1627,99.6673
SETR_MLA,MTF,4,99.6754,93.7555,96.6082,93.4713,99.6887
SETR_MLA,MTF,2,98.3988,98.4836,98.4123,96.9247,99.8075
SETR_MLA,MTF,1,97.7092,93.6089,95.4974,91.5131,99.8794
SETR_MLA,MTF,5,98.5541,99.2761,98.9041,97.8452,99.8466
SETR_MLA,MTF,3,98.3988,98.4836,98.4123,96.9247,99.8075
SETR_MLA,MTF,14,97.8160,99.5952,98.6879,97.4264,99.7627
SETR_MLA,MTF,13,99.8525,94.4107,97.0275,94.2774,99.6320
SETR_MLA,MTF,9,97.7872,94.9389,96.0392,92.8497,99.5821
SETR_MLA,MTF,10,97.2103,90.7013,93.6577,88.2606,99.2647
SETR_MLA,MTF,11,92.1319,95.1839,93.0267,87.9648,99.7469
SF+X2,MTF,8,99.9982,63.5348,75.9868,63.5335,98.9528
SF+X2,MTF,6,99.4628,98.8682,99.1630,98.3417,99.9588
SF+X2,MTF,7,96.9805,98.9293,97.8300,95.9385,99.9025
SF+X2,MTF,4,99.9999,94.4086,97.1215,94.4085,99.7249
SF+X2,MTF,2,99.0571,99.8210,99.4360,98.8799,99.9281
SF+X2,MTF,1,97.8398,99.7469,98.7792,97.5976,99.9643
SF+X2,MTF,5,99.0075,99.8756,99.4385,98.8867,99.9201
SF+X2,MTF,3,99.0571,99.8210,99.4360,98.8799,99.9281
SF+X2,MTF,14,98.3456,99.7024,99.0182,98.0596,99.8242
SF+X2,MTF,13,98.5763,98.4963,98.5246,97.1165,99.8100
SF+X2,MTF,9,98.9988,98.4694,98.7303,97.5011,99.8729
SF+X2,MTF,10,99.3435,96.0859,97.6858,95.4812,99.7351
SF+X2,MTF,11,93.2886,95.4250,94.2909,89.3193,99.8243
SeTM+S2,MTF,8,40.8436,36.7430,37.3451,25.0757,96.7385
SeTM+S2,MTF,6,43.3406,44.2410,43.5395,31.3539,97.1478
SeTM+S2,MTF,7,36.9664,37.6980,36.6255,25.3598,96.8317
SeTM+S2,MTF,4,39.7363,37.6936,37.3340,24.6281,93.9753
SeTM+S2,MTF,2,62.4029,62.5209,62.2043,46.8272,95.1768
SeTM+S2,MTF,1,33.1522,33.7563,33.1683,23.0572,98.1628
SeTM+S2,MTF,5,71.1746,71.0181,70.9194,56.3867,95.9551
SeTM+S2,MTF,3,62.4029,62.5209,62.2043,46.8272,95.1768
SeTM+S2,MTF,14,17.4597,17.6150,16.2269,12.0191,84.3787
SeTM+S2,MTF,13,41.6160,39.5375,40.2343,28.4150,92.4086
SeTM+S2,MTF,9,21.6007,21.5487,21.2052,15.5513,92.0721
SeTM+S2,MTF,10,6.9653,7.2154,6.9323,5.8355,89.0912
SeTM+S2,MTF,11,26.7626,29.8273,27.8454,20.3592,97.8508
SeTM+S3,MTF,8,99.7799,79.8763,88.5917,79.7299,99.4544
SeTM+S3,MTF,6,96.4903,99.8644,98.1433,96.3619,99.9076
SeTM+S3,MTF,7,94.3314,98.2493,96.1403,92.7673,99.8102
SeTM+S3,MTF,4,99.8998,95.5593,97.6762,95.4655,99.7774
SeTM+S3,MTF,2,98.3242,99.6029,98.9581,97.9389,99.8668
SeTM+S3,MTF,1,98.2770,98.3136,98.2873,96.6368,99.9512
SeTM+S3,MTF,5,99.3414,99.4669,99.4026,98.8140,99.9168
SeTM+S3,MTF,3,98.3242,99.6029,98.9581,97.9389,99.8668
SeTM+S3,MTF,14,98.8406,99.5596,99.1956,98.4080,99.8594
SeTM+S3,MTF,13,99.9330,96.7490,98.2921,96.6841,99.7835
SeTM+S3,MTF,9,99.6647,94.8141,97.1184,94.4942,99.7180
SeTM+S3,MTF,10,97.0287,94.9686,95.6124,92.2600,99.4281
SeTM+S3,MTF,11,93.3212,98.4049,95.7413,91.9382,99.8660
Seg+S3,MTF,8,92.2556,98.4754,94.6745,90.9543,99.6369
Seg+S3,MTF,6,90.2072,99.5903,94.6525,89.8842,99.7226
Seg+S3,MTF,7,90.6985,91.9561,90.9113,84.0691,99.5678
Seg+S3,MTF,4,100.0000,4.1158,7.7447,4.1158,95.1589
Seg+S3,MTF,2,50.2310,99.8505,66.7391,50.1873,93.7309
Seg+S3,MTF,1,87.5832,0.6089,1.2054,0.6083,98.5810
Seg+S3,MTF,5,99.5951,27.6505,43.1310,27.6194,94.9669
Seg+S3,MTF,3,50.2310,99.8505,66.7391,50.1873,93.7309
Seg+S3,MTF,14,99.9645,14.4648,24.5846,14.4640,92.0535
Seg+S3,MTF,13,100.0000,73.3473,83.8410,73.3473,98.2518
Seg+S3,MTF,9,99.9830,0.6422,1.2678,0.6422,94.9806
Seg+S3,MTF,10,0.0000,0.0000,0.0000,0.0000,93.9587
Seg+S3,MTF,11,99.6917,51.4298,67.3160,51.3446,99.2897
SegMan_ADE,MTF,8,68.0772,75.9700,65.8567,52.7079,97.8308
SegMan_ADE,MTF,6,81.4445,71.3138,68.5153,55.7014,98.5427
SegMan_ADE,MTF,7,73.2076,80.3866,70.6008,57.6965,98.3413
SegMan_ADE,MTF,4,9.5000,0.9666,1.5860,0.9666,95.0169
SegMan_ADE,MTF,2,52.2831,99.5240,68.1706,52.1285,94.0030
SegMan_ADE,MTF,1,14.5620,2.6633,4.1523,2.6613,98.6148
SegMan_ADE,MTF,5,73.0903,94.2115,80.4654,68.5406,96.9740
SegMan_ADE,MTF,3,52.2831,99.5240,68.1706,52.1285,94.0030
SegMan_ADE,MTF,14,85.7741,66.7164,68.9622,60.0225,96.4382
SegMan_ADE,MTF,13,73.3333,20.7767,29.2801,20.7767,94.9453
SegMan_ADE,MTF,9,63.3333,18.5914,25.4076,18.5914,95.9713
SegMan_ADE,MTF,10,0.0000,0.0000,0.0000,0.0000,93.9587
SegMan_ADE,MTF,11,42.4588,87.7858,50.7016,36.4418,96.9237
SegMan_FS,MTF,8,79.0156,48.3292,55.7680,47.6477,98.4984
SegMan_FS,MTF,6,98.4105,95.1724,96.6635,93.7486,99.8465
SegMan_FS,MTF,7,93.5783,91.2752,92.0015,85.6971,99.6094
SegMan_FS,MTF,4,97.0160,94.4285,95.4769,91.7277,99.5427
SegMan_FS,MTF,2,99.0964,97.9905,98.5293,97.1068,99.8200
SegMan_FS,MTF,1,56.1167,99.1780,63.8627,55.7296,93.7604
SegMan_FS,MTF,5,98.6253,99.1047,98.8529,97.7508,99.8367
SegMan_FS,MTF,3,99.0964,97.9905,98.5293,97.1068,99.8200
SegMan_FS,MTF,14,97.1881,99.5578,98.3444,96.7684,99.6906
SegMan_FS,MTF,13,94.8837,96.4688,94.9596,91.6140,99.1245
SegMan_FS,MTF,9,99.1704,95.0164,96.9924,94.2375,99.7073
SegMan_FS,MTF,10,93.6475,94.8507,93.0841,88.9264,98.3810
SegMan_FS,MTF,11,92.3335,87.9115,88.9913,81.8980,99.7171
