method,partition,metric,n_runs,mean,std,min,max
BiRefNet,FKIT,continuity,5,99.6989,0.0,99.6989,99.6989
BiRefNet,FKIT,drift,5,0.3789,0.0,0.3789,0.3789
BiRefNet,FKIT,flicker,5,0.1588,0.0,0.1588,0.1588
BiRefNet,FKIT,sigma,5,4.2533,0.0,4.2533,4.2533
BiRefNet,MTF,continuity,5,48.8384,0.0,48.8384,48.8384
BiRefNet,MTF,drift,5,8.2269,0.0,8.2269,8.2269
BiRefNet,MTF,flicker,5,13.7558,0.0,13.7558,13.7558
BiRefNet,MTF,sigma,5,36.7006,0.0,36.7006,36.7006
BiRefNet,N5K,continuity,5,100.0,0.0,100.0,100.0
BiRefNet,N5K,drift,5,0.8671,0.0,0.8671,0.8671
BiRefNet,N5K,flicker,5,0.0,0.0,0.0,0.0
BiRefNet,N5K,sigma,5,1.9495,0.0,1.9495,1.9495
BiRefNet,VF,continuity,5,36.2132,0.0,36.2132,36.2132
BiRefNet,VF,drift,5,6.7993,0.0,6.7993,6.7993
BiRefNet,VF,flicker,5,10.4414,0.0,10.4414,10.4414
BiRefNet,VF,sigma,5,36.335,0.0,36.335,36.335
CCNet,FKIT,continuity,5,77.1172,0.0,77.1172,77.1172
CCNet,FKIT,drift,5,4.9986,0.0,4.9986,4.9986
CCNet,FKIT,flicker,5,6.7886,0.0,6.7886,6.7886
CCNet,FKIT,sigma,5,31.7097,0.0,31.7097,31.7097
CCNet,MTF,continuity,5,89.4758,0.0,89.4758,89.4758
CCNet,MTF,drift,5,5.7787,0.0,5.7787,5.7787
CCNet,MTF,flicker,5,7.9363,0.0,7.9363,7.9363
CCNet,MTF,sigma,5,24.7854,0.0,24.7854,24.7854
CCNet,N5K,continuity,5,100.0,0.0,100.0,100.0
CCNet,N5K,drift,5,1.334,0.0,1.334,1.334
CCNet,N5K,flicker,5,0.0,0.0,0.0,0.0
CCNet,N5K,sigma,5,4.1737,0.0,4.1737,4.1737
CCNet,VF,continuity,5,56.4165,0.0,56.4165,56.4165
CCNet,VF,drift,5,11.3781,0.0,11.3781,11.3781
CCNet,VF,flicker,5,17.6313,0.0,17.6313,17.6313
CCNet,VF,sigma,5,33.4586,0.0,33.4586,33.4586
CCNet-Re,FKIT,continuity,5,83.7287,0.0,83.7287,83.7287
CCNet-Re,FKIT,drift,5,5.4116,0.0,5.4116,5.4116
CCNet-Re,FKIT,flicker,5,7.2784,0.0,7.2784,7.2784
CCNet-Re,FKIT,sigma,5,26.0646,0.0,26.0646,26.0646
CCNet-Re,MTF,continuity,5,91.6037,0.0,91.6037,91.6037
CCNet-Re,MTF,drift,5,3.812,0.0,3.812,3.812
CCNet-Re,MTF,flicker,5,3.8593,0.0,3.8593,3.8593
CCNet-Re,MTF,sigma,5,21.6733,0.0,21.6733,21.6733
CCNet-Re,N5K,continuity,5,100.0,0.0,100.0,100.0
CCNet-Re,N5K,drift,5,1.4616,0.0,1.4616,1.4616
CCNet-Re,N5K,flicker,5,0.0,0.0,0.0,0.0
CCNet-Re,N5K,sigma,5,4.2105,0.0,4.2105,4.2105
CCNet-Re,VF,continuity,5,68.7705,0.0,68.7705,68.7705
CCNet-Re,VF,drift,5,7.5041,0.0,7.5041,7.5041
CCNet-Re,VF,flicker,5,11.0568,0.0,11.0568,11.0568
CCNet-Re,VF,sigma,5,28.6977,0.0,28.6977,28.6977
DEVA,FKIT,continuity,5,99.8403,0.0,99.8403,99.8403
DEVA,FKIT,drift,5,0.321,0.0,0.321,0.321
DEVA,FKIT,flicker,5,0.0971,0.0,0.0971,0.0971
DEVA,FKIT,sigma,5,5.3394,0.0,5.3394,5.3394
DEVA,MTF,continuity,5,92.4631,0.0,92.4631,92.4631
DEVA,MTF,drift,5,1.0875,0.0,1.0875,1.0875
DEVA,MTF,flicker,5,0.1548,0.0,0.1548,0.1548
DEVA,MTF,sigma,5,20.7772,0.0,20.7772,20.7772
DEVA,N5K,continuity,5,74.7838,0.0,74.7838,74.7838
DEVA,N5K,drift,5,1.5334,0.0,1.5334,1.5334
DEVA,N5K,flicker,5,1.3212,0.0,1.3212,1.3212
DEVA,N5K,sigma,5,25.5589,0.0,25.5589,25.5589
DEVA,VF,continuity,5,71.9545,0.0,71.9545,71.9545
DEVA,VF,drift,5,2.4584,0.0,2.4584,2.4584
DEVA,VF,flicker,5,1.839,0.0,1.839,1.839
DEVA,VF,sigma,5,34.3258,0.0,34.3258,34.3258
DoraemonGPT,FKIT,continuity,5,62.2449,0.0,62.2449,62.2449
DoraemonGPT,FKIT,drift,5,0.1801,0.0,0.1801,0.1801
DoraemonGPT,FKIT,flicker,5,0.0,0.0,0.0,0.0
DoraemonGPT,FKIT,sigma,5,46.3012,0.0,46.3012,46.3012
DoraemonGPT,MTF,continuity,5,0.0,0.0,0.0,0.0
DoraemonGPT,MTF,drift,5,0.0008,0.0,0.0008,0.0008
DoraemonGPT,MTF,flicker,5,0.0,0.0,0.0,0.0
DoraemonGPT,MTF,sigma,5,0.0164,0.0,0.0164,0.0164
DoraemonGPT,N5K,continuity,5,0.0,0.0,0.0,0.0
DoraemonGPT,N5K,drift,5,0.062,0.0,0.062,0.062
