partition,method,scene,frame,filename,iou
N5K,FSAM,1,0,1_000.png,0.9241897016411647
N5K,FSAM,1,1,1_001.png,0.9333200300338896
N5K,FSAM,1,2,1_002.png,0.9337661739444033
N5K,FSAM,1,3,1_003.png,0.9413112389849547
N5K,FSAM,1,4,1_004.png,0.9466696370383177
N5K,FSAM,1,5,1_005.png,0.9631714858859125
N5K,FSAM,1,6,1_006.png,0.9425663415361804
N5K,FSAM,1,7,1_007.png,0.9429185252053243
N5K,FSAM,1,8,1_008.png,0.9439082400135588
N5K,FSAM,1,9,1_009.png,0.9260739597410432
N5K,FSAM,1,10,1_010.png,0.9466142707461594
N5K,FSAM,1,11,1_011.png,0.9421234500982452
N5K,FSAM,1,12,1_012.png,0.9243701379266624
N5K,FSAM,1,13,1_013.png,0.9205414528110235
N5K,FSAM,1,14,1_014.png,0.9079736990823384
N5K,FSAM,1,15,1_015.png,0.8988926880677536
N5K,FSAM,1,16,1_016.png,0.9083413666633425
N5K,FSAM,1,17,1_017.png,0.9440567514175027
N5K,FSAM,1,18,1_018.png,0.935747690950967
N5K,FSAM,1,19,1_019.png,0.9441394606520055
N5K,FSAM,1,20,1_020.png,0.9414468994172217
N5K,FSAM,1,21,1_021.png,0.9369054831250299
N5K,FSAM,1,22,1_022.png,0.941709352289869
N5K,FSAM,1,23,1_023.png,0.9354578604137445
N5K,FSAM,1,24,1_024.png,0.9319613057917292
N5K,FSAM,1,25,1_025.png,0.9374286463991751
N5K,FSAM,1,26,1_026.png,0.9315158930966306
N5K,FSAM,1,27,1_027.png,0.9302244515468958
N5K,FSAM,1,28,1_028.png,0.9316230321687573
N5K,FSAM,1,29,1_029.png,0.9285022807264212
N5K,FSAM,1,30,1_030.png,0.9224180905166106
N5K,FSAM,1,31,1_031.png,0.9240357853788304
N5K,FSAM,1,32,1_032.png,0.941958442408377
N5K,FSAM,1,33,1_033.png,0.9329615621426687
N5K,FSAM,1,34,1_034.png,0.9305171357982981
N5K,FSAM,1,35,1_035.png,0.9419204462284534
N5K,FSAM,1,36,1_036.png,0.9387783675748141
N5K,FSAM,1,37,1_037.png,0.9289753231656933
