partition,method,scene,frame,filename,iou
N5K,S+X2,1,0,1_000.png,0.7096799786134994
N5K,S+X2,1,1,1_001.png,0.7162036553569872
N5K,S+X2,1,2,1_002.png,0.7237090324150703
N5K,S+X2,1,3,1_003.png,0.7295702071231954
N5K,S+X2,1,4,1_004.png,0.7405759892501811
N5K,S+X2,1,5,1_005.png,0.7464948789217667
N5K,S+X2,1,6,1_006.png,0.7400195846722883
N5K,S+X2,1,7,1_007.png,0.7504247722235903
N5K,S+X2,1,8,1_008.png,0.7242045279558302
N5K,S+X2,1,9,1_009.png,0.7148662640878788
N5K,S+X2,1,10,1_010.png,0.7221446880865742
N5K,S+X2,1,11,1_011.png,0.7191899627692772
N5K,S+X2,1,12,1_012.png,0.7126880861825032
N5K,S+X2,1,13,1_013.png,0.7205605732594009
N5K,S+X2,1,14,1_014.png,0.7023255169115111
N5K,S+X2,1,15,1_015.png,0.705714270693136
N5K,S+X2,1,16,1_016.png,0.718325811658188
N5K,S+X2,1,17,1_017.png,0.8356520859483385
N5K,S+X2,1,18,1_018.png,0.8165400085746181
N5K,S+X2,1,19,1_019.png,0.8450459735252107
N5K,S+X2,1,20,1_020.png,0.8413024966434538
N5K,S+X2,1,21,1_021.png,0.8234677439975453
N5K,S+X2,1,22,1_022.png,0.8385878721413325
N5K,S+X2,1,23,1_023.png,0.8423691564527309
N5K,S+X2,1,24,1_024.png,0.847095445153474
N5K,S+X2,1,25,1_025.png,0.8520553410606898
N5K,S+X2,1,26,1_026.png,0.850457445370154
N5K,S+X2,1,27,1_027.png,0.834337440861913
N5K,S+X2,1,28,1_028.png,0.8111152597059508
N5K,S+X2,1,29,1_029.png,0.8213922575457632
N5K,S+X2,1,30,1_030.png,0.7593403832236827
N5K,S+X2,1,31,1_031.png,0.7574166322936827
N5K,S+X2,1,32,1_032.png,0.7686950183736068
N5K,S+X2,1,33,1_033.png,0.753956488187527
N5K,S+X2,1,34,1_034.png,0.75407509305941
N5K,S+X2,1,35,1_035.png,0.7699569740349759
N5K,S+X2,1,36,1_036.png,0.7866509226040174
N5K,S+X2,1,37,1_037.png,0.8056006911338803
N5K,S+X2,1,38,1_038.png,0.8041431317770447
N5K,S+X2,1,39,1_039.png,0.8160212288343467
N5K,S+X2,1,40,1_040.png,0.8193616544104628
N5K,S+X2,1,41,1_041.png,0.8184303424688675
N5K,S+X2,1,42,1_042.png,0.8170727267696779
N5K,S+X2,1,43,1_043.png,0.8199503035878033
N5K,S+X2,1,44,1_044.png,0.8204207396341332
N5K,S+X2,1,45,1_045.png,0.823788322311984
N5K,S+X2,1,46,1_046.png,0.8278635091466181
N5K,S+X2,1,47,1_047.png,0.811125952870516
N5K,S+X2,1,48,1_048.png,0.8329946551247448
N5K,S+X2,1,49,1_049.png,0.817302455527449
N5K,S+X2,1,50,1_050.png,0.8302208581709228
