partition,method,scene,frame,filename,iou
N5K,SeTN,1,0,1_000.png,0.9191219750190792
N5K,SeTN,1,1,1_001.png,0.9294744971791816
N5K,SeTN,1,2,1_002.png,0.9316794576717664
N5K,SeTN,1,3,1_003.png,0.9362168114253434
N5K,SeTN,1,4,1_004.png,0.9408424452052765
N5K,SeTN,1,5,1_005.png,0.9558045382409932
N5K,SeTN,1,6,1_006.png,0.9324860083603415
N5K,SeTN,1,7,1_007.png,0.9305581759034384
N5K,SeTN,1,8,1_008.png,0.9362505399760407
N5K,SeTN,1,9,1_009.png,0.9221911090865242
N5K,SeTN,1,10,1_010.png,0.9432417714851945
N5K,SeTN,1,11,1_011.png,0.9400070901632426
N5K,SeTN,1,12,1_012.png,0.9235961077326423
N5K,SeTN,1,13,1_013.png,0.923121847564475
N5K,SeTN,1,14,1_014.png,0.9070951448615864
N5K,SeTN,1,15,1_015.png,0.8908491991872844
N5K,SeTN,1,16,1_016.png,0.9079741362615765
N5K,SeTN,1,17,1_017.png,0.9403495851188768
N5K,SeTN,1,18,1_018.png,0.9308656896107214
N5K,SeTN,1,19,1_019.png,0.937956263907821
N5K,SeTN,1,20,1_020.png,0.9403673850301171
N5K,SeTN,1,21,1_021.png,0.9327795528643537
N5K,SeTN,1,22,1_022.png,0.9387804979752958
N5K,SeTN,1,23,1_023.png,0.9280715606600259
N5K,SeTN,1,24,1_024.png,0.9270947712045291
N5K,SeTN,1,25,1_025.png,0.9302714030319061
N5K,SeTN,1,26,1_026.png,0.9249604820390581
N5K,SeTN,1,27,1_027.png,0.9225076889760113
N5K,SeTN,1,28,1_028.png,0.9223155969644499
N5K,SeTN,1,29,1_029.png,0.9199601044405492
N5K,SeTN,1,30,1_030.png,0.9126125473615594
N5K,SeTN,1,31,1_031.png,0.9170098402165865
N5K,SeTN,1,32,1_032.png,0.9345698501783675
N5K,SeTN,1,33,1_033.png,0.9400241098447354
N5K,SeTN,1,34,1_034.png,0.9385438376612404
N5K,SeTN,1,35,1_035.png,0.9423900207318247
N5K,SeTN,1,36,1_036.png,0.939583878794226
N5K,SeTN,1,37,1_037.png,0.9351654637732313
N5K,SeTN,1,38,1_038.png,0.9423297378751735
N5K,SeTN,1,39,1_039.png,0.9450151506508816
N5K,SeTN,1,40,1_040.png,0.9403791920084265
N5K,SeTN,1,41,1_041.png,0.9357550300331835
N5K,SeTN,1,42,1_042.png,0.9456437418981931
N5K,SeTN,1,43,1_043.png,0.9478096522208694
N5K,SeTN,1,44,1_044.png,0.9438470154694522
N5K,SeTN,1,45,1_045.png,0.94365186806923
N5K,SeTN,1,46,1_046.png,0.9474772731274642
N5K,SeTN,1,47,1_047.png,0.9422999406479216
N5K,SeTN,1,48,1_048.png,0.9380630662544245
N5K,SeTN,1,49,1_049.png,0.9330459254448555
N5K,SeTN,1,50,1_050.png,0.9468512342330906
N5K,SeTN,1,51,1_051.png,0.9379368173484373
N5K,SeTN,1,52,1_052.png,0.9421952885992646
N5K,SeTN,1,53,1_053.png,0.9533217471143757
N5K,SeTN,1,54,1_054.png,0.9242429389462365
N5K,SeTN,1,55,1_055.png,0.9526782694659071
N5K,SeTN,1,56,1_056.png,0.9521281893726143
N5K,SeTN,1,57,1_057.png,0.9408760838233465
N5K,SeTN,1,58,1_058.png,0.9393561712128766
N5K,SeTN,1,59,1_059.png,0.9383034054197629
N5K,SeTN,1,60,1_060.png,0.9436129497610705
N5K,SeTN,1,61,1_061.png,0.9405327139548066
N5K,SeTN,1,62,1_062.png,0.9385915501998752
N5K,SeTN,1,63,1_063.png,0.9427430458594758
N5K,SeTN,10,0,10_000.png,0.8493605190598433
N5K,SeTN,10,1,10_001.png,0.8587497331379876
N5K,SeTN,10,2,10_002.png,0.855161345042212
N5K,SeTN,10,3,10_003.png,0.8656764987299105
N5K,SeTN,10,4,10_004.png,0.8800312654270199
N5K,SeTN,10,5,10_005.png,0.8691317279473523
N5K,SeTN,10,6,10_006.png,0.8753566135908133
N5K,SeTN,10,7,10_007.png,0.8656922119364941
N5K,SeTN,10,8,10_008.png,0.8746468281589648
N5K,SeTN,10,9,10_009.png,0.8655850447466105
N5K,SeTN,10,10,10_010.png,0.8829173958317663
N5K,SeTN,10,11,10_011.png,0.8970297126172664
N5K,SeTN,10,12,10_012.png,0.8965640646748775
N5K,SeTN,10,13,10_013.png,0.8640194734023238
N5K,SeTN,10,14,10_014.png,0.8567402202137924
N5K,SeTN,10,15,10_015.png,0.8494278001358043
N5K,SeTN,10,16,10_016.png,0.8491332480763266
N5K,SeTN,10,17,10_017.png,0.8594857299384765
N5K,SeTN,10,18,10_018.png,0.8528763371059961
N5K,SeTN,10,19,10_019.png,0.8502506148041075
N5K,SeTN,10,20,10_020.png,0.8629109185086414
N5K,SeTN,10,21,10_021.png,0.8606545125914598
N5K,SeTN,10,22,10_022.png,0.8813199764289923
N5K,SeTN,10,23,10_023.png,0.821074024450353
N5K,SeTN,10,24,10_024.png,0.859721980708448
N5K,SeTN,10,25,10_025.png,0.8802333457513463
N5K,SeTN,10,26,10_026.png,0.8460369952142819
N5K,SeTN,10,27,10_027.png,0.9013655936026246
N5K,SeTN,10,28,10_028.png,0.8652333338717754
N5K,SeTN,10,29,10_029.png,0.8588141659464553
N5K,SeTN,10,30,10_030.png,0.8507434747967324
