partition,method,scene,frame,filename,iou
VF,SeTN,apple,0,apple_0.png,0.9493493904030423
VF,SeTN,apple,1,apple_1.png,0.7242631335480436
VF,SeTN,apple,2,apple_2.png,0.5839115510367151
VF,SeTN,apple,3,apple_3.png,0.4814117458536976
VF,SeTN,apple,4,apple_4.png,0.5044958914722293
VF,SeTN,apple,5,apple_5.png,0.5141567822503564
VF,SeTN,apple,6,apple_6.png,0.4571990791742959
VF,SeTN,apple,7,apple_7.png,0.4583968583968584
VF,SeTN,apple,8,apple_8.png,0.863422036194026
VF,SeTN,apple,9,apple_9.png,0.6220260496776516
VF,SeTN,apple,10,apple_10.png,0.6714411479883793
VF,SeTN,apple,11,apple_11.png,0.656078216191949
VF,SeTN,apple,12,apple_12.png,0.6017496396058374
VF,SeTN,apple,13,apple_13.png,0.5299909392932649
VF,SeTN,apple,14,apple_14.png,0.7071690935327299
VF,SeTN,apple,15,apple_15.png,0.6718484105026883
VF,SeTN,apple,16,apple_16.png,0.45789558104098166
VF,SeTN,apple,17,apple_17.png,0.1979102039534135
VF,SeTN,apple,18,apple_18.png,0.319823421759847
VF,SeTN,apple,19,apple_19.png,0.22031165628195357
VF,SeTN,apple,20,apple_20.png,0.2784305301972577
VF,SeTN,apple,21,apple_21.png,0.2617680438835896
VF,SeTN,apple,22,apple_22.png,0.27208482850030713
VF,SeTN,apple,23,apple_23.png,0.43333055717498126
VF,SeTN,apple,24,apple_24.png,0.439990888728598
VF,SeTN,apple,25,apple_25.png,0.50600614741817
VF,SeTN,apple,26,apple_26.png,0.5226770320576561
VF,SeTN,apple,27,apple_27.png,0.3435230360917312
VF,SeTN,apple,28,apple_28.png,0.6399294937138974
VF,SeTN,apple,29,apple_29.png,0.501767748297821
VF,SeTN,apple,30,apple_30.png,0.48691972944995526
VF,SeTN,apple,31,apple_31.png,0.4878785713556606
VF,SeTN,apple,32,apple_32.png,0.5354369817746872
VF,SeTN,apple,33,apple_33.png,0.3105037771255353
VF,SeTN,apple,34,apple_34.png,0.27006852379494667
VF,SeTN,apple,35,apple_35.png,0.3331868378481995
VF,SeTN,apple,36,apple_36.png,0.29020424350584967
VF,SeTN,apple,37,apple_37.png,0.2680724255681458
VF,SeTN,apple,38,apple_38.png,0.3466214046515895
VF,SeTN,apple,39,apple_39.png,0.4047052107967055
VF,SeTN,apple,40,apple_40.png,0.6093999583304396
VF,SeTN,apple,41,apple_41.png,0.6512952736015052
VF,SeTN,apple,42,apple_42.png,0.6100431778929188
VF,SeTN,apple,43,apple_43.png,0.48110630646059
VF,SeTN,apple,44,apple_44.png,0.6292293189221478
VF,SeTN,apple,45,apple_45.png,0.41151881096144916
VF,SeTN,apple,46,apple_46.png,0.14138030748469807
VF,SeTN,apple,47,apple_47.png,0.3853832040227186
VF,SeTN,apple,48,apple_48.png,0.4441593879336232
VF,SeTN,apple,49,apple_49.png,0.2994042994042994
VF,SeTN,apple,50,apple_50.png,0.3611395881586108
VF,SeTN,apple,51,apple_51.png,0.40211198159206707
VF,SeTN,apple,52,apple_52.png,0.45439016057396653
VF,SeTN,apple,53,apple_53.png,0.5191379538880182
VF,SeTN,apple,54,apple_54.png,0.39152372871083096
VF,SeTN,apple,55,apple_55.png,0.3092178711361099
VF,SeTN,apple,56,apple_56.png,0.41407023068914184
VF,SeTN,apple,57,apple_57.png,0.3099864400052917
VF,SeTN,apple,58,apple_58.png,0.39548399311815213
VF,SeTN,apple,59,apple_59.png,0.43179074139169504
VF,SeTN,apple,60,apple_60.png,0.3834074903095485
VF,SeTN,apple,61,apple_61.png,0.3968213490140782
VF,SeTN,apple,62,apple_62.png,0.4093152931529315
VF,SeTN,apple,63,apple_63.png,0.5490848740827763
VF,SeTN,apple,64,apple_64.png,0.3900328864153807
VF,SeTN,apple,65,apple_65.png,0.645815849073957
VF,SeTN,apple,66,apple_66.png,0.4995547194732682
VF,SeTN,apple,67,apple_67.png,0.44978186827905553
VF,SeTN,apple,68,apple_68.png,0.4800799818908926
VF,SeTN,apple,69,apple_69.png,0.3386795103351395
VF,SeTN,apple,70,apple_70.png,0.42234995549326715
VF,SeTN,apple,71,apple_71.png,0.5100920928552798
VF,SeTN,apple,72,apple_72.png,0.3485557239263226
VF,SeTN,apple,73,apple_73.png,0.49724117282234437
VF,SeTN,apple,74,apple_74.png,0.4457999338897612
VF,SeTN,apple,75,apple_75.png,0.4558187826330029
VF,SeTN,apple,76,apple_76.png,0.47760634709894323
VF,SeTN,apple,77,apple_77.png,0.5112682970367726
VF,SeTN,apple,78,apple_78.png,0.4478880033327121
VF,SeTN,apple,79,apple_79.png,0.5203051803100012
VF,SeTN,apple,80,apple_80.png,0.5170931679616828
VF,SeTN,apple,81,apple_81.png,0.520321721418499
VF,SeTN,apple,82,apple_82.png,0.6910412322674734
VF,SeTN,apple,83,apple_83.png,0.647472978684862
VF,SeTN,apple,84,apple_84.png,0.43972496924500054
VF,SeTN,apple,85,apple_85.png,0.33053879586318063
VF,SeTN,apple,86,apple_86.png,0.3432308398347866
VF,SeTN,apple,87,apple_87.png,0.49593089595730033
VF,SeTN,apple,88,apple_88.png,0.2599965064440917
VF,SeTN,apple,89,apple_89.png,0.4974855983857646
VF,SeTN,apple,90,apple_90.png,0.35237286057144857
VF,SeTN,apple,91,apple_91.png,0.36062900407687826
VF,SeTN,apple,92,apple_92.png,0.4474217892882077
VF,SeTN,apple,93,apple_93.png,0.30971084740096944
VF,SeTN,apple,94,apple_94.png,0.2760635781236014
VF,SeTN,apple,95,apple_95.png,0.25139121252031943
VF,SeTN,apple,96,apple_96.png,0.24824760822203276
VF,SeTN,apple,97,apple_97.png,0.19168794036556724
VF,SeTN,apple,98,apple_98.png,0.136943087165504
VF,SeTN,apple,99,apple_99.png,0.16532698223677683
VF,SeTN,apple,100,apple_100.png,0.16996257632460116
VF,SeTN,apple,101,apple_101.png,0.083605156524216
VF,SeTN,apple,102,apple_102.png,0.014129279837017132
VF,SeTN,apple,103,apple_103.png,0.034691486592033326
VF,SeTN,apple,104,apple_104.png,0.03710258320914059
VF,SeTN,apple,105,apple_105.png,0.0640025774341199
VF,SeTN,apple,106,apple_106.png,0.023950157779755645
VF,SeTN,apple,107,apple_107.png,0.11175811870100784
VF,SeTN,apple,108,apple_108.png,0.17599110781771027
VF,SeTN,apple,109,apple_109.png,0.1814676130330297
VF,SeTN,apple,110,apple_110.png,0.20780066769807018
VF,SeTN,apple,111,apple_111.png,0.20201070791195716
VF,SeTN,apple,112,apple_112.png,0.18580271565495207
VF,SeTN,apple,113,apple_113.png,0.21456891963810537
VF,SeTN,apple,114,apple_114.png,0.14363500836302814
VF,SeTN,apple,115,apple_115.png,0.1200746651568499
VF,SeTN,apple,116,apple_116.png,0.053051020243046004
VF,SeTN,apple,117,apple_117.png,0.04085761811842231
VF,SeTN,apple,118,apple_118.png,0.12888916937890493
VF,SeTN,apple,119,apple_119.png,0.1300703229782144
VF,SeTN,apple,120,apple_120.png,0.13620724549686297
VF,SeTN,apple,121,apple_121.png,0.14669128655554448
VF,SeTN,apple,122,apple_122.png,0.1153552853678808
VF,SeTN,apple,123,apple_123.png,0.12500227657675705
VF,SeTN,apple,124,apple_124.png,0.06863782318985838
VF,SeTN,apple,125,apple_125.png,0.05613182853038216
VF,SeTN,apple,126,apple_126.png,0.02753502649839483
VF,SeTN,apple,127,apple_127.png,0.0714647429348164
VF,SeTN,apple,128,apple_128.png,0.11533466010265005
VF,SeTN,apple,129,apple_129.png,0.14579706480193735
VF,SeTN,apple,130,apple_130.png,0.11194512959609286
VF,SeTN,apple,131,apple_131.png,0.10438995080551279
VF,SeTN,apple,132,apple_132.png,0.10545511043511681
VF,SeTN,apple,133,apple_133.png,0.12568357092778687
VF,SeTN,apple,134,apple_134.png,0.13644340587666695
