partition,method,scene,frame,filename,iou
VF,Swin-S,apple,0,apple_0.png,0.9717678049897875
VF,Swin-S,apple,1,apple_1.png,0.7211309025912849
VF,Swin-S,apple,2,apple_2.png,0.5810038406816181
VF,Swin-S,apple,3,apple_3.png,0.47547048930888125
VF,Swin-S,apple,4,apple_4.png,0.4963574030426398
VF,Swin-S,apple,5,apple_5.png,0.4170368638453745
VF,Swin-S,apple,6,apple_6.png,0.43447027043072994
VF,Swin-S,apple,7,apple_7.png,0.3984981105484591
VF,Swin-S,apple,8,apple_8.png,0.8644849663332748
VF,Swin-S,apple,9,apple_9.png,0.5625447455406785
VF,Swin-S,apple,10,apple_10.png,0.6672173665885028
VF,Swin-S,apple,11,apple_11.png,0.6606441953627645
VF,Swin-S,apple,12,apple_12.png,0.6069622909214444
VF,Swin-S,apple,13,apple_13.png,0.5331929853247762
VF,Swin-S,apple,14,apple_14.png,0.6992095729498299
VF,Swin-S,apple,15,apple_15.png,0.6622785126029448
VF,Swin-S,apple,16,apple_16.png,0.5162289179805235
VF,Swin-S,apple,17,apple_17.png,0.42096333935245456
VF,Swin-S,apple,18,apple_18.png,0.7136141511362158
VF,Swin-S,apple,19,apple_19.png,0.4485871333575524
VF,Swin-S,apple,20,apple_20.png,0.27131249238007127
VF,Swin-S,apple,21,apple_21.png,0.25451732965867563
VF,Swin-S,apple,22,apple_22.png,0.26794329833310604
VF,Swin-S,apple,23,apple_23.png,0.4304886011586391
VF,Swin-S,apple,24,apple_24.png,0.44813023053230877
VF,Swin-S,apple,25,apple_25.png,0.5104341110831518
VF,Swin-S,apple,26,apple_26.png,0.5297944947051574
VF,Swin-S,apple,27,apple_27.png,0.3098441695678293
VF,Swin-S,apple,28,apple_28.png,0.5928800723521402
VF,Swin-S,apple,29,apple_29.png,0.44010737054020804
VF,Swin-S,apple,30,apple_30.png,0.48597506002005736
VF,Swin-S,apple,31,apple_31.png,0.43369998347319905
VF,Swin-S,apple,32,apple_32.png,0.5174955051073835
VF,Swin-S,apple,33,apple_33.png,0.2534442505517972
VF,Swin-S,apple,34,apple_34.png,0.29112185238287386
VF,Swin-S,apple,35,apple_35.png,0.3353161050394657
VF,Swin-S,apple,36,apple_36.png,0.2988596695368862
VF,Swin-S,apple,37,apple_37.png,0.26194044496779606
VF,Swin-S,apple,38,apple_38.png,0.2933420709200791
VF,Swin-S,apple,39,apple_39.png,0.40128437345628193
VF,Swin-S,apple,40,apple_40.png,0.6103095141736025
VF,Swin-S,apple,41,apple_41.png,0.6512026428994161
VF,Swin-S,apple,42,apple_42.png,0.6095393988200487
VF,Swin-S,apple,43,apple_43.png,0.4778217941938783
VF,Swin-S,apple,44,apple_44.png,0.6324929385919029
VF,Swin-S,apple,45,apple_45.png,0.40510985727479454
VF,Swin-S,apple,46,apple_46.png,0.14243597506896405
VF,Swin-S,apple,47,apple_47.png,0.38879837067209777
VF,Swin-S,apple,48,apple_48.png,0.44229324051734364
VF,Swin-S,apple,49,apple_49.png,0.2979829214338384
VF,Swin-S,apple,50,apple_50.png,0.3593635031639293
VF,Swin-S,apple,51,apple_51.png,0.4006106424264343
VF,Swin-S,apple,52,apple_52.png,0.4137630038779102
VF,Swin-S,apple,53,apple_53.png,0.5113132399591586
