partition,method,scene,frame,filename,iou
MTF,SC+S3,1,0,1_000.png,0.04075312162029299
MTF,SC+S3,1,1,1_001.png,0.04150587144111168
MTF,SC+S3,1,2,1_002.png,0.030518143952286025
MTF,SC+S3,1,3,1_003.png,0.05191411102327907
MTF,SC+S3,1,4,1_004.png,0.027258876523582404
MTF,SC+S3,1,5,1_005.png,0.07354329057289664
MTF,SC+S3,1,6,1_006.png,0.033516851424745184
MTF,SC+S3,1,7,1_007.png,0.04693486590038314
MTF,SC+S3,1,8,1_008.png,0.058950334023435
MTF,SC+S3,1,9,1_009.png,0.051993145743145744
MTF,SC+S3,1,10,1_010.png,0.05397874852420307
MTF,SC+S3,1,11,1_011.png,0.07293452797836114
MTF,SC+S3,1,12,1_012.png,0.03272763528502704
MTF,SC+S3,1,13,1_013.png,0.01999540335555045
MTF,SC+S3,1,14,1_014.png,0.0408208678452219
MTF,SC+S3,1,15,1_015.png,0.037438255000733604
MTF,SC+S3,1,16,1_016.png,0.03142618500730841
MTF,SC+S3,1,17,1_017.png,0.03398526077097506
MTF,SC+S3,1,18,1_018.png,0.034644620090245604
MTF,SC+S3,1,19,1_019.png,0.038962635201573254
MTF,SC+S3,1,20,1_020.png,0.040201163967611336
MTF,SC+S3,1,21,1_021.png,0.028066361921810567
MTF,SC+S3,1,22,1_022.png,0.028657908294693456
MTF,SC+S3,1,23,1_023.png,0.032590219665271966
MTF,SC+S3,1,24,1_024.png,0.032348295379755164
MTF,SC+S3,1,25,1_025.png,0.02442126685321801
MTF,SC+S3,1,26,1_026.png,0.024706466016206383
MTF,SC+S3,1,27,1_027.png,0.01765024363833243
MTF,SC+S3,1,28,1_028.png,0.02885926374791698
MTF,SC+S3,1,29,1_029.png,0.038744966952822306
MTF,SC+S3,1,30,1_030.png,0.033759571498623214
MTF,SC+S3,1,31,1_031.png,0.04159533782553269
MTF,SC+S3,1,32,1_032.png,0.03856050192097565
MTF,SC+S3,1,33,1_033.png,0.07627147707397373
MTF,SC+S3,1,34,1_034.png,0.07521837593011971
MTF,SC+S3,1,35,1_035.png,0.0
MTF,SC+S3,1,36,1_036.png,0.0
MTF,SC+S3,1,37,1_037.png,0.0
MTF,SC+S3,1,38,1_038.png,0.0
MTF,SC+S3,1,39,1_039.png,0.0
MTF,SC+S3,1,40,1_040.png,0.0
MTF,SC+S3,1,41,1_041.png,0.0
MTF,SC+S3,1,42,1_042.png,0.0
MTF,SC+S3,1,43,1_043.png,0.0
MTF,SC+S3,1,44,1_044.png,0.0
MTF,SC+S3,1,45,1_045.png,0.03826548926699691
MTF,SC+S3,1,46,1_046.png,0.03965309563960492
MTF,SC+S3,1,47,1_047.png,0.0569626850114655
MTF,SC+S3,1,48,1_048.png,0.05473421926910299
MTF,SC+S3,1,49,1_049.png,0.050904082290537174
MTF,SC+S3,1,50,1_050.png,0.05734382451120649
MTF,SC+S3,1,51,1_051.png,0.06244995996797438
MTF,SC+S3,1,52,1_052.png,0.06544696883205846
MTF,SC+S3,1,53,1_053.png,0.061623077786508024
MTF,SC+S3,1,54,1_054.png,0.04028889427870752
MTF,SC+S3,1,55,1_055.png,0.0461814494110305
MTF,SC+S3,1,56,1_056.png,0.03505873241254679
MTF,SC+S3,1,57,1_057.png,0.0546322775589489
MTF,SC+S3,1,58,1_058.png,0.07585001941316767
MTF,SC+S3,1,59,1_059.png,0.05290093196142865
MTF,SC+S3,1,60,1_060.png,0.03779797181614645
MTF,SC+S3,1,61,1_061.png,0.044916656063112355
MTF,SC+S3,1,62,1_062.png,0.05035464560591579
MTF,SC+S3,1,63,1_063.png,0.053314696485623
MTF,SC+S3,1,64,1_064.png,0.05214455724486326
MTF,SC+S3,1,65,1_065.png,0.09426440932326596
MTF,SC+S3,1,66,1_066.png,0.06150261262533541
MTF,SC+S3,1,67,1_067.png,0.07963158399692986
MTF,SC+S3,1,68,1_068.png,0.08909910356099252
MTF,SC+S3,1,69,1_069.png,0.06915608284533678
