partition,method,scene,frame,filename,iou
MTF,SeTN,1,0,1_000.png,0.9421426136539713
MTF,SeTN,1,1,1_001.png,0.9298950589617174
MTF,SeTN,1,2,1_002.png,0.9262164277971817
MTF,SeTN,1,3,1_003.png,0.9240913236547403
MTF,SeTN,1,4,1_004.png,0.9289726259914205
MTF,SeTN,1,5,1_005.png,0.929107032243341
MTF,SeTN,1,6,1_006.png,0.9324546070702386
MTF,SeTN,1,7,1_007.png,0.9222920517560074
MTF,SeTN,1,8,1_008.png,0.91849265354964
MTF,SeTN,1,9,1_009.png,0.9244629822732012
MTF,SeTN,1,10,1_010.png,0.5813636363636364
MTF,SeTN,1,11,1_011.png,0.9280388023843521
MTF,SeTN,1,12,1_012.png,0.10420389842483688
MTF,SeTN,1,13,1_013.png,0.15173126010794802
MTF,SeTN,1,14,1_014.png,0.9123590112790977
MTF,SeTN,1,15,1_015.png,0.860211478353395
MTF,SeTN,1,16,1_016.png,0.9346587374654757
MTF,SeTN,1,17,1_017.png,0.931746991262296
MTF,SeTN,1,18,1_018.png,0.9191899051471216
MTF,SeTN,1,19,1_019.png,0.9327667501018686
MTF,SeTN,1,20,1_020.png,0.9182861156637789
MTF,SeTN,1,21,1_021.png,0.9073686657368666
MTF,SeTN,1,22,1_022.png,0.9138329383886256
MTF,SeTN,1,23,1_023.png,0.894164107064502
MTF,SeTN,1,24,1_024.png,0.8715704281942371
MTF,SeTN,1,25,1_025.png,0.9160032779208617
MTF,SeTN,1,26,1_026.png,0.9195844790711886
MTF,SeTN,1,27,1_027.png,0.9057963858990816
MTF,SeTN,1,28,1_028.png,0.8547875097175434
MTF,SeTN,1,29,1_029.png,0.8610019646365422
MTF,SeTN,1,30,1_030.png,0.8467981712970364
MTF,SeTN,1,31,1_031.png,0.8513509321586996
MTF,SeTN,1,32,1_032.png,0.8790488032328256
MTF,SeTN,1,33,1_033.png,0.8842877137467291
MTF,SeTN,1,34,1_034.png,0.878992892009934
MTF,SeTN,1,35,1_035.png,0.9131781290046989
MTF,SeTN,1,36,1_036.png,0.9262752885689463
MTF,SeTN,1,37,1_037.png,0.8919773676278012
MTF,SeTN,1,38,1_038.png,0.904343987744398
MTF,SeTN,1,39,1_039.png,0.9282498902064119
MTF,SeTN,1,40,1_040.png,0.9032965371238469
MTF,SeTN,1,41,1_041.png,0.8825334478949306
MTF,SeTN,1,42,1_042.png,0.9283803939721237
MTF,SeTN,1,43,1_043.png,0.9373972924328977
MTF,SeTN,1,44,1_044.png,0.9093823116518484
MTF,SeTN,1,45,1_045.png,0.9282195951997134
MTF,SeTN,1,46,1_046.png,0.9169567157518965
MTF,SeTN,1,47,1_047.png,0.9176127385438191
MTF,SeTN,1,48,1_048.png,0.899469973498675
MTF,SeTN,1,49,1_049.png,0.8887580467891348
MTF,SeTN,1,50,1_050.png,0.8674160803759183
MTF,SeTN,1,51,1_051.png,0.8732975134324629
MTF,SeTN,1,52,1_052.png,0.8743101166246285
MTF,SeTN,1,53,1_053.png,0.8683354131493308
MTF,SeTN,1,54,1_054.png,0.8652042007001167
MTF,SeTN,1,55,1_055.png,0.8812692148855137
MTF,SeTN,1,56,1_056.png,0.8681691533345317
MTF,SeTN,1,57,1_057.png,0.8682521087160262
MTF,SeTN,1,58,1_058.png,0.8797215481530505
MTF,SeTN,1,59,1_059.png,0.8684719535783365
MTF,SeTN,1,60,1_060.png,0.8729279206176246
MTF,SeTN,1,61,1_061.png,0.7696531219028742
MTF,SeTN,1,62,1_062.png,0.8731089842543995
MTF,SeTN,1,63,1_063.png,0.8776659871550383
MTF,SeTN,1,64,1_064.png,0.8577905932008608
MTF,SeTN,1,65,1_065.png,0.8809696167449171
MTF,SeTN,1,66,1_066.png,0.8767773489898261
MTF,SeTN,1,67,1_067.png,0.9024050495157253
MTF,SeTN,1,68,1_068.png,0.7752949314068324
MTF,SeTN,1,69,1_069.png,0.6230277185501066
MTF,SeTN,1,70,1_070.png,0.8825664781078794
MTF,SeTN,1,71,1_071.png,0.8993400454985697
MTF,SeTN,1,72,1_072.png,0.8986473240541071
MTF,SeTN,1,73,1_073.png,0.4927181935095179
MTF,SeTN,1,74,1_074.png,0.3866240364400841
MTF,SeTN,1,75,1_075.png,0.3522537296798128
MTF,SeTN,1,76,1_076.png,0.8156210928881371
MTF,SeTN,1,77,1_077.png,0.23542681141345018
MTF,SeTN,1,78,1_078.png,0.9227483674894246
MTF,SeTN,1,79,1_079.png,0.9324027038918443
MTF,SeTN,1,80,1_080.png,0.930893283393817
MTF,SeTN,1,81,1_081.png,0.9065198736557667
MTF,SeTN,1,82,1_082.png,0.9289154103852596
MTF,SeTN,1,83,1_083.png,0.9373021529078344
MTF,SeTN,1,84,1_084.png,0.9418137839517579
MTF,SeTN,1,85,1_085.png,0.9332242110635901
MTF,SeTN,1,86,1_086.png,0.9429046245534947
MTF,SeTN,1,87,1_087.png,0.957873035630932
MTF,SeTN,1,88,1_088.png,0.7860210038759067
MTF,SeTN,1,89,1_089.png,0.10054403367703273
MTF,SeTN,1,90,1_090.png,0.3247147582679022
MTF,SeTN,1,91,1_091.png,0.8903746153029821
MTF,SeTN,1,92,1_092.png,0.9558320063694268
MTF,SeTN,1,93,1_093.png,0.8294340253820903
MTF,SeTN,1,94,1_094.png,0.9540278177033811
MTF,SeTN,1,95,1_095.png,0.9131894260804699
MTF,SeTN,1,96,1_096.png,0.9484932528491854
MTF,SeTN,1,97,1_097.png,0.9409910863378724
MTF,SeTN,1,98,1_098.png,0.8381832250803104
MTF,SeTN,1,99,1_099.png,0.8557752341311134
MTF,SeTN,1,100,1_100.png,0.923617889786139
MTF,SeTN,1,101,1_101.png,0.8357271867205642
MTF,SeTN,1,102,1_102.png,0.9071015795556697
MTF,SeTN,1,103,1_103.png,0.911779255757709
MTF,SeTN,1,104,1_104.png,0.9168872891691704
MTF,SeTN,1,105,1_105.png,0.5607241922183073
MTF,SeTN,1,106,1_106.png,0.34623743223556946
MTF,SeTN,1,107,1_107.png,0.9027598102630444
MTF,SeTN,1,108,1_108.png,0.9037126471476004
MTF,SeTN,1,109,1_109.png,0.9084437596302003
MTF,SeTN,1,110,1_110.png,0.9121654649883906
MTF,SeTN,1,111,1_111.png,0.9204594049728144
MTF,SeTN,1,112,1_112.png,0.9370698741397483
MTF,SeTN,1,113,1_113.png,0.9101244101244101
MTF,SeTN,1,114,1_114.png,0.9297347296091969
MTF,SeTN,1,115,1_115.png,0.8907126334801483
MTF,SeTN,1,116,1_116.png,0.874592175993537
MTF,SeTN,1,117,1_117.png,0.8189042605644015
MTF,SeTN,1,118,1_118.png,0.892758430071863
MTF,SeTN,1,119,1_119.png,0.8931627808521576
MTF,SeTN,1,120,1_120.png,0.8713606143970656
MTF,SeTN,1,121,1_121.png,0.9056330837304288
MTF,SeTN,1,122,1_122.png,0.8904083673414233
MTF,SeTN,1,123,1_123.png,0.8708740995591872
MTF,SeTN,1,124,1_124.png,0.9132469193210881
MTF,SeTN,1,125,1_125.png,0.9186277710181915
MTF,SeTN,1,126,1_126.png,0.887341345613838
