partition,method,scene,frame,filename,iou
N5K,SETR_MLA,1,0,1_000.png,0.9205994587598014
N5K,SETR_MLA,1,1,1_001.png,0.9222455505453382
N5K,SETR_MLA,1,2,1_002.png,0.9291700324780017
N5K,SETR_MLA,1,3,1_003.png,0.9379855669875231
N5K,SETR_MLA,1,4,1_004.png,0.9444631166464088
N5K,SETR_MLA,1,5,1_005.png,0.9570594286202556
N5K,SETR_MLA,1,6,1_006.png,0.9331350944459362
N5K,SETR_MLA,1,7,1_007.png,0.9336833397527925
N5K,SETR_MLA,1,8,1_008.png,0.9317591170103025
N5K,SETR_MLA,1,9,1_009.png,0.9217593331005937
N5K,SETR_MLA,1,10,1_010.png,0.9424613608813462
N5K,SETR_MLA,1,11,1_011.png,0.937464092712616
N5K,SETR_MLA,1,12,1_012.png,0.9216990205330636
N5K,SETR_MLA,1,13,1_013.png,0.9221833825091202
N5K,SETR_MLA,1,14,1_014.png,0.9082221851199034
N5K,SETR_MLA,1,15,1_015.png,0.8970628912018345
N5K,SETR_MLA,1,16,1_016.png,0.9183138213166636
N5K,SETR_MLA,1,17,1_017.png,0.9469379108718882
N5K,SETR_MLA,1,18,1_018.png,0.9383581698178214
N5K,SETR_MLA,1,19,1_019.png,0.9466413714909413
N5K,SETR_MLA,1,20,1_020.png,0.9461266743855488
N5K,SETR_MLA,1,21,1_021.png,0.9407492390540857
N5K,SETR_MLA,1,22,1_022.png,0.9440759873742908
N5K,SETR_MLA,1,23,1_023.png,0.9370862196551399
N5K,SETR_MLA,1,24,1_024.png,0.9372180064739419
N5K,SETR_MLA,1,25,1_025.png,0.9414044840153157
N5K,SETR_MLA,1,26,1_026.png,0.9339538878811277
N5K,SETR_MLA,1,27,1_027.png,0.9314605187372164
N5K,SETR_MLA,1,28,1_028.png,0.9334842069627561
N5K,SETR_MLA,1,29,1_029.png,0.9334076043987638
N5K,SETR_MLA,1,30,1_030.png,0.9225151665894757
N5K,SETR_MLA,1,31,1_031.png,0.9229749051715109
N5K,SETR_MLA,1,32,1_032.png,0.9470798450402327
N5K,SETR_MLA,1,33,1_033.png,0.9437531649505602
N5K,SETR_MLA,1,34,1_034.png,0.9396655605853397
N5K,SETR_MLA,1,35,1_035.png,0.9439665006440834
N5K,SETR_MLA,1,36,1_036.png,0.9431647392262444
N5K,SETR_MLA,1,37,1_037.png,0.940342006759013
N5K,SETR_MLA,1,38,1_038.png,0.9458624970193427
N5K,SETR_MLA,1,39,1_039.png,0.9482723355277983
N5K,SETR_MLA,1,40,1_040.png,0.9491347936551535
N5K,SETR_MLA,1,41,1_041.png,0.9449136737332087
N5K,SETR_MLA,1,42,1_042.png,0.9524322736348404
N5K,SETR_MLA,1,43,1_043.png,0.9556513413202421
N5K,SETR_MLA,1,44,1_044.png,0.9512833979408944
N5K,SETR_MLA,1,45,1_045.png,0.9516753568541194
N5K,SETR_MLA,1,46,1_046.png,0.9501187801169478
N5K,SETR_MLA,1,47,1_047.png,0.946501854219745
N5K,SETR_MLA,1,48,1_048.png,0.9462684583307999
N5K,SETR_MLA,1,49,1_049.png,0.9329006144002456
N5K,SETR_MLA,1,50,1_050.png,0.948399674827162
N5K,SETR_MLA,1,51,1_051.png,0.9406465373398529
N5K,SETR_MLA,1,52,1_052.png,0.9486063243562357
N5K,SETR_MLA,1,53,1_053.png,0.9566737521402474
N5K,SETR_MLA,1,54,1_054.png,0.9441635527601938
N5K,SETR_MLA,1,55,1_055.png,0.9529504958990459
N5K,SETR_MLA,1,56,1_056.png,0.9514972746305644
N5K,SETR_MLA,1,57,1_057.png,0.9382730770818333
N5K,SETR_MLA,1,58,1_058.png,0.9357036353854431
N5K,SETR_MLA,1,59,1_059.png,0.9397461604226764
N5K,SETR_MLA,1,60,1_060.png,0.9410764636304397
N5K,SETR_MLA,1,61,1_061.png,0.9388687266286164
N5K,SETR_MLA,1,62,1_062.png,0.9434029108546731
N5K,SETR_MLA,1,63,1_063.png,0.9489741762816507
N5K,SETR_MLA,10,0,10_000.png,0.8975242147624342
N5K,SETR_MLA,10,1,10_001.png,0.896025263022218
N5K,SETR_MLA,10,2,10_002.png,0.894827223719244
N5K,SETR_MLA,10,3,10_003.png,0.9219923891095837
N5K,SETR_MLA,10,4,10_004.png,0.9127669872748738
N5K,SETR_MLA,10,5,10_005.png,0.8952802793484048
N5K,SETR_MLA,10,6,10_006.png,0.9071867351735092
N5K,SETR_MLA,10,7,10_007.png,0.8993929990833444
N5K,SETR_MLA,10,8,10_008.png,0.9081568527352945
N5K,SETR_MLA,10,9,10_009.png,0.906115226710528
N5K,SETR_MLA,10,10,10_010.png,0.9002273632582942
N5K,SETR_MLA,10,11,10_011.png,0.9135715651421517
N5K,SETR_MLA,10,12,10_012.png,0.9116537464358913
N5K,SETR_MLA,10,13,10_013.png,0.9039164013985285
N5K,SETR_MLA,10,14,10_014.png,0.8966285059916284
N5K,SETR_MLA,10,15,10_015.png,0.8940829823847508
N5K,SETR_MLA,10,16,10_016.png,0.9096654139935813
N5K,SETR_MLA,10,17,10_017.png,0.9117674605298368
N5K,SETR_MLA,10,18,10_018.png,0.9173127616684758
N5K,SETR_MLA,10,19,10_019.png,0.9021581826332862
N5K,SETR_MLA,10,20,10_020.png,0.9062139586304792
N5K,SETR_MLA,10,21,10_021.png,0.9027831137231285
N5K,SETR_MLA,10,22,10_022.png,0.9126072878655497
N5K,SETR_MLA,10,23,10_023.png,0.9153021967650824
N5K,SETR_MLA,10,24,10_024.png,0.908902296238602
N5K,SETR_MLA,10,25,10_025.png,0.9136970154815885
N5K,SETR_MLA,10,26,10_026.png,0.8917646000419833
N5K,SETR_MLA,10,27,10_027.png,0.9090688973125255
N5K,SETR_MLA,10,28,10_028.png,0.8930965851262848
N5K,SETR_MLA,10,29,10_029.png,0.9215581783813622
N5K,SETR_MLA,10,30,10_030.png,0.9101343924563599
N5K,SETR_MLA,10,31,10_031.png,0.9147272379860514
N5K,SETR_MLA,10,32,10_032.png,0.8930017962173775
N5K,SETR_MLA,10,33,10_033.png,0.8962609006721045
N5K,SETR_MLA,10,34,10_034.png,0.9072278769741061
N5K,SETR_MLA,10,35,10_035.png,0.9065224736501263
N5K,SETR_MLA,10,36,10_036.png,0.9124505257859485
N5K,SETR_MLA,10,37,10_037.png,0.9031741904987001
N5K,SETR_MLA,10,38,10_038.png,0.9042024927943044
N5K,SETR_MLA,10,39,10_039.png,0.8739380179251636
N5K,SETR_MLA,10,40,10_040.png,0.88832666509767
N5K,SETR_MLA,10,41,10_041.png,0.9157930076006487
N5K,SETR_MLA,10,42,10_042.png,0.9118521925039506
N5K,SETR_MLA,10,43,10_043.png,0.8216333182809058
N5K,SETR_MLA,10,44,10_044.png,0.8319905864757569
N5K,SETR_MLA,10,45,10_045.png,0.8800322043624256
N5K,SETR_MLA,10,46,10_046.png,0.9007324417794259
N5K,SETR_MLA,10,47,10_047.png,0.8964732601524902
N5K,SETR_MLA,10,48,10_048.png,0.895620492707965
N5K,SETR_MLA,10,49,10_049.png,0.9134179684172871
N5K,SETR_MLA,10,50,10_050.png,0.9170415344280392
N5K,SETR_MLA,10,51,10_051.png,0.8729715270760269
N5K,SETR_MLA,10,52,10_052.png,0.8717565416585957
N5K,SETR_MLA,10,53,10_053.png,0.8981499137716069
N5K,SETR_MLA,10,54,10_054.png,0.8830609984002556
N5K,SETR_MLA,10,55,10_055.png,0.8807271101840125
N5K,SETR_MLA,10,56,10_056.png,0.8824542421394763
N5K,SETR_MLA,10,57,10_057.png,0.9040524034460021
N5K,SETR_MLA,2,0,2_000.png,0.9156077206433344
N5K,SETR_MLA,2,1,2_001.png,0.8932649286504025
N5K,SETR_MLA,2,2,2_002.png,0.9118701661765133
N5K,SETR_MLA,2,3,2_003.png,0.8888237110219204
N5K,SETR_MLA,2,4,2_004.png,0.9204707447651028
N5K,SETR_MLA,2,5,2_005.png,0.9250177306841397
N5K,SETR_MLA,2,6,2_006.png,0.9160637216730239
N5K,SETR_MLA,2,7,2_007.png,0.9305194735773009
N5K,SETR_MLA,2,8,2_008.png,0.9344746886728079
N5K,SETR_MLA,2,9,2_009.png,0.9288231280686029
N5K,SETR_MLA,2,10,2_010.png,0.9428683760775199
N5K,SETR_MLA,2,11,2_011.png,0.9298260080811412
N5K,SETR_MLA,2,12,2_012.png,0.930399938064461
N5K,SETR_MLA,2,13,2_013.png,0.9327000406092988
N5K,SETR_MLA,2,14,2_014.png,0.9267937022483592
N5K,SETR_MLA,2,15,2_015.png,0.9269282994754919
N5K,SETR_MLA,2,16,2_016.png,0.9393403526987784
N5K,SETR_MLA,2,17,2_017.png,0.9282389904487895
N5K,SETR_MLA,2,18,2_018.png,0.9421080806555667
N5K,SETR_MLA,2,19,2_019.png,0.9509351837076085
N5K,SETR_MLA,2,20,2_020.png,0.9435072322444336
N5K,SETR_MLA,2,21,2_021.png,0.9434319194015652
N5K,SETR_MLA,2,22,2_022.png,0.9434167425179727
N5K,SETR_MLA,2,23,2_023.png,0.9395220000710253
N5K,SETR_MLA,2,24,2_024.png,0.9416131654020913
N5K,SETR_MLA,2,25,2_025.png,0.9439791494236492
N5K,SETR_MLA,2,26,2_026.png,0.9545641974345543
N5K,SETR_MLA,2,27,2_027.png,0.9459156594264306
N5K,SETR_MLA,2,28,2_028.png,0.9389606848792191
N5K,SETR_MLA,2,29,2_029.png,0.9398578549320116
N5K,SETR_MLA,2,30,2_030.png,0.9318150817597023
N5K,SETR_MLA,2,31,2_031.png,0.9295355675155184
N5K,SETR_MLA,2,32,2_032.png,0.9372665846339832
N5K,SETR_MLA,2,33,2_033.png,0.9363695738477497
N5K,SETR_MLA,2,34,2_034.png,0.9332625904624462
N5K,SETR_MLA,2,35,2_035.png,0.9308316797478967
N5K,SETR_MLA,2,36,2_036.png,0.9340249798549557
N5K,SETR_MLA,2,37,2_037.png,0.9314564670524454
