partition,method,scene,frame,filename,iou
N5K,SF+X2,1,0,1_000.png,0.9280074456383789
N5K,SF+X2,1,1,1_001.png,0.9309958740148284
N5K,SF+X2,1,2,1_002.png,0.9373365662949208
N5K,SF+X2,1,3,1_003.png,0.9446136995328263
N5K,SF+X2,1,4,1_004.png,0.9471228117478833
N5K,SF+X2,1,5,1_005.png,0.9628776080844418
N5K,SF+X2,1,6,1_006.png,0.9387822663327376
N5K,SF+X2,1,7,1_007.png,0.9376177860022703
N5K,SF+X2,1,8,1_008.png,0.9344811318136659
N5K,SF+X2,1,9,1_009.png,0.9229785499282391
N5K,SF+X2,1,10,1_010.png,0.9447499374620305
N5K,SF+X2,1,11,1_011.png,0.9366947821377998
N5K,SF+X2,1,12,1_012.png,0.9227470039435755
N5K,SF+X2,1,13,1_013.png,0.9193551993203211
N5K,SF+X2,1,14,1_014.png,0.9054631940425893
N5K,SF+X2,1,15,1_015.png,0.8913484002846496
N5K,SF+X2,1,16,1_016.png,0.903852380836999
N5K,SF+X2,1,17,1_017.png,0.9518105161646929
N5K,SF+X2,1,18,1_018.png,0.9438449829150507
N5K,SF+X2,1,19,1_019.png,0.9474644779807607
N5K,SF+X2,1,20,1_020.png,0.9495393802742491
N5K,SF+X2,1,21,1_021.png,0.9440856861091925
N5K,SF+X2,1,22,1_022.png,0.9484536683951851
N5K,SF+X2,1,23,1_023.png,0.9475206288852184
N5K,SF+X2,1,24,1_024.png,0.9410212363669902
N5K,SF+X2,1,25,1_025.png,0.9438968154689094
N5K,SF+X2,1,26,1_026.png,0.9352251425051497
N5K,SF+X2,1,27,1_027.png,0.933906062059216
N5K,SF+X2,1,28,1_028.png,0.9316889888263958
N5K,SF+X2,1,29,1_029.png,0.9325965202752701
N5K,SF+X2,1,30,1_030.png,0.923262233432594
N5K,SF+X2,1,31,1_031.png,0.9248755294769219
N5K,SF+X2,1,32,1_032.png,0.9324613688858934
N5K,SF+X2,1,33,1_033.png,0.9182006029956603
N5K,SF+X2,1,34,1_034.png,0.9187205106140319
N5K,SF+X2,1,35,1_035.png,0.9333037580720612
N5K,SF+X2,1,36,1_036.png,0.9168131174538149
N5K,SF+X2,1,37,1_037.png,0.9175704546729282
N5K,SF+X2,1,38,1_038.png,0.916757506353127
