partition,method,scene,frame,filename,iou
N5K,SeTM+S3,1,0,1_000.png,0.9205511448998289
N5K,SeTM+S3,1,1,1_001.png,0.9273622089040522
N5K,SeTM+S3,1,2,1_002.png,0.9335102534246728
N5K,SeTM+S3,1,3,1_003.png,0.936087605664243
N5K,SeTM+S3,1,4,1_004.png,0.9494342588902175
N5K,SeTM+S3,1,5,1_005.png,0.9664432722815433
N5K,SeTM+S3,1,6,1_006.png,0.9411234528298327
N5K,SeTM+S3,1,7,1_007.png,0.942094861660079
N5K,SeTM+S3,1,8,1_008.png,0.9404312126459252
N5K,SeTM+S3,1,9,1_009.png,0.9342603139984864
N5K,SeTM+S3,1,10,1_010.png,0.9481323243282016
N5K,SeTM+S3,1,11,1_011.png,0.9381044617742669
N5K,SeTM+S3,1,12,1_012.png,0.9286227044316623
N5K,SeTM+S3,1,13,1_013.png,0.9238763032052024
N5K,SeTM+S3,1,14,1_014.png,0.909325599398638
N5K,SeTM+S3,1,15,1_015.png,0.8963238142736911
N5K,SeTM+S3,1,16,1_016.png,0.9133182201121584
N5K,SeTM+S3,1,17,1_017.png,0.9537033546483957
N5K,SeTM+S3,1,18,1_018.png,0.9456289763913889
N5K,SeTM+S3,1,19,1_019.png,0.9503096939883487
N5K,SeTM+S3,1,20,1_020.png,0.9520869224884388
N5K,SeTM+S3,1,21,1_021.png,0.9481077860107117
N5K,SeTM+S3,1,22,1_022.png,0.95036569751466
N5K,SeTM+S3,1,23,1_023.png,0.948653466941729
N5K,SeTM+S3,1,24,1_024.png,0.9445315734810055
N5K,SeTM+S3,1,25,1_025.png,0.9473355209946156
N5K,SeTM+S3,1,26,1_026.png,0.9391962697297341
N5K,SeTM+S3,1,27,1_027.png,0.9349375456301243
N5K,SeTM+S3,1,28,1_028.png,0.9352421890140803
N5K,SeTM+S3,1,29,1_029.png,0.9366986546460023
N5K,SeTM+S3,1,30,1_030.png,0.929794532390022
N5K,SeTM+S3,1,31,1_031.png,0.9316266591974323
N5K,SeTM+S3,1,32,1_032.png,0.9420847024526224
N5K,SeTM+S3,1,33,1_033.png,0.9308301224449836
N5K,SeTM+S3,1,34,1_034.png,0.9291708428799977
N5K,SeTM+S3,1,35,1_035.png,0.9390968095930989
N5K,SeTM+S3,1,36,1_036.png,0.9243536201559029
N5K,SeTM+S3,1,37,1_037.png,0.9462755201363763
N5K,SeTM+S3,1,38,1_038.png,0.951978490420525
N5K,SeTM+S3,1,39,1_039.png,0.954677444329809
N5K,SeTM+S3,1,40,1_040.png,0.9536217245063784
N5K,SeTM+S3,1,41,1_041.png,0.9486333575377478
N5K,SeTM+S3,1,42,1_042.png,0.9589060998998336
N5K,SeTM+S3,1,43,1_043.png,0.9525709100685577
N5K,SeTM+S3,1,44,1_044.png,0.946235704025488
N5K,SeTM+S3,1,45,1_045.png,0.9483656688028561
N5K,SeTM+S3,1,46,1_046.png,0.950800985038446
N5K,SeTM+S3,1,47,1_047.png,0.9437553783671356
N5K,SeTM+S3,1,48,1_048.png,0.9442036562331354
N5K,SeTM+S3,1,49,1_049.png,0.9319976967555095
N5K,SeTM+S3,1,50,1_050.png,0.9457388425870908
N5K,SeTM+S3,1,51,1_051.png,0.9330556796648618
N5K,SeTM+S3,1,52,1_052.png,0.9389262008562115
N5K,SeTM+S3,1,53,1_053.png,0.9446164491457427
N5K,SeTM+S3,1,54,1_054.png,0.9309609574457051
N5K,SeTM+S3,1,55,1_055.png,0.9404473415094425
N5K,SeTM+S3,1,56,1_056.png,0.9538702445144128
N5K,SeTM+S3,1,57,1_057.png,0.9425920756788922
N5K,SeTM+S3,1,58,1_058.png,0.9274693306839223
N5K,SeTM+S3,1,59,1_059.png,0.9438258578454058
N5K,SeTM+S3,1,60,1_060.png,0.9485151778536899
N5K,SeTM+S3,1,61,1_061.png,0.9317927669596616
N5K,SeTM+S3,1,62,1_062.png,0.9323855893416082
N5K,SeTM+S3,1,63,1_063.png,0.9350878255409614
N5K,SeTM+S3,10,0,10_000.png,0.8976716117837638
N5K,SeTM+S3,10,1,10_001.png,0.9120582989185454
N5K,SeTM+S3,10,2,10_002.png,0.9172774170383069
N5K,SeTM+S3,10,3,10_003.png,0.9458766652478575
N5K,SeTM+S3,10,4,10_004.png,0.9325787912939917
N5K,SeTM+S3,10,5,10_005.png,0.9261879318598321
N5K,SeTM+S3,10,6,10_006.png,0.9371997391427747
N5K,SeTM+S3,10,7,10_007.png,0.9214371966189254
N5K,SeTM+S3,10,8,10_008.png,0.9219394379104934
N5K,SeTM+S3,10,9,10_009.png,0.9145661028716287
N5K,SeTM+S3,10,10,10_010.png,0.9150829631416159
N5K,SeTM+S3,10,11,10_011.png,0.9375792345858565
N5K,SeTM+S3,10,12,10_012.png,0.922795704466247
N5K,SeTM+S3,10,13,10_013.png,0.9213458886010029
N5K,SeTM+S3,10,14,10_014.png,0.9324760662993435
N5K,SeTM+S3,10,15,10_015.png,0.9267582856522465
N5K,SeTM+S3,10,16,10_016.png,0.9434668430496798
N5K,SeTM+S3,10,17,10_017.png,0.9424641714344332
N5K,SeTM+S3,10,18,10_018.png,0.9394961204777105
N5K,SeTM+S3,10,19,10_019.png,0.9320634600687008
N5K,SeTM+S3,10,20,10_020.png,0.9395218713072285
N5K,SeTM+S3,10,21,10_021.png,0.9275855687291904
N5K,SeTM+S3,10,22,10_022.png,0.9334500281560183
N5K,SeTM+S3,10,23,10_023.png,0.9418607810769868
N5K,SeTM+S3,10,24,10_024.png,0.9360809414821748
N5K,SeTM+S3,10,25,10_025.png,0.9364923194109432
N5K,SeTM+S3,10,26,10_026.png,0.9189094808896009
N5K,SeTM+S3,10,27,10_027.png,0.9486285994907593
N5K,SeTM+S3,10,28,10_028.png,0.9386130158892613
N5K,SeTM+S3,10,29,10_029.png,0.9361812738224362
N5K,SeTM+S3,10,30,10_030.png,0.9499493595332147
N5K,SeTM+S3,10,31,10_031.png,0.9388100011987899
N5K,SeTM+S3,10,32,10_032.png,0.9440755795920176
N5K,SeTM+S3,10,33,10_033.png,0.9373332368451154
N5K,SeTM+S3,10,34,10_034.png,0.9457530920901546
N5K,SeTM+S3,10,35,10_035.png,0.9472756279622233
N5K,SeTM+S3,10,36,10_036.png,0.9508988620863795
N5K,SeTM+S3,10,37,10_037.png,0.944354465253275
N5K,SeTM+S3,10,38,10_038.png,0.9452740886061576
N5K,SeTM+S3,10,39,10_039.png,0.9448216337854797
N5K,SeTM+S3,10,40,10_040.png,0.9482811993457759
N5K,SeTM+S3,10,41,10_041.png,0.9348572919178844
N5K,SeTM+S3,10,42,10_042.png,0.9397019972003706
N5K,SeTM+S3,10,43,10_043.png,0.8713100947971147
N5K,SeTM+S3,10,44,10_044.png,0.9115401367655386
N5K,SeTM+S3,10,45,10_045.png,0.9402012819900791
N5K,SeTM+S3,10,46,10_046.png,0.9409149798274903
N5K,SeTM+S3,10,47,10_047.png,0.9254348103579951
N5K,SeTM+S3,10,48,10_048.png,0.9316891477291077
N5K,SeTM+S3,10,49,10_049.png,0.9305673266525556
N5K,SeTM+S3,10,50,10_050.png,0.9303710109612033
N5K,SeTM+S3,10,51,10_051.png,0.8938321172525194
N5K,SeTM+S3,10,52,10_052.png,0.8921460842261195
N5K,SeTM+S3,10,53,10_053.png,0.9192010425943588
N5K,SeTM+S3,10,54,10_054.png,0.9047692509266734
N5K,SeTM+S3,10,55,10_055.png,0.9030563137710187
N5K,SeTM+S3,10,56,10_056.png,0.8919861599419611
N5K,SeTM+S3,10,57,10_057.png,0.9153759791515058
N5K,SeTM+S3,2,0,2_000.png,0.9155465001643115
N5K,SeTM+S3,2,1,2_001.png,0.8845238399264499
N5K,SeTM+S3,2,2,2_002.png,0.9069325785813775
N5K,SeTM+S3,2,3,2_003.png,0.8927262417197206
N5K,SeTM+S3,2,4,2_004.png,0.9046577823780567
N5K,SeTM+S3,2,5,2_005.png,0.913420957121377
N5K,SeTM+S3,2,6,2_006.png,0.898113149407342
N5K,SeTM+S3,2,7,2_007.png,0.9286121640225253
N5K,SeTM+S3,2,8,2_008.png,0.9027715627788758
N5K,SeTM+S3,2,9,2_009.png,0.9098981069564402
N5K,SeTM+S3,2,10,2_010.png,0.9526290090668508
N5K,SeTM+S3,2,11,2_011.png,0.9257449926722032
N5K,SeTM+S3,2,12,2_012.png,0.9172964700385101
N5K,SeTM+S3,2,13,2_013.png,0.9243009157442185
N5K,SeTM+S3,2,14,2_014.png,0.9006235063976505
N5K,SeTM+S3,2,15,2_015.png,0.902453441400049
N5K,SeTM+S3,2,16,2_016.png,0.9346233242440383
N5K,SeTM+S3,2,17,2_017.png,0.9125881146608339
N5K,SeTM+S3,2,18,2_018.png,0.9282388628739261
N5K,SeTM+S3,2,19,2_019.png,0.9380635656330485
N5K,SeTM+S3,2,20,2_020.png,0.9275812037321415
N5K,SeTM+S3,2,21,2_021.png,0.9320854989121126
N5K,SeTM+S3,2,22,2_022.png,0.935608130551716
N5K,SeTM+S3,2,23,2_023.png,0.9323144865435582
N5K,SeTM+S3,2,24,2_024.png,0.9333077127738197
N5K,SeTM+S3,2,25,2_025.png,0.9353372402541645
N5K,SeTM+S3,2,26,2_026.png,0.9484277144356782
N5K,SeTM+S3,2,27,2_027.png,0.9419348094022361
N5K,SeTM+S3,2,28,2_028.png,0.933315569479546
N5K,SeTM+S3,2,29,2_029.png,0.9272962758388001
N5K,SeTM+S3,2,30,2_030.png,0.9269391974134139
N5K,SeTM+S3,2,31,2_031.png,0.932490646346068
N5K,SeTM+S3,2,32,2_032.png,0.9271007447292647
N5K,SeTM+S3,2,33,2_033.png,0.9314569815454622
N5K,SeTM+S3,2,34,2_034.png,0.9142044093473538
N5K,SeTM+S3,2,35,2_035.png,0.9323874525098342
N5K,SeTM+S3,2,36,2_036.png,0.9352624326694225
N5K,SeTM+S3,2,37,2_037.png,0.9304610205673468
N5K,SeTM+S3,2,38,2_038.png,0.9341010142403442
N5K,SeTM+S3,2,39,2_039.png,0.9332729159063229
N5K,SeTM+S3,2,40,2_040.png,0.9421730450770515
N5K,SeTM+S3,2,41,2_041.png,0.9175340240178954
N5K,SeTM+S3,2,42,2_042.png,0.9069557291257406
N5K,SeTM+S3,2,43,2_043.png,0.9204574512866309
