partition,method,scene,frame,filename,iou
N5K,Y+S2,1,0,1_000.png,0.9200685648686886
N5K,Y+S2,1,1,1_001.png,0.9286869546712067
N5K,Y+S2,1,2,1_002.png,0.7290594738415125
N5K,Y+S2,1,3,1_003.png,0.4031144413788229
N5K,Y+S2,1,4,1_004.png,0.35914436806731037
N5K,Y+S2,1,5,1_005.png,0.39603968747100615
N5K,Y+S2,1,6,1_006.png,0.2863801778750347
N5K,Y+S2,1,7,1_007.png,0.2821421715930542
N5K,Y+S2,1,8,1_008.png,0.2776631870643953
N5K,Y+S2,1,9,1_009.png,0.2697184804473981
N5K,Y+S2,1,10,1_010.png,0.7595191656001996
N5K,Y+S2,1,11,1_011.png,0.7474859593104288
N5K,Y+S2,1,12,1_012.png,0.7263644821532474
N5K,Y+S2,1,13,1_013.png,0.7366104336682943
N5K,Y+S2,1,14,1_014.png,0.712040167886087
N5K,Y+S2,1,15,1_015.png,0.6855886955359319
N5K,Y+S2,1,16,1_016.png,0.6970563199049787
N5K,Y+S2,1,17,1_017.png,0.3934705156431292
N5K,Y+S2,1,18,1_018.png,0.40282174090669043
N5K,Y+S2,1,19,1_019.png,0.4146440569134376
N5K,Y+S2,1,20,1_020.png,0.43607464716884886
N5K,Y+S2,1,21,1_021.png,0.46059286152666895
N5K,Y+S2,1,22,1_022.png,0.48260002346591574
N5K,Y+S2,1,23,1_023.png,0.5125562525599504
N5K,Y+S2,1,24,1_024.png,0.7684148847636678
N5K,Y+S2,1,25,1_025.png,0.7766743550316078
N5K,Y+S2,1,26,1_026.png,0.7485916874231517
N5K,Y+S2,1,27,1_027.png,0.7635424270048897
N5K,Y+S2,1,28,1_028.png,0.7374707333718306
N5K,Y+S2,1,29,1_029.png,0.736525149325591
N5K,Y+S2,1,30,1_030.png,0.7342196785626252
N5K,Y+S2,1,31,1_031.png,0.7436723514619676
N5K,Y+S2,1,32,1_032.png,0.4029262100590734
N5K,Y+S2,1,33,1_033.png,0.4073010856436743
N5K,Y+S2,1,34,1_034.png,0.40711158966721345
