partition,method,scene,frame,filename,iou
VF,CCNet,apple,0,apple_0.png,0.9695816765359346
VF,CCNet,apple,1,apple_1.png,0.7307334037135937
VF,CCNet,apple,2,apple_2.png,0.5863111418639516
VF,CCNet,apple,3,apple_3.png,0.4816040820610533
VF,CCNet,apple,4,apple_4.png,0.4966943632772327
VF,CCNet,apple,5,apple_5.png,0.4525942047182578
VF,CCNet,apple,6,apple_6.png,0.4536850985505023
VF,CCNet,apple,7,apple_7.png,0.45540162743842444
VF,CCNet,apple,8,apple_8.png,0.8735229530482066
VF,CCNet,apple,9,apple_9.png,0.6149474069635843
VF,CCNet,apple,10,apple_10.png,0.665069241656067
VF,CCNet,apple,11,apple_11.png,0.6617780621723156
VF,CCNet,apple,12,apple_12.png,0.5988633817448517
VF,CCNet,apple,13,apple_13.png,0.5347631417770174
VF,CCNet,apple,14,apple_14.png,0.7211115187087307
VF,CCNet,apple,15,apple_15.png,0.6723614069612793
VF,CCNet,apple,16,apple_16.png,0.525498555255554
VF,CCNet,apple,17,apple_17.png,0.421797789758812
VF,CCNet,apple,18,apple_18.png,0.7216891325870078
VF,CCNet,apple,19,apple_19.png,0.45124292275168276
VF,CCNet,apple,20,apple_20.png,0.2720419965928948
VF,CCNet,apple,21,apple_21.png,0.251521773598693
VF,CCNet,apple,22,apple_22.png,0.2612406876036539
VF,CCNet,apple,23,apple_23.png,0.4245225196029392
VF,CCNet,apple,24,apple_24.png,0.4466367853560682
VF,CCNet,apple,25,apple_25.png,0.5057388997023627
VF,CCNet,apple,26,apple_26.png,0.522582694542202
VF,CCNet,apple,27,apple_27.png,0.34235909822866345
VF,CCNet,apple,28,apple_28.png,0.6438751070217078
VF,CCNet,apple,29,apple_29.png,0.5021745587236931
VF,CCNet,apple,30,apple_30.png,0.48514063599914303
VF,CCNet,apple,31,apple_31.png,0.48878440794515443
VF,CCNet,apple,32,apple_32.png,0.5660740081024427
VF,CCNet,apple,33,apple_33.png,0.30862173293513695
VF,CCNet,apple,34,apple_34.png,0.3210028889016434
VF,CCNet,apple,35,apple_35.png,0.3296097325260794
VF,CCNet,apple,36,apple_36.png,0.2937732143023375
VF,CCNet,apple,37,apple_37.png,0.26850020524685597
VF,CCNet,apple,38,apple_38.png,0.5116025035427492
VF,CCNet,apple,39,apple_39.png,0.39755775577557756
VF,CCNet,apple,40,apple_40.png,0.6031338705850302
VF,CCNet,apple,41,apple_41.png,0.6422603944727838
VF,CCNet,apple,42,apple_42.png,0.5995474915482254
VF,CCNet,apple,43,apple_43.png,0.4762694066700801
VF,CCNet,apple,44,apple_44.png,0.6256315465187924
VF,CCNet,apple,45,apple_45.png,0.40533669190812943
VF,CCNet,apple,46,apple_46.png,0.13639557404793762
VF,CCNet,apple,47,apple_47.png,0.3824195394987915
VF,CCNet,apple,48,apple_48.png,0.4365325689433627
VF,CCNet,apple,49,apple_49.png,0.2901531728665208
VF,CCNet,apple,50,apple_50.png,0.34866895936823333
VF,CCNet,apple,51,apple_51.png,0.39412950156666254
VF,CCNet,apple,52,apple_52.png,0.45072452416385994
VF,CCNet,apple,53,apple_53.png,0.5155223647169221
VF,CCNet,apple,54,apple_54.png,0.39045329409891016
VF,CCNet,apple,55,apple_55.png,0.307916990218638
VF,CCNet,apple,56,apple_56.png,0.40944997580031806
VF,CCNet,apple,57,apple_57.png,0.30779407726678926
VF,CCNet,apple,58,apple_58.png,0.39278012344352914
VF,CCNet,apple,59,apple_59.png,0.4310859669458283
VF,CCNet,apple,60,apple_60.png,0.39664642140847467
VF,CCNet,apple,61,apple_61.png,0.3960704138542716
VF,CCNet,apple,62,apple_62.png,0.4036333945703205
VF,CCNet,apple,63,apple_63.png,0.5440700569819169
VF,CCNet,apple,64,apple_64.png,0.4987455985915493
VF,CCNet,apple,65,apple_65.png,0.6448504788202808
VF,CCNet,apple,66,apple_66.png,0.4846989141164857
VF,CCNet,apple,67,apple_67.png,0.446221322537112
VF,CCNet,apple,68,apple_68.png,0.47292188437401794
VF,CCNet,apple,69,apple_69.png,0.3304573325900972
VF,CCNet,apple,70,apple_70.png,0.4188831307396258
VF,CCNet,apple,71,apple_71.png,0.5077960988932597
VF,CCNet,apple,72,apple_72.png,0.3441782285404974
VF,CCNet,apple,73,apple_73.png,0.5145922069727086
VF,CCNet,apple,74,apple_74.png,0.4486259759743896
VF,CCNet,apple,75,apple_75.png,0.5214394043843926
VF,CCNet,apple,76,apple_76.png,0.49171915605867067
VF,CCNet,apple,77,apple_77.png,0.5080999496897535
VF,CCNet,apple,78,apple_78.png,0.44832108261794296
VF,CCNet,apple,79,apple_79.png,0.610270250102603
VF,CCNet,apple,80,apple_80.png,0.5601606113297337
VF,CCNet,apple,81,apple_81.png,0.5330104015742924
