partition,method,scene,frame,filename,iou
VF,Y+S3,apple,0,apple_0.png,0.9674023543271926
VF,Y+S3,apple,1,apple_1.png,0.7282381861912847
VF,Y+S3,apple,2,apple_2.png,0.5861209670764914
VF,Y+S3,apple,3,apple_3.png,0.4822889384680053
VF,Y+S3,apple,4,apple_4.png,0.5035470408137865
VF,Y+S3,apple,5,apple_5.png,0.5285573227356928
VF,Y+S3,apple,6,apple_6.png,0.45208553428080106
VF,Y+S3,apple,7,apple_7.png,0.452841492639507
VF,Y+S3,apple,8,apple_8.png,0.868717683557394
VF,Y+S3,apple,9,apple_9.png,0.6135591823277283
VF,Y+S3,apple,10,apple_10.png,0.6702866029771162
VF,Y+S3,apple,11,apple_11.png,0.6615150928200789
VF,Y+S3,apple,12,apple_12.png,0.6043677146239191
VF,Y+S3,apple,13,apple_13.png,0.5360408075115439
VF,Y+S3,apple,14,apple_14.png,0.7012046613732921
VF,Y+S3,apple,15,apple_15.png,0.6683826370252801
VF,Y+S3,apple,16,apple_16.png,0.5198495189389062
VF,Y+S3,apple,17,apple_17.png,0.4214509613289304
VF,Y+S3,apple,18,apple_18.png,0.7187424560360997
VF,Y+S3,apple,19,apple_19.png,0.45317685918915057
VF,Y+S3,apple,20,apple_20.png,0.2746335883320226
VF,Y+S3,apple,21,apple_21.png,0.25697408613679124
VF,Y+S3,apple,22,apple_22.png,0.2698796905398635
VF,Y+S3,apple,23,apple_23.png,0.4328528257320504
VF,Y+S3,apple,24,apple_24.png,0.4476165920508794
VF,Y+S3,apple,25,apple_25.png,0.5073912893309847
VF,Y+S3,apple,26,apple_26.png,0.5276153563433459
VF,Y+S3,apple,27,apple_27.png,0.34438215351452217
VF,Y+S3,apple,28,apple_28.png,0.6489189779427823
VF,Y+S3,apple,29,apple_29.png,0.49781147829050365
VF,Y+S3,apple,30,apple_30.png,0.5221937875044123
VF,Y+S3,apple,31,apple_31.png,0.49530994042215754
VF,Y+S3,apple,32,apple_32.png,0.5740867756709516
VF,Y+S3,apple,33,apple_33.png,0.30833284920312165
VF,Y+S3,apple,34,apple_34.png,0.32095465574764936
VF,Y+S3,apple,35,apple_35.png,0.33114510143726333
VF,Y+S3,apple,36,apple_36.png,0.29524328216300044
VF,Y+S3,apple,37,apple_37.png,0.2706218859568186
VF,Y+S3,apple,38,apple_38.png,0.51421410390193
VF,Y+S3,apple,39,apple_39.png,0.4004944780554896
VF,Y+S3,apple,40,apple_40.png,0.6063736877958463
VF,Y+S3,apple,41,apple_41.png,0.6471295435000087
VF,Y+S3,apple,42,apple_42.png,0.6033207127722394
VF,Y+S3,apple,43,apple_43.png,0.4743585316158442
VF,Y+S3,apple,44,apple_44.png,0.6260315896192001
VF,Y+S3,apple,45,apple_45.png,0.4050008276905856
VF,Y+S3,apple,46,apple_46.png,0.13995483945978693
VF,Y+S3,apple,47,apple_47.png,0.3855240809419907
VF,Y+S3,apple,48,apple_48.png,0.4392678428598814
VF,Y+S3,apple,49,apple_49.png,0.29581395901254803
VF,Y+S3,apple,50,apple_50.png,0.35740333651646145
VF,Y+S3,apple,51,apple_51.png,0.3953611515603336
VF,Y+S3,apple,52,apple_52.png,0.45312634891733444
VF,Y+S3,apple,53,apple_53.png,0.5137491878859988
VF,Y+S3,apple,54,apple_54.png,0.3890679160476898
VF,Y+S3,apple,55,apple_55.png,0.3073961470705234
VF,Y+S3,apple,56,apple_56.png,0.40859649727642555
VF,Y+S3,apple,57,apple_57.png,0.30710898112079205
VF,Y+S3,apple,58,apple_58.png,0.39503187332922063
VF,Y+S3,apple,59,apple_59.png,0.4329084712606789
VF,Y+S3,apple,60,apple_60.png,0.39893462743794167
VF,Y+S3,apple,61,apple_61.png,0.40210152547280514
VF,Y+S3,apple,62,apple_62.png,0.40679541379480516
VF,Y+S3,apple,63,apple_63.png,0.5475956912095817
VF,Y+S3,apple,64,apple_64.png,0.4983292153298575
VF,Y+S3,apple,65,apple_65.png,0.6458019721103915
VF,Y+S3,apple,66,apple_66.png,0.4961403225154589
VF,Y+S3,apple,67,apple_67.png,0.4490785367296882
VF,Y+S3,apple,68,apple_68.png,0.47733860342555995
VF,Y+S3,apple,69,apple_69.png,0.33616844061090956
VF,Y+S3,apple,70,apple_70.png,0.4199270384232719
VF,Y+S3,apple,71,apple_71.png,0.5079882193936215
VF,Y+S3,apple,72,apple_72.png,0.3484037576256596
VF,Y+S3,apple,73,apple_73.png,0.5151224195871339
VF,Y+S3,apple,74,apple_74.png,0.45069920166171856
VF,Y+S3,apple,75,apple_75.png,0.5219478580452509
VF,Y+S3,apple,76,apple_76.png,0.49989314917499916
VF,Y+S3,apple,77,apple_77.png,0.5086604375215261
VF,Y+S3,apple,78,apple_78.png,0.4554940468344976
VF,Y+S3,apple,79,apple_79.png,0.619821936441202
VF,Y+S3,apple,80,apple_80.png,0.5716161581257128
VF,Y+S3,apple,81,apple_81.png,0.5375100660331776
VF,Y+S3,apple,82,apple_82.png,0.6890541566722514
VF,Y+S3,apple,83,apple_83.png,0.6475730277056067
VF,Y+S3,apple,84,apple_84.png,0.542747782123438
VF,Y+S3,apple,85,apple_85.png,0.527445140113063
VF,Y+S3,apple,86,apple_86.png,0.5378091014034875
VF,Y+S3,apple,87,apple_87.png,0.6498431421759318
VF,Y+S3,apple,88,apple_88.png,0.3853015712113533
VF,Y+S3,apple,89,apple_89.png,0.6160520892132796
VF,Y+S3,apple,90,apple_90.png,0.5694551254664046
VF,Y+S3,apple,91,apple_91.png,0.4266370362190813
VF,Y+S3,apple,92,apple_92.png,0.6102946786918769
VF,Y+S3,apple,93,apple_93.png,0.3120945390308531
VF,Y+S3,apple,94,apple_94.png,0.278435542645209
VF,Y+S3,apple,95,apple_95.png,0.2555059257935799
VF,Y+S3,apple,96,apple_96.png,0.25263208557436617
VF,Y+S3,apple,97,apple_97.png,0.19492785577307642
VF,Y+S3,apple,98,apple_98.png,0.1388201836516027
VF,Y+S3,apple,99,apple_99.png,0.1668381053199245
VF,Y+S3,apple,100,apple_100.png,0.17203040389487803
VF,Y+S3,apple,101,apple_101.png,0.08669624294624295
VF,Y+S3,apple,102,apple_102.png,0.015792136776415656
VF,Y+S3,apple,103,apple_103.png,0.033435426237876466
VF,Y+S3,apple,104,apple_104.png,0.03618438303004877
VF,Y+S3,apple,105,apple_105.png,0.06223469884427742
VF,Y+S3,apple,106,apple_106.png,0.022308336824465858
VF,Y+S3,apple,107,apple_107.png,0.12195560752917894
VF,Y+S3,apple,108,apple_108.png,0.19336573571499063
VF,Y+S3,apple,109,apple_109.png,0.2020786656708987
VF,Y+S3,apple,110,apple_110.png,0.22156349609932158
VF,Y+S3,apple,111,apple_111.png,0.21680946969213286
VF,Y+S3,apple,112,apple_112.png,0.19087424197746125
VF,Y+S3,apple,113,apple_113.png,0.23406898567670273
VF,Y+S3,apple,114,apple_114.png,0.14746341645512917
VF,Y+S3,apple,115,apple_115.png,0.12064238859986429
VF,Y+S3,apple,116,apple_116.png,0.05263631897822171
VF,Y+S3,apple,117,apple_117.png,0.03969425795557441
VF,Y+S3,apple,118,apple_118.png,0.1307897153351699
VF,Y+S3,apple,119,apple_119.png,0.13349640983667546
VF,Y+S3,apple,120,apple_120.png,0.13957877490070827
VF,Y+S3,apple,121,apple_121.png,0.14826188428939935
VF,Y+S3,apple,122,apple_122.png,0.11693267960219765
VF,Y+S3,apple,123,apple_123.png,0.12900859262519832
VF,Y+S3,apple,124,apple_124.png,0.06806228827041494
VF,Y+S3,apple,125,apple_125.png,0.08907496474860443
VF,Y+S3,apple,126,apple_126.png,0.06071135430916553
VF,Y+S3,apple,127,apple_127.png,0.1679086563550212
VF,Y+S3,apple,128,apple_128.png,0.11460067870918787
VF,Y+S3,apple,129,apple_129.png,0.1486155584855905
VF,Y+S3,apple,130,apple_130.png,0.11389861597465399
VF,Y+S3,apple,131,apple_131.png,0.10825778110103748
VF,Y+S3,apple,132,apple_132.png,0.11199207996456827
VF,Y+S3,apple,133,apple_133.png,0.13055172547724933
VF,Y+S3,apple,134,apple_134.png,0.14135433377084244
VF,Y+S3,apple,135,apple_135.png,0.16249935874416457
VF,Y+S3,apple,136,apple_136.png,0.17028981507038365
VF,Y+S3,apple,137,apple_137.png,0.1827555831908389
VF,Y+S3,apple,138,apple_138.png,0.17071750130443752
VF,Y+S3,apple,139,apple_139.png,0.16178891838311885
VF,Y+S3,apple,140,apple_140.png,0.14794075921069602
VF,Y+S3,apple,141,apple_141.png,0.14220670984774753
VF,Y+S3,apple,142,apple_142.png,0.15953229816578318
VF,Y+S3,apple,143,apple_143.png,0.1541894112035614
VF,Y+S3,apple,144,apple_144.png,0.12061130215604883
VF,Y+S3,apple,145,apple_145.png,0.14342231376307685
VF,Y+S3,apple,146,apple_146.png,0.14007748414605112
VF,Y+S3,apple,147,apple_147.png,0.099283576873512
VF,Y+S3,apple,148,apple_148.png,0.15281306320978003
VF,Y+S3,apple,149,apple_149.png,0.1497274121505894
VF,Y+S3,apple,150,apple_150.png,0.14575305166485913
VF,Y+S3,apple,151,apple_151.png,0.10622364245032824
VF,Y+S3,apple,152,apple_152.png,0.12754520096217914
VF,Y+S3,apple,153,apple_153.png,0.23468790554467034
VF,Y+S3,apple,154,apple_154.png,0.24802100629416535
VF,Y+S3,apple,155,apple_155.png,0.23233113568148586
VF,Y+S3,apple,156,apple_156.png,0.23026265508368787
VF,Y+S3,apple,157,apple_157.png,0.18655254078357356
VF,Y+S3,apple,158,apple_158.png,0.1936584603924113
VF,Y+S3,apple,159,apple_159.png,0.21552089402044383
VF,Y+S3,apple,160,apple_160.png,0.07082460990364707
VF,Y+S3,apple,161,apple_161.png,0.05802861685214626
VF,Y+S3,apple,162,apple_162.png,0.17165431233096265
VF,Y+S3,apple,163,apple_163.png,0.16543016213853137
VF,Y+S3,apple,164,apple_164.png,0.16160096298525428
VF,Y+S3,apple,165,apple_165.png,0.20143318476607328
VF,Y+S3,apple,166,apple_166.png,0.218698557861414
VF,Y+S3,apple,167,apple_167.png,0.12552983371372678
VF,Y+S3,apple,168,apple_168.png,0.06972943749539233
VF,Y+S3,apple,169,apple_169.png,0.20142595288155696
VF,Y+S3,apple,170,apple_170.png,0.21587212712632645
VF,Y+S3,apple,171,apple_171.png,0.2201098770799573
VF,Y+S3,apple,172,apple_172.png,0.2112252568278627
VF,Y+S3,apple,173,apple_173.png,0.20812715336953594
VF,Y+S3,apple,174,apple_174.png,0.2154220125424314
VF,Y+S3,apple,175,apple_175.png,0.21384895058667988
VF,Y+S3,apple,176,apple_176.png,0.20623902855394327
VF,Y+S3,apple,177,apple_177.png,0.209400468143997
VF,Y+S3,apple,178,apple_178.png,0.23197235890237694
VF,Y+S3,apple,179,apple_179.png,0.1570720653079055
VF,Y+S3,apple,180,apple_180.png,0.259310153376362
VF,Y+S3,apple,181,apple_181.png,0.27402135231316727
VF,Y+S3,apple,182,apple_182.png,0.29427854657279273
VF,Y+S3,apple,183,apple_183.png,0.28626084792684064
VF,Y+S3,apple,184,apple_184.png,0.2958960975535308
VF,Y+S3,apple,185,apple_185.png,0.37567030079193153
VF,Y+S3,apple,186,apple_186.png,0.35015171555278923
VF,Y+S3,apple,187,apple_187.png,0.3832562747688243
VF,Y+S3,apple,188,apple_188.png,0.4085518102372035
VF,Y+S3,apple,189,apple_189.png,0.5518636332203859
VF,Y+S3,apple,190,apple_190.png,0.7951255418336468
VF,Y+S3,apple,191,apple_191.png,0.5289068596155211
VF,Y+S3,apple,192,apple_192.png,0.2698688870937675
VF,Y+S3,apple,193,apple_193.png,0.10335684361245161
VF,Y+S3,apple,194,apple_194.png,0.1691963310766543
VF,Y+S3,apple,195,apple_195.png,0.2705480487288776
VF,Y+S3,apple,196,apple_196.png,0.31499253572190233
VF,Y+S3,apple,197,apple_197.png,0.024665415884928082
VF,Y+S3,apple,198,apple_198.png,0.0
VF,Y+S3,apple,199,apple_199.png,0.006821511781519468
VF,Y+S3,apple,200,apple_200.png,0.004850727609141371
VF,Y+S3,avocado,0,avocado_0.png,0.9698683197349284
VF,Y+S3,avocado,1,avocado_1.png,0.9697504016300301
VF,Y+S3,avocado,2,avocado_2.png,0.9680976888405843
VF,Y+S3,avocado,3,avocado_3.png,0.9652079830015773
VF,Y+S3,avocado,4,avocado_4.png,0.9668788226035814
VF,Y+S3,avocado,5,avocado_5.png,0.962154861944778
VF,Y+S3,avocado,6,avocado_6.png,0.9613369843443063
VF,Y+S3,avocado,7,avocado_7.png,0.9637902489152774
VF,Y+S3,avocado,8,avocado_8.png,0.9639691687685826
VF,Y+S3,avocado,9,avocado_9.png,0.9678593702409097
VF,Y+S3,avocado,10,avocado_10.png,0.9612818068490138
VF,Y+S3,avocado,11,avocado_11.png,0.9655655570652174
VF,Y+S3,avocado,12,avocado_12.png,0.9696563653417466
VF,Y+S3,avocado,13,avocado_13.png,0.9700003901119622
VF,Y+S3,avocado,14,avocado_14.png,0.9650369076910866
VF,Y+S3,avocado,15,avocado_15.png,0.9682355167473169
VF,Y+S3,avocado,16,avocado_16.png,0.9623727811483833
VF,Y+S3,avocado,17,avocado_17.png,0.963113611389021
VF,Y+S3,avocado,18,avocado_18.png,0.9596027426309465
VF,Y+S3,avocado,19,avocado_19.png,0.9639063873425139
VF,Y+S3,avocado,20,avocado_20.png,0.9652679389949163
VF,Y+S3,avocado,21,avocado_21.png,0.9607704861880679
VF,Y+S3,avocado,22,avocado_22.png,0.963945343897118
VF,Y+S3,avocado,23,avocado_23.png,0.9641342723180094
VF,Y+S3,avocado,24,avocado_24.png,0.9596030672079386
VF,Y+S3,avocado,25,avocado_25.png,0.9629635464255333
VF,Y+S3,avocado,26,avocado_26.png,0.9609767164856357
VF,Y+S3,avocado,27,avocado_27.png,0.9633845257840294
VF,Y+S3,avocado,28,avocado_28.png,0.9690210135710456
VF,Y+S3,avocado,29,avocado_29.png,0.9651349750359651
VF,Y+S3,avocado,30,avocado_30.png,0.9806151298833159
VF,Y+S3,avocado,31,avocado_31.png,0.9646255116716451
VF,Y+S3,avocado,32,avocado_32.png,0.9624326623192515
VF,Y+S3,avocado,33,avocado_33.png,0.9672878926104522
