partition,method,scene,frame,filename,iou
N5K,FLMM+S3,1,0,1_000.png,0.9299783756748408
N5K,FLMM+S3,1,1,1_001.png,0.9392376406688526
N5K,FLMM+S3,1,2,1_002.png,0.9432298524205929
N5K,FLMM+S3,1,3,1_003.png,0.9482870519568876
N5K,FLMM+S3,1,4,1_004.png,0.9555925308019664
N5K,FLMM+S3,1,5,1_005.png,0.9726538333346338
N5K,FLMM+S3,1,6,1_006.png,0.9475497557252933
N5K,FLMM+S3,1,7,1_007.png,0.9484966496317769
N5K,FLMM+S3,1,8,1_008.png,0.9503241082785998
N5K,FLMM+S3,1,9,1_009.png,0.9370419258538979
N5K,FLMM+S3,1,10,1_010.png,0.9541558603350058
N5K,FLMM+S3,1,11,1_011.png,0.9477425309934501
N5K,FLMM+S3,1,12,1_012.png,0.9340395995866316
N5K,FLMM+S3,1,13,1_013.png,0.9344344982591013
N5K,FLMM+S3,1,14,1_014.png,0.9182434005439689
N5K,FLMM+S3,1,15,1_015.png,0.9061382551274328
N5K,FLMM+S3,1,16,1_016.png,0.9173329693700265
N5K,FLMM+S3,1,17,1_017.png,0.9604773478145293
N5K,FLMM+S3,1,18,1_018.png,0.952940895351199
N5K,FLMM+S3,1,19,1_019.png,0.9594118677620155
N5K,FLMM+S3,1,20,1_020.png,0.9603562958968951
N5K,FLMM+S3,1,21,1_021.png,0.9560591104918629
N5K,FLMM+S3,1,22,1_022.png,0.9579812707626014
N5K,FLMM+S3,1,23,1_023.png,0.9546232594884624
N5K,FLMM+S3,1,24,1_024.png,0.950246434411205
N5K,FLMM+S3,1,25,1_025.png,0.9531672945444398
N5K,FLMM+S3,1,26,1_026.png,0.9466452223582592
N5K,FLMM+S3,1,27,1_027.png,0.9409852949590891
N5K,FLMM+S3,1,28,1_028.png,0.9448247468148048
N5K,FLMM+S3,1,29,1_029.png,0.9395887428733923
N5K,FLMM+S3,1,30,1_030.png,0.9344323460603905
N5K,FLMM+S3,1,31,1_031.png,0.9373964502510612
N5K,FLMM+S3,1,32,1_032.png,0.9504368837123366
N5K,FLMM+S3,1,33,1_033.png,0.9459198918611269
N5K,FLMM+S3,1,34,1_034.png,0.9404459686420596
N5K,FLMM+S3,1,35,1_035.png,0.9495170777971921
N5K,FLMM+S3,1,36,1_036.png,0.9578205036994878
N5K,FLMM+S3,1,37,1_037.png,0.9529022034036201
N5K,FLMM+S3,1,38,1_038.png,0.958017455451678
N5K,FLMM+S3,1,39,1_039.png,0.9615714115176922
N5K,FLMM+S3,1,40,1_040.png,0.9541798679697686
N5K,FLMM+S3,1,41,1_041.png,0.9496590897474777
N5K,FLMM+S3,1,42,1_042.png,0.9576533661151804
N5K,FLMM+S3,1,43,1_043.png,0.9620705580326065
N5K,FLMM+S3,1,44,1_044.png,0.9554079362927481
N5K,FLMM+S3,1,45,1_045.png,0.9568593020488878
N5K,FLMM+S3,1,46,1_046.png,0.9590000695654425
N5K,FLMM+S3,1,47,1_047.png,0.9521440166399856
N5K,FLMM+S3,1,48,1_048.png,0.9515040493636714
N5K,FLMM+S3,1,49,1_049.png,0.9405356721634893
N5K,FLMM+S3,1,50,1_050.png,0.9533217200228411
N5K,FLMM+S3,1,51,1_051.png,0.9432511212392146
N5K,FLMM+S3,1,52,1_052.png,0.9491228844738778
N5K,FLMM+S3,1,53,1_053.png,0.9558439389782798
N5K,FLMM+S3,1,54,1_054.png,0.9416833204304172
N5K,FLMM+S3,1,55,1_055.png,0.9511692629106907
N5K,FLMM+S3,1,56,1_056.png,0.9505219200321651
N5K,FLMM+S3,1,57,1_057.png,0.9411268879165677
N5K,FLMM+S3,1,58,1_058.png,0.9369745894081227
N5K,FLMM+S3,1,59,1_059.png,0.9488094997426324
N5K,FLMM+S3,1,60,1_060.png,0.9417345073675851
N5K,FLMM+S3,1,61,1_061.png,0.9397487573486741
N5K,FLMM+S3,1,62,1_062.png,0.9439379841971547
N5K,FLMM+S3,1,63,1_063.png,0.9508688565798756
N5K,FLMM+S3,10,0,10_000.png,0.47088924534787324
N5K,FLMM+S3,10,1,10_001.png,0.4748151755429351
N5K,FLMM+S3,10,2,10_002.png,0.553274898035853
N5K,FLMM+S3,10,3,10_003.png,0.5491818772716419
N5K,FLMM+S3,10,4,10_004.png,0.5417711619879729
N5K,FLMM+S3,10,5,10_005.png,0.5382869000134146
N5K,FLMM+S3,10,6,10_006.png,0.5680653510244933
N5K,FLMM+S3,10,7,10_007.png,0.592539980132832
N5K,FLMM+S3,10,8,10_008.png,0.5178244137996334
N5K,FLMM+S3,10,9,10_009.png,0.5232697362842365
N5K,FLMM+S3,10,10,10_010.png,0.5507617621056266
N5K,FLMM+S3,10,11,10_011.png,0.5620354124532901
N5K,FLMM+S3,10,12,10_012.png,0.5802376356539269
N5K,FLMM+S3,10,13,10_013.png,0.5869055158789415
N5K,FLMM+S3,10,14,10_014.png,0.5937380988490639
N5K,FLMM+S3,10,15,10_015.png,0.5911134598285436
N5K,FLMM+S3,10,16,10_016.png,0.6139834968929335
N5K,FLMM+S3,10,17,10_017.png,0.6081316179838263
