partition,method,scene,frame,filename,iou
N5K,FPN-Re,1,0,1_000.png,0.9244459186850977
N5K,FPN-Re,1,1,1_001.png,0.927591740954025
N5K,FPN-Re,1,2,1_002.png,0.9149024149106629
N5K,FPN-Re,1,3,1_003.png,0.932992048820441
N5K,FPN-Re,1,4,1_004.png,0.9440145683377624
N5K,FPN-Re,1,5,1_005.png,0.9586443446664193
N5K,FPN-Re,1,6,1_006.png,0.9393455377625312
N5K,FPN-Re,1,7,1_007.png,0.9370502232179683
N5K,FPN-Re,1,8,1_008.png,0.9294836448520365
N5K,FPN-Re,1,9,1_009.png,0.904557846208236
N5K,FPN-Re,1,10,1_010.png,0.9285538565406802
N5K,FPN-Re,1,11,1_011.png,0.9275609068972698
N5K,FPN-Re,1,12,1_012.png,0.9266507338680414
N5K,FPN-Re,1,13,1_013.png,0.931200341472441
N5K,FPN-Re,1,14,1_014.png,0.9146410733301489
N5K,FPN-Re,1,15,1_015.png,0.87558447303987
N5K,FPN-Re,1,16,1_016.png,0.9194649032200117
N5K,FPN-Re,1,17,1_017.png,0.9420289855072463
N5K,FPN-Re,1,18,1_018.png,0.9404002255190358
N5K,FPN-Re,1,19,1_019.png,0.8229509068829804
N5K,FPN-Re,1,20,1_020.png,0.9111197729044458
N5K,FPN-Re,1,21,1_021.png,0.9375288866894803
N5K,FPN-Re,1,22,1_022.png,0.9395829603814687
N5K,FPN-Re,1,23,1_023.png,0.936314733243369
N5K,FPN-Re,1,24,1_024.png,0.9340538915421812
N5K,FPN-Re,1,25,1_025.png,0.937410963146485
N5K,FPN-Re,1,26,1_026.png,0.9262036860187638
N5K,FPN-Re,1,27,1_027.png,0.9249764330670881
N5K,FPN-Re,1,28,1_028.png,0.9332850680829622
N5K,FPN-Re,1,29,1_029.png,0.9254020827738489
N5K,FPN-Re,1,30,1_030.png,0.9194392502052358
N5K,FPN-Re,1,31,1_031.png,0.9179339009396501
N5K,FPN-Re,1,32,1_032.png,0.9386498452544704
N5K,FPN-Re,1,33,1_033.png,0.9355939700626349
N5K,FPN-Re,1,34,1_034.png,0.9175778826890096
N5K,FPN-Re,1,35,1_035.png,0.8586520238610005
N5K,FPN-Re,1,36,1_036.png,0.9338650928721112
N5K,FPN-Re,1,37,1_037.png,0.9410909829492329
N5K,FPN-Re,1,38,1_038.png,0.9270460852397454
N5K,FPN-Re,1,39,1_039.png,0.9438682260265691
N5K,FPN-Re,1,40,1_040.png,0.9335992249805146
N5K,FPN-Re,1,41,1_041.png,0.9386167813078373
N5K,FPN-Re,1,42,1_042.png,0.931020480167223
N5K,FPN-Re,1,43,1_043.png,0.9582047072073601
N5K,FPN-Re,1,44,1_044.png,0.9516884434351844
N5K,FPN-Re,1,45,1_045.png,0.9258627731101785
N5K,FPN-Re,1,46,1_046.png,0.9469069015269544
N5K,FPN-Re,1,47,1_047.png,0.9349508078971991
N5K,FPN-Re,1,48,1_048.png,0.9251891936721196
N5K,FPN-Re,1,49,1_049.png,0.9379550350296515
N5K,FPN-Re,1,50,1_050.png,0.952149934350942
N5K,FPN-Re,1,51,1_051.png,0.9415982877045739
N5K,FPN-Re,1,52,1_052.png,0.9468497443509813
N5K,FPN-Re,1,53,1_053.png,0.9550420795034021
N5K,FPN-Re,1,54,1_054.png,0.9430265695355864
N5K,FPN-Re,1,55,1_055.png,0.9463672262561896
N5K,FPN-Re,1,56,1_056.png,0.9537611776834853
N5K,FPN-Re,1,57,1_057.png,0.9415731337418491
N5K,FPN-Re,1,58,1_058.png,0.9375874912894134
N5K,FPN-Re,1,59,1_059.png,0.9424143649568251
