partition,method,scene,frame,filename,iou
VF,FSAM,apple,0,apple_0.png,0.9559418213353191
VF,FSAM,apple,1,apple_1.png,0.7113748867043157
VF,FSAM,apple,2,apple_2.png,0.5745900633817216
VF,FSAM,apple,3,apple_3.png,0.39615621385034805
VF,FSAM,apple,4,apple_4.png,0.49845839310151524
VF,FSAM,apple,5,apple_5.png,0.4853560613535113
VF,FSAM,apple,6,apple_6.png,0.4373415792642588
VF,FSAM,apple,7,apple_7.png,0.4469519139145188
VF,FSAM,apple,8,apple_8.png,0.7408969430065615
VF,FSAM,apple,9,apple_9.png,0.6086057981276708
VF,FSAM,apple,10,apple_10.png,0.6669392616823261
VF,FSAM,apple,11,apple_11.png,0.651787515635718
VF,FSAM,apple,12,apple_12.png,0.5989837620690683
VF,FSAM,apple,13,apple_13.png,0.5287344609741186
VF,FSAM,apple,14,apple_14.png,0.7044227984730814
VF,FSAM,apple,15,apple_15.png,0.6586603693461351
VF,FSAM,apple,16,apple_16.png,0.30294893181940485
VF,FSAM,apple,17,apple_17.png,0.24345394333374218
VF,FSAM,apple,18,apple_18.png,0.33319153923283606
VF,FSAM,apple,19,apple_19.png,0.319389184645559
VF,FSAM,apple,20,apple_20.png,0.27480122455710176
VF,FSAM,apple,21,apple_21.png,0.2559171995056687
VF,FSAM,apple,22,apple_22.png,0.2767561304265748
VF,FSAM,apple,23,apple_23.png,0.43390546900526256
VF,FSAM,apple,24,apple_24.png,0.4457139342308609
VF,FSAM,apple,25,apple_25.png,0.505567052626178
VF,FSAM,apple,26,apple_26.png,0.5155452359779995
VF,FSAM,apple,27,apple_27.png,0.3448929872314761
VF,FSAM,apple,28,apple_28.png,0.6369378662044471
VF,FSAM,apple,29,apple_29.png,0.5104684788895315
VF,FSAM,apple,30,apple_30.png,0.5294181834053512
VF,FSAM,apple,31,apple_31.png,0.5040972055492343
VF,FSAM,apple,32,apple_32.png,0.5874544192656407
VF,FSAM,apple,33,apple_33.png,0.30936280011126777
VF,FSAM,apple,34,apple_34.png,0.32703551219145377
VF,FSAM,apple,35,apple_35.png,0.28044792622391607
VF,FSAM,apple,36,apple_36.png,0.2967552376085846
VF,FSAM,apple,37,apple_37.png,0.16947149691164215
VF,FSAM,apple,38,apple_38.png,0.31401372304085534
VF,FSAM,apple,39,apple_39.png,0.40246711326661366
VF,FSAM,apple,40,apple_40.png,0.6119943946576243
VF,FSAM,apple,41,apple_41.png,0.6536357072644554
VF,FSAM,apple,42,apple_42.png,0.6084553601404923
VF,FSAM,apple,43,apple_43.png,0.48301602520202713
VF,FSAM,apple,44,apple_44.png,0.6294544808829989
VF,FSAM,apple,45,apple_45.png,0.40824871524982975
VF,FSAM,apple,46,apple_46.png,0.14025091036668724
VF,FSAM,apple,47,apple_47.png,0.3834253587734413
VF,FSAM,apple,48,apple_48.png,0.4406102765560356
VF,FSAM,apple,49,apple_49.png,0.29601511346835324
VF,FSAM,apple,50,apple_50.png,0.35919310462063453
VF,FSAM,apple,51,apple_51.png,0.4009100722865225
