partition,method,scene,frame,filename,iou
VF,SF+X2,apple,0,apple_0.png,0.9700231470456558
VF,SF+X2,apple,1,apple_1.png,0.7292307692307692
VF,SF+X2,apple,2,apple_2.png,0.5869409468595851
VF,SF+X2,apple,3,apple_3.png,0.4833342742163117
VF,SF+X2,apple,4,apple_4.png,0.5057657209225154
VF,SF+X2,apple,5,apple_5.png,0.5308015158306507
VF,SF+X2,apple,6,apple_6.png,0.4519602366211842
VF,SF+X2,apple,7,apple_7.png,0.45356646505741594
VF,SF+X2,apple,8,apple_8.png,0.8689536311753718
VF,SF+X2,apple,9,apple_9.png,0.616395009641215
VF,SF+X2,apple,10,apple_10.png,0.6710348626461494
VF,SF+X2,apple,11,apple_11.png,0.658190610517832
VF,SF+X2,apple,12,apple_12.png,0.6016507255445308
VF,SF+X2,apple,13,apple_13.png,0.5366763491820823
VF,SF+X2,apple,14,apple_14.png,0.7039951044671737
VF,SF+X2,apple,15,apple_15.png,0.6715494249041507
VF,SF+X2,apple,16,apple_16.png,0.5224483426504741
VF,SF+X2,apple,17,apple_17.png,0.4237602490831424
VF,SF+X2,apple,18,apple_18.png,0.7200854105742004
VF,SF+X2,apple,19,apple_19.png,0.45604840630806615
VF,SF+X2,apple,20,apple_20.png,0.27551773822409875
VF,SF+X2,apple,21,apple_21.png,0.2578148761447738
VF,SF+X2,apple,22,apple_22.png,0.2722333781737599
VF,SF+X2,apple,23,apple_23.png,0.4336545486171508
VF,SF+X2,apple,24,apple_24.png,0.446445049278464
VF,SF+X2,apple,25,apple_25.png,0.5070094063382654
VF,SF+X2,apple,26,apple_26.png,0.525766063152279
VF,SF+X2,apple,27,apple_27.png,0.34292610173840526
VF,SF+X2,apple,28,apple_28.png,0.6429819452533488
VF,SF+X2,apple,29,apple_29.png,0.5003176754627473
VF,SF+X2,apple,30,apple_30.png,0.5236188600809539
VF,SF+X2,apple,31,apple_31.png,0.49563070898126255
VF,SF+X2,apple,32,apple_32.png,0.5765444036656924
VF,SF+X2,apple,33,apple_33.png,0.3056591378943911
VF,SF+X2,apple,34,apple_34.png,0.31815087918321044
VF,SF+X2,apple,35,apple_35.png,0.3287211858197599
VF,SF+X2,apple,36,apple_36.png,0.2939014956162971
VF,SF+X2,apple,37,apple_37.png,0.26849143719073637
VF,SF+X2,apple,38,apple_38.png,0.5119318734793188
VF,SF+X2,apple,39,apple_39.png,0.3990697826495664
VF,SF+X2,apple,40,apple_40.png,0.6041619523403366
VF,SF+X2,apple,41,apple_41.png,0.6457638542405224
VF,SF+X2,apple,42,apple_42.png,0.6026431488852467
VF,SF+X2,apple,43,apple_43.png,0.4740702345471038
VF,SF+X2,apple,44,apple_44.png,0.6245112426035503
VF,SF+X2,apple,45,apple_45.png,0.40637971273279766
VF,SF+X2,apple,46,apple_46.png,0.1385431594353142
VF,SF+X2,apple,47,apple_47.png,0.3829632210853106
VF,SF+X2,apple,48,apple_48.png,0.43839930712753183
VF,SF+X2,apple,49,apple_49.png,0.2946901973329542
VF,SF+X2,apple,50,apple_50.png,0.35639957046430765
VF,SF+X2,apple,51,apple_51.png,0.39621922138420584
VF,SF+X2,apple,52,apple_52.png,0.45171320045424285
VF,SF+X2,apple,53,apple_53.png,0.5179417897276909
VF,SF+X2,apple,54,apple_54.png,0.39150213811300155
VF,SF+X2,apple,55,apple_55.png,0.30843918145697247
VF,SF+X2,apple,56,apple_56.png,0.41137881987845354
