partition,method,scene,frame,filename,iou
MTF,BiRefNet,1,0,1_000.png,0.16425676135976566
MTF,BiRefNet,1,1,1_001.png,0.16559436533870614
MTF,BiRefNet,1,2,1_002.png,0.16519626646208924
MTF,BiRefNet,1,3,1_003.png,0.16425233516558946
MTF,BiRefNet,1,4,1_004.png,0.16246116729459978
MTF,BiRefNet,1,5,1_005.png,0.15944477043940955
MTF,BiRefNet,1,6,1_006.png,0.156606308480662
MTF,BiRefNet,1,7,1_007.png,0.1547191789447173
MTF,BiRefNet,1,8,1_008.png,0.15093760924483374
MTF,BiRefNet,1,9,1_009.png,0.14875907938244715
MTF,BiRefNet,1,10,1_010.png,0.14552954551053954
MTF,BiRefNet,1,11,1_011.png,0.1449791546866015
MTF,BiRefNet,1,12,1_012.png,0.1419452997645354
MTF,BiRefNet,1,13,1_013.png,0.13577722172208714
MTF,BiRefNet,1,14,1_014.png,0.13256839425930173
MTF,BiRefNet,1,15,1_015.png,0.1272741607404721
MTF,BiRefNet,1,16,1_016.png,0.12088824322922072
MTF,BiRefNet,1,17,1_017.png,0.11677311477207314
MTF,BiRefNet,1,18,1_018.png,0.11537743302449185
MTF,BiRefNet,1,19,1_019.png,0.11535753129205302
MTF,BiRefNet,1,20,1_020.png,0.11498875024025869
MTF,BiRefNet,1,21,1_021.png,0.11487698373657643
MTF,BiRefNet,1,22,1_022.png,0.11516664595595019
MTF,BiRefNet,1,23,1_023.png,0.11366090712742981
MTF,BiRefNet,1,24,1_024.png,0.11024794988864972
MTF,BiRefNet,1,25,1_025.png,0.11124952053918793
MTF,BiRefNet,1,26,1_026.png,0.11320164996507909
MTF,BiRefNet,1,27,1_027.png,0.11576615416136661
MTF,BiRefNet,1,28,1_028.png,0.11776536312849162
MTF,BiRefNet,1,29,1_029.png,0.11876113978843082
MTF,BiRefNet,1,30,1_030.png,0.11773553696475068
MTF,BiRefNet,1,31,1_031.png,0.11625544771065928
MTF,BiRefNet,1,32,1_032.png,0.11680937053387785
MTF,BiRefNet,1,33,1_033.png,0.11676357787950019
MTF,BiRefNet,1,34,1_034.png,0.11566912990927311
MTF,BiRefNet,1,35,1_035.png,0.11977329797139068
MTF,BiRefNet,1,36,1_036.png,0.1261567458697368
MTF,BiRefNet,1,37,1_037.png,0.12871956635366447
MTF,BiRefNet,1,38,1_038.png,0.13127371606777993
MTF,BiRefNet,1,39,1_039.png,0.13291714720944056
MTF,BiRefNet,1,40,1_040.png,0.13538666584962314
MTF,BiRefNet,1,41,1_041.png,0.13591733236735237
MTF,BiRefNet,1,42,1_042.png,0.13821963458076378
MTF,BiRefNet,1,43,1_043.png,0.1404255646442155
MTF,BiRefNet,1,44,1_044.png,0.143371564757578
MTF,BiRefNet,1,45,1_045.png,0.14864504888479316
MTF,BiRefNet,1,46,1_046.png,0.15207385265161655
MTF,BiRefNet,1,47,1_047.png,0.1568465904362444
MTF,BiRefNet,1,48,1_048.png,0.15880721532244652
MTF,BiRefNet,1,49,1_049.png,0.15874946750603494
MTF,BiRefNet,1,50,1_050.png,0.162049021493129
MTF,BiRefNet,1,51,1_051.png,0.1680007771517389
MTF,BiRefNet,1,52,1_052.png,0.16998981655031953
MTF,BiRefNet,1,53,1_053.png,0.16947585485807226
MTF,BiRefNet,1,54,1_054.png,0.16982507288629736
MTF,BiRefNet,1,55,1_055.png,0.16894037084797012
MTF,BiRefNet,1,56,1_056.png,0.1684593686205568
MTF,BiRefNet,1,57,1_057.png,0.16364039373213188
MTF,BiRefNet,1,58,1_058.png,0.16363856138654367
MTF,BiRefNet,1,59,1_059.png,0.16553573156069046
MTF,BiRefNet,1,60,1_060.png,0.16756749416046499
MTF,BiRefNet,1,61,1_061.png,0.16862119648497356
MTF,BiRefNet,1,62,1_062.png,0.1721548975745513
MTF,BiRefNet,1,63,1_063.png,0.16783701003819015
MTF,BiRefNet,1,64,1_064.png,0.1638613399910024
MTF,BiRefNet,1,65,1_065.png,0.15985516324691
MTF,BiRefNet,1,66,1_066.png,0.1589616848361712
MTF,BiRefNet,1,67,1_067.png,0.16246526087707452
MTF,BiRefNet,1,68,1_068.png,0.16475139940730985
MTF,BiRefNet,1,69,1_069.png,0.16421026051092125
MTF,BiRefNet,1,70,1_070.png,0.16646238700781368
MTF,BiRefNet,1,71,1_071.png,0.16558539782849843
MTF,BiRefNet,1,72,1_072.png,0.16934179368308708
MTF,BiRefNet,1,73,1_073.png,0.17068484863349112
MTF,BiRefNet,1,74,1_074.png,0.17489919559094685
MTF,BiRefNet,1,75,1_075.png,0.1770153781647326
MTF,BiRefNet,1,76,1_076.png,0.18215641933694585
MTF,BiRefNet,1,77,1_077.png,0.1820194843594204
MTF,BiRefNet,1,78,1_078.png,0.1800884569136609
MTF,BiRefNet,1,79,1_079.png,0.18062196656480317
MTF,BiRefNet,1,80,1_080.png,0.18082696783666838
MTF,BiRefNet,1,81,1_081.png,0.18222506881381004
MTF,BiRefNet,1,82,1_082.png,0.18261729244127317
MTF,BiRefNet,1,83,1_083.png,0.1808488722903736
MTF,BiRefNet,1,84,1_084.png,0.17933542261346322
MTF,BiRefNet,1,85,1_085.png,0.1788576193017893
MTF,BiRefNet,1,86,1_086.png,0.1722373794175143
MTF,BiRefNet,1,87,1_087.png,0.17087275055124831
MTF,BiRefNet,1,88,1_088.png,0.16846783225263398
MTF,BiRefNet,1,89,1_089.png,0.16076928244857838
MTF,BiRefNet,1,90,1_090.png,0.15682174780441743
MTF,BiRefNet,1,91,1_091.png,0.15173452269465798
MTF,BiRefNet,1,92,1_092.png,0.15144638712068506
MTF,BiRefNet,1,93,1_093.png,0.1453286870758141
MTF,BiRefNet,1,94,1_094.png,0.13984246897190794
MTF,BiRefNet,1,95,1_095.png,0.13832100327829125
MTF,BiRefNet,1,96,1_096.png,0.13784600399891625
MTF,BiRefNet,1,97,1_097.png,0.13726341791135932
MTF,BiRefNet,1,98,1_098.png,0.13576422431436758
MTF,BiRefNet,1,99,1_099.png,0.1354866163968884
MTF,BiRefNet,1,100,1_100.png,0.13066658935106437
MTF,BiRefNet,1,101,1_101.png,0.12443069856059716
MTF,BiRefNet,1,102,1_102.png,0.12003363391627508
MTF,BiRefNet,1,103,1_103.png,0.12146416491772924
MTF,BiRefNet,1,104,1_104.png,0.12351904202267891
MTF,BiRefNet,1,105,1_105.png,0.1192229089207889
MTF,BiRefNet,1,106,1_106.png,0.11807942315352049
MTF,BiRefNet,1,107,1_107.png,0.11585185422148289
MTF,BiRefNet,1,108,1_108.png,0.11505646753887928
MTF,BiRefNet,1,109,1_109.png,0.11186067560519129
MTF,BiRefNet,1,110,1_110.png,0.11234148887136648
MTF,BiRefNet,1,111,1_111.png,0.10929125359474225
MTF,BiRefNet,1,112,1_112.png,0.10622833301860911
MTF,BiRefNet,1,113,1_113.png,0.10561857676175102
MTF,BiRefNet,1,114,1_114.png,0.10396728565725308
MTF,BiRefNet,1,115,1_115.png,0.10465476076783498
MTF,BiRefNet,1,116,1_116.png,0.10604720898047056
MTF,BiRefNet,1,117,1_117.png,0.1058082836272558
MTF,BiRefNet,1,118,1_118.png,0.10587014483334195
MTF,BiRefNet,1,119,1_119.png,0.10494010997392296
MTF,BiRefNet,1,120,1_120.png,0.10316505579292322
MTF,BiRefNet,1,121,1_121.png,0.10241116586272801
MTF,BiRefNet,1,122,1_122.png,0.10661028995142913
MTF,BiRefNet,1,123,1_123.png,0.10905559784148353
MTF,BiRefNet,1,124,1_124.png,0.11126140261651499
MTF,BiRefNet,1,125,1_125.png,0.11258720361837372
MTF,BiRefNet,1,126,1_126.png,0.1125466438069991
MTF,BiRefNet,1,127,1_127.png,0.11173308658369474
MTF,BiRefNet,1,128,1_128.png,0.11165606315296721
MTF,BiRefNet,1,129,1_129.png,0.11370272798018091
MTF,BiRefNet,1,130,1_130.png,0.11549028387212322
MTF,BiRefNet,1,131,1_131.png,0.11718145334671062
MTF,BiRefNet,1,132,1_132.png,0.1191371259067814
MTF,BiRefNet,1,133,1_133.png,0.12054307071382514
MTF,BiRefNet,1,134,1_134.png,0.12357177108652877
MTF,BiRefNet,1,135,1_135.png,0.1264760218285218
MTF,BiRefNet,1,136,1_136.png,0.1276137159992829
