partition,method,scene,frame,filename,iou
N5K,FoodMem,1,0,1_000.png,0.9214827905184907
N5K,FoodMem,1,1,1_001.png,0.9254656307050286
N5K,FoodMem,1,2,1_002.png,0.9329950469714433
N5K,FoodMem,1,3,1_003.png,0.9392503770021498
N5K,FoodMem,1,4,1_004.png,0.9436485038150131
N5K,FoodMem,1,5,1_005.png,0.9588628399149643
N5K,FoodMem,1,6,1_006.png,0.9348748645224741
N5K,FoodMem,1,7,1_007.png,0.9331664490390483
N5K,FoodMem,1,8,1_008.png,0.9278860037607825
N5K,FoodMem,1,9,1_009.png,0.9182334241850842
N5K,FoodMem,1,10,1_010.png,0.9390888525296208
N5K,FoodMem,1,11,1_011.png,0.9313574995067104
N5K,FoodMem,1,12,1_012.png,0.9164770319684866
N5K,FoodMem,1,13,1_013.png,0.9121377705664914
N5K,FoodMem,1,14,1_014.png,0.8988620749693089
N5K,FoodMem,1,15,1_015.png,0.8856548102109354
N5K,FoodMem,1,16,1_016.png,0.8980043375402952
N5K,FoodMem,1,17,1_017.png,0.9498286666510198
N5K,FoodMem,1,18,1_018.png,0.9416522214211289
N5K,FoodMem,1,19,1_019.png,0.9455389038026591
N5K,FoodMem,1,20,1_020.png,0.9477065256794739
N5K,FoodMem,1,21,1_021.png,0.9423837966718285
N5K,FoodMem,1,22,1_022.png,0.9467099317014992
N5K,FoodMem,1,23,1_023.png,0.9460032163245928
N5K,FoodMem,1,24,1_024.png,0.939754224765342
N5K,FoodMem,1,25,1_025.png,0.943079241179425
N5K,FoodMem,1,26,1_026.png,0.9334401463808513
N5K,FoodMem,1,27,1_027.png,0.9316744132933698
N5K,FoodMem,1,28,1_028.png,0.9293365267196259
N5K,FoodMem,1,29,1_029.png,0.9305102497496966
N5K,FoodMem,1,30,1_030.png,0.9210507088368864
N5K,FoodMem,1,31,1_031.png,0.9223152686407559
N5K,FoodMem,1,32,1_032.png,0.9273022326530969
N5K,FoodMem,1,33,1_033.png,0.9119565366328223
N5K,FoodMem,1,34,1_034.png,0.9129088954490384
N5K,FoodMem,1,35,1_035.png,0.928860678626261
N5K,FoodMem,1,36,1_036.png,0.9099762606666599
N5K,FoodMem,1,37,1_037.png,0.9093377303863197
N5K,FoodMem,1,38,1_038.png,0.9095209745990743
N5K,FoodMem,1,39,1_039.png,0.9166307633218108
N5K,FoodMem,1,40,1_040.png,0.9192743381290319
N5K,FoodMem,1,41,1_041.png,0.9229537696154966
N5K,FoodMem,1,42,1_042.png,0.9343974554326014
N5K,FoodMem,1,43,1_043.png,0.935531249174874
N5K,FoodMem,1,44,1_044.png,0.9220498894914346
N5K,FoodMem,1,45,1_045.png,0.9305232766802517
N5K,FoodMem,1,46,1_046.png,0.9373458024279647
N5K,FoodMem,1,47,1_047.png,0.9314577412046365
N5K,FoodMem,1,48,1_048.png,0.9311904290012792
N5K,FoodMem,1,49,1_049.png,0.922349969758742
N5K,FoodMem,1,50,1_050.png,0.935587627113843
N5K,FoodMem,1,51,1_051.png,0.9245737485782128
N5K,FoodMem,1,52,1_052.png,0.927440326190962
N5K,FoodMem,1,53,1_053.png,0.9404630860580228
N5K,FoodMem,1,54,1_054.png,0.9182674249167284
N5K,FoodMem,1,55,1_055.png,0.9305999755586488
N5K,FoodMem,1,56,1_056.png,0.929390986855211
N5K,FoodMem,1,57,1_057.png,0.9193712688157889
N5K,FoodMem,1,58,1_058.png,0.9158716183527701
N5K,FoodMem,1,59,1_059.png,0.9212683061952018
N5K,FoodMem,1,60,1_060.png,0.9233153157515632
N5K,FoodMem,1,61,1_061.png,0.9229568529293011
N5K,FoodMem,1,62,1_062.png,0.9257121256270722
N5K,FoodMem,1,63,1_063.png,0.9264728870053732
N5K,FoodMem,10,0,10_000.png,0.8974727297212372
N5K,FoodMem,10,1,10_001.png,0.91087107431642
N5K,FoodMem,10,2,10_002.png,0.9052525555647782
N5K,FoodMem,10,3,10_003.png,0.9316792663990485
N5K,FoodMem,10,4,10_004.png,0.9235821422552505
