partition,method,scene,frame,filename,iou
N5K,SF+S3,1,0,1_000.png,0.927159571483143
N5K,SF+S3,1,1,1_001.png,0.9343202281537494
N5K,SF+S3,1,2,1_002.png,0.939786459798429
N5K,SF+S3,1,3,1_003.png,0.9439607144525177
N5K,SF+S3,1,4,1_004.png,0.9523626546311895
N5K,SF+S3,1,5,1_005.png,0.968990743257109
N5K,SF+S3,1,6,1_006.png,0.9433481915350532
N5K,SF+S3,1,7,1_007.png,0.9448884646179845
N5K,SF+S3,1,8,1_008.png,0.9440527913043283
N5K,SF+S3,1,9,1_009.png,0.9360358899396353
N5K,SF+S3,1,10,1_010.png,0.9533057080348916
N5K,SF+S3,1,11,1_011.png,0.9442621913032468
N5K,SF+S3,1,12,1_012.png,0.9302892986141615
N5K,SF+S3,1,13,1_013.png,0.9310782106965095
N5K,SF+S3,1,14,1_014.png,0.9151760957489222
N5K,SF+S3,1,15,1_015.png,0.9023615990383612
N5K,SF+S3,1,16,1_016.png,0.9129740181430215
N5K,SF+S3,1,17,1_017.png,0.9557318143119119
N5K,SF+S3,1,18,1_018.png,0.9478393294544453
N5K,SF+S3,1,19,1_019.png,0.9539137203238124
N5K,SF+S3,1,20,1_020.png,0.9555310298995437
N5K,SF+S3,1,21,1_021.png,0.951005384257367
N5K,SF+S3,1,22,1_022.png,0.9532337012939028
N5K,SF+S3,1,23,1_023.png,0.9489104660335533
N5K,SF+S3,1,24,1_024.png,0.9461624823165878
N5K,SF+S3,1,25,1_025.png,0.9483454239908892
N5K,SF+S3,1,26,1_026.png,0.9404876442592861
N5K,SF+S3,1,27,1_027.png,0.9359236622461704
N5K,SF+S3,1,28,1_028.png,0.9380822613070592
N5K,SF+S3,1,29,1_029.png,0.9391022280013702
N5K,SF+S3,1,30,1_030.png,0.9321440169937556
N5K,SF+S3,1,31,1_031.png,0.9398495282406807
N5K,SF+S3,1,32,1_032.png,0.9427505849022441
N5K,SF+S3,1,33,1_033.png,0.9331418225539873
N5K,SF+S3,1,34,1_034.png,0.9322040693245855
N5K,SF+S3,1,35,1_035.png,0.9424042249102381
N5K,SF+S3,1,36,1_036.png,0.9520872496501817
N5K,SF+S3,1,37,1_037.png,0.9482672845246612
N5K,SF+S3,1,38,1_038.png,0.9539337044846966
N5K,SF+S3,1,39,1_039.png,0.9564054690591621
N5K,SF+S3,1,40,1_040.png,0.9455207460541284
N5K,SF+S3,1,41,1_041.png,0.9501660903190637
N5K,SF+S3,1,42,1_042.png,0.9505538906178265
N5K,SF+S3,1,43,1_043.png,0.9559134998043898
N5K,SF+S3,1,44,1_044.png,0.949067280447373
N5K,SF+S3,1,45,1_045.png,0.9513451715387276
N5K,SF+S3,1,46,1_046.png,0.9535186242271729
N5K,SF+S3,1,47,1_047.png,0.9469320779665608
N5K,SF+S3,1,48,1_048.png,0.9472624412695368
N5K,SF+S3,1,49,1_049.png,0.9360506922003473
N5K,SF+S3,1,50,1_050.png,0.9495054501848361
N5K,SF+S3,1,51,1_051.png,0.9374449682584132
N5K,SF+S3,1,52,1_052.png,0.9432978841577849
N5K,SF+S3,1,53,1_053.png,0.9587753357424893
N5K,SF+S3,1,54,1_054.png,0.9364092581800513
N5K,SF+S3,1,55,1_055.png,0.9448942468340638
N5K,SF+S3,1,56,1_056.png,0.945153504858744
N5K,SF+S3,1,57,1_057.png,0.9334629404617254
N5K,SF+S3,1,58,1_058.png,0.9295113541572945
N5K,SF+S3,1,59,1_059.png,0.9450688185036553
N5K,SF+S3,1,60,1_060.png,0.9347174870714422
N5K,SF+S3,1,61,1_061.png,0.9302529069087336
N5K,SF+S3,1,62,1_062.png,0.9319573732536196
N5K,SF+S3,1,63,1_063.png,0.9362746506068701
N5K,SF+S3,10,0,10_000.png,0.8925896472990206
N5K,SF+S3,10,1,10_001.png,0.8921851556264964
N5K,SF+S3,10,2,10_002.png,0.9058718759705645
N5K,SF+S3,10,3,10_003.png,0.9393577977280415
N5K,SF+S3,10,4,10_004.png,0.9331691024713576
N5K,SF+S3,10,5,10_005.png,0.919330166393432
N5K,SF+S3,10,6,10_006.png,0.9335723029900544
N5K,SF+S3,10,7,10_007.png,0.9171115594257804
N5K,SF+S3,10,8,10_008.png,0.9182573102765603
N5K,SF+S3,10,9,10_009.png,0.9105284881284192
N5K,SF+S3,10,10,10_010.png,0.9033803384891571
N5K,SF+S3,10,11,10_011.png,0.9366740389475344
N5K,SF+S3,10,12,10_012.png,0.9138103033097242
N5K,SF+S3,10,13,10_013.png,0.915684681023974
N5K,SF+S3,10,14,10_014.png,0.9288116573748852
N5K,SF+S3,10,15,10_015.png,0.9237154876488103
N5K,SF+S3,10,16,10_016.png,0.9399135363942872
N5K,SF+S3,10,17,10_017.png,0.9400278986294508
N5K,SF+S3,10,18,10_018.png,0.9384183845442744
N5K,SF+S3,10,19,10_019.png,0.9293202137351617
N5K,SF+S3,10,20,10_020.png,0.9375781726726878
N5K,SF+S3,10,21,10_021.png,0.9271155033971588
N5K,SF+S3,10,22,10_022.png,0.9314165867078773
N5K,SF+S3,10,23,10_023.png,0.9410684093607438
N5K,SF+S3,10,24,10_024.png,0.9346106326873075
N5K,SF+S3,10,25,10_025.png,0.9360277244415305
