partition,method,scene,frame,filename,iou
N5K,Y+X2,1,0,1_000.png,0.9210859244940319
N5K,Y+X2,1,1,1_001.png,0.9257693460837969
N5K,Y+X2,1,2,1_002.png,0.9317079095931872
N5K,Y+X2,1,3,1_003.png,0.939580043347357
N5K,Y+X2,1,4,1_004.png,0.94278401312178
N5K,Y+X2,1,5,1_005.png,0.9579704374110405
N5K,Y+X2,1,6,1_006.png,0.9346477110948015
N5K,Y+X2,1,7,1_007.png,0.9326998539979569
N5K,Y+X2,1,8,1_008.png,0.9318888329005001
N5K,Y+X2,1,9,1_009.png,0.9209650684374153
N5K,Y+X2,1,10,1_010.png,0.9383559436370527
N5K,Y+X2,1,11,1_011.png,0.9321312914782076
N5K,Y+X2,1,12,1_012.png,0.9180691259815905
N5K,Y+X2,1,13,1_013.png,0.9145009190042064
N5K,Y+X2,1,14,1_014.png,0.9023113009055063
N5K,Y+X2,1,15,1_015.png,0.8867557244764376
N5K,Y+X2,1,16,1_016.png,0.898857083399506
N5K,Y+X2,1,17,1_017.png,0.9494660510770472
N5K,Y+X2,1,18,1_018.png,0.94088053132299
N5K,Y+X2,1,19,1_019.png,0.9449209031591794
N5K,Y+X2,1,20,1_020.png,0.9469285897408759
N5K,Y+X2,1,21,1_021.png,0.9415497997904348
N5K,Y+X2,1,22,1_022.png,0.9458948688915861
N5K,Y+X2,1,23,1_023.png,0.9454030607498372
N5K,Y+X2,1,24,1_024.png,0.9390165367188757
N5K,Y+X2,1,25,1_025.png,0.9422162264203068
N5K,Y+X2,1,26,1_026.png,0.933024612251401
N5K,Y+X2,1,27,1_027.png,0.931064405799132
N5K,Y+X2,1,28,1_028.png,0.9289102858157123
N5K,Y+X2,1,29,1_029.png,0.9296350812563468
N5K,Y+X2,1,30,1_030.png,0.9205068992978621
N5K,Y+X2,1,31,1_031.png,0.9218203935046629
N5K,Y+X2,1,32,1_032.png,0.927971406471259
N5K,Y+X2,1,33,1_033.png,0.9163044114255819
N5K,Y+X2,1,34,1_034.png,0.915398369393185
N5K,Y+X2,1,35,1_035.png,0.9309750690232097
N5K,Y+X2,1,36,1_036.png,0.9136621007662575
N5K,Y+X2,1,37,1_037.png,0.9150076349073727
N5K,Y+X2,1,38,1_038.png,0.9150307334924854
N5K,Y+X2,1,39,1_039.png,0.924162860274397
N5K,Y+X2,1,40,1_040.png,0.9291263468303671
N5K,Y+X2,1,41,1_041.png,0.9281131083850023
N5K,Y+X2,1,42,1_042.png,0.9363621951321268
N5K,Y+X2,1,43,1_043.png,0.9382744655391282
N5K,Y+X2,1,44,1_044.png,0.9254115134654303
N5K,Y+X2,1,45,1_045.png,0.9334170673365387
N5K,Y+X2,1,46,1_046.png,0.938679543914962
N5K,Y+X2,1,47,1_047.png,0.9329809539353915
N5K,Y+X2,1,48,1_048.png,0.9299402200467001
N5K,Y+X2,1,49,1_049.png,0.9202473012538274
N5K,Y+X2,1,50,1_050.png,0.9343751679732035
N5K,Y+X2,1,51,1_051.png,0.9230652251463526
N5K,Y+X2,1,52,1_052.png,0.9258521949029659
N5K,Y+X2,1,53,1_053.png,0.9379762915880309
N5K,Y+X2,1,54,1_054.png,0.9188396301745293
