partition,method,scene,frame,filename,iou
VF,SeTM+S2,apple,0,apple_0.png,0.9731324412601412
VF,SeTM+S2,apple,1,apple_1.png,0.7279373135657362
VF,SeTM+S2,apple,2,apple_2.png,0.5172761458390103
VF,SeTM+S2,apple,3,apple_3.png,0.6624542917407363
VF,SeTM+S2,apple,4,apple_4.png,0.5640764218272086
VF,SeTM+S2,apple,5,apple_5.png,0.5494634889156456
VF,SeTM+S2,apple,6,apple_6.png,0.4612065996142188
VF,SeTM+S2,apple,7,apple_7.png,0.38543651333696244
VF,SeTM+S2,apple,8,apple_8.png,0.6837397404343442
VF,SeTM+S2,apple,9,apple_9.png,0.1958432636362759
VF,SeTM+S2,apple,10,apple_10.png,0.5329597712254125
VF,SeTM+S2,apple,11,apple_11.png,0.5939899995145396
VF,SeTM+S2,apple,12,apple_12.png,0.6293993250843645
VF,SeTM+S2,apple,13,apple_13.png,0.5899953559344523
VF,SeTM+S2,apple,14,apple_14.png,0.39788829140008636
VF,SeTM+S2,apple,15,apple_15.png,0.35991437731933706
VF,SeTM+S2,apple,16,apple_16.png,0.30544856178928304
VF,SeTM+S2,apple,17,apple_17.png,0.30968051298444876
VF,SeTM+S2,apple,18,apple_18.png,0.3042201572039892
VF,SeTM+S2,apple,19,apple_19.png,0.4497524830027885
VF,SeTM+S2,apple,20,apple_20.png,0.18035801771245524
VF,SeTM+S2,apple,21,apple_21.png,0.3105439134103555
VF,SeTM+S2,apple,22,apple_22.png,0.31925147490412376
VF,SeTM+S2,apple,23,apple_23.png,0.2923832203270535
VF,SeTM+S2,apple,24,apple_24.png,0.5845397318372322
VF,SeTM+S2,apple,25,apple_25.png,0.4483710565265836
VF,SeTM+S2,apple,26,apple_26.png,0.704238380310967
VF,SeTM+S2,apple,27,apple_27.png,0.3699357944088672
VF,SeTM+S2,apple,28,apple_28.png,0.46043009678010427
VF,SeTM+S2,apple,29,apple_29.png,0.48378742918802264
VF,SeTM+S2,apple,30,apple_30.png,0.2903011918378172
VF,SeTM+S2,apple,31,apple_31.png,0.38880742284307923
VF,SeTM+S2,apple,32,apple_32.png,0.4325384847570178
VF,SeTM+S2,apple,33,apple_33.png,0.36165493297328577
VF,SeTM+S2,apple,34,apple_34.png,0.4065459797138443
VF,SeTM+S2,apple,35,apple_35.png,0.45205369793709627
VF,SeTM+S2,apple,36,apple_36.png,0.4376533162154107
VF,SeTM+S2,apple,37,apple_37.png,0.38713973639545557
VF,SeTM+S2,apple,38,apple_38.png,0.7337115452099661
VF,SeTM+S2,apple,39,apple_39.png,0.8960220443819072
VF,SeTM+S2,apple,40,apple_40.png,0.7523245501101479
VF,SeTM+S2,apple,41,apple_41.png,0.7617119425935418
VF,SeTM+S2,apple,42,apple_42.png,0.8203068706819819
VF,SeTM+S2,apple,43,apple_43.png,0.7884153758382759
VF,SeTM+S2,apple,44,apple_44.png,0.8623527251914167
VF,SeTM+S2,apple,45,apple_45.png,0.8496763127316992
VF,SeTM+S2,apple,46,apple_46.png,0.40213585129178936
VF,SeTM+S2,apple,47,apple_47.png,0.6016301744643886
VF,SeTM+S2,apple,48,apple_48.png,0.5382001662461902
VF,SeTM+S2,apple,49,apple_49.png,0.3488258571763297
VF,SeTM+S2,apple,50,apple_50.png,0.29792571413157826
VF,SeTM+S2,apple,51,apple_51.png,0.3660839863371509
VF,SeTM+S2,apple,52,apple_52.png,0.4905683378981332
VF,SeTM+S2,apple,53,apple_53.png,0.37774531356450036
VF,SeTM+S2,apple,54,apple_54.png,0.24109305440915796
VF,SeTM+S2,apple,55,apple_55.png,0.24036648164247976
VF,SeTM+S2,apple,56,apple_56.png,0.5734167893961708
VF,SeTM+S2,apple,57,apple_57.png,0.44771399286909447
VF,SeTM+S2,apple,58,apple_58.png,0.5080967348990144
VF,SeTM+S2,apple,59,apple_59.png,0.5022588217185516
VF,SeTM+S2,apple,60,apple_60.png,0.41219608162379245
VF,SeTM+S2,apple,61,apple_61.png,0.5369814321885347
VF,SeTM+S2,apple,62,apple_62.png,0.5651952643702791
VF,SeTM+S2,apple,63,apple_63.png,0.5169788280927325
VF,SeTM+S2,apple,64,apple_64.png,0.6189198931343031
VF,SeTM+S2,apple,65,apple_65.png,0.6723968355783622
VF,SeTM+S2,apple,66,apple_66.png,0.4804716825664219
VF,SeTM+S2,apple,67,apple_67.png,0.45324359287504185
VF,SeTM+S2,apple,68,apple_68.png,0.2865180113789442
VF,SeTM+S2,apple,69,apple_69.png,0.31701763053076853
VF,SeTM+S2,apple,70,apple_70.png,0.3337622883392111
VF,SeTM+S2,apple,71,apple_71.png,0.47572815533980584
VF,SeTM+S2,apple,72,apple_72.png,0.6640978109183312
VF,SeTM+S2,apple,73,apple_73.png,0.7155915533699739
VF,SeTM+S2,apple,74,apple_74.png,0.4777635833765819
VF,SeTM+S2,apple,75,apple_75.png,0.7727307100904943
VF,SeTM+S2,apple,76,apple_76.png,0.5052388240204629
VF,SeTM+S2,apple,77,apple_77.png,0.7434146086638544
VF,SeTM+S2,apple,78,apple_78.png,0.3091595490619362
VF,SeTM+S2,apple,79,apple_79.png,0.9248162060246423
VF,SeTM+S2,apple,80,apple_80.png,0.7979713019571413
VF,SeTM+S2,apple,81,apple_81.png,0.5339887880862718
VF,SeTM+S2,apple,82,apple_82.png,0.36679564716744295
VF,SeTM+S2,apple,83,apple_83.png,0.7029534983881703
VF,SeTM+S2,apple,84,apple_84.png,0.43367993068053057
VF,SeTM+S2,apple,85,apple_85.png,0.5164288604884926
VF,SeTM+S2,apple,86,apple_86.png,0.4608150878518306
VF,SeTM+S2,apple,87,apple_87.png,0.5722440098850328
VF,SeTM+S2,apple,88,apple_88.png,0.35110482720652636
VF,SeTM+S2,apple,89,apple_89.png,0.3019376402041523
VF,SeTM+S2,apple,90,apple_90.png,0.23864049149517508
VF,SeTM+S2,apple,91,apple_91.png,0.2715720660337514
VF,SeTM+S2,apple,92,apple_92.png,0.4825097168239867
VF,SeTM+S2,apple,93,apple_93.png,0.840906322329151
VF,SeTM+S2,apple,94,apple_94.png,0.8680460343180024
VF,SeTM+S2,apple,95,apple_95.png,0.9765712493840434
VF,SeTM+S2,apple,96,apple_96.png,0.9729918185198959
VF,SeTM+S2,apple,97,apple_97.png,0.7181238443832308
VF,SeTM+S2,apple,98,apple_98.png,0.7983838866332298
VF,SeTM+S2,apple,99,apple_99.png,0.9131517985925959
VF,SeTM+S2,apple,100,apple_100.png,0.19575595243978375
VF,SeTM+S2,apple,101,apple_101.png,0.17011015935673937
VF,SeTM+S2,apple,102,apple_102.png,0.15293866488453256
VF,SeTM+S2,apple,103,apple_103.png,0.17550499979920486
VF,SeTM+S2,apple,104,apple_104.png,0.16308560087742205
VF,SeTM+S2,apple,105,apple_105.png,0.16718150830847892
VF,SeTM+S2,apple,106,apple_106.png,0.12160870746109508
VF,SeTM+S2,apple,107,apple_107.png,0.18906436893633988
VF,SeTM+S2,apple,108,apple_108.png,0.19174781034398394
VF,SeTM+S2,apple,109,apple_109.png,0.20096801346801346
VF,SeTM+S2,apple,110,apple_110.png,0.2124036906686959
VF,SeTM+S2,apple,111,apple_111.png,0.20703067843730186
VF,SeTM+S2,apple,112,apple_112.png,0.17301970992934176
VF,SeTM+S2,apple,113,apple_113.png,0.051819858197990315
VF,SeTM+S2,apple,114,apple_114.png,0.049557642443017934
VF,SeTM+S2,apple,115,apple_115.png,0.11615720524017467
VF,SeTM+S2,apple,116,apple_116.png,0.11194638758036968
VF,SeTM+S2,apple,117,apple_117.png,0.03007875127302794
VF,SeTM+S2,apple,118,apple_118.png,0.15244355401481216
VF,SeTM+S2,apple,119,apple_119.png,0.1494917302003916
VF,SeTM+S2,apple,120,apple_120.png,0.12888029261379957
VF,SeTM+S2,apple,121,apple_121.png,0.1377765929085577
VF,SeTM+S2,apple,122,apple_122.png,0.14258692402347126
VF,SeTM+S2,apple,123,apple_123.png,0.16485366188796777
VF,SeTM+S2,apple,124,apple_124.png,0.15940310068137534
VF,SeTM+S2,apple,125,apple_125.png,0.15607372587827809
VF,SeTM+S2,apple,126,apple_126.png,0.1763605023393253
VF,SeTM+S2,apple,127,apple_127.png,0.2023316941883717
VF,SeTM+S2,apple,128,apple_128.png,0.1531302291490921
VF,SeTM+S2,apple,129,apple_129.png,0.1864636866091341
VF,SeTM+S2,apple,130,apple_130.png,0.1257985138853534
VF,SeTM+S2,apple,131,apple_131.png,0.1725126601131963
VF,SeTM+S2,apple,132,apple_132.png,0.16372754395988065
VF,SeTM+S2,apple,133,apple_133.png,0.15737190438226845
VF,SeTM+S2,apple,134,apple_134.png,0.16339259625542243
VF,SeTM+S2,apple,135,apple_135.png,0.17564210619704565
VF,SeTM+S2,apple,136,apple_136.png,0.16695689795035423
VF,SeTM+S2,apple,137,apple_137.png,0.137828705107655
VF,SeTM+S2,apple,138,apple_138.png,0.13807443917573411
VF,SeTM+S2,apple,139,apple_139.png,0.09675447533110174
VF,SeTM+S2,apple,140,apple_140.png,0.11985349160517592
VF,SeTM+S2,apple,141,apple_141.png,0.1159896346581992
VF,SeTM+S2,apple,142,apple_142.png,0.12826968411126827
VF,SeTM+S2,apple,143,apple_143.png,0.13969232542060384
VF,SeTM+S2,apple,144,apple_144.png,0.1470050825387491
VF,SeTM+S2,apple,145,apple_145.png,0.1453675713384048
VF,SeTM+S2,apple,146,apple_146.png,0.1610838280925505
VF,SeTM+S2,apple,147,apple_147.png,0.16380522148666996
VF,SeTM+S2,apple,148,apple_148.png,0.1352584670231729
VF,SeTM+S2,apple,149,apple_149.png,0.1939530162412993
VF,SeTM+S2,apple,150,apple_150.png,0.18421623184216232
VF,SeTM+S2,apple,151,apple_151.png,0.15614139878366637
VF,SeTM+S2,apple,152,apple_152.png,0.16244769156890992
VF,SeTM+S2,apple,153,apple_153.png,0.14713896457765668
VF,SeTM+S2,apple,154,apple_154.png,0.2799587377230197
VF,SeTM+S2,apple,155,apple_155.png,0.2623171614771904
VF,SeTM+S2,apple,156,apple_156.png,0.28095345321195353
VF,SeTM+S2,apple,157,apple_157.png,0.21874171669135417
VF,SeTM+S2,apple,158,apple_158.png,0.12304916812233327
VF,SeTM+S2,apple,159,apple_159.png,0.2570634406734156
VF,SeTM+S2,apple,160,apple_160.png,0.05342064893713019
VF,SeTM+S2,apple,161,apple_161.png,0.00028054238193841427
VF,SeTM+S2,apple,162,apple_162.png,0.07830855865790363
VF,SeTM+S2,apple,163,apple_163.png,0.1343148287071768
VF,SeTM+S2,apple,164,apple_164.png,0.07447536496350365
VF,SeTM+S2,apple,165,apple_165.png,0.1257646010481642
VF,SeTM+S2,apple,166,apple_166.png,0.12461533865136984
VF,SeTM+S2,apple,167,apple_167.png,0.06895954508060675
VF,SeTM+S2,apple,168,apple_168.png,0.030883286294950914
VF,SeTM+S2,apple,169,apple_169.png,0.13956404896984173
VF,SeTM+S2,apple,170,apple_170.png,0.21445783132530122
VF,SeTM+S2,apple,171,apple_171.png,0.24845708847017534
VF,SeTM+S2,apple,172,apple_172.png,0.22317659690253122
VF,SeTM+S2,apple,173,apple_173.png,0.21987717195925705
VF,SeTM+S2,apple,174,apple_174.png,0.2337088820922539
VF,SeTM+S2,apple,175,apple_175.png,0.22359058136064466
VF,SeTM+S2,apple,176,apple_176.png,0.20329888396755091
VF,SeTM+S2,apple,177,apple_177.png,0.23467926453885532
VF,SeTM+S2,apple,178,apple_178.png,0.1617151041907314
VF,SeTM+S2,apple,179,apple_179.png,0.0863254280204331
VF,SeTM+S2,apple,180,apple_180.png,0.297148193625374
VF,SeTM+S2,apple,181,apple_181.png,0.32888484827692677
VF,SeTM+S2,apple,182,apple_182.png,0.2919877970456005
VF,SeTM+S2,apple,183,apple_183.png,0.24284564537622208
VF,SeTM+S2,apple,184,apple_184.png,0.2359871952481225
VF,SeTM+S2,apple,185,apple_185.png,0.2565013396699926
VF,SeTM+S2,apple,186,apple_186.png,0.2180903541962553
VF,SeTM+S2,apple,187,apple_187.png,0.21270818847058046
VF,SeTM+S2,apple,188,apple_188.png,0.21601995859652848
VF,SeTM+S2,apple,189,apple_189.png,0.2205991582074771
VF,SeTM+S2,apple,190,apple_190.png,0.2298868205673215
VF,SeTM+S2,apple,191,apple_191.png,0.2182898156168791
VF,SeTM+S2,apple,192,apple_192.png,0.2176871599224467
VF,SeTM+S2,apple,193,apple_193.png,0.24168403281542641
VF,SeTM+S2,apple,194,apple_194.png,0.24580396531616044
VF,SeTM+S2,apple,195,apple_195.png,0.22951221905977034
VF,SeTM+S2,apple,196,apple_196.png,0.25225806451612903
VF,SeTM+S2,apple,197,apple_197.png,0.23627978092767354
VF,SeTM+S2,apple,198,apple_198.png,0.2271320754716981
VF,SeTM+S2,apple,199,apple_199.png,0.2272107108702582
VF,SeTM+S2,apple,200,apple_200.png,0.16045015470530527
VF,SeTM+S2,avocado,0,avocado_0.png,0.9819193545815462
VF,SeTM+S2,avocado,1,avocado_1.png,0.9895900451030928
VF,SeTM+S2,avocado,2,avocado_2.png,0.1653687105102962
VF,SeTM+S2,avocado,3,avocado_3.png,0.21375128302090649
VF,SeTM+S2,avocado,4,avocado_4.png,0.15135584217479536
VF,SeTM+S2,avocado,5,avocado_5.png,0.009341032608695652
VF,SeTM+S2,avocado,6,avocado_6.png,0.03904119420123439
VF,SeTM+S2,avocado,7,avocado_7.png,0.13009719988990773
VF,SeTM+S2,avocado,8,avocado_8.png,0.14011109486917117
VF,SeTM+S2,avocado,9,avocado_9.png,0.20630853375290328
VF,SeTM+S2,avocado,10,avocado_10.png,0.6936957539721432
VF,SeTM+S2,avocado,11,avocado_11.png,0.5565128249869132
VF,SeTM+S2,avocado,12,avocado_12.png,0.5254210085863971
VF,SeTM+S2,avocado,13,avocado_13.png,0.3897800082617752
VF,SeTM+S2,avocado,14,avocado_14.png,0.28062255471000475
VF,SeTM+S2,avocado,15,avocado_15.png,0.4415116908910355
