partition,method,scene,frame,filename,iou
N5K,DEVA,1,0,1_000.png,0.9325287524055343
N5K,DEVA,1,1,1_001.png,0.9290527615421164
N5K,DEVA,1,2,1_002.png,0.9434848436985257
N5K,DEVA,1,3,1_003.png,0.9417914225304163
N5K,DEVA,1,4,1_004.png,0.9404215561784209
N5K,DEVA,1,5,1_005.png,0.9650844330529026
N5K,DEVA,1,6,1_006.png,0.9413316779622055
N5K,DEVA,1,7,1_007.png,0.9409405358074331
N5K,DEVA,1,8,1_008.png,0.9436945194743163
N5K,DEVA,1,9,1_009.png,0.9307850075503167
N5K,DEVA,1,10,1_010.png,0.6974643687147336
N5K,DEVA,1,11,1_011.png,0.6857164666176393
N5K,DEVA,1,12,1_012.png,0.6828549636304246
N5K,DEVA,1,13,1_013.png,0.6819135752289027
N5K,DEVA,1,14,1_014.png,0.6569759240673393
N5K,DEVA,1,15,1_015.png,0.6469940377209344
N5K,DEVA,1,16,1_016.png,0.6548501537641496
N5K,DEVA,1,17,1_017.png,0.6329798420814426
N5K,DEVA,1,18,1_018.png,0.6137376955168198
N5K,DEVA,1,19,1_019.png,0.6444308019366669
N5K,DEVA,1,20,1_020.png,0.6882892740367149
N5K,DEVA,1,21,1_021.png,0.7028813312129223
N5K,DEVA,1,22,1_022.png,0.716604632291979
N5K,DEVA,1,23,1_023.png,0.7251874326612626
N5K,DEVA,1,24,1_024.png,0.7226786443157077
N5K,DEVA,1,25,1_025.png,0.7321348860296613
N5K,DEVA,1,26,1_026.png,0.7314781592740373
N5K,DEVA,1,27,1_027.png,0.7235206177286219
N5K,DEVA,1,28,1_028.png,0.7171981800076708
N5K,DEVA,1,29,1_029.png,0.7102153821241813
N5K,DEVA,1,30,1_030.png,0.701414846675684
N5K,DEVA,1,31,1_031.png,0.7034214864286297
N5K,DEVA,1,32,1_032.png,0.58456887041119
N5K,DEVA,1,33,1_033.png,0.6124048839284892
N5K,DEVA,1,34,1_034.png,0.6514742663981238
N5K,DEVA,1,35,1_035.png,0.700566537747164
N5K,DEVA,1,36,1_036.png,0.6943506828137078
N5K,DEVA,1,37,1_037.png,0.6935256178877558
N5K,DEVA,1,38,1_038.png,0.6978600414185532
N5K,DEVA,1,39,1_039.png,0.7032965906572041
N5K,DEVA,1,40,1_040.png,0.7045538167967986
N5K,DEVA,1,41,1_041.png,0.7032191967256084
N5K,DEVA,1,42,1_042.png,0.7078968649977102
N5K,DEVA,1,43,1_043.png,0.7089413000525223
N5K,DEVA,1,44,1_044.png,0.703008661765267
N5K,DEVA,1,45,1_045.png,0.7047976542707229
N5K,DEVA,1,46,1_046.png,0.689653327875639
N5K,DEVA,1,47,1_047.png,0.685306696485181
N5K,DEVA,1,48,1_048.png,0.6543089285209961
N5K,DEVA,1,49,1_049.png,0.6751823770197781
N5K,DEVA,1,50,1_050.png,0.6865866485953876
N5K,DEVA,1,51,1_051.png,0.6802188088470328
N5K,DEVA,1,52,1_052.png,0.6796055277492931
N5K,DEVA,1,53,1_053.png,0.6896958335527935
N5K,DEVA,1,54,1_054.png,0.6785048586047737
N5K,DEVA,1,55,1_055.png,0.6828372653528101
N5K,DEVA,1,56,1_056.png,0.6855972872909758
N5K,DEVA,1,57,1_057.png,0.6784188670997994
N5K,DEVA,1,58,1_058.png,0.6759269012883532
N5K,DEVA,1,59,1_059.png,0.6797285875020964
N5K,DEVA,1,60,1_060.png,0.6859256627856389
N5K,DEVA,1,61,1_061.png,0.6845117899200543
N5K,DEVA,1,62,1_062.png,0.6812064707034577
N5K,DEVA,1,63,1_063.png,0.682555783292581
N5K,DEVA,10,0,10_000.png,0.9216772857597961
N5K,DEVA,10,1,10_001.png,0.9131077818587627
N5K,DEVA,10,2,10_002.png,0.9075591037792365
N5K,DEVA,10,3,10_003.png,0.9332340535068783
N5K,DEVA,10,4,10_004.png,0.9371475948246554
N5K,DEVA,10,5,10_005.png,0.9125809058252194
N5K,DEVA,10,6,10_006.png,0.931184204876016
N5K,DEVA,10,7,10_007.png,0.9063036799355405
N5K,DEVA,10,8,10_008.png,0.9181809368051482
N5K,DEVA,10,9,10_009.png,0.9126783053181863
N5K,DEVA,10,10,10_010.png,0.9005716087069806
N5K,DEVA,10,11,10_011.png,0.9248817989498904
N5K,DEVA,10,12,10_012.png,0.9123118807533552
N5K,DEVA,10,13,10_013.png,0.9115374460969814
N5K,DEVA,10,14,10_014.png,0.9149345699605475
N5K,DEVA,10,15,10_015.png,0.9149759182665003
N5K,DEVA,10,16,10_016.png,0.9337761433408395
N5K,DEVA,10,17,10_017.png,0.9302713604993726
N5K,DEVA,10,18,10_018.png,0.9271038391912078
