partition,method,scene,frame,filename,iou
VF,FLMM,apple,0,apple_0.png,0.7298341155816703
VF,FLMM,apple,1,apple_1.png,0.5361725432923012
VF,FLMM,apple,2,apple_2.png,0.4423224215553798
VF,FLMM,apple,3,apple_3.png,0.36739267715852947
VF,FLMM,apple,4,apple_4.png,0.37967215586732933
VF,FLMM,apple,5,apple_5.png,0.42520666060198553
VF,FLMM,apple,6,apple_6.png,0.37590997641751256
VF,FLMM,apple,7,apple_7.png,0.39047593381124346
VF,FLMM,apple,8,apple_8.png,0.7258099511382277
VF,FLMM,apple,9,apple_9.png,0.508597198102782
VF,FLMM,apple,10,apple_10.png,0.640540701787282
VF,FLMM,apple,11,apple_11.png,0.6022951274813753
VF,FLMM,apple,12,apple_12.png,0.0
VF,FLMM,apple,13,apple_13.png,0.0
VF,FLMM,apple,14,apple_14.png,0.0
VF,FLMM,apple,15,apple_15.png,0.5702912586853376
VF,FLMM,apple,16,apple_16.png,0.5201109442238051
VF,FLMM,apple,17,apple_17.png,0.4212452671434581
VF,FLMM,apple,18,apple_18.png,0.7101095432603045
VF,FLMM,apple,19,apple_19.png,0.4541259219770689
VF,FLMM,apple,20,apple_20.png,0.27568340567420735
VF,FLMM,apple,21,apple_21.png,0.25779680799087995
VF,FLMM,apple,22,apple_22.png,0.2694647876301837
VF,FLMM,apple,23,apple_23.png,0.4332235740596049
VF,FLMM,apple,24,apple_24.png,0.44591952008102526
VF,FLMM,apple,25,apple_25.png,0.5099381099738157
VF,FLMM,apple,26,apple_26.png,0.5267417194207352
VF,FLMM,apple,27,apple_27.png,0.3457925034766017
VF,FLMM,apple,28,apple_28.png,0.6420494131518302
VF,FLMM,apple,29,apple_29.png,0.500517248659376
VF,FLMM,apple,30,apple_30.png,0.5280887743980976
VF,FLMM,apple,31,apple_31.png,0.4965382730169104
VF,FLMM,apple,32,apple_32.png,0.5780654904007373
VF,FLMM,apple,33,apple_33.png,0.0
VF,FLMM,apple,34,apple_34.png,0.3228020677510367
VF,FLMM,apple,35,apple_35.png,0.0
VF,FLMM,apple,36,apple_36.png,0.154948798946394
VF,FLMM,apple,37,apple_37.png,0.27006374140786177
VF,FLMM,apple,38,apple_38.png,0.47925257731958765
VF,FLMM,apple,39,apple_39.png,0.4277104676365564
VF,FLMM,apple,40,apple_40.png,0.5018134053344037
VF,FLMM,apple,41,apple_41.png,0.6480369960862774
VF,FLMM,apple,42,apple_42.png,0.5948275862068966
VF,FLMM,apple,43,apple_43.png,0.4632017224190941
VF,FLMM,apple,44,apple_44.png,0.0
VF,FLMM,apple,45,apple_45.png,0.40527502325361414
VF,FLMM,apple,46,apple_46.png,0.13237475280158206
VF,FLMM,apple,47,apple_47.png,0.3859933502236801
VF,FLMM,apple,48,apple_48.png,0.3606371984048396
VF,FLMM,apple,49,apple_49.png,0.230282675622726
VF,FLMM,apple,50,apple_50.png,0.35612694624607866
VF,FLMM,apple,51,apple_51.png,0.0
VF,FLMM,apple,52,apple_52.png,0.3405293709010844
VF,FLMM,apple,53,apple_53.png,0.4037024869810678
VF,FLMM,apple,54,apple_54.png,0.3875576350875599
VF,FLMM,apple,55,apple_55.png,0.25832918498437624
VF,FLMM,apple,56,apple_56.png,0.3784533700093556
VF,FLMM,apple,57,apple_57.png,0.0
VF,FLMM,apple,58,apple_58.png,0.0
VF,FLMM,apple,59,apple_59.png,0.0
VF,FLMM,apple,60,apple_60.png,0.0
VF,FLMM,apple,61,apple_61.png,0.38935974068456897
VF,FLMM,apple,62,apple_62.png,0.0
VF,FLMM,apple,63,apple_63.png,0.5310500980238755
VF,FLMM,apple,64,apple_64.png,0.44825825707889877
VF,FLMM,apple,65,apple_65.png,0.5714634898030756
VF,FLMM,apple,66,apple_66.png,0.0
VF,FLMM,apple,67,apple_67.png,0.4006037537734611
VF,FLMM,apple,68,apple_68.png,0.0
VF,FLMM,apple,69,apple_69.png,0.0
VF,FLMM,apple,70,apple_70.png,0.3571310184801525
VF,FLMM,apple,71,apple_71.png,0.0
VF,FLMM,apple,72,apple_72.png,0.0
VF,FLMM,apple,73,apple_73.png,0.5198038644963392
VF,FLMM,apple,74,apple_74.png,0.45373917606927316
VF,FLMM,apple,75,apple_75.png,0.5254186637242394
VF,FLMM,apple,76,apple_76.png,0.5033534389629096
VF,FLMM,apple,77,apple_77.png,0.5099502765517626
VF,FLMM,apple,78,apple_78.png,0.0
VF,FLMM,apple,79,apple_79.png,0.0
VF,FLMM,apple,80,apple_80.png,0.5708190431901412
VF,FLMM,apple,81,apple_81.png,0.537086529826118
VF,FLMM,apple,82,apple_82.png,0.6899506085943473
VF,FLMM,apple,83,apple_83.png,0.6516731000909695
VF,FLMM,apple,84,apple_84.png,0.5471317624746426
VF,FLMM,apple,85,apple_85.png,0.0
VF,FLMM,apple,86,apple_86.png,0.5361366783915287
VF,FLMM,apple,87,apple_87.png,0.6521210740192169
VF,FLMM,apple,88,apple_88.png,0.0
VF,FLMM,apple,89,apple_89.png,0.6161129898547841
VF,FLMM,apple,90,apple_90.png,0.5695591594007211
VF,FLMM,apple,91,apple_91.png,0.0
VF,FLMM,apple,92,apple_92.png,0.6137228030734644
VF,FLMM,apple,93,apple_93.png,0.31287156304186275
VF,FLMM,apple,94,apple_94.png,0.0
VF,FLMM,apple,95,apple_95.png,0.25603186600919026
