partition,method,scene,frame,filename,iou
VF,SC+X2,apple,0,apple_0.png,0.9625001226127301
VF,SC+X2,apple,1,apple_1.png,0.7372265432885845
VF,SC+X2,apple,2,apple_2.png,0.5913428189554537
VF,SC+X2,apple,3,apple_3.png,0.4856547032877914
VF,SC+X2,apple,4,apple_4.png,0.5072323766428554
VF,SC+X2,apple,5,apple_5.png,0.5319798643757541
VF,SC+X2,apple,6,apple_6.png,0.45064538255284653
VF,SC+X2,apple,7,apple_7.png,0.4515533099119725
VF,SC+X2,apple,8,apple_8.png,0.876780401342027
VF,SC+X2,apple,9,apple_9.png,0.608678622620754
VF,SC+X2,apple,10,apple_10.png,0.6672521661973616
VF,SC+X2,apple,11,apple_11.png,0.6619061858752926
VF,SC+X2,apple,12,apple_12.png,0.6043043672194963
VF,SC+X2,apple,13,apple_13.png,0.5344352045789179
VF,SC+X2,apple,14,apple_14.png,0.7084154611966725
VF,SC+X2,apple,15,apple_15.png,0.6705955794440976
VF,SC+X2,apple,16,apple_16.png,0.5215131388969102
VF,SC+X2,apple,17,apple_17.png,0.42172496789392666
VF,SC+X2,apple,18,apple_18.png,0.7225880710228881
VF,SC+X2,apple,19,apple_19.png,0.45394345596862595
VF,SC+X2,apple,20,apple_20.png,0.27276821711620747
VF,SC+X2,apple,21,apple_21.png,0.2541002683314167
VF,SC+X2,apple,22,apple_22.png,0.26270781046244174
VF,SC+X2,apple,23,apple_23.png,0.4213183356503911
VF,SC+X2,apple,24,apple_24.png,0.4491191955979573
VF,SC+X2,apple,25,apple_25.png,0.5169194140170393
VF,SC+X2,apple,26,apple_26.png,0.5385097271923727
VF,SC+X2,apple,27,apple_27.png,0.34700480836179853
VF,SC+X2,apple,28,apple_28.png,0.6532845505090141
VF,SC+X2,apple,29,apple_29.png,0.503620455573993
VF,SC+X2,apple,30,apple_30.png,0.5278365673803106
VF,SC+X2,apple,31,apple_31.png,0.49968713211509297
VF,SC+X2,apple,32,apple_32.png,0.5828164535703889
VF,SC+X2,apple,33,apple_33.png,0.3050009786651008
VF,SC+X2,apple,34,apple_34.png,0.317573390015511
VF,SC+X2,apple,35,apple_35.png,0.32840949108663997
VF,SC+X2,apple,36,apple_36.png,0.2935683197107095
VF,SC+X2,apple,37,apple_37.png,0.2678410159486812
VF,SC+X2,apple,38,apple_38.png,0.5107961084824458
VF,SC+X2,apple,39,apple_39.png,0.39704620462046203
VF,SC+X2,apple,40,apple_40.png,0.6014364077499209
VF,SC+X2,apple,41,apple_41.png,0.6430984470621529
VF,SC+X2,apple,42,apple_42.png,0.5990466659643948
VF,SC+X2,apple,43,apple_43.png,0.4680946006247211
VF,SC+X2,apple,44,apple_44.png,0.6181950690921645
VF,SC+X2,apple,45,apple_45.png,0.40032043401359463
VF,SC+X2,apple,46,apple_46.png,0.13741017016470355
VF,SC+X2,apple,47,apple_47.png,0.38305374849590434
VF,SC+X2,apple,48,apple_48.png,0.4320868500226311
VF,SC+X2,apple,49,apple_49.png,0.28550881840028286
VF,SC+X2,apple,50,apple_50.png,0.3483873473774164
VF,SC+X2,apple,51,apple_51.png,0.3872486995641783
VF,SC+X2,apple,52,apple_52.png,0.4439760090363842
VF,SC+X2,apple,53,apple_53.png,0.5083066437372797
VF,SC+X2,apple,54,apple_54.png,0.3888555052232597
VF,SC+X2,apple,55,apple_55.png,0.3051466343378363
VF,SC+X2,apple,56,apple_56.png,0.4062796260056534
VF,SC+X2,apple,57,apple_57.png,0.3049545180924353
VF,SC+X2,apple,58,apple_58.png,0.3922631718999468
VF,SC+X2,apple,59,apple_59.png,0.42815054758599413
VF,SC+X2,apple,60,apple_60.png,0.3909675856319341
VF,SC+X2,apple,61,apple_61.png,0.3975720905296213
VF,SC+X2,apple,62,apple_62.png,0.4045742697327533
VF,SC+X2,apple,63,apple_63.png,0.5378069078359647
VF,SC+X2,apple,64,apple_64.png,0.49972356752692454
VF,SC+X2,apple,65,apple_65.png,0.6367477353058215
VF,SC+X2,apple,66,apple_66.png,0.4894046315447946
VF,SC+X2,apple,67,apple_67.png,0.43876628249283284
VF,SC+X2,apple,68,apple_68.png,0.4676112976346289
VF,SC+X2,apple,69,apple_69.png,0.3287666811895887
VF,SC+X2,apple,70,apple_70.png,0.41326370459150186
VF,SC+X2,apple,71,apple_71.png,0.5060559527320432
VF,SC+X2,apple,72,apple_72.png,0.34475948117059463
VF,SC+X2,apple,73,apple_73.png,0.5146350541976381
VF,SC+X2,apple,74,apple_74.png,0.449385983485073
VF,SC+X2,apple,75,apple_75.png,0.5215005105355982
VF,SC+X2,apple,76,apple_76.png,0.49947809117520253
VF,SC+X2,apple,77,apple_77.png,0.5040376472702359
VF,SC+X2,apple,78,apple_78.png,0.4509814806590576
VF,SC+X2,apple,79,apple_79.png,0.6124647377487081
VF,SC+X2,apple,80,apple_80.png,0.5658214455954332
VF,SC+X2,apple,81,apple_81.png,0.5317820903918132
VF,SC+X2,apple,82,apple_82.png,0.6831772290475612
VF,SC+X2,apple,83,apple_83.png,0.6467215434400109
VF,SC+X2,apple,84,apple_84.png,0.5384855132400714
VF,SC+X2,apple,85,apple_85.png,0.5246132208157525
VF,SC+X2,apple,86,apple_86.png,0.5353346300170037
VF,SC+X2,apple,87,apple_87.png,0.6480504065861912
VF,SC+X2,apple,88,apple_88.png,0.38429164468704846
VF,SC+X2,apple,89,apple_89.png,0.6141398396322374
VF,SC+X2,apple,90,apple_90.png,0.5696951420899209
VF,SC+X2,apple,91,apple_91.png,0.4251063948151651
VF,SC+X2,apple,92,apple_92.png,0.6082230115165214
VF,SC+X2,apple,93,apple_93.png,0.31204214595218055
