method,partition,mAP,recall,precision,f1,iou,accuracy,precision_std,recall_std,f1_std,iou_std,accuracy_std,n_scenes
BiRefNet,N5K,95.82,98.2,95.82,96.95,94.09,98.78,2.1,2.46,0.76,1.43,0.58,10
CCNet,N5K,93.94,97.01,93.94,95.39,91.28,98.1,1.26,3.46,2.03,3.62,1.24,10
CCNet-Re,N5K,95.3,95.82,95.3,95.48,91.45,98.18,1.88,3.86,2.04,3.62,1.19,10
FLMM,N5K,56.23,44.34,56.23,48.22,42.78,90.08,33.56,25.85,27.7,24.85,4.33,10
FPN-Re,N5K,85.79,96.81,85.79,90.48,83.3,96.39,6.82,2.87,4.03,6.14,0.73,10
FoodMem,N5K,94.35,99.01,94.35,96.6,93.45,98.58,1.77,0.91,0.83,1.54,0.8,10
SETR_MLA,N5K,94.79,97.96,94.79,96.31,92.91,98.52,1.73,1.71,0.9,1.67,0.74,10
SeTN,N5K,95.17,96.45,95.17,95.73,91.86,98.28,2.24,3.15,1.55,2.78,0.98,10
Swin-B,N5K,93.81,98.45,93.81,96.0,92.41,98.4,1.74,1.02,0.74,1.33,0.66,10
Swin-S,N5K,93.26,98.85,93.26,95.93,92.22,98.36,2.14,0.97,0.89,1.65,0.72,10
Y+S2,N5K,64.9,62.85,64.9,61.92,48.89,86.59,5.76,17.32,13.76,13.31,5.08,10
Y+X2,N5K,93.39,86.69,93.39,87.5,81.38,95.59,1.77,24.85,19.34,23.08,6.34,10
YOLO,N5K,86.51,78.22,86.51,79.06,72.69,94.34,11.35,22.54,18.9,21.17,5.3,10
kMean++,N5K,25.56,43.93,25.56,31.2,20.37,64.11,14.86,20.62,15.95,12.25,5.07,10
