method,partition,mAP,recall,precision,f1,iou,accuracy,precision_std,recall_std,f1_std,iou_std,accuracy_std,n_scenes
BiRefNet,N5K,95.82,98.2,95.82,96.95,94.09,98.78,2.1,2.46,0.76,1.43,0.58,10
CCNet,N5K,93.94,97.01,93.94,95.39,91.28,98.1,1.26,3.46,2.03,3.62,1.24,10
CCNet-Re,N5K,95.3,95.82,95.3,95.48,91.45,98.18,1.88,3.86,2.04,3.62,1.19,10
DEVA,N5K,78.41,96.88,78.41,83.61,76.23,90.42,17.21,4.59,13.4,17.77,8.61,10
DoraemonGPT,N5K,5.92,0.48,5.92,0.82,0.45,74.76,15.25,1.36,2.5,1.36,11.65,10
FLMM,N5K,56.23,44.34,56.23,48.22,42.78,90.08,33.56,25.85,27.7,24.85,4.33,10
FLMM+S2,N5K,57.32,52.34,57.32,53.41,41.42,86.14,22.1,23.89,22.27,18.75,4.16,10
FLMM+S3,N5K,84.9,75.87,84.9,79.04,73.04,95.38,30.44,32.17,30.38,30.96,4.6,10
FLMM+X2,N5K,67.21,58.64,67.21,61.69,56.53,92.66,46.4,43.72,43.85,41.98,6.8,10
FPN-Re,N5K,85.79,96.81,85.79,90.48,83.3,96.39,6.82,2.87,4.03,6.14,0.73,10
FSAM,N5K,92.41,98.09,92.41,95.06,90.71,98.13,3.21,1.85,1.62,2.85,0.69,10
FoodMem,N5K,94.35,99.01,94.35,96.6,93.45,98.58,1.77,0.91,0.83,1.54,0.8,10
S+X2,N5K,82.81,97.09,82.81,88.76,80.24,95.11,6.46,8.12,4.04,6.0,3.19,10
SC+S2,N5K,61.49,60.69,61.49,58.56,46.13,86.17,8.66,22.79,19.9,17.18,4.91,10
SC+S3,N5K,88.9,89.92,88.9,86.3,80.82,95.65,5.97,27.6,23.66,24.83,5.57,10
SC+X2,N5K,88.19,85.98,88.19,82.59,75.92,94.37,6.77,30.02,26.43,26.59,6.1,10
SETR_MLA,N5K,94.79,97.96,94.79,96.31,92.91,98.52,1.73,1.71,0.9,1.67,0.74,10
SF+S2,N5K,64.97,68.41,64.97,66.34,53.02,87.31,5.49,5.6,5.34,6.05,3.99,10
SF+S3,N5K,94.59,99.02,94.59,96.7,93.65,98.68,3.03,1.32,1.08,2.02,0.68,10
SF+X2,N5K,94.26,98.56,94.26,96.31,92.92,98.48,2.67,1.59,0.83,1.53,0.81,10
SeTM+S2,N5K,64.75,68.29,64.75,66.18,52.84,87.26,5.3,6.02,5.52,6.24,3.98,10
SeTM+S3,N5K,94.71,99.47,94.71,97.01,94.22,98.78,2.04,0.37,0.96,1.82,0.61,10
SeTN,N5K,95.17,96.45,95.17,95.73,91.86,98.28,2.24,3.15,1.55,2.78,0.98,10
Seg+S2,N5K,61.3,67.78,61.3,62.31,49.39,86.33,5.55,21.0,16.58,14.53,4.95,10
Seg+S3,N5K,83.84,97.08,83.84,88.98,81.24,94.83,9.42,8.91,6.71,9.68,5.32,10
SegMan_ADE,N5K,62.25,92.12,62.25,70.61,57.28,85.75,9.67,9.24,11.08,11.67,3.57,10
SegMan_COCO,N5K,82.15,75.45,82.15,72.45,64.92,92.56,8.58,23.43,19.95,19.92,5.02,10
SegMan_FS,N5K,94.86,98.05,94.86,96.38,93.05,98.57,2.36,1.65,0.92,1.7,0.69,10
Swin-B,N5K,93.81,98.45,93.81,96.0,92.41,98.4,1.74,1.02,0.74,1.33,0.66,10
Swin-S,N5K,93.26,98.85,93.26,95.93,92.22,98.36,2.14,0.97,0.89,1.65,0.72,10
Y+S2,N5K,64.9,62.85,64.9,61.92,48.89,86.59,5.76,17.32,13.76,13.31,5.08,10
Y+S3,N5K,92.55,90.89,92.55,89.45,84.47,96.36,1.91,24.34,19.17,22.32,6.21,10
Y+X2,N5K,93.39,86.69,93.39,87.5,81.38,95.59,1.77,24.85,19.34,23.08,6.34,10
YOLO,N5K,86.51,78.22,86.51,79.06,72.69,94.34,11.35,22.54,18.9,21.17,5.3,10
kMean++,N5K,25.56,43.93,25.56,31.2,20.37,64.11,14.86,20.62,15.95,12.25,5.07,10
BiRefNet,MTF,59.77,98.0,59.77,67.37,58.75,94.78,28.24,2.69,24.95,27.8,3.75,13
CCNet,MTF,96.02,87.97,96.02,89.98,85.55,99.47,5.18,17.02,14.34,17.11,0.49,13
CCNet-Re,MTF,96.32,89.65,96.32,91.52,87.14,99.48,4.31,17.73,14.37,17.61,0.62,13
DEVA,MTF,90.63,97.33,90.63,92.5,88.25,99.4,18.18,3.18,13.31,17.59,0.91,13
DoraemonGPT,MTF,0.26,0.0,0.26,0.0,0.0,94.38,0.92,0.0,0.01,0.0,2.39,13
FLMM,MTF,47.86,46.72,47.86,46.69,44.78,97.49,28.31,27.89,27.72,26.98,1.41,13
FLMM+S2,MTF,35.27,38.64,35.27,35.16,25.17,93.67,21.1,20.06,20.92,16.62,3.9,13
FLMM+S3,MTF,80.08,82.38,80.08,79.67,76.22,98.06,34.71,29.44,33.93,34.13,3.68,13
FLMM+X2,MTF,52.45,53.01,52.45,52.67,51.62,98.03,50.59,51.13,50.77,49.82,2.41,13
FPN-Re,MTF,69.1,87.81,69.1,73.26,63.37,97.09,20.34,17.85,19.73,21.78,1.5,13
FSAM,MTF,94.37,95.83,94.37,94.54,90.43,99.57,4.36,5.17,3.26,5.23,0.2,13
FoodMem,MTF,98.34,97.65,98.34,97.91,96.05,99.84,2.02,2.88,1.65,3.01,0.12,13
S+X2,MTF,53.71,55.15,53.71,48.18,40.79,96.08,42.31,45.82,39.84,36.01,3.11,13
SC+S2,MTF,39.51,33.53,39.51,34.53,24.93,94.3,18.63,20.84,20.39,16.09,4.02,13
SC+S3,MTF,96.58,83.8,96.58,86.11,81.43,99.48,4.11,27.33,25.15,26.61,0.43,13
SC+X2,MTF,89.7,81.89,89.7,83.23,80.13,99.48,22.35,34.02,32.7,33.39,0.64,13
SETR_MLA,MTF,97.47,94.52,97.47,95.66,92.16,99.69,2.26,5.66,3.44,5.62,0.19,13
SF+S2,MTF,38.36,36.33,38.36,36.36,26.52,94.24,18.53,19.94,19.56,15.37,3.97,13
SF+S3,MTF,98.24,92.75,98.24,94.26,91.07,99.71,2.07,17.11,12.58,16.74,0.46,13
SF+X2,MTF,98.46,95.63,98.46,96.57,94.15,99.8,1.76,9.82,6.34,9.56,0.27,13
SeTM+S2,MTF,38.8,38.61,38.8,38.14,27.82,94.23,18.58,18.37,18.58,14.54,3.94,13
SeTM+S3,MTF,97.97,96.54,97.97,97.09,94.57,99.79,2.13,5.33,2.86,5.03,0.17,13
SeTN,MTF,95.73,91.9,95.73,92.82,88.01,99.41,6.58,8.77,6.55,9.49,0.62,13
Seg+S2,MTF,30.19,31.08,30.19,25.63,17.49,94.46,19.53,32.19,21.27,14.84,2.85,13
Seg+S3,MTF,81.57,50.92,81.57,49.45,41.34,96.43,30.19,44.08,38.08,35.64,2.78,13
SegMan_ADE,MTF,53.03,55.26,53.03,46.3,36.8,96.27,28.48,40.05,29.96,24.93,1.76,13
SegMan_COCO,MTF,67.29,49.58,67.29,52.03,46.76,97.74,22.63,27.58,26.48,26.34,1.47,13
SegMan_FS,MTF,92.17,92.1,92.17,90.16,86.15,99.03,12.11,13.57,13.88,16.09,1.66,13
Swin-B,MTF,95.09,93.36,95.09,93.4,88.89,99.49,4.27,7.57,4.76,7.52,0.27,13
Swin-S,MTF,96.62,92.9,96.62,94.2,89.96,99.57,2.77,6.31,3.96,6.26,0.27,13
Y+S2,MTF,27.39,32.4,27.39,26.71,18.91,82.07,20.64,19.36,19.63,15.16,27.82,13
Y+S3,MTF,90.26,95.13,90.26,89.74,85.52,98.51,22.3,8.75,18.97,22.09,2.34,13
Y+X2,MTF,77.13,88.84,77.13,77.25,73.81,91.12,40.05,27.39,37.22,38.56,20.79,13
YOLO,MTF,73.36,76.03,73.36,73.4,70.59,97.27,25.22,24.85,25.23,25.25,2.17,13
kMean++,MTF,69.72,70.03,69.72,65.98,54.57,97.21,19.84,32.19,26.03,25.66,1.94,13
BiRefNet,VF,49.65,86.73,49.65,56.31,47.53,93.29,7.63,9.46,9.28,11.37,3.09,4
CCNet,VF,77.03,74.61,77.03,69.36,61.22,97.62,24.15,6.53,16.8,20.19,3.01,4
CCNet-Re,VF,74.49,88.48,74.49,77.49,68.97,97.58,24.17,10.71,22.12,25.79,3.08,4
DEVA,VF,75.78,93.26,75.78,79.69,74.41,96.87,31.25,12.74,28.55,33.27,5.05,4
DoraemonGPT,VF,58.83,59.84,58.83,54.2,48.58,95.95,47.23,42.42,42.04,41.71,3.2,4
