method,partition,mAP,recall,precision,f1,iou,accuracy,precision_std,recall_std,f1_std,iou_std,accuracy_std,n_scenes
BiRefNet,VF,59.04,93.49,59.04,65.17,58.02,94.49,9.4,7.52,10.23,11.16,3.08,11
CCNet,VF,85.26,83.29,85.26,80.73,74.4,98.72,14.94,9.87,13.63,15.86,1.87,11
CCNet-Re,VF,83.45,90.92,83.45,84.56,77.95,98.63,14.83,8.61,14.0,16.57,1.88,11
DEVA,VF,85.44,96.61,85.44,88.31,84.19,98.39,20.05,7.62,17.89,21.19,3.1,11
DoraemonGPT,VF,48.23,40.38,48.23,39.55,36.18,94.97,48.94,45.02,43.64,43.06,3.58,11
FLMM,VF,48.45,55.81,48.45,50.41,46.55,96.88,26.06,26.07,26.21,25.7,2.33,11
FLMM+S2,VF,90.7,97.22,90.7,92.86,89.83,99.16,16.98,8.02,15.93,19.4,2.08,11
FLMM+S3,VF,89.35,97.36,89.35,92.03,88.48,99.06,17.23,8.03,15.96,19.38,2.11,11
FLMM+X2,VF,85.67,97.15,85.67,88.98,84.79,98.7,21.81,7.91,18.96,23.15,2.58,11
FPN-Re,VF,74.76,91.08,74.76,79.1,70.73,98.13,12.91,8.72,13.0,14.88,1.78,11
FSAM,VF,76.75,94.18,76.75,81.52,74.0,97.98,14.51,7.16,13.66,15.76,2.0,11
FoodMem,VF,91.76,96.7,91.76,93.17,90.26,99.2,16.86,7.98,15.78,19.26,2.01,11
FoodMem_mem20,VF,91.76,96.65,91.76,93.14,90.21,99.2,16.85,7.98,15.77,19.25,2.01,11
FoodMem_mem4,VF,91.81,96.65,91.81,93.17,90.23,99.2,16.87,8.0,15.78,19.26,2.01,11
FoodMem_mem40,VF,91.76,96.65,91.76,93.14,90.21,99.2,16.85,7.98,15.77,19.25,2.01,11
FoodMem_mem5,VF,0.0,0.0,0.0,0.0,0.0,94.92,0.0,0.0,0.0,0.0,1.67,11
S+X2,VF,67.14,59.07,67.14,60.7,57.26,98.07,43.78,46.13,46.04,44.54,1.88,11
S+X2_M1_r0,VF,58.06,41.13,58.06,43.42,39.84,96.81,40.08,45.0,45.08,43.38,2.77,11
S+X2_M1_r1,VF,61.04,54.27,61.04,54.9,50.78,97.49,43.74,45.12,44.59,41.92,2.51,11
S+X2_M1_r2,VF,72.84,49.75,72.84,54.51,48.9,97.22,40.36,37.37,38.85,36.54,2.59,11
S+X2_M3,VF,69.0,50.66,69.0,54.69,49.72,97.84,38.08,41.81,42.08,40.76,1.72,11
S+X2_M3_r0,VF,64.64,45.21,64.64,49.3,44.2,97.44,40.73,41.43,43.44,40.4,2.38,11
S+X2_M3_r1,VF,69.52,49.39,69.52,55.06,48.79,97.6,38.89,36.9,38.81,36.24,2.13,11
S+X2_M3_r2,VF,67.35,51.59,67.35,55.73,51.0,97.93,42.81,41.01,43.6,40.47,1.78,11
S+X2_M6,VF,69.83,51.77,69.83,56.13,50.92,97.81,39.21,41.39,42.86,40.49,1.73,11
S+X2_M6_r0,VF,66.41,35.57,66.41,42.44,35.17,97.41,37.99,29.71,33.72,29.28,1.43,11
S+X2_M6_r1,VF,69.27,42.74,69.27,49.87,42.44,97.31,42.1,34.2,38.47,33.89,2.28,11
S+X2_M6_r2,VF,69.17,44.57,69.17,51.92,44.33,97.61,42.68,34.5,38.84,34.26,1.55,11
S+X2_M9,VF,68.54,48.18,68.54,53.16,47.5,97.71,40.25,39.69,41.6,38.91,1.69,11
S+X2_M9_r0,VF,71.78,43.84,71.78,50.99,43.52,97.64,38.66,34.68,38.76,34.34,1.57,11
S+X2_M9_r1,VF,71.73,43.54,71.73,50.42,43.09,97.65,38.23,34.73,38.41,34.23,1.58,11
S+X2_M9_r2,VF,66.86,39.71,66.86,46.4,39.22,97.51,38.53,33.59,37.52,32.97,1.52,11
SC+S2,VF,50.27,45.32,50.27,44.44,41.1,96.47,47.11,45.7,45.59,44.12,2.93,11
SC+S3,VF,80.23,44.32,80.23,43.85,39.86,96.25,25.69,44.19,43.54,42.09,2.9,11
SC+X2,VF,56.96,49.31,56.96,48.01,44.22,96.4,44.9,44.62,43.31,42.49,2.94,11
SETR_MLA,VF,87.53,95.29,87.53,89.76,84.88,98.96,16.16,7.7,15.03,17.94,1.99,11
SF+S2,VF,91.8,97.05,91.8,93.36,90.54,99.21,16.89,8.0,15.82,19.29,2.01,11
SF+S3,VF,91.54,96.96,91.54,93.18,90.19,99.19,16.85,7.94,15.76,19.19,2.01,11
SF+X2,VF,91.68,96.92,91.68,93.23,90.4,99.21,16.91,7.82,15.78,19.25,2.03,11
SF+X2_M1_r0,VF,92.21,94.63,92.21,92.01,88.67,99.17,17.01,10.06,15.97,19.75,2.01,11
SF+X2_M1_r1,VF,89.35,96.76,89.35,91.37,87.95,99.09,17.32,7.92,15.95,19.53,1.99,11
SF+X2_M1_r2,VF,90.73,96.97,90.73,92.63,89.53,99.19,16.84,8.02,15.73,19.25,2.0,11
SF+X2_M3,VF,91.84,96.54,91.84,93.11,90.19,99.2,16.96,7.77,15.75,19.2,2.02,11
